Region,Constellation,System,Name,Item,Rate,Output
Aridia,Anama,Van,Van I,Industrial Fibers,Poor,3.19
Aridia,Anama,Van,Van I,Oxygen Isotopes,Poor,1.93
Aridia,Anama,Van,Van I,Plasmoids,Poor,0.77
Aridia,Anama,Van,Van II,Fiber Composite,Medium,18.97
Aridia,Anama,Van,Van II,Reactive Gas,Rich,25.02
Aridia,Anama,Van,Van II,Noble Metals,Poor,15.84
Aridia,Anama,Van,Van II,Condensates,Perfect,20.69
Aridia,Anama,Van,Van III,Fiber Composite,Poor,15.69
Aridia,Anama,Van,Van III,Opulent Compound,Poor,15.89
Aridia,Anama,Van,Van III,Noble Metals,Rich,24.48
Aridia,Anama,Van,Van III,Liquid Ozone,Medium,22.48
Aridia,Anama,Van,Van IV,Fiber Composite,Perfect,29.75
Aridia,Anama,Van,Van IV,Base Metals,Medium,4.73
Aridia,Anama,Van,Van IV,Noble Metals,Medium,19.55
Aridia,Anama,Van,Van IV,Smartfab Units,Medium,11.92
Aridia,Anama,Van,Van V,Fiber Composite,Perfect,30.57
Aridia,Anama,Van,Van V,Industrial Fibers,Rich,5.78
Aridia,Anama,Van,Van V,Smartfab Units,Medium,10.91
Aridia,Anama,Van,Van V,Liquid Ozone,Rich,27.90
Aridia,Anama,Shakasi,Shakasi I,Noble Gas,Poor,13.89
Aridia,Anama,Shakasi,Shakasi I,Oxygen Isotopes,Poor,2.34
Aridia,Anama,Shakasi,Shakasi II,Industrial Fibers,Medium,4.50
Aridia,Anama,Shakasi,Shakasi II,Supertensile Plastics,Medium,13.18
Aridia,Anama,Shakasi,Shakasi II,Plasmoids,Medium,1.19
Aridia,Anama,Shakasi,Shakasi III,Lustering Alloy,Medium,19.11
Aridia,Anama,Shakasi,Shakasi III,Industrial Fibers,Medium,5.10
Aridia,Anama,Shakasi,Shakasi III,Supertensile Plastics,Poor,7.67
Aridia,Anama,Shakasi,Shakasi IV,Base Metals,Poor,3.51
Aridia,Anama,Shakasi,Shakasi IV,Toxic Metals,Medium,4.68
Aridia,Anama,Shakasi,Shakasi IV,Industrial Fibers,Poor,4.02
Aridia,Anama,Shakasi,Shakasi V,Sheen Compound,Poor,14.31
Aridia,Anama,Shakasi,Shakasi V,Glossy Compound,Rich,25.38
Aridia,Anama,Shakasi,Shakasi V,Noble Gas,Rich,22.71
Aridia,Anama,Shakasi,Shakasi V,Coolant,Medium,13.82
Aridia,Anama,Shakasi,Shakasi VI,Fiber Composite,Rich,26.18
Aridia,Anama,Shakasi,Shakasi VI,Noble Gas,Medium,19.30
Aridia,Anama,Shakasi,Shakasi VI,Base Metals,Rich,6.47
Aridia,Anama,Shakasi,Shakasi VI,Ionic Solutions,Medium,7.30
Aridia,Anama,Shakasi,Shakasi VII,Glossy Compound,Rich,22.44
Aridia,Anama,Shakasi,Shakasi VII,Noble Gas,Poor,14.37
Aridia,Anama,Shakasi,Shakasi VII,Base Metals,Medium,4.40
Aridia,Anama,Shakasi,Shakasi VII,Polyaramids,Medium,12.30
Aridia,Anama,Shakasi,Shakasi VIII,Toxic Metals,Poor,4.14
Aridia,Anama,Shakasi,Shakasi VIII,Supertensile Plastics,Rich,14.68
Aridia,Anama,Shakasi,Shakasi VIII,Construction Blocks,Medium,18.94
Aridia,Anama,Zayi,Zayi I,Base Metals,Poor,3.32
Aridia,Anama,Zayi,Zayi I,Industrial Fibers,Medium,4.24
Aridia,Anama,Zayi,Zayi I,Silicate Glass,Poor,6.18
Aridia,Anama,Zayi,Zayi II,Noble Gas,Medium,17.58
Aridia,Anama,Zayi,Zayi II,Construction Blocks,Poor,15.95
Aridia,Anama,Zayi,Zayi III,Reactive Metals,Perfect,7.69
Aridia,Anama,Zayi,Zayi III,Condensates,Medium,13.54
Aridia,Anama,Zayi,Zayi III,Nanites,Medium,4.47
Aridia,Anama,Zayi,Zayi III,Ionic Solutions,Rich,10.00
Aridia,Anama,Zayi,Zayi IV,Polyaramids,Rich,17.07
Aridia,Anama,Zayi,Zayi IV,Coolant,Medium,12.69
Aridia,Anama,Zayi,Zayi IV,Silicate Glass,Medium,9.87
Aridia,Anama,Zayi,Zayi IV,Liquid Ozone,Rich,33.04
Aridia,Anama,Zayi,Zayi V,Reactive Metals,Medium,5.34
Aridia,Anama,Zayi,Zayi V,Construction Blocks,Rich,23.82
Aridia,Anama,Zayi,Zayi V,Suspended Plasma,Rich,81.76
Aridia,Anama,Zayi,Zayi VI,Crystal Compound,Rich,22.44
Aridia,Anama,Zayi,Zayi VI,Reactive Metals,Rich,6.44
Aridia,Anama,Zayi,Zayi VI,Construction Blocks,Rich,25.31
Aridia,Anama,Zayi,Zayi VII,Fiber Composite,Rich,23.32
Aridia,Anama,Zayi,Zayi VII,Opulent Compound,Medium,17.46
Aridia,Anama,Zayi,Zayi VII,Base Metals,Perfect,7.30
Aridia,Anama,Zayi,Zayi VII,Heavy Water,Rich,219.13
Aridia,Anama,Zayi,Zayi VIII,Reactive Gas,Medium,20.03
Aridia,Anama,Zayi,Zayi VIII,Noble Gas,Rich,23.77
Aridia,Anama,Zayi,Zayi VIII,Reactive Metals,Perfect,7.42
Aridia,Anama,Zayi,Zayi VIII,Ionic Solutions,Medium,6.95
Aridia,Anama,Zayi,Zayi IX,Noble Gas,Perfect,27.93
Aridia,Anama,Zayi,Zayi IX,Smartfab Units,Rich,17.22
Aridia,Anama,Zayi,Zayi X,Sheen Compound,Medium,17.44
Aridia,Anama,Zayi,Zayi X,Glossy Compound,Rich,26.88
Aridia,Anama,Zayi,Zayi X,Noble Gas,Medium,18.79
Aridia,Anama,Zayi,Zayi X,Polyaramids,Medium,11.25
Aridia,Anama,Zayi,Zayi XI,Glossy Compound,Rich,24.07
Aridia,Anama,Zayi,Zayi XI,Noble Gas,Medium,17.87
Aridia,Anama,Zayi,Zayi XI,Base Metals,Perfect,7.26
Aridia,Anama,Zayi,Zayi XI,Polyaramids,Rich,15.82
Aridia,Anama,Zayi,Zayi XII,Lustering Alloy,Medium,18.97
Aridia,Anama,Zayi,Zayi XII,Industrial Fibers,Medium,5.33
Aridia,Anama,Zayi,Zayi XII,Oxygen Isotopes,Poor,1.91
Aridia,Anama,Zayi,Zayi XIII,Lustering Alloy,Rich,23.92
Aridia,Anama,Zayi,Zayi XIII,Glossy Compound,Rich,22.24
Aridia,Anama,Zayi,Zayi XIII,Noble Gas,Poor,15.67
Aridia,Anama,Zayi,Zayi XIII,Coolant,Medium,10.81
Aridia,Anama,Zayi,Zayi XIV,Lustering Alloy,Medium,21.22
Aridia,Anama,Zayi,Zayi XIV,Industrial Fibers,Rich,5.73
Aridia,Anama,Zayi,Zayi XIV,Coolant,Medium,13.34
Aridia,Anama,Shirshocin,Shirshocin I,Toxic Metals,Poor,4.17
Aridia,Anama,Shirshocin,Shirshocin I,Industrial Fibers,Poor,3.20
Aridia,Anama,Shirshocin,Shirshocin I,Oxygen Isotopes,Poor,2.49
Aridia,Anama,Shirshocin,Shirshocin II,Industrial Fibers,Poor,4.23
Aridia,Anama,Shirshocin,Shirshocin II,Supertensile Plastics,Medium,14.40
Aridia,Anama,Shirshocin,Shirshocin II,Silicate Glass,Medium,8.84
Aridia,Anama,Shirshocin,Shirshocin III,Dark Compound,Medium,21.64
Aridia,Anama,Shirshocin,Shirshocin III,Toxic Metals,Poor,3.15
Aridia,Anama,Shirshocin,Shirshocin III,Industrial Fibers,Medium,4.86
Aridia,Anama,Shirshocin,Shirshocin IV,Fiber Composite,Medium,20.88
Aridia,Anama,Shirshocin,Shirshocin IV,Reactive Gas,Perfect,31.57
Aridia,Anama,Shirshocin,Shirshocin IV,Condensates,Medium,12.73
Aridia,Anama,Shirshocin,Shirshocin IV,Smartfab Units,Perfect,19.48
Aridia,Anama,Shirshocin,Shirshocin V,Sheen Compound,Perfect,29.27
Aridia,Anama,Shirshocin,Shirshocin V,Fiber Composite,Rich,26.46
Aridia,Anama,Shirshocin,Shirshocin V,Noble Gas,Medium,18.59
Aridia,Anama,Shirshocin,Shirshocin V,Reactive Metals,Medium,5.57
Aridia,Anama,Shirshocin,Shirshocin VI,Lustering Alloy,Poor,15.61
Aridia,Anama,Shirshocin,Shirshocin VI,Fiber Composite,Medium,18.65
Aridia,Anama,Shirshocin,Shirshocin VI,Noble Gas,Medium,21.08
Aridia,Anama,Shirshocin,Shirshocin VI,Reactive Metals,Perfect,7.83
Aridia,Anama,Maalna,Maalna I,Industrial Fibers,Poor,3.82
Aridia,Anama,Maalna,Maalna I,Silicate Glass,Medium,8.37
Aridia,Anama,Maalna,Maalna I,Plasmoids,Poor,0.76
Aridia,Anama,Maalna,Maalna II,Fiber Composite,Perfect,29.32
Aridia,Anama,Maalna,Maalna II,Base Metals,Rich,6.86
Aridia,Anama,Maalna,Maalna II,Noble Metals,Perfect,30.29
Aridia,Anama,Maalna,Maalna II,Heavy Water,Rich,263.84
Aridia,Anama,Maalna,Maalna III,Fiber Composite,Perfect,28.63
Aridia,Anama,Maalna,Maalna III,Reactive Gas,Poor,15.71
Aridia,Anama,Maalna,Maalna III,Base Metals,Perfect,7.71
Aridia,Anama,Maalna,Maalna III,Heavy Water,Medium,187.34
Aridia,Anama,Maalna,Maalna IV,Glossy Compound,Medium,17.43
Aridia,Anama,Maalna,Maalna IV,Noble Gas,Medium,19.35
Aridia,Anama,Maalna,Maalna IV,Base Metals,Medium,5.53
Aridia,Anama,Maalna,Maalna IV,Reactive Metals,Rich,6.06
Aridia,Anama,Maalna,Maalna V,Fiber Composite,Rich,26.49
Aridia,Anama,Maalna,Maalna V,Industrial Fibers,Rich,5.99
