Region,Constellation,System,Name,Item,Rate,Output
Black Rise,Urpiken,Hykanima,Hykanima I,Precious Alloy,Poor,15.07
Black Rise,Urpiken,Hykanima,Hykanima I,Industrial Fibers,Poor,3.91
Black Rise,Urpiken,Hykanima,Hykanima I,Oxygen Isotopes,Poor,2.11
Black Rise,Urpiken,Hykanima,Hykanima II,Dark Compound,Medium,20.99
Black Rise,Urpiken,Hykanima,Hykanima II,Toxic Metals,Poor,3.46
Black Rise,Urpiken,Hykanima,Hykanima II,Industrial Fibers,Poor,3.63
Black Rise,Urpiken,Hykanima,Hykanima III,Toxic Metals,Poor,4.04
Black Rise,Urpiken,Hykanima,Hykanima III,Construction Blocks,Medium,19.21
Black Rise,Urpiken,Hykanima,Hykanima III,Nanites,Poor,3.87
Black Rise,Urpiken,Hykanima,Hykanima IV,Fiber Composite,Perfect,29.57
Black Rise,Urpiken,Hykanima,Hykanima IV,Reactive Gas,Rich,24.34
Black Rise,Urpiken,Hykanima,Hykanima IV,Noble Metals,Rich,27.54
Black Rise,Urpiken,Hykanima,Hykanima IV,Condensates,Medium,15.17
Black Rise,Urpiken,Hykanima,Hykanima V,Fiber Composite,Rich,27.45
Black Rise,Urpiken,Hykanima,Hykanima V,Noble Gas,Medium,22.50
Black Rise,Urpiken,Hykanima,Hykanima V,Base Metals,Rich,7.13
Black Rise,Urpiken,Hykanima,Hykanima V,Coolant,Rich,17.16
Black Rise,Urpiken,Hykanima,Hykanima VI,Lustering Alloy,Poor,11.45
Black Rise,Urpiken,Hykanima,Hykanima VI,Industrial Fibers,Medium,4.95
Black Rise,Urpiken,Hykanima,Hykanima VI,Oxygen Isotopes,Medium,3.08
Black Rise,Urpiken,Hykanima,Hykanima VII,Sheen Compound,Medium,20.00
Black Rise,Urpiken,Hykanima,Hykanima VII,Noble Gas,Medium,19.51
Black Rise,Urpiken,Hykanima,Hykanima VII,Base Metals,Rich,6.71
Black Rise,Urpiken,Hykanima,Hykanima VII,Polyaramids,Poor,11.08
Black Rise,Urpiken,Hykanima,Hykanima VIII,Fiber Composite,Rich,24.66
Black Rise,Urpiken,Hykanima,Hykanima VIII,Base Metals,Poor,4.35
Black Rise,Urpiken,Hykanima,Hykanima VIII,Condensates,Rich,16.20
