Region,Constellation,System,Name,Item,Rate,Output
Branch,JE7-F2,UQ9-3C,UQ9-3C I,Sheen Compound,Poor,19.36
Branch,JE7-F2,UQ9-3C,UQ9-3C I,Dark Compound,Rich,27.26
Branch,JE7-F2,UQ9-3C,UQ9-3C I,Noble Gas,Rich,28.62
Branch,JE7-F2,UQ9-3C,UQ9-3C I,Condensates,Rich,18.58
Branch,JE7-F2,UQ9-3C,UQ9-3C I,Nanites,Rich,7.25
Branch,JE7-F2,UQ9-3C,UQ9-3C II,Lustering Alloy,Medium,24.57
Branch,JE7-F2,UQ9-3C,UQ9-3C II,Base Metals,Poor,4.87
Branch,JE7-F2,UQ9-3C,UQ9-3C II,Supertensile Plastics,Poor,12.54
Branch,JE7-F2,UQ9-3C,UQ9-3C II,Oxygen Isotopes,Medium,3.25
Branch,JE7-F2,UQ9-3C,UQ9-3C III,Gleaming Alloy,Medium,20.48
Branch,JE7-F2,UQ9-3C,UQ9-3C III,Polyaramids,Rich,21.95
Branch,JE7-F2,UQ9-3C,UQ9-3C III,Oxygen Isotopes,Medium,3.31
Branch,JE7-F2,UQ9-3C,UQ9-3C IV,Lustering Alloy,Medium,21.44
Branch,JE7-F2,UQ9-3C,UQ9-3C IV,Toxic Metals,Medium,6.53
Branch,JE7-F2,UQ9-3C,UQ9-3C IV,Industrial Fibers,Poor,4.21
Branch,JE7-F2,UQ9-3C,UQ9-3C IV,Supertensile Plastics,Poor,12.64
Branch,JE7-F2,UQ9-3C,UQ9-3C V,Fiber Composite,Medium,24.40
Branch,JE7-F2,UQ9-3C,UQ9-3C V,Base Metals,Rich,7.55
Branch,JE7-F2,UQ9-3C,UQ9-3C V,Noble Metals,Medium,19.80
Branch,JE7-F2,UQ9-3C,UQ9-3C V,Condensates,Perfect,25.51
Branch,JE7-F2,UQ9-3C,UQ9-3C V,Liquid Ozone,Medium,28.32
Branch,JE7-F2,UQ9-3C,UQ9-3C VI,Dark Compound,Poor,18.42
Branch,JE7-F2,UQ9-3C,UQ9-3C VI,Industrial Fibers,Medium,5.27
Branch,JE7-F2,UQ9-3C,UQ9-3C VI,Supertensile Plastics,Medium,14.45
Branch,JE7-F2,UQ9-3C,UQ9-3C VI,Plasmoids,Medium,1.44
Branch,JE7-F2,UQ9-3C,UQ9-3C VII,Sheen Compound,Perfect,34.42
Branch,JE7-F2,UQ9-3C,UQ9-3C VII,Fiber Composite,Perfect,34.65
Branch,JE7-F2,UQ9-3C,UQ9-3C VII,Reactive Gas,Medium,23.56
Branch,JE7-F2,UQ9-3C,UQ9-3C VII,Noble Gas,Medium,25.98
Branch,JE7-F2,UQ9-3C,UQ9-3C VII,Reactive Metals,Perfect,8.94
Branch,JE7-F2,UQ9-3C,UQ9-3C VIII,Lustering Alloy,Medium,22.97
Branch,JE7-F2,UQ9-3C,UQ9-3C VIII,Toxic Metals,Medium,6.02
Branch,JE7-F2,UQ9-3C,UQ9-3C VIII,Supertensile Plastics,Poor,10.92
Branch,JE7-F2,UQ9-3C,UQ9-3C VIII,Plasmoids,Poor,0.98
Branch,JE7-F2,UQ9-3C,UQ9-3C IX,Lustering Alloy,Poor,19.26
Branch,JE7-F2,UQ9-3C,UQ9-3C IX,Dark Compound,Medium,19.80
Branch,JE7-F2,UQ9-3C,UQ9-3C IX,Supertensile Plastics,Medium,15.65
Branch,JE7-F2,UQ9-3C,UQ9-3C IX,Plasmoids,Poor,0.96
Branch,JE7-F2,UQ9-3C,UQ9-3C X,Reactive Gas,Rich,27.15
Branch,JE7-F2,UQ9-3C,UQ9-3C X,Base Metals,Perfect,9.14
Branch,JE7-F2,UQ9-3C,UQ9-3C X,Condensates,Rich,21.01
Branch,JE7-F2,UQ9-3C,UQ9-3C X,Smartfab Units,Perfect,25.45
Branch,JE7-F2,UQ9-3C,UQ9-3C X,Liquid Ozone,Medium,27.04
Branch,JE7-F2,DCI7-7,DCI7-7 I,Lustering Alloy,Poor,18.52
Branch,JE7-F2,DCI7-7,DCI7-7 I,Dark Compound,Poor,18.80
Branch,JE7-F2,DCI7-7,DCI7-7 I,Base Metals,Poor,4.80
Branch,JE7-F2,DCI7-7,DCI7-7 I,Supertensile Plastics,Medium,13.65
Branch,JE7-F2,DCI7-7,DCI7-7 II,Lustering Alloy,Poor,18.69
Branch,JE7-F2,DCI7-7,DCI7-7 II,Precious Alloy,Poor,19.76
Branch,JE7-F2,DCI7-7,DCI7-7 II,Dark Compound,Poor,17.47
Branch,JE7-F2,DCI7-7,DCI7-7 II,Supertensile Plastics,Medium,17.08
Branch,JE7-F2,DCI7-7,DCI7-7 III,Condensed Alloy,Rich,28.94
Branch,JE7-F2,DCI7-7,DCI7-7 III,Noble Metals,Medium,26.33
Branch,JE7-F2,DCI7-7,DCI7-7 III,Coolant,Medium,14.97
Branch,JE7-F2,DCI7-7,DCI7-7 III,Liquid Ozone,Medium,29.37
Branch,JE7-F2,DCI7-7,DCI7-7 III,Ionic Solutions,Medium,9.28
Branch,JE7-F2,DCI7-7,DCI7-7 IV,Sheen Compound,Medium,20.85
Branch,JE7-F2,DCI7-7,DCI7-7 IV,Glossy Compound,Rich,32.72
Branch,JE7-F2,DCI7-7,DCI7-7 IV,Reactive Gas,Poor,18.50
Branch,JE7-F2,DCI7-7,DCI7-7 IV,Polyaramids,Medium,14.43
Branch,JE7-F2,DCI7-7,DCI7-7 IV,Coolant,Medium,14.59
Branch,JE7-F2,DCI7-7,DCI7-7 V,Glossy Compound,Medium,25.24
Branch,JE7-F2,DCI7-7,DCI7-7 V,Reactive Gas,Rich,27.61
Branch,JE7-F2,DCI7-7,DCI7-7 V,Noble Gas,Medium,20.81
Branch,JE7-F2,DCI7-7,DCI7-7 V,Reactive Metals,Rich,7.47
Branch,JE7-F2,DCI7-7,DCI7-7 V,Coolant,Rich,19.32
Branch,JE7-F2,DCI7-7,DCI7-7 VI,Lustering Alloy,Poor,15.86
Branch,JE7-F2,DCI7-7,DCI7-7 VI,Precious Alloy,Poor,17.41
Branch,JE7-F2,DCI7-7,DCI7-7 VI,Supertensile Plastics,Rich,19.31
Branch,JE7-F2,DCI7-7,DCI7-7 VI,Condensates,Rich,20.29
Branch,JE7-F2,J7YR-1,J7YR-1 I,Gleaming Alloy,Poor,20.10
Branch,JE7-F2,J7YR-1,J7YR-1 I,Motley Compound,Medium,25.78
Branch,JE7-F2,J7YR-1,J7YR-1 I,Smartfab Units,Rich,21.68
Branch,JE7-F2,J7YR-1,J7YR-1 II,Dark Compound,Poor,16.77
Branch,JE7-F2,J7YR-1,J7YR-1 II,Toxic Metals,Medium,6.63
Branch,JE7-F2,J7YR-1,J7YR-1 II,Supertensile Plastics,Medium,16.97
Branch,JE7-F2,J7YR-1,J7YR-1 II,Construction Blocks,Poor,20.06
Branch,JE7-F2,J7YR-1,J7YR-1 III,Gleaming Alloy,Medium,27.02
Branch,JE7-F2,J7YR-1,J7YR-1 III,Glossy Compound,Medium,28.54
Branch,JE7-F2,J7YR-1,J7YR-1 III,Smartfab Units,Medium,15.21
Branch,JE7-F2,J7YR-1,J7YR-1 IV,Condensed Alloy,Rich,29.85
Branch,JE7-F2,J7YR-1,J7YR-1 IV,Opulent Compound,Medium,24.63
Branch,JE7-F2,J7YR-1,J7YR-1 IV,Reactive Gas,Perfect,42.27
Branch,JE7-F2,J7YR-1,J7YR-1 IV,Condensates,Medium,14.95
Branch,JE7-F2,J7YR-1,J7YR-1 IV,Liquid Ozone,Perfect,48.99
Branch,JE7-F2,J7YR-1,J7YR-1 V,Gleaming Alloy,Rich,29.92
