Region,Constellation,System,Name,Item,Rate,Output
Cache,BVA-YH,2-2EWC,2-2EWC I,Gleaming Alloy,Rich,31.67
Cache,BVA-YH,2-2EWC,2-2EWC I,Glossy Compound,Poor,17.01
Cache,BVA-YH,2-2EWC,2-2EWC I,Noble Gas,Medium,24.78
Cache,BVA-YH,2-2EWC,2-2EWC II,Lustering Alloy,Poor,17.35
Cache,BVA-YH,2-2EWC,2-2EWC II,Dark Compound,Medium,23.50
Cache,BVA-YH,2-2EWC,2-2EWC II,Industrial Fibers,Medium,6.73
Cache,BVA-YH,2-2EWC,2-2EWC II,Supertensile Plastics,Poor,10.42
Cache,BVA-YH,2-2EWC,2-2EWC III,Lucent Compound,Rich,30.98
Cache,BVA-YH,2-2EWC,2-2EWC III,Crystal Compound,Rich,26.61
Cache,BVA-YH,2-2EWC,2-2EWC III,Reactive Metals,Rich,7.40
Cache,BVA-YH,2-2EWC,2-2EWC III,Toxic Metals,Poor,5.16
Cache,BVA-YH,2-2EWC,2-2EWC IV,Lustering Alloy,Rich,31.12
Cache,BVA-YH,2-2EWC,2-2EWC IV,Sheen Compound,Medium,21.29
Cache,BVA-YH,2-2EWC,2-2EWC IV,Reactive Gas,Rich,28.58
Cache,BVA-YH,2-2EWC,2-2EWC IV,Reactive Metals,Rich,8.73
Cache,BVA-YH,2-2EWC,2-2EWC IV,Polyaramids,Poor,12.92
Cache,BVA-YH,2-2EWC,2-2EWC V,Fiber Composite,Rich,32.17
Cache,BVA-YH,2-2EWC,2-2EWC V,Glossy Compound,Medium,22.91
Cache,BVA-YH,2-2EWC,2-2EWC V,Reactive Gas,Rich,32.15
Cache,BVA-YH,2-2EWC,2-2EWC V,Base Metals,Poor,5.13
Cache,BVA-YH,2-2EWC,2-2EWC V,Reactive Metals,Medium,6.41
Cache,BVA-YH,2-2EWC,2-2EWC VI,Sheen Compound,Medium,22.70
Cache,BVA-YH,2-2EWC,2-2EWC VI,Fiber Composite,Rich,33.10
Cache,BVA-YH,2-2EWC,2-2EWC VI,Glossy Compound,Poor,19.76
Cache,BVA-YH,2-2EWC,2-2EWC VI,Reactive Gas,Rich,31.08
Cache,BVA-YH,2-2EWC,2-2EWC VI,Base Metals,Medium,5.71
Cache,BVA-YH,2-2EWC,2-2EWC VII,Glossy Compound,Rich,29.21
Cache,BVA-YH,2-2EWC,2-2EWC VII,Reactive Gas,Medium,24.51
Cache,BVA-YH,2-2EWC,2-2EWC VII,Noble Gas,Perfect,33.41
Cache,BVA-YH,2-2EWC,2-2EWC VII,Reactive Metals,Poor,4.92
Cache,BVA-YH,2-2EWC,2-2EWC VII,Polyaramids,Poor,13.06
Cache,BVA-YH,2-2EWC,2-2EWC VIII,Lustering Alloy,Poor,17.85
Cache,BVA-YH,2-2EWC,2-2EWC VIII,Base Metals,Poor,3.89
Cache,BVA-YH,2-2EWC,2-2EWC VIII,Toxic Metals,Poor,4.89
Cache,BVA-YH,2-2EWC,2-2EWC VIII,Supertensile Plastics,Medium,15.88
Cache,BVA-YH,2-2EWC,2-2EWC IX,Lucent Compound,Perfect,33.75
Cache,BVA-YH,2-2EWC,2-2EWC IX,Reactive Metals,Poor,4.98
Cache,BVA-YH,2-2EWC,2-2EWC IX,Nanites,Medium,6.48
Cache,BVA-YH,2-2EWC,2-2EWC IX,Oxygen Isotopes,Poor,2.82
Cache,BVA-YH,E1W-TB,E1W-TB I,Precious Alloy,Medium,20.77
Cache,BVA-YH,E1W-TB,E1W-TB I,Base Metals,Poor,4.15
Cache,BVA-YH,E1W-TB,E1W-TB I,Industrial Fibers,Medium,5.86
Cache,BVA-YH,E1W-TB,E1W-TB I,Supertensile Plastics,Poor,9.10
Cache,BVA-YH,E1W-TB,E1W-TB II,Base Metals,Poor,4.70
Cache,BVA-YH,E1W-TB,E1W-TB II,Supertensile Plastics,Poor,12.77
Cache,BVA-YH,E1W-TB,E1W-TB II,Silicate Glass,Poor,7.47
Cache,BVA-YH,E1W-TB,E1W-TB II,Oxygen Isotopes,Medium,3.40
Cache,BVA-YH,E1W-TB,E1W-TB III,Lustering Alloy,Poor,15.02
Cache,BVA-YH,E1W-TB,E1W-TB III,Toxic Metals,Poor,4.18
Cache,BVA-YH,E1W-TB,E1W-TB III,Industrial Fibers,Poor,4.49
Cache,BVA-YH,E1W-TB,E1W-TB III,Supertensile Plastics,Medium,16.11
Cache,BVA-YH,E1W-TB,E1W-TB IV,Precious Alloy,Poor,14.57
Cache,BVA-YH,E1W-TB,E1W-TB IV,Dark Compound,Poor,13.88
Cache,BVA-YH,E1W-TB,E1W-TB IV,Supertensile Plastics,Poor,8.93
Cache,BVA-YH,E1W-TB,E1W-TB IV,Plasmoids,Poor,0.98
