Region,Constellation,System,Name,Item,Rate,Output
Catch,UX3-N2,F9E-KX,F9E-KX I,Lustering Alloy,Medium,23.36
Catch,UX3-N2,F9E-KX,F9E-KX I,Base Metals,Poor,3.87
Catch,UX3-N2,F9E-KX,F9E-KX I,Supertensile Plastics,Medium,15.28
Catch,UX3-N2,F9E-KX,F9E-KX I,Construction Blocks,Medium,24.84
Catch,UX3-N2,F9E-KX,F9E-KX II,Lucent Compound,Perfect,38.48
Catch,UX3-N2,F9E-KX,F9E-KX II,Condensates,Medium,16.31
Catch,UX3-N2,F9E-KX,F9E-KX II,Suspended Plasma,Rich,101.38
Catch,UX3-N2,F9E-KX,F9E-KX II,Ionic Solutions,Medium,8.45
Catch,UX3-N2,F9E-KX,F9E-KX II,Plasmoids,Perfect,2.28
Catch,UX3-N2,F9E-KX,F9E-KX III,Dark Compound,Medium,26.64
Catch,UX3-N2,F9E-KX,F9E-KX III,Supertensile Plastics,Medium,14.46
Catch,UX3-N2,F9E-KX,F9E-KX III,Construction Blocks,Medium,21.74
Catch,UX3-N2,F9E-KX,F9E-KX III,Oxygen Isotopes,Poor,3.01
Catch,UX3-N2,F9E-KX,F9E-KX IV,Precious Alloy,Medium,24.51
Catch,UX3-N2,F9E-KX,F9E-KX IV,Supertensile Plastics,Medium,17.16
Catch,UX3-N2,F9E-KX,F9E-KX IV,Oxygen Isotopes,Medium,3.99
Catch,UX3-N2,F9E-KX,F9E-KX IV,Plasmoids,Medium,1.53
Catch,UX3-N2,F9E-KX,F9E-KX V,Gleaming Alloy,Rich,33.02
Catch,UX3-N2,F9E-KX,F9E-KX V,Noble Metals,Perfect,36.34
Catch,UX3-N2,F9E-KX,F9E-KX V,Oxygen Isotopes,Medium,3.70
Catch,UX3-N2,F9E-KX,F9E-KX VI,Base Metals,Medium,6.60
Catch,UX3-N2,F9E-KX,F9E-KX VI,Toxic Metals,Poor,5.26
Catch,UX3-N2,F9E-KX,F9E-KX VI,Supertensile Plastics,Poor,13.02
Catch,UX3-N2,F9E-KX,F9E-KX VI,Silicate Glass,Medium,12.32
Catch,UX3-N2,F9E-KX,F9E-KX VII,Opulent Compound,Rich,29.85
Catch,UX3-N2,F9E-KX,F9E-KX VII,Reactive Gas,Medium,24.66
Catch,UX3-N2,F9E-KX,F9E-KX VII,Noble Metals,Perfect,41.58
Catch,UX3-N2,F9E-KX,F9E-KX VII,Industrial Fibers,Rich,7.83
Catch,UX3-N2,F9E-KX,F9E-KX VII,Liquid Ozone,Perfect,47.22
Catch,UX3-N2,F9E-KX,F9E-KX VIII,Fiber Composite,Poor,19.51
Catch,UX3-N2,F9E-KX,F9E-KX VIII,Reactive Gas,Rich,29.59
Catch,UX3-N2,F9E-KX,F9E-KX VIII,Base Metals,Rich,8.45
Catch,UX3-N2,F9E-KX,F9E-KX VIII,Coolant,Poor,12.54
Catch,UX3-N2,F9E-KX,F9E-KX VIII,Ionic Solutions,Medium,9.85
