Region,Constellation,System,Name,Item,Rate,Output
Cloud Ring,Yrton,1-3HWZ,1-3HWZ I,Dark Compound,Poor,13.48
Cloud Ring,Yrton,1-3HWZ,1-3HWZ I,Industrial Fibers,Poor,3.64
Cloud Ring,Yrton,1-3HWZ,1-3HWZ I,Supertensile Plastics,Medium,15.81
Cloud Ring,Yrton,1-3HWZ,1-3HWZ I,Construction Blocks,Medium,23.02
Cloud Ring,Yrton,1-3HWZ,1-3HWZ II,Base Metals,Poor,4.43
Cloud Ring,Yrton,1-3HWZ,1-3HWZ II,Supertensile Plastics,Poor,8.47
Cloud Ring,Yrton,1-3HWZ,1-3HWZ II,Construction Blocks,Poor,16.70
Cloud Ring,Yrton,1-3HWZ,1-3HWZ II,Silicate Glass,Poor,6.42
Cloud Ring,Yrton,1-3HWZ,1-3HWZ III,Base Metals,Poor,3.75
Cloud Ring,Yrton,1-3HWZ,1-3HWZ III,Toxic Metals,Medium,5.16
Cloud Ring,Yrton,1-3HWZ,1-3HWZ III,Supertensile Plastics,Medium,13.87
Cloud Ring,Yrton,1-3HWZ,1-3HWZ III,Oxygen Isotopes,Poor,2.71
Cloud Ring,Yrton,1-3HWZ,1-3HWZ IV,Reactive Metals,Medium,5.27
Cloud Ring,Yrton,1-3HWZ,1-3HWZ IV,Construction Blocks,Rich,29.88
Cloud Ring,Yrton,1-3HWZ,1-3HWZ IV,Nanites,Poor,4.37
Cloud Ring,Yrton,1-3HWZ,1-3HWZ IV,Oxygen Isotopes,Rich,4.40
Cloud Ring,Yrton,1-3HWZ,1-3HWZ V,Lustering Alloy,Poor,18.60
Cloud Ring,Yrton,1-3HWZ,1-3HWZ V,Precious Alloy,Poor,15.88
Cloud Ring,Yrton,1-3HWZ,1-3HWZ V,Industrial Fibers,Poor,4.23
Cloud Ring,Yrton,1-3HWZ,1-3HWZ V,Supertensile Plastics,Medium,12.60
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VI,Fiber Composite,Medium,19.36
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VI,Glossy Compound,Rich,29.16
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VI,Reactive Gas,Rich,27.74
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VI,Noble Gas,Rich,28.28
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VI,Polyaramids,Poor,11.61
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VII,Sheen Compound,Medium,24.28
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VII,Glossy Compound,Rich,29.06
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VII,Reactive Gas,Perfect,32.74
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VII,Noble Gas,Medium,23.18
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VII,Reactive Metals,Medium,5.97
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VIII,Fiber Composite,Rich,29.70
Cloud Ring,Yrton,1-3HWZ,1-3HWZ VIII,Reactive Gas,Rich,27.36
