Region,Constellation,System,Name,Item,Rate,Output
Curse,Tranquility,H-ADOC,H-ADOC I,Sheen Compound,Perfect,34.97
Curse,Tranquility,H-ADOC,H-ADOC I,Lucent Compound,Perfect,35.28
Curse,Tranquility,H-ADOC,H-ADOC I,Dark Compound,Medium,23.12
Curse,Tranquility,H-ADOC,H-ADOC I,Condensates,Medium,17.04
Curse,Tranquility,H-ADOC,H-ADOC I,Nanites,Perfect,9.20
Curse,Tranquility,H-ADOC,H-ADOC II,Lucent Compound,Perfect,34.10
Curse,Tranquility,H-ADOC,H-ADOC II,Crystal Compound,Rich,31.08
Curse,Tranquility,H-ADOC,H-ADOC II,Reactive Gas,Rich,27.30
Curse,Tranquility,H-ADOC,H-ADOC II,Reactive Metals,Medium,6.64
Curse,Tranquility,H-ADOC,H-ADOC III,Gleaming Alloy,Poor,18.33
Curse,Tranquility,H-ADOC,H-ADOC III,Crystal Compound,Rich,29.30
Curse,Tranquility,H-ADOC,H-ADOC III,Reactive Metals,Rich,7.08
Curse,Tranquility,H-ADOC,H-ADOC III,Toxic Metals,Poor,5.20
Curse,Tranquility,H-ADOC,H-ADOC IV,Lustering Alloy,Medium,23.75
Curse,Tranquility,H-ADOC,H-ADOC IV,Sheen Compound,Rich,27.13
Curse,Tranquility,H-ADOC,H-ADOC IV,Reactive Gas,Medium,25.12
Curse,Tranquility,H-ADOC,H-ADOC IV,Noble Gas,Medium,25.07
Curse,Tranquility,H-ADOC,H-ADOC IV,Coolant,Perfect,22.32
Curse,Tranquility,H-ADOC,H-ADOC V,Lustering Alloy,Medium,25.07
Curse,Tranquility,H-ADOC,H-ADOC V,Reactive Gas,Medium,20.66
Curse,Tranquility,H-ADOC,H-ADOC V,Noble Gas,Medium,25.93
Curse,Tranquility,H-ADOC,H-ADOC V,Reactive Metals,Perfect,8.96
Curse,Tranquility,H-ADOC,H-ADOC V,Ionic Solutions,Perfect,13.41
Curse,Tranquility,H-ADOC,H-ADOC VI,Glossy Compound,Rich,30.22
Curse,Tranquility,H-ADOC,H-ADOC VI,Reactive Gas,Rich,29.65
Curse,Tranquility,H-ADOC,H-ADOC VI,Noble Gas,Rich,32.84
Curse,Tranquility,H-ADOC,H-ADOC VI,Polyaramids,Poor,11.68
