Region,Constellation,System,Name,Item,Rate,Output
Deklein,29V-1R,4U90-Z,4U90-Z I,Base Metals,Poor,3.72
Deklein,29V-1R,4U90-Z,4U90-Z I,Supertensile Plastics,Medium,16.35
Deklein,29V-1R,4U90-Z,4U90-Z I,Silicate Glass,Poor,6.91
Deklein,29V-1R,4U90-Z,4U90-Z I,Plasmoids,Poor,0.94
Deklein,29V-1R,4U90-Z,4U90-Z II,Gleaming Alloy,Rich,32.76
Deklein,29V-1R,4U90-Z,4U90-Z II,Heavy Metals,Medium,23.33
Deklein,29V-1R,4U90-Z,4U90-Z II,Smartfab Units,Medium,15.18
Deklein,29V-1R,4U90-Z,4U90-Z III,Condensed Alloy,Medium,22.24
Deklein,29V-1R,4U90-Z,4U90-Z III,Opulent Compound,Poor,18.61
Deklein,29V-1R,4U90-Z,4U90-Z III,Crystal Compound,Rich,32.45
Deklein,29V-1R,4U90-Z,4U90-Z III,Polyaramids,Rich,20.17
Deklein,29V-1R,4U90-Z,4U90-Z III,Liquid Ozone,Rich,38.48
Deklein,29V-1R,4U90-Z,4U90-Z IV,Condensed Alloy,Perfect,38.64
Deklein,29V-1R,4U90-Z,4U90-Z IV,Opulent Compound,Rich,32.87
Deklein,29V-1R,4U90-Z,4U90-Z IV,Condensates,Medium,15.97
Deklein,29V-1R,4U90-Z,4U90-Z IV,Heavy Water,Medium,236.88
Deklein,29V-1R,4U90-Z,4U90-Z IV,Liquid Ozone,Rich,40.71
Deklein,29V-1R,4U90-Z,4U90-Z V,Precious Alloy,Medium,22.24
Deklein,29V-1R,4U90-Z,4U90-Z V,Dark Compound,Medium,21.44
Deklein,29V-1R,4U90-Z,4U90-Z V,Base Metals,Poor,4.61
Deklein,29V-1R,4U90-Z,4U90-Z V,Supertensile Plastics,Medium,15.30
Deklein,29V-1R,4U90-Z,4U90-Z VI,Dark Compound,Medium,20.58
Deklein,29V-1R,4U90-Z,4U90-Z VI,Industrial Fibers,Medium,5.78
Deklein,29V-1R,4U90-Z,4U90-Z VI,Supertensile Plastics,Medium,14.15
Deklein,29V-1R,4U90-Z,4U90-Z VI,Construction Blocks,Poor,14.80
Deklein,29V-1R,4U90-Z,4U90-Z VII,Toxic Metals,Poor,4.94
Deklein,29V-1R,4U90-Z,4U90-Z VII,Supertensile Plastics,Medium,13.69
Deklein,29V-1R,4U90-Z,4U90-Z VII,Oxygen Isotopes,Medium,3.17
Deklein,29V-1R,4U90-Z,4U90-Z VII,Plasmoids,Poor,1.11
Deklein,29V-1R,4U90-Z,4U90-Z VIII,Sheen Compound,Poor,18.14
Deklein,29V-1R,4U90-Z,4U90-Z VIII,Reactive Gas,Rich,33.31
Deklein,29V-1R,4U90-Z,4U90-Z VIII,Base Metals,Rich,8.69
Deklein,29V-1R,4U90-Z,4U90-Z VIII,Reactive Metals,Medium,5.73
Deklein,29V-1R,4U90-Z,4U90-Z VIII,Coolant,Poor,13.15
Deklein,29V-1R,4U90-Z,4U90-Z IX,Crystal Compound,Medium,23.48
Deklein,29V-1R,4U90-Z,4U90-Z IX,Reactive Metals,Medium,5.40
Deklein,29V-1R,4U90-Z,4U90-Z IX,Toxic Metals,Rich,8.07
Deklein,29V-1R,4U90-Z,4U90-Z IX,Suspended Plasma,Poor,63.66
Deklein,29V-1R,T-945F,T-945F I,Toxic Metals,Medium,5.04
Deklein,29V-1R,T-945F,T-945F I,Supertensile Plastics,Medium,14.51
Deklein,29V-1R,T-945F,T-945F I,Construction Blocks,Medium,21.10
Deklein,29V-1R,T-945F,T-945F I,Silicate Glass,Poor,6.69
Deklein,29V-1R,T-945F,T-945F II,Lustering Alloy,Medium,19.12
Deklein,29V-1R,T-945F,T-945F II,Dark Compound,Poor,17.30
Deklein,29V-1R,T-945F,T-945F II,Industrial Fibers,Medium,5.66
Deklein,29V-1R,T-945F,T-945F II,Supertensile Plastics,Poor,11.36
