Region,Constellation,System,Name,Item,Rate,Output
Delve,XPJ1-6,UHKL-N,UHKL-N I,Gleaming Alloy,Poor,17.70
Delve,XPJ1-6,UHKL-N,UHKL-N I,Construction Blocks,Rich,27.34
Delve,XPJ1-6,UHKL-N,UHKL-N I,Oxygen Isotopes,Rich,4.73
Delve,XPJ1-6,UHKL-N,UHKL-N II,Gleaming Alloy,Rich,27.18
Delve,XPJ1-6,UHKL-N,UHKL-N II,Polyaramids,Medium,15.07
Delve,XPJ1-6,UHKL-N,UHKL-N II,Oxygen Isotopes,Medium,3.05
Delve,XPJ1-6,UHKL-N,UHKL-N III,Crystal Compound,Rich,31.66
Delve,XPJ1-6,UHKL-N,UHKL-N III,Reactive Metals,Medium,5.38
Delve,XPJ1-6,UHKL-N,UHKL-N III,Construction Blocks,Rich,28.32
Delve,XPJ1-6,UHKL-N,UHKL-N III,Nanites,Medium,5.90
Delve,XPJ1-6,UHKL-N,UHKL-N IV,Precious Alloy,Medium,20.30
Delve,XPJ1-6,UHKL-N,UHKL-N IV,Base Metals,Medium,5.79
Delve,XPJ1-6,UHKL-N,UHKL-N IV,Toxic Metals,Medium,5.26
Delve,XPJ1-6,UHKL-N,UHKL-N IV,Supertensile Plastics,Poor,10.00
Delve,XPJ1-6,UHKL-N,UHKL-N V,Condensed Alloy,Rich,29.78
Delve,XPJ1-6,UHKL-N,UHKL-N V,Reactive Gas,Medium,22.68
Delve,XPJ1-6,UHKL-N,UHKL-N V,Base Metals,Rich,8.29
Delve,XPJ1-6,UHKL-N,UHKL-N V,Industrial Fibers,Perfect,8.46
Delve,XPJ1-6,UHKL-N,UHKL-N V,Liquid Ozone,Perfect,42.95
Delve,XPJ1-6,UHKL-N,UHKL-N VI,Sheen Compound,Rich,26.80
Delve,XPJ1-6,UHKL-N,UHKL-N VI,Fiber Composite,Medium,21.30
Delve,XPJ1-6,UHKL-N,UHKL-N VI,Glossy Compound,Medium,22.42
Delve,XPJ1-6,UHKL-N,UHKL-N VI,Reactive Gas,Medium,21.84
Delve,XPJ1-6,UHKL-N,UHKL-N VI,Coolant,Medium,15.00
Delve,XPJ1-6,UHKL-N,UHKL-N VII,Sheen Compound,Rich,27.86
Delve,XPJ1-6,UHKL-N,UHKL-N VII,Reactive Gas,Medium,19.44
Delve,XPJ1-6,UHKL-N,UHKL-N VII,Base Metals,Medium,5.92
Delve,XPJ1-6,UHKL-N,UHKL-N VII,Reactive Metals,Perfect,8.45
Delve,XPJ1-6,UHKL-N,UHKL-N VII,Coolant,Medium,12.57
Delve,XPJ1-6,UHKL-N,UHKL-N VIII,Reactive Gas,Medium,22.94
Delve,XPJ1-6,UHKL-N,UHKL-N VIII,Noble Gas,Poor,18.54
Delve,XPJ1-6,UHKL-N,UHKL-N VIII,Base Metals,Rich,7.40
Delve,XPJ1-6,UHKL-N,UHKL-N VIII,Coolant,Rich,17.43
Delve,XPJ1-6,UHKL-N,UHKL-N VIII,Ionic Solutions,Medium,9.45
Delve,XPJ1-6,UHKL-N,UHKL-N IX,Base Metals,Poor,4.84
Delve,XPJ1-6,UHKL-N,UHKL-N IX,Toxic Metals,Poor,3.31
Delve,XPJ1-6,UHKL-N,UHKL-N IX,Supertensile Plastics,Poor,10.80
Delve,XPJ1-6,UHKL-N,UHKL-N IX,Construction Blocks,Medium,20.32
Delve,XPJ1-6,Z3V-1W,Z3V-1W I,Lustering Alloy,Poor,14.58
Delve,XPJ1-6,Z3V-1W,Z3V-1W I,Base Metals,Poor,4.47
Delve,XPJ1-6,Z3V-1W,Z3V-1W I,Supertensile Plastics,Poor,11.41
Delve,XPJ1-6,Z3V-1W,Z3V-1W I,Silicate Glass,Poor,7.63
Delve,XPJ1-6,Z3V-1W,Z3V-1W II,Condensed Alloy,Rich,30.56
Delve,XPJ1-6,Z3V-1W,Z3V-1W II,Base Metals,Rich,7.88
Delve,XPJ1-6,Z3V-1W,Z3V-1W II,Noble Metals,Medium,21.02
Delve,XPJ1-6,Z3V-1W,Z3V-1W II,Smartfab Units,Medium,16.05
Delve,XPJ1-6,Z3V-1W,Z3V-1W II,Liquid Ozone,Medium,29.48
Delve,XPJ1-6,Z3V-1W,Z3V-1W III,Sheen Compound,Rich,25.92
Delve,XPJ1-6,Z3V-1W,Z3V-1W III,Reactive Gas,Medium,22.92
Delve,XPJ1-6,Z3V-1W,Z3V-1W III,Reactive Metals,Rich,7.34
Delve,XPJ1-6,Z3V-1W,Z3V-1W III,Polyaramids,Medium,12.72
Delve,XPJ1-6,Z3V-1W,Z3V-1W III,Ionic Solutions,Poor,7.33
Delve,XPJ1-6,Z3V-1W,Z3V-1W IV,Precious Alloy,Poor,17.62
Delve,XPJ1-6,Z3V-1W,Z3V-1W IV,Base Metals,Medium,5.17
Delve,XPJ1-6,Z3V-1W,Z3V-1W IV,Industrial Fibers,Medium,6.12
Delve,XPJ1-6,Z3V-1W,Z3V-1W IV,Supertensile Plastics,Medium,14.91
Delve,XPJ1-6,Z3V-1W,Z3V-1W V,Lustering Alloy,Rich,26.92
Delve,XPJ1-6,Z3V-1W,Z3V-1W V,Fiber Composite,Perfect,33.14
Delve,XPJ1-6,Z3V-1W,Z3V-1W V,Reactive Gas,Medium,21.24
Delve,XPJ1-6,Z3V-1W,Z3V-1W V,Noble Gas,Medium,19.68
Delve,XPJ1-6,Z3V-1W,Z3V-1W V,Ionic Solutions,Rich,11.62
Delve,XPJ1-6,Z3V-1W,Z3V-1W VI,Lustering Alloy,Perfect,32.40
Delve,XPJ1-6,Z3V-1W,Z3V-1W VI,Fiber Composite,Medium,19.52
Delve,XPJ1-6,Z3V-1W,Z3V-1W VI,Reactive Gas,Medium,22.18
Delve,XPJ1-6,Z3V-1W,Z3V-1W VI,Coolant,Perfect,21.33
Delve,XPJ1-6,Z3V-1W,Z3V-1W VI,Ionic Solutions,Medium,9.45
Delve,XPJ1-6,Z3V-1W,Z3V-1W VII,Lustering Alloy,Poor,18.78
Delve,XPJ1-6,Z3V-1W,Z3V-1W VII,Dark Compound,Medium,21.70
Delve,XPJ1-6,Z3V-1W,Z3V-1W VII,Base Metals,Medium,5.79
Delve,XPJ1-6,Z3V-1W,Z3V-1W VII,Supertensile Plastics,Poor,11.05
Delve,XPJ1-6,Z3V-1W,Z3V-1W VIII,Precious Alloy,Poor,18.36
Delve,XPJ1-6,Z3V-1W,Z3V-1W VIII,Toxic Metals,Medium,5.54
Delve,XPJ1-6,Z3V-1W,Z3V-1W VIII,Supertensile Plastics,Medium,15.49
Delve,XPJ1-6,Z3V-1W,Z3V-1W VIII,Oxygen Isotopes,Medium,3.27
Delve,XPJ1-6,Z3V-1W,Z3V-1W IX,Sheen Compound,Poor,18.50
Delve,XPJ1-6,Z3V-1W,Z3V-1W IX,Fiber Composite,Poor,17.98
Delve,XPJ1-6,Z3V-1W,Z3V-1W IX,Glossy Compound,Medium,18.98
Delve,XPJ1-6,Z3V-1W,Z3V-1W IX,Reactive Gas,Poor,16.86
Delve,XPJ1-6,Z3V-1W,Z3V-1W IX,Polyaramids,Rich,20.19
Delve,XPJ1-6,A-ELE2,A-ELE2 I,Lustering Alloy,Poor,16.92
Delve,XPJ1-6,A-ELE2,A-ELE2 I,Base Metals,Poor,3.39
Delve,XPJ1-6,A-ELE2,A-ELE2 I,Supertensile Plastics,Medium,14.29
Delve,XPJ1-6,A-ELE2,A-ELE2 I,Oxygen Isotopes,Medium,3.07
Delve,XPJ1-6,A-ELE2,A-ELE2 II,Dark Compound,Medium,24.60
Delve,XPJ1-6,A-ELE2,A-ELE2 II,Toxic Metals,Poor,3.57
Delve,XPJ1-6,A-ELE2,A-ELE2 II,Industrial Fibers,Poor,4.36
Delve,XPJ1-6,A-ELE2,A-ELE2 II,Supertensile Plastics,Medium,14.20
Delve,XPJ1-6,A-ELE2,A-ELE2 III,Base Metals,Poor,3.79
Delve,XPJ1-6,A-ELE2,A-ELE2 III,Supertensile Plastics,Poor,8.27
Delve,XPJ1-6,A-ELE2,A-ELE2 III,Silicate Glass,Poor,7.25
Delve,XPJ1-6,A-ELE2,A-ELE2 III,Plasmoids,Poor,0.81
Delve,XPJ1-6,A-ELE2,A-ELE2 IV,Dark Compound,Medium,23.28
Delve,XPJ1-6,A-ELE2,A-ELE2 IV,Toxic Metals,Poor,4.81
Delve,XPJ1-6,A-ELE2,A-ELE2 IV,Supertensile Plastics,Poor,8.93
Delve,XPJ1-6,A-ELE2,A-ELE2 IV,Construction Blocks,Medium,19.30
Delve,XPJ1-6,A-ELE2,A-ELE2 V,Industrial Fibers,Medium,5.65
Delve,XPJ1-6,A-ELE2,A-ELE2 V,Supertensile Plastics,Medium,16.31
Delve,XPJ1-6,A-ELE2,A-ELE2 V,Oxygen Isotopes,Medium,3.38
Delve,XPJ1-6,A-ELE2,A-ELE2 V,Plasmoids,Medium,1.47
Delve,XPJ1-6,A-ELE2,A-ELE2 VI,Dark Compound,Medium,23.72
Delve,XPJ1-6,A-ELE2,A-ELE2 VI,Supertensile Plastics,Medium,12.85
Delve,XPJ1-6,A-ELE2,A-ELE2 VI,Oxygen Isotopes,Poor,2.56
Delve,XPJ1-6,A-ELE2,A-ELE2 VI,Plasmoids,Poor,0.83
Delve,XPJ1-6,A-ELE2,A-ELE2 VII,Lustering Alloy,Medium,24.66
Delve,XPJ1-6,A-ELE2,A-ELE2 VII,Sheen Compound,Poor,18.04
Delve,XPJ1-6,A-ELE2,A-ELE2 VII,Reactive Gas,Rich,26.82
Delve,XPJ1-6,A-ELE2,A-ELE2 VII,Reactive Metals,Rich,7.84
Delve,XPJ1-6,A-ELE2,A-ELE2 VII,Coolant,Poor,12.19
Delve,XPJ1-6,A-ELE2,A-ELE2 VIII,Lustering Alloy,Rich,28.72
Delve,XPJ1-6,A-ELE2,A-ELE2 VIII,Reactive Gas,Medium,19.90
Delve,XPJ1-6,A-ELE2,A-ELE2 VIII,Noble Gas,Medium,22.86
Delve,XPJ1-6,A-ELE2,A-ELE2 VIII,Polyaramids,Poor,12.48
Delve,XPJ1-6,A-ELE2,A-ELE2 VIII,Coolant,Poor,11.79
Delve,XPJ1-6,KFIE-Z,KFIE-Z I,Gleaming Alloy,Rich,27.32
Delve,XPJ1-6,KFIE-Z,KFIE-Z I,Noble Gas,Medium,18.90
Delve,XPJ1-6,KFIE-Z,KFIE-Z I,Plasmoids,Perfect,1.97
Delve,XPJ1-6,KFIE-Z,KFIE-Z II,Condensed Alloy,Rich,28.44
Delve,XPJ1-6,KFIE-Z,KFIE-Z II,Fiber Composite,Rich,28.44
Delve,XPJ1-6,KFIE-Z,KFIE-Z II,Base Metals,Medium,6.48
Delve,XPJ1-6,KFIE-Z,KFIE-Z II,Noble Metals,Medium,20.72
Delve,XPJ1-6,KFIE-Z,KFIE-Z II,Liquid Ozone,Perfect,42.83
Delve,XPJ1-6,KFIE-Z,KFIE-Z III,Lustering Alloy,Perfect,32.14
Delve,XPJ1-6,KFIE-Z,KFIE-Z III,Reactive Gas,Poor,18.42
Delve,XPJ1-6,KFIE-Z,KFIE-Z III,Base Metals,Perfect,8.46
Delve,XPJ1-6,KFIE-Z,KFIE-Z III,Reactive Metals,Medium,6.11
Delve,XPJ1-6,KFIE-Z,KFIE-Z III,Ionic Solutions,Medium,8.08
Delve,XPJ1-6,KFIE-Z,KFIE-Z IV,Base Metals,Medium,5.49
Delve,XPJ1-6,KFIE-Z,KFIE-Z IV,Condensates,Rich,18.32
Delve,XPJ1-6,KFIE-Z,KFIE-Z IV,Smartfab Units,Perfect,21.68
Delve,XPJ1-6,KFIE-Z,KFIE-Z IV,Heavy Water,Perfect,329.20
Delve,XPJ1-6,KFIE-Z,KFIE-Z IV,Liquid Ozone,Perfect,45.88
Delve,XPJ1-6,KFIE-Z,KFIE-Z V,Lustering Alloy,Medium,24.08
Delve,XPJ1-6,KFIE-Z,KFIE-Z V,Precious Alloy,Medium,24.06
Delve,XPJ1-6,KFIE-Z,KFIE-Z V,Supertensile Plastics,Medium,13.56
Delve,XPJ1-6,KFIE-Z,KFIE-Z V,Silicate Glass,Poor,6.38
Delve,XPJ1-6,KFIE-Z,KFIE-Z VI,Lustering Alloy,Medium,23.14
Delve,XPJ1-6,KFIE-Z,KFIE-Z VI,Glossy Compound,Medium,23.28
Delve,XPJ1-6,KFIE-Z,KFIE-Z VI,Reactive Gas,Poor,18.64
Delve,XPJ1-6,KFIE-Z,KFIE-Z VI,Base Metals,Medium,5.81
Delve,XPJ1-6,KFIE-Z,KFIE-Z VI,Coolant,Rich,19.43
Delve,XPJ1-6,KFIE-Z,KFIE-Z VII,Supertensile Plastics,Poor,11.04
Delve,XPJ1-6,KFIE-Z,KFIE-Z VII,Silicate Glass,Poor,6.60
Delve,XPJ1-6,KFIE-Z,KFIE-Z VII,Oxygen Isotopes,Poor,2.54
Delve,XPJ1-6,KFIE-Z,KFIE-Z VII,Plasmoids,Poor,0.94
Delve,XPJ1-6,KFIE-Z,KFIE-Z VIII,Motley Compound,Poor,17.64
Delve,XPJ1-6,KFIE-Z,KFIE-Z VIII,Supertensile Plastics,Rich,18.20
Delve,XPJ1-6,KFIE-Z,KFIE-Z VIII,Coolant,Rich,17.63
Delve,XPJ1-6,KFIE-Z,KFIE-Z VIII,Condensates,Rich,18.71
Delve,XPJ1-6,1DH-SX,1DH-SX I,Gleaming Alloy,Rich,27.78
Delve,XPJ1-6,1DH-SX,1DH-SX I,Noble Metals,Poor,16.20
Delve,XPJ1-6,1DH-SX,1DH-SX I,Oxygen Isotopes,Rich,4.04
Delve,XPJ1-6,1DH-SX,1DH-SX II,Lustering Alloy,Medium,21.12
Delve,XPJ1-6,1DH-SX,1DH-SX II,Base Metals,Medium,6.30
Delve,XPJ1-6,1DH-SX,1DH-SX II,Supertensile Plastics,Poor,8.75
Delve,XPJ1-6,1DH-SX,1DH-SX II,Construction Blocks,Poor,14.48
Delve,XPJ1-6,1DH-SX,1DH-SX III,Lustering Alloy,Medium,22.80
Delve,XPJ1-6,1DH-SX,1DH-SX III,Supertensile Plastics,Medium,14.81
Delve,XPJ1-6,1DH-SX,1DH-SX III,Silicate Glass,Poor,8.49
Delve,XPJ1-6,1DH-SX,1DH-SX III,Plasmoids,Medium,1.47
Delve,XPJ1-6,1DH-SX,1DH-SX IV,Condensed Alloy,Perfect,35.76
Delve,XPJ1-6,1DH-SX,1DH-SX IV,Base Metals,Perfect,9.57
