Region,Constellation,System,Name,Item,Rate,Output
Derelik,San Matar,Tanoo,Tanoo I,Base Metals,Medium,3.55
Derelik,San Matar,Tanoo,Tanoo I,Condensates,Medium,9.90
Derelik,San Matar,Tanoo,Tanoo I,Heavy Water,Rich,154.20
Derelik,San Matar,Tanoo,Tanoo II,Fiber Composite,Rich,16.16
Derelik,San Matar,Tanoo,Tanoo II,Smartfab Units,Perfect,15.22
Derelik,San Matar,Tanoo,Tanoo II,Heavy Water,Medium,115.68
Derelik,San Matar,Tanoo,Tanoo III,Lustering Alloy,Poor,10.97
Derelik,San Matar,Tanoo,Tanoo III,Base Metals,Medium,3.25
Derelik,San Matar,Tanoo,Tanoo IV,Toxic Metals,Rich,4.87
Derelik,San Matar,Tanoo,Tanoo IV,Coolant,Perfect,13.56
Derelik,San Matar,Tanoo,Tanoo IV,Heavy Water,Rich,158.28
Derelik,San Matar,Tanoo,Tanoo V,Lustering Alloy,Poor,10.04
Derelik,San Matar,Tanoo,Tanoo V,Noble Gas,Medium,14.46
Derelik,San Matar,Tanoo,Tanoo V,Base Metals,Rich,4.52
Derelik,San Matar,Tanoo,Tanoo VI,Opulent Compound,Rich,17.05
Derelik,San Matar,Tanoo,Tanoo VI,Silicate Glass,Poor,5.38
Derelik,San Matar,Tanoo,Tanoo VI,Heavy Water,Medium,131.16
Derelik,San Matar,Lashesih,Lashesih I,Lustering Alloy,Medium,13.31
Derelik,San Matar,Lashesih,Lashesih I,Base Metals,Medium,4.02
Derelik,San Matar,Lashesih,Lashesih II,Lustering Alloy,Medium,15.02
Derelik,San Matar,Lashesih,Lashesih II,Base Metals,Poor,3.07
Derelik,San Matar,Lashesih,Lashesih III,Motley Compound,Rich,20.58
Derelik,San Matar,Lashesih,Lashesih III,Heavy Metals,Rich,16.61
Derelik,San Matar,Lashesih,Lashesih IV,Fiber Composite,Medium,13.40
Derelik,San Matar,Lashesih,Lashesih IV,Smartfab Units,Perfect,15.57
Derelik,San Matar,Lashesih,Lashesih IV,Heavy Water,Medium,128.44
Derelik,San Matar,Lashesih,Lashesih V,Reactive Gas,Medium,12.70
Derelik,San Matar,Lashesih,Lashesih V,Base Metals,Perfect,5.57
Derelik,San Matar,Lashesih,Lashesih V,Heavy Water,Medium,128.70
Derelik,San Matar,Lashesih,Lashesih VI,Opulent Compound,Rich,18.29
Derelik,San Matar,Lashesih,Lashesih VI,Noble Metals,Medium,15.69
Derelik,San Matar,Lashesih,Lashesih VI,Heavy Water,Perfect,227.50
Derelik,San Matar,Lashesih,Lashesih VII,Condensed Alloy,Perfect,22.67
Derelik,San Matar,Lashesih,Lashesih VII,Noble Metals,Perfect,22.32
Derelik,San Matar,Lashesih,Lashesih VII,Heavy Water,Rich,164.84
Derelik,San Matar,Akpivem,Akpivem I,Lustering Alloy,Medium,14.44
Derelik,San Matar,Akpivem,Akpivem I,Base Metals,Poor,2.67
Derelik,San Matar,Akpivem,Akpivem II,Toxic Metals,Rich,4.53
Derelik,San Matar,Akpivem,Akpivem II,Silicate Glass,Perfect,9.86
Derelik,San Matar,Akpivem,Akpivem II,Heavy Water,Medium,133.20
Derelik,San Matar,Akpivem,Akpivem III,Lustering Alloy,Medium,13.62
Derelik,San Matar,Akpivem,Akpivem III,Sheen Compound,Rich,16.48
Derelik,San Matar,Akpivem,Akpivem III,Base Metals,Medium,3.52
Derelik,San Matar,Akpivem,Akpivem IV,Lustering Alloy,Perfect,19.84
Derelik,San Matar,Akpivem,Akpivem IV,Sheen Compound,Medium,13.69
Derelik,San Matar,Akpivem,Akpivem IV,Base Metals,Rich,4.92
Derelik,San Matar,Akpivem,Akpivem V,Lustering Alloy,Poor,10.56
Derelik,San Matar,Akpivem,Akpivem V,Sheen Compound,Medium,14.63
Derelik,San Matar,Akpivem,Akpivem V,Base Metals,Medium,3.08
Derelik,San Matar,Akpivem,Akpivem VI,Lustering Alloy,Medium,12.46
Derelik,San Matar,Akpivem,Akpivem VI,Fiber Composite,Poor,10.68
Derelik,San Matar,Akpivem,Akpivem VI,Base Metals,Medium,3.27
Derelik,San Matar,Akpivem,Akpivem VII,Lustering Alloy,Medium,14.04
Derelik,San Matar,Akpivem,Akpivem VII,Base Metals,Poor,2.48
Derelik,San Matar,Jark,Jark I,Supertensile Plastics,Rich,11.33
Derelik,San Matar,Jark,Jark I,Suspended Plasma,Medium,41.30
Derelik,San Matar,Jark,Jark II,Industrial Fibers,Rich,4.47
Derelik,San Matar,Jark,Jark II,Condensates,Perfect,14.17
Derelik,San Matar,Jark,Jark II,Heavy Water,Rich,189.48
Derelik,San Matar,Jark,Jark III,Lucent Compound,Rich,18.64
Derelik,San Matar,Jark,Jark III,Suspended Plasma,Medium,48.51
Derelik,San Matar,Jark,Jark IV,Condensed Alloy,Poor,11.03
Derelik,San Matar,Jark,Jark IV,Heavy Water,Medium,122.28
Derelik,San Matar,Jark,Jark IV,Liquid Ozone,Rich,20.48
Derelik,San Matar,Jark,Jark V,Lustering Alloy,Rich,18.73
Derelik,San Matar,Jark,Jark V,Fiber Composite,Rich,15.62
Derelik,San Matar,Jark,Jark V,Base Metals,Medium,3.24
Derelik,San Matar,Jark,Jark VI,Lustering Alloy,Rich,17.28
Derelik,San Matar,Jark,Jark VI,Sheen Compound,Medium,11.90
Derelik,San Matar,Jark,Jark VI,Base Metals,Poor,2.63
Derelik,San Matar,Jark,Jark VII,Lustering Alloy,Medium,11.66
Derelik,San Matar,Jark,Jark VII,Base Metals,Medium,3.87
Derelik,San Matar,Jark,Jark VII,Polyaramids,Rich,11.07
Derelik,San Matar,Sasta,Sasta I,Lustering Alloy,Poor,11.15
Derelik,San Matar,Sasta,Sasta I,Base Metals,Poor,2.75
Derelik,San Matar,Sasta,Sasta II,Motley Compound,Perfect,20.18
Derelik,San Matar,Sasta,Sasta II,Construction Blocks,Rich,15.36
Derelik,San Matar,Sasta,Sasta III,Lustering Alloy,Medium,14.63
Derelik,San Matar,Sasta,Sasta III,Base Metals,Rich,4.04
Derelik,San Matar,Sasta,Sasta III,Reactive Metals,Medium,3.22
Derelik,San Matar,Sasta,Sasta IV,Lustering Alloy,Rich,16.12
