Region,Constellation,System,Name,Item,Rate,Output
Detorid,GJH-1C,WU-FHQ,WU-FHQ I,Gleaming Alloy,Rich,29.70
Detorid,GJH-1C,WU-FHQ,WU-FHQ I,Heavy Metals,Medium,21.98
Detorid,GJH-1C,WU-FHQ,WU-FHQ I,Plasmoids,Rich,2.01
Detorid,GJH-1C,WU-FHQ,WU-FHQ II,Gleaming Alloy,Medium,21.60
Detorid,GJH-1C,WU-FHQ,WU-FHQ II,Motley Compound,Rich,28.16
Detorid,GJH-1C,WU-FHQ,WU-FHQ II,Construction Blocks,Rich,28.18
Detorid,GJH-1C,WU-FHQ,WU-FHQ III,Lustering Alloy,Poor,19.29
Detorid,GJH-1C,WU-FHQ,WU-FHQ III,Precious Alloy,Medium,20.83
Detorid,GJH-1C,WU-FHQ,WU-FHQ III,Toxic Metals,Poor,4.90
Detorid,GJH-1C,WU-FHQ,WU-FHQ III,Supertensile Plastics,Poor,12.88
Detorid,GJH-1C,WU-FHQ,WU-FHQ IV,Condensed Alloy,Perfect,41.71
Detorid,GJH-1C,WU-FHQ,WU-FHQ IV,Base Metals,Medium,6.51
Detorid,GJH-1C,WU-FHQ,WU-FHQ IV,Smartfab Units,Poor,13.45
Detorid,GJH-1C,WU-FHQ,WU-FHQ IV,Heavy Water,Medium,222.20
Detorid,GJH-1C,WU-FHQ,WU-FHQ IV,Liquid Ozone,Medium,29.29
Detorid,GJH-1C,WU-FHQ,WU-FHQ V,Condensed Alloy,Rich,34.76
Detorid,GJH-1C,WU-FHQ,WU-FHQ V,Fiber Composite,Medium,26.75
Detorid,GJH-1C,WU-FHQ,WU-FHQ V,Opulent Compound,Rich,28.86
Detorid,GJH-1C,WU-FHQ,WU-FHQ V,Heavy Water,Medium,220.22
Detorid,GJH-1C,WU-FHQ,WU-FHQ V,Liquid Ozone,Medium,30.86
Detorid,GJH-1C,WU-FHQ,WU-FHQ VI,Sheen Compound,Medium,21.58
Detorid,GJH-1C,WU-FHQ,WU-FHQ VI,Fiber Composite,Medium,21.45
Detorid,GJH-1C,WU-FHQ,WU-FHQ VI,Reactive Gas,Rich,29.41
Detorid,GJH-1C,WU-FHQ,WU-FHQ VI,Polyaramids,Perfect,23.33
Detorid,GJH-1C,WU-FHQ,WU-FHQ VI,Coolant,Rich,23.28
Detorid,GJH-1C,WU-FHQ,WU-FHQ VII,Gleaming Alloy,Medium,25.85
Detorid,GJH-1C,WU-FHQ,WU-FHQ VII,Crystal Compound,Medium,20.79
Detorid,GJH-1C,WU-FHQ,WU-FHQ VII,Reactive Metals,Poor,4.96
Detorid,GJH-1C,WU-FHQ,WU-FHQ VII,Suspended Plasma,Poor,70.41
Detorid,GJH-1C,WU-FHQ,WU-FHQ VIII,Fiber Composite,Medium,22.04
Detorid,GJH-1C,WU-FHQ,WU-FHQ VIII,Reactive Gas,Rich,31.94
Detorid,GJH-1C,WU-FHQ,WU-FHQ VIII,Reactive Metals,Rich,7.42
