Region,Constellation,System,Name,Item,Rate,Output
Devoid,Semou,Tzvi,Tzvi I,Base Metals,Poor,3.53
Devoid,Semou,Tzvi,Tzvi I,Industrial Fibers,Medium,5.21
Devoid,Semou,Tzvi,Tzvi I,Supertensile Plastics,Medium,12.55
Devoid,Semou,Tzvi,Tzvi II,Lustering Alloy,Poor,13.50
Devoid,Semou,Tzvi,Tzvi II,Industrial Fibers,Poor,3.65
Devoid,Semou,Tzvi,Tzvi II,Supertensile Plastics,Medium,12.97
Devoid,Semou,Tzvi,Tzvi III,Noble Gas,Rich,27.67
Devoid,Semou,Tzvi,Tzvi III,Smartfab Units,Rich,17.36
Devoid,Semou,Tzvi,Tzvi IV,Fiber Composite,Rich,24.43
Devoid,Semou,Tzvi,Tzvi IV,Opulent Compound,Perfect,33.32
Devoid,Semou,Tzvi,Tzvi IV,Base Metals,Perfect,8.71
Devoid,Semou,Tzvi,Tzvi IV,Liquid Ozone,Rich,30.22
Devoid,Semou,Tzvi,Tzvi V,Precious Alloy,Poor,14.76
Devoid,Semou,Tzvi,Tzvi V,Toxic Metals,Poor,3.56
Devoid,Semou,Tzvi,Tzvi V,Industrial Fibers,Poor,4.19
Devoid,Semou,Tzvi,Tzvi VI,Lustering Alloy,Rich,25.88
Devoid,Semou,Tzvi,Tzvi VI,Noble Gas,Rich,28.03
Devoid,Semou,Tzvi,Tzvi VI,Coolant,Rich,16.46
Devoid,Semou,Tzvi,Tzvi VI,Ionic Solutions,Medium,6.85
Devoid,Semou,Tzvi,Tzvi VII,Lustering Alloy,Rich,24.82
Devoid,Semou,Tzvi,Tzvi VII,Reactive Gas,Rich,24.80
Devoid,Semou,Tzvi,Tzvi VII,Noble Gas,Rich,26.68
Devoid,Semou,Tzvi,Tzvi VII,Ionic Solutions,Rich,9.53
Devoid,Semou,Raa,Raa I,Toxic Metals,Poor,3.45
Devoid,Semou,Raa,Raa I,Industrial Fibers,Poor,3.51
Devoid,Semou,Raa,Raa I,Silicate Glass,Medium,9.79
Devoid,Semou,Raa,Raa II,Dark Compound,Medium,19.19
Devoid,Semou,Raa,Raa II,Industrial Fibers,Poor,3.50
Devoid,Semou,Raa,Raa II,Oxygen Isotopes,Medium,2.85
Devoid,Semou,Raa,Raa III,Sheen Compound,Rich,25.04
Devoid,Semou,Raa,Raa III,Lucent Compound,Perfect,27.69
Devoid,Semou,Raa,Raa III,Nanites,Poor,4.09
Devoid,Semou,Raa,Raa III,Plasmoids,Rich,1.36
Devoid,Semou,Raa,Raa IV,Fiber Composite,Perfect,27.83
