Region,Constellation,System,Name,Item,Rate,Output
Domain,Throne Worlds,Amarr,Amarr I,Dark Compound,Medium,10.85
Domain,Throne Worlds,Amarr,Amarr I,Suspended Plasma,Medium,43.78
Domain,Throne Worlds,Amarr,Amarr I,Plasmoids,Perfect,1.00
Domain,Throne Worlds,Amarr,Amarr II,Lustering Alloy,Poor,9.32
Domain,Throne Worlds,Amarr,Amarr II,Base Metals,Poor,2.42
Domain,Throne Worlds,Amarr,Amarr III,Smartfab Units,Rich,8.79
Domain,Throne Worlds,Amarr,Amarr III,Heavy Water,Perfect,172.80
Domain,Throne Worlds,Amarr,Amarr III,Liquid Ozone,Medium,15.50
Domain,Throne Worlds,Amarr,Amarr IV,Noble Metals,Rich,13.23
Domain,Throne Worlds,Amarr,Amarr IV,Coolant,Medium,7.55
Domain,Throne Worlds,Amarr,Amarr IV,Heavy Water,Rich,143.70
Domain,Throne Worlds,Amarr,Amarr V,Lustering Alloy,Medium,10.11
Domain,Throne Worlds,Amarr,Amarr V,Base Metals,Poor,2.09
Domain,Throne Worlds,Amarr,Amarr VI,Lustering Alloy,Rich,14.00
Domain,Throne Worlds,Amarr,Amarr VI,Base Metals,Rich,4.14
Domain,Throne Worlds,Amarr,Amarr VI,Polyaramids,Medium,8.21
Domain,Throne Worlds,Amarr,Amarr VII,Reactive Gas,Medium,9.90
Domain,Throne Worlds,Amarr,Amarr VII,Suspended Plasma,Rich,56.41
Domain,Throne Worlds,Amarr,Amarr VIII,Base Metals,Rich,3.42
Domain,Throne Worlds,Amarr,Amarr VIII,Condensates,Medium,7.59
Domain,Throne Worlds,Amarr,Amarr VIII,Heavy Water,Rich,142.60
Domain,Throne Worlds,Amarr,Amarr IX,Lustering Alloy,Medium,11.69
Domain,Throne Worlds,Amarr,Amarr IX,Glossy Compound,Medium,11.25
Domain,Throne Worlds,Amarr,Amarr IX,Base Metals,Poor,2.21
Domain,Throne Worlds,Boranai,Boranai I,Lustering Alloy,Poor,8.95
Domain,Throne Worlds,Boranai,Boranai I,Base Metals,Medium,3.24
Domain,Throne Worlds,Boranai,Boranai II,Lustering Alloy,Poor,11.23
Domain,Throne Worlds,Boranai,Boranai II,Base Metals,Medium,3.60
Domain,Throne Worlds,Boranai,Boranai III,Crystal Compound,Medium,13.69
Domain,Throne Worlds,Boranai,Boranai III,Suspended Plasma,Rich,66.23
Domain,Throne Worlds,Boranai,Boranai IV,Crystal Compound,Perfect,21.02
Domain,Throne Worlds,Boranai,Boranai IV,Polyaramids,Rich,12.53
Domain,Throne Worlds,Boranai,Boranai IV,Heavy Water,Medium,134.88
Domain,Throne Worlds,Boranai,Boranai V,Lustering Alloy,Poor,9.79
Domain,Throne Worlds,Boranai,Boranai V,Base Metals,Medium,3.75
Domain,Throne Worlds,Boranai,Boranai VI,Lucent Compound,Medium,11.92
Domain,Throne Worlds,Boranai,Boranai VI,Suspended Plasma,Medium,45.01
Domain,Throne Worlds,Boranai,Boranai VII,Lustering Alloy,Medium,13.04
Domain,Throne Worlds,Boranai,Boranai VII,Base Metals,Medium,3.64
Domain,Throne Worlds,Boranai,Boranai VII,Coolant,Medium,8.36
Domain,Throne Worlds,Boranai,Boranai VIII,Nanites,Medium,3.71
Domain,Throne Worlds,Boranai,Boranai VIII,Suspended Plasma,Medium,46.01
Domain,Throne Worlds,Hedion,Hedion I,Lustering Alloy,Poor,7.04
Domain,Throne Worlds,Hedion,Hedion I,Base Metals,Poor,1.95
Domain,Throne Worlds,Hedion,Hedion II,Lustering Alloy,Medium,13.30
Domain,Throne Worlds,Hedion,Hedion II,Base Metals,Medium,2.92
Domain,Throne Worlds,Hedion,Hedion III,Gleaming Alloy,Poor,10.11
Domain,Throne Worlds,Hedion,Hedion III,Motley Compound,Medium,11.07
Domain,Throne Worlds,Hedion,Hedion IV,Lustering Alloy,Medium,10.56
Domain,Throne Worlds,Hedion,Hedion IV,Base Metals,Poor,2.66
Domain,Throne Worlds,Hedion,Hedion IV,Ionic Solutions,Poor,4.12
Domain,Throne Worlds,Hedion,Hedion V,Opulent Compound,Perfect,19.67
Domain,Throne Worlds,Hedion,Hedion V,Smartfab Units,Perfect,12.69
Domain,Throne Worlds,Hedion,Hedion V,Heavy Water,Perfect,192.06
Domain,Throne Worlds,Hedion,Hedion VI,Lustering Alloy,Rich,17.27
Domain,Throne Worlds,Hedion,Hedion VI,Base Metals,Rich,4.40
Domain,Throne Worlds,Hedion,Hedion VI,Polyaramids,Poor,6.69
Domain,Throne Worlds,Hedion,Hedion VII,Toxic Metals,Rich,4.26
Domain,Throne Worlds,Hedion,Hedion VII,Heavy Water,Medium,129.03
Domain,Throne Worlds,Hedion,Hedion VII,Ionic Solutions,Medium,5.25
Domain,Throne Worlds,Mabnen,Mabnen I,Lustering Alloy,Poor,7.57
Domain,Throne Worlds,Mabnen,Mabnen I,Base Metals,Medium,3.04
Domain,Throne Worlds,Mabnen,Mabnen II,Lustering Alloy,Poor,8.33
Domain,Throne Worlds,Mabnen,Mabnen II,Base Metals,Poor,1.85
Domain,Throne Worlds,Mabnen,Mabnen III,Lustering Alloy,Medium,11.75
Domain,Throne Worlds,Mabnen,Mabnen III,Base Metals,Medium,3.05
Domain,Throne Worlds,Mabnen,Mabnen IV,Condensed Alloy,Medium,13.64
Domain,Throne Worlds,Mabnen,Mabnen IV,Heavy Water,Rich,161.37
Domain,Throne Worlds,Mabnen,Mabnen IV,Liquid Ozone,Perfect,23.03
Domain,Throne Worlds,Mabnen,Mabnen V,Lustering Alloy,Rich,16.04
Domain,Throne Worlds,Mabnen,Mabnen V,Glossy Compound,Rich,16.38
Domain,Throne Worlds,Mabnen,Mabnen V,Base Metals,Medium,2.87
Domain,Throne Worlds,Mabnen,Mabnen VI,Lustering Alloy,Medium,10.96
Domain,Throne Worlds,Mabnen,Mabnen VI,Base Metals,Rich,3.79
Domain,Throne Worlds,Mabnen,Mabnen VI,Polyaramids,Medium,8.65
Domain,Throne Worlds,Mabnen,Mabnen VII,Lustering Alloy,Rich,14.26
Domain,Throne Worlds,Mabnen,Mabnen VII,Sheen Compound,Medium,11.09
Domain,Throne Worlds,Mabnen,Mabnen VII,Base Metals,Rich,4.51
Domain,Throne Worlds,Mabnen,Mabnen VIII,Lustering Alloy,Rich,15.98
Domain,Throne Worlds,Mabnen,Mabnen VIII,Base Metals,Rich,4.51
Domain,Throne Worlds,Mabnen,Mabnen VIII,Ionic Solutions,Rich,6.42
Domain,Throne Worlds,Mabnen,Mabnen IX,Lustering Alloy,Poor,9.02
Domain,Throne Worlds,Mabnen,Mabnen IX,Noble Gas,Medium,13.18
Domain,Throne Worlds,Mabnen,Mabnen IX,Base Metals,Rich,4.57
Domain,Throne Worlds,Mabnen,Mabnen X,Lustering Alloy,Poor,9.48
Domain,Throne Worlds,Mabnen,Mabnen X,Base Metals,Medium,2.76
Domain,Throne Worlds,Toshabia,Toshabia I,Toxic Metals,Poor,2.91
Domain,Throne Worlds,Toshabia,Toshabia I,Suspended Plasma,Rich,59.10
Domain,Throne Worlds,Toshabia,Toshabia II,Lustering Alloy,Poor,8.69
Domain,Throne Worlds,Toshabia,Toshabia II,Base Metals,Poor,2.85
Domain,Throne Worlds,Toshabia,Toshabia III,Lustering Alloy,Medium,14.40
Domain,Throne Worlds,Toshabia,Toshabia III,Base Metals,Poor,2.43
Domain,Throne Worlds,Toshabia,Toshabia IV,Motley Compound,Medium,15.08
Domain,Throne Worlds,Toshabia,Toshabia IV,Glossy Compound,Medium,12.41
Domain,Throne Worlds,Toshabia,Toshabia V,Opulent Compound,Rich,19.03
Domain,Throne Worlds,Toshabia,Toshabia V,Reactive Gas,Perfect,20.30
Domain,Throne Worlds,Toshabia,Toshabia V,Heavy Water,Perfect,201.48
Domain,Throne Worlds,Toshabia,Toshabia VI,Lustering Alloy,Medium,11.52
Domain,Throne Worlds,Toshabia,Toshabia VI,Base Metals,Poor,2.78
Domain,Throne Worlds,Toshabia,Toshabia VI,Reactive Metals,Medium,3.53
Domain,Throne Worlds,Toshabia,Toshabia VII,Lustering Alloy,Rich,16.16
Domain,Throne Worlds,Toshabia,Toshabia VII,Base Metals,Rich,4.68
Domain,Throne Worlds,Toshabia,Toshabia VIII,Opulent Compound,Poor,11.00
Domain,Throne Worlds,Toshabia,Toshabia VIII,Heavy Water,Rich,152.04
Domain,Throne Worlds,Toshabia,Toshabia VIII,Ionic Solutions,Medium,4.59
Domain,Throne Worlds,Toshabia,Toshabia IX,Noble Metals,Rich,17.84
Domain,Throne Worlds,Toshabia,Toshabia IX,Silicate Glass,Poor,5.39
Domain,Throne Worlds,Toshabia,Toshabia IX,Heavy Water,Medium,115.56
Domain,Throne Worlds,Toshabia,Toshabia X,Lustering Alloy,Poor,7.82
Domain,Throne Worlds,Toshabia,Toshabia X,Base Metals,Poor,2.14
Domain,Throne Worlds,Irnin,Irnin I,Lustering Alloy,Medium,15.37
Domain,Throne Worlds,Irnin,Irnin I,Base Metals,Medium,3.93
Domain,Throne Worlds,Irnin,Irnin II,Lustering Alloy,Medium,13.70
Domain,Throne Worlds,Irnin,Irnin II,Base Metals,Medium,4.03
Domain,Throne Worlds,Irnin,Irnin III,Motley Compound,Rich,19.79
Domain,Throne Worlds,Irnin,Irnin III,Noble Gas,Medium,14.17
Domain,Throne Worlds,Irnin,Irnin IV,Reactive Metals,Medium,3.64
Domain,Throne Worlds,Irnin,Irnin IV,Suspended Plasma,Rich,71.56
Domain,Throne Worlds,Irnin,Irnin V,Condensed Alloy,Perfect,24.19
Domain,Throne Worlds,Irnin,Irnin V,Fiber Composite,Medium,13.38
Domain,Throne Worlds,Irnin,Irnin V,Heavy Water,Perfect,224.25
Domain,Throne Worlds,Irnin,Irnin VI,Lustering Alloy,Rich,16.98
Domain,Throne Worlds,Irnin,Irnin VI,Sheen Compound,Rich,19.88
Domain,Throne Worlds,Irnin,Irnin VI,Base Metals,Medium,3.98
Domain,Throne Worlds,Irnin,Irnin VII,Lustering Alloy,Medium,13.44
Domain,Throne Worlds,Irnin,Irnin VII,Base Metals,Poor,3.16
Domain,Throne Worlds,Irnin,Irnin VII,Polyaramids,Perfect,14.14
Domain,Throne Worlds,Irnin,Irnin VIII,Lustering Alloy,Rich,18.49
Domain,Throne Worlds,Irnin,Irnin VIII,Base Metals,Poor,2.91
Domain,Throne Worlds,Irnin,Irnin VIII,Coolant,Medium,10.08
Domain,Throne Worlds,Irnin,Irnin IX,Lustering Alloy,Rich,20.25
Domain,Throne Worlds,Irnin,Irnin IX,Sheen Compound,Rich,16.56
Domain,Throne Worlds,Irnin,Irnin IX,Base Metals,Medium,4.32
Domain,Throne Worlds,Irnin,Irnin X,Noble Metals,Medium,15.35
Domain,Throne Worlds,Irnin,Irnin X,Toxic Metals,Perfect,5.54
Domain,Throne Worlds,Irnin,Irnin X,Heavy Water,Rich,183.43
Domain,Throne Worlds,Kehour,Kehour I,Lustering Alloy,Medium,11.53
Domain,Throne Worlds,Kehour,Kehour I,Base Metals,Poor,2.06
Domain,Throne Worlds,Kehour,Kehour II,Motley Compound,Rich,14.30
Domain,Throne Worlds,Kehour,Kehour II,Heavy Metals,Medium,12.18
Domain,Throne Worlds,Kehour,Kehour III,Toxic Metals,Rich,3.84
Domain,Throne Worlds,Kehour,Kehour III,Heavy Water,Poor,99.11
Domain,Throne Worlds,Kehour,Kehour III,Liquid Ozone,Rich,19.47
Domain,Throne Worlds,Kehour,Kehour IV,Lustering Alloy,Poor,9.05
Domain,Throne Worlds,Kehour,Kehour IV,Base Metals,Poor,2.17
Domain,Throne Worlds,Kehour,Kehour V,Motley Compound,Perfect,17.89
Domain,Throne Worlds,Kehour,Kehour V,Construction Blocks,Poor,9.39
Domain,Throne Worlds,Kehour,Kehour VI,Lustering Alloy,Rich,16.34
Domain,Throne Worlds,Kehour,Kehour VI,Glossy Compound,Perfect,17.86
Domain,Throne Worlds,Kehour,Kehour VI,Base Metals,Rich,4.41
Domain,Throne Worlds,Kehour,Kehour VII,Lustering Alloy,Medium,12.76
Domain,Throne Worlds,Kehour,Kehour VII,Base Metals,Medium,2.86
Domain,Throne Worlds,Kehour,Kehour VIII,Lustering Alloy,Poor,8.24
Domain,Throne Worlds,Kehour,Kehour VIII,Base Metals,Medium,3.02
Domain,Throne Worlds,Martha,Martha I,Motley Compound,Rich,18.13
Domain,Throne Worlds,Martha,Martha I,Glossy Compound,Medium,16.34
Domain,Throne Worlds,Martha,Martha II,Reactive Metals,Medium,3.78
Domain,Throne Worlds,Martha,Martha II,Suspended Plasma,Medium,56.45
Domain,Throne Worlds,Martha,Martha III,Lustering Alloy,Medium,14.18
Domain,Throne Worlds,Martha,Martha III,Base Metals,Medium,4.34
Domain,Throne Worlds,Martha,Martha IV,Lustering Alloy,Poor,13.13
Domain,Throne Worlds,Martha,Martha IV,Base Metals,Medium,3.90
Domain,Throne Worlds,Martha,Martha IV,Coolant,Rich,12.73
Domain,Throne Worlds,Martha,Martha V,Lustering Alloy,Medium,17.43
Domain,Throne Worlds,Martha,Martha V,Base Metals,Poor,3.22
Domain,Throne Worlds,Martha,Martha V,Reactive Metals,Rich,5.18
Domain,Throne Worlds,Martha,Martha VI,Lustering Alloy,Medium,17.22
Domain,Throne Worlds,Martha,Martha VI,Noble Gas,Rich,22.20
Domain,Throne Worlds,Martha,Martha VI,Base Metals,Rich,5.18
Domain,Throne Worlds,Martha,Martha VII,Lustering Alloy,Rich,20.85
Domain,Throne Worlds,Martha,Martha VII,Base Metals,Medium,3.78
Domain,Throne Worlds,Martha,Martha VII,Polyaramids,Poor,8.25
Domain,Throne Worlds,Martha,Martha VIII,Lustering Alloy,Poor,12.42
Domain,Throne Worlds,Martha,Martha VIII,Base Metals,Medium,4.40
Domain,Throne Worlds,Simbeloud,Simbeloud I,Condensates,Medium,9.23
Domain,Throne Worlds,Simbeloud,Simbeloud I,Nanites,Rich,4.98
Domain,Throne Worlds,Simbeloud,Simbeloud I,Suspended Plasma,Perfect,71.02
Domain,Throne Worlds,Simbeloud,Simbeloud II,Lustering Alloy,Medium,12.11
Domain,Throne Worlds,Simbeloud,Simbeloud II,Base Metals,Poor,2.91
Domain,Throne Worlds,Simbeloud,Simbeloud III,Motley Compound,Medium,13.26
Domain,Throne Worlds,Simbeloud,Simbeloud III,Polyaramids,Medium,8.10
Domain,Throne Worlds,Simbeloud,Simbeloud IV,Lustering Alloy,Poor,9.80
Domain,Throne Worlds,Simbeloud,Simbeloud IV,Base Metals,Medium,3.73
Domain,Throne Worlds,Simbeloud,Simbeloud V,Lustering Alloy,Medium,13.04
Domain,Throne Worlds,Simbeloud,Simbeloud V,Base Metals,Poor,2.09
Domain,Throne Worlds,Simbeloud,Simbeloud VI,Toxic Metals,Medium,3.31
Domain,Throne Worlds,Simbeloud,Simbeloud VI,Silicate Glass,Medium,5.72
Domain,Throne Worlds,Simbeloud,Simbeloud VI,Heavy Water,Medium,138.36
Domain,Throne Worlds,Simbeloud,Simbeloud VII,Reactive Gas,Rich,17.12
Domain,Throne Worlds,Simbeloud,Simbeloud VII,Suspended Plasma,Poor,37.89
Domain,Throne Worlds,Simbeloud,Simbeloud VIII,Lustering Alloy,Rich,15.34
Domain,Throne Worlds,Simbeloud,Simbeloud VIII,Base Metals,Rich,4.20
Domain,Throne Worlds,Simbeloud,Simbeloud VIII,Coolant,Medium,9.98
Domain,Throne Worlds,Simbeloud,Simbeloud IX,Lustering Alloy,Medium,13.30
Domain,Throne Worlds,Simbeloud,Simbeloud IX,Base Metals,Poor,2.53
Domain,Throne Worlds,Ebidan,Ebidan I,Lustering Alloy,Medium,13.07
Domain,Throne Worlds,Ebidan,Ebidan I,Base Metals,Medium,3.68
Domain,Throne Worlds,Ebidan,Ebidan II,Lustering Alloy,Medium,14.75
Domain,Throne Worlds,Ebidan,Ebidan II,Base Metals,Poor,2.81
Domain,Throne Worlds,Ebidan,Ebidan III,Lustering Alloy,Poor,11.03
Domain,Throne Worlds,Ebidan,Ebidan III,Base Metals,Medium,3.44
Domain,Throne Worlds,Ebidan,Ebidan IV,Motley Compound,Rich,17.22
Domain,Throne Worlds,Ebidan,Ebidan IV,Oxygen Isotopes,Medium,1.97
Domain,Throne Worlds,Ebidan,Ebidan V,Reactive Gas,Perfect,21.76
Domain,Throne Worlds,Ebidan,Ebidan V,Smartfab Units,Perfect,13.86
Domain,Throne Worlds,Ebidan,Ebidan V,Heavy Water,Medium,131.28
Domain,Throne Worlds,Ebidan,Ebidan VI,Opulent Compound,Rich,15.31
Domain,Throne Worlds,Ebidan,Ebidan VI,Condensates,Medium,9.78
Domain,Throne Worlds,Ebidan,Ebidan VI,Heavy Water,Perfect,225.00
Domain,Throne Worlds,Ebidan,Ebidan VII,Lustering Alloy,Medium,12.56
Domain,Throne Worlds,Ebidan,Ebidan VII,Glossy Compound,Medium,13.43
Domain,Throne Worlds,Ebidan,Ebidan VII,Base Metals,Medium,3.33
Domain,Throne Worlds,Ebidan,Ebidan VIII,Lustering Alloy,Rich,18.35
Domain,Throne Worlds,Ebidan,Ebidan VIII,Base Metals,Medium,3.64
Domain,Throne Worlds,Ebidan,Ebidan VIII,Ionic Solutions,Poor,4.13
Domain,Mobit,Akhragan,Akhragan I,Lustering Alloy,Poor,10.52
Domain,Mobit,Akhragan,Akhragan I,Base Metals,Medium,3.84
Domain,Mobit,Akhragan,Akhragan II,Gleaming Alloy,Rich,17.97
Domain,Mobit,Akhragan,Akhragan II,Motley Compound,Poor,11.86
Domain,Mobit,Akhragan,Akhragan III,Condensed Alloy,Perfect,23.39
Domain,Mobit,Akhragan,Akhragan III,Fiber Composite,Rich,18.43
Domain,Mobit,Akhragan,Akhragan III,Heavy Water,Medium,125.06
Domain,Mobit,Akhragan,Akhragan IV,Lustering Alloy,Medium,13.10
Domain,Mobit,Akhragan,Akhragan IV,Base Metals,Poor,2.75
Domain,Mobit,Akhragan,Akhragan V,Opulent Compound,Rich,16.54
Domain,Mobit,Akhragan,Akhragan V,Polyaramids,Medium,10.80
Domain,Mobit,Akhragan,Akhragan V,Heavy Water,Perfect,217.36
Domain,Mobit,Akhragan,Akhragan VI,Lustering Alloy,Medium,14.90
