Region,Constellation,System,Name,Item,Rate,Output
Esoteria,KUSW-P,VYJ-DA,VYJ-DA I,Precious Alloy,Poor,14.38
Esoteria,KUSW-P,VYJ-DA,VYJ-DA I,Supertensile Plastics,Poor,12.00
Esoteria,KUSW-P,VYJ-DA,VYJ-DA I,Construction Blocks,Medium,21.14
Esoteria,KUSW-P,VYJ-DA,VYJ-DA I,Oxygen Isotopes,Poor,2.59
Esoteria,KUSW-P,VYJ-DA,VYJ-DA II,Lustering Alloy,Poor,13.92
Esoteria,KUSW-P,VYJ-DA,VYJ-DA II,Base Metals,Poor,3.87
Esoteria,KUSW-P,VYJ-DA,VYJ-DA II,Toxic Metals,Poor,4.27
Esoteria,KUSW-P,VYJ-DA,VYJ-DA II,Supertensile Plastics,Poor,11.00
Esoteria,KUSW-P,VYJ-DA,VYJ-DA III,Gleaming Alloy,Perfect,31.84
Esoteria,KUSW-P,VYJ-DA,VYJ-DA III,Lucent Compound,Poor,18.26
Esoteria,KUSW-P,VYJ-DA,VYJ-DA III,Reactive Metals,Perfect,8.58
Esoteria,KUSW-P,VYJ-DA,VYJ-DA III,Toxic Metals,Medium,5.27
Esoteria,KUSW-P,VYJ-DA,VYJ-DA IV,Opulent Compound,Rich,29.16
Esoteria,KUSW-P,VYJ-DA,VYJ-DA IV,Industrial Fibers,Perfect,8.92
Esoteria,KUSW-P,VYJ-DA,VYJ-DA IV,Condensates,Medium,13.08
Esoteria,KUSW-P,VYJ-DA,VYJ-DA IV,Heavy Water,Medium,226.20
Esoteria,KUSW-P,VYJ-DA,VYJ-DA IV,Liquid Ozone,Rich,33.38
Esoteria,KUSW-P,VYJ-DA,VYJ-DA V,Sheen Compound,Rich,25.52
Esoteria,KUSW-P,VYJ-DA,VYJ-DA V,Fiber Composite,Poor,17.20
Esoteria,KUSW-P,VYJ-DA,VYJ-DA V,Reactive Gas,Medium,21.08
Esoteria,KUSW-P,VYJ-DA,VYJ-DA V,Polyaramids,Poor,12.28
Esoteria,KUSW-P,VYJ-DA,VYJ-DA V,Coolant,Rich,17.43
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VI,Lustering Alloy,Medium,21.56
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VI,Sheen Compound,Poor,16.78
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VI,Glossy Compound,Medium,23.70
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VI,Reactive Gas,Rich,25.62
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VI,Coolant,Poor,12.27
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VII,Sheen Compound,Poor,16.94
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VII,Fiber Composite,Medium,20.12
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VII,Reactive Gas,Medium,23.44
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VII,Noble Gas,Medium,20.84
Esoteria,KUSW-P,VYJ-DA,VYJ-DA VII,Base Metals,Medium,6.14
