Region,Constellation,System,Name,Item,Rate,Output
Essence,Crux,Luminaire,Luminaire I,Lustering Alloy,Poor,6.64
Essence,Crux,Luminaire,Luminaire I,Base Metals,Medium,3.12
Essence,Crux,Luminaire,Luminaire II,Condensed Alloy,Rich,15.24
Essence,Crux,Luminaire,Luminaire II,Noble Metals,Poor,9.23
Essence,Crux,Luminaire,Luminaire II,Heavy Water,Rich,136.30
Essence,Crux,Luminaire,Luminaire III,Opulent Compound,Medium,11.66
Essence,Crux,Luminaire,Luminaire III,Base Metals,Perfect,4.99
Essence,Crux,Luminaire,Luminaire III,Heavy Water,Perfect,184.30
Essence,Crux,Luminaire,Luminaire IV,Lustering Alloy,Poor,8.05
Essence,Crux,Luminaire,Luminaire IV,Base Metals,Poor,1.92
Essence,Crux,Luminaire,Luminaire V,Lustering Alloy,Medium,11.93
Essence,Crux,Luminaire,Luminaire V,Base Metals,Poor,2.24
Essence,Crux,Luminaire,Luminaire VI,Condensed Alloy,Rich,14.94
Essence,Crux,Luminaire,Luminaire VI,Noble Metals,Medium,11.46
Essence,Crux,Luminaire,Luminaire VI,Heavy Water,Medium,126.20
Essence,Crux,Luminaire,Luminaire VII,Base Metals,Rich,3.80
Essence,Crux,Luminaire,Luminaire VII,Noble Metals,Rich,13.17
Essence,Crux,Luminaire,Luminaire VII,Heavy Water,Medium,114.10
Essence,Crux,Luminaire,Luminaire VIII,Lustering Alloy,Poor,8.52
Essence,Crux,Luminaire,Luminaire VIII,Base Metals,Medium,2.69
Essence,Crux,Mies,Mies I,Crystal Compound,Medium,12.67
Essence,Crux,Mies,Mies I,Suspended Plasma,Rich,59.56
Essence,Crux,Mies,Mies II,Lustering Alloy,Medium,13.35
Essence,Crux,Mies,Mies II,Base Metals,Poor,2.33
Essence,Crux,Mies,Mies III,Opulent Compound,Rich,17.45
Essence,Crux,Mies,Mies III,Condensates,Medium,7.44
Essence,Crux,Mies,Mies III,Heavy Water,Rich,172.26
Essence,Crux,Mies,Mies IV,Noble Metals,Rich,16.37
Essence,Crux,Mies,Mies IV,Condensates,Perfect,12.86
Essence,Crux,Mies,Mies IV,Heavy Water,Perfect,188.54
Essence,Crux,Mies,Mies V,Lustering Alloy,Medium,13.56
Essence,Crux,Mies,Mies V,Fiber Composite,Medium,13.28
Essence,Crux,Mies,Mies V,Base Metals,Medium,3.12
Essence,Crux,Mies,Mies VI,Lustering Alloy,Poor,9.71
Essence,Crux,Mies,Mies VI,Reactive Gas,Rich,16.30
Essence,Crux,Mies,Mies VI,Base Metals,Rich,4.12
Essence,Crux,Mies,Mies VII,Lustering Alloy,Medium,12.17
Essence,Crux,Mies,Mies VII,Base Metals,Medium,2.97
Essence,Crux,Mies,Mies VII,Coolant,Medium,7.85
Essence,Crux,Mies,Mies VIII,Lustering Alloy,Rich,14.86
Essence,Crux,Mies,Mies VIII,Base Metals,Rich,4.21
Essence,Crux,Mies,Mies VIII,Reactive Metals,Poor,2.68
Essence,Crux,Mies,Mies IX,Lustering Alloy,Medium,12.45
Essence,Crux,Mies,Mies IX,Base Metals,Poor,2.69
Essence,Crux,Oursulaert,Oursulaert I,Motley Compound,Rich,18.43
Essence,Crux,Oursulaert,Oursulaert I,Noble Metals,Perfect,20.10
Essence,Crux,Oursulaert,Oursulaert II,Lustering Alloy,Poor,7.67
Essence,Crux,Oursulaert,Oursulaert II,Base Metals,Medium,3.06
