Region,Constellation,System,Name,Item,Rate,Output
Everyshore,Osnins,Arnatele,Arnatele I,Lustering Alloy,Medium,13.89
Everyshore,Osnins,Arnatele,Arnatele I,Base Metals,Poor,3.25
Everyshore,Osnins,Arnatele,Arnatele II,Lustering Alloy,Medium,17.28
Everyshore,Osnins,Arnatele,Arnatele II,Reactive Gas,Rich,20.51
Everyshore,Osnins,Arnatele,Arnatele II,Base Metals,Rich,5.03
Everyshore,Osnins,Arnatele,Arnatele III,Lustering Alloy,Medium,17.26
Everyshore,Osnins,Arnatele,Arnatele III,Sheen Compound,Rich,19.92
Everyshore,Osnins,Arnatele,Arnatele III,Base Metals,Medium,4.36
Everyshore,Osnins,Arnatele,Arnatele IV,Lustering Alloy,Medium,14.84
Everyshore,Osnins,Arnatele,Arnatele IV,Base Metals,Medium,4.47
Everyshore,Osnins,Arnatele,Arnatele IV,Coolant,Rich,14.68
Everyshore,Osnins,Arnatele,Arnatele V,Lustering Alloy,Poor,12.32
Everyshore,Osnins,Arnatele,Arnatele V,Base Metals,Medium,4.64
Everyshore,Osnins,Arnatele,Arnatele VI,Lustering Alloy,Poor,11.77
Everyshore,Osnins,Arnatele,Arnatele VI,Base Metals,Poor,2.65
Everyshore,Osnins,Halle,Halle I,Lustering Alloy,Poor,12.09
Everyshore,Osnins,Halle,Halle I,Base Metals,Medium,3.90
Everyshore,Osnins,Halle,Halle II,Lustering Alloy,Poor,10.48
Everyshore,Osnins,Halle,Halle II,Base Metals,Poor,2.52
Everyshore,Osnins,Halle,Halle III,Motley Compound,Rich,18.86
Everyshore,Osnins,Halle,Halle III,Oxygen Isotopes,Rich,2.70
Everyshore,Osnins,Halle,Halle IV,Lucent Compound,Perfect,20.66
Everyshore,Osnins,Halle,Halle IV,Nanites,Medium,3.34
Everyshore,Osnins,Halle,Halle IV,Suspended Plasma,Perfect,77.59
Everyshore,Osnins,Halle,Halle V,Noble Metals,Rich,18.20
Everyshore,Osnins,Halle,Halle V,Heavy Water,Rich,183.43
Everyshore,Osnins,Halle,Halle V,Liquid Ozone,Medium,18.57
Everyshore,Osnins,Halle,Halle VI,Lustering Alloy,Medium,12.74
Everyshore,Osnins,Halle,Halle VI,Base Metals,Medium,3.44
Everyshore,Osnins,Halle,Halle VII,Lustering Alloy,Medium,15.21
Everyshore,Osnins,Halle,Halle VII,Fiber Composite,Medium,13.83
Everyshore,Osnins,Halle,Halle VII,Base Metals,Medium,4.01
Everyshore,Osnins,Halle,Halle VIII,Lustering Alloy,Perfect,20.84
Everyshore,Osnins,Halle,Halle VIII,Noble Gas,Medium,15.74
Everyshore,Osnins,Halle,Halle VIII,Base Metals,Rich,4.96
Everyshore,Osnins,Halle,Halle IX,Fiber Composite,Perfect,23.09
Everyshore,Osnins,Halle,Halle IX,Reactive Gas,Rich,16.61
Everyshore,Osnins,Halle,Halle IX,Heavy Water,Perfect,244.40
Everyshore,Osnins,Halle,Halle X,Lustering Alloy,Medium,15.94
Everyshore,Osnins,Halle,Halle X,Base Metals,Rich,4.69
Everyshore,Osnins,Halle,Halle X,Reactive Metals,Poor,2.92
Everyshore,Osnins,Mormoen,Mormoen I,Lustering Alloy,Poor,8.35
Everyshore,Osnins,Mormoen,Mormoen I,Base Metals,Poor,3.03
Everyshore,Osnins,Mormoen,Mormoen II,Lustering Alloy,Medium,13.44
Everyshore,Osnins,Mormoen,Mormoen II,Base Metals,Poor,3.02
Everyshore,Osnins,Mormoen,Mormoen III,Lustering Alloy,Poor,10.63
Everyshore,Osnins,Mormoen,Mormoen III,Base Metals,Poor,2.96
Everyshore,Osnins,Mormoen,Mormoen IV,Lustering Alloy,Perfect,21.45
Everyshore,Osnins,Mormoen,Mormoen IV,Base Metals,Rich,4.67
Everyshore,Osnins,Mormoen,Mormoen IV,Ionic Solutions,Rich,7.01
Everyshore,Osnins,Mormoen,Mormoen V,Lustering Alloy,Medium,12.61
Everyshore,Osnins,Mormoen,Mormoen V,Base Metals,Medium,3.81
Everyshore,Osnins,Mormoen,Mormoen V,Reactive Metals,Rich,4.40
Everyshore,Osnins,Mormoen,Mormoen VI,Lustering Alloy,Rich,18.84
Everyshore,Osnins,Mormoen,Mormoen VI,Base Metals,Rich,4.34
Everyshore,Osnins,Mormoen,Mormoen VI,Polyaramids,Medium,10.69
Everyshore,Osnins,Mormoen,Mormoen VII,Fiber Composite,Medium,14.70
Everyshore,Osnins,Mormoen,Mormoen VII,Smartfab Units,Perfect,15.02
Everyshore,Osnins,Mormoen,Mormoen VII,Heavy Water,Poor,121.68
Everyshore,Osnins,Mormoen,Mormoen VIII,Silicate Glass,Medium,6.43
Everyshore,Osnins,Mormoen,Mormoen VIII,Heavy Water,Medium,163.67
