Region,Constellation,System,Name,Item,Rate,Output
Fade,XFLN-F,C8-CHY,C8-CHY I,Lustering Alloy,Poor,15.73
Fade,XFLN-F,C8-CHY,C8-CHY I,Supertensile Plastics,Medium,16.65
Fade,XFLN-F,C8-CHY,C8-CHY I,Oxygen Isotopes,Poor,2.33
Fade,XFLN-F,C8-CHY,C8-CHY I,Plasmoids,Medium,1.36
Fade,XFLN-F,C8-CHY,C8-CHY II,Gleaming Alloy,Rich,30.98
Fade,XFLN-F,C8-CHY,C8-CHY II,Motley Compound,Rich,34.78
Fade,XFLN-F,C8-CHY,C8-CHY II,Glossy Compound,Rich,29.59
Fade,XFLN-F,C8-CHY,C8-CHY III,Toxic Metals,Poor,3.68
Fade,XFLN-F,C8-CHY,C8-CHY III,Industrial Fibers,Poor,3.85
Fade,XFLN-F,C8-CHY,C8-CHY III,Supertensile Plastics,Medium,17.51
Fade,XFLN-F,C8-CHY,C8-CHY III,Plasmoids,Medium,1.27
Fade,XFLN-F,C8-CHY,C8-CHY IV,Gleaming Alloy,Rich,32.69
Fade,XFLN-F,C8-CHY,C8-CHY IV,Motley Compound,Perfect,35.88
Fade,XFLN-F,C8-CHY,C8-CHY IV,Construction Blocks,Rich,31.24
Fade,XFLN-F,C8-CHY,C8-CHY V,Fiber Composite,Medium,22.62
Fade,XFLN-F,C8-CHY,C8-CHY V,Base Metals,Medium,6.58
Fade,XFLN-F,C8-CHY,C8-CHY V,Condensates,Perfect,25.67
Fade,XFLN-F,C8-CHY,C8-CHY V,Smartfab Units,Perfect,26.80
Fade,XFLN-F,C8-CHY,C8-CHY V,Liquid Ozone,Medium,28.90
Fade,XFLN-F,C8-CHY,C8-CHY VI,Condensed Alloy,Medium,21.19
Fade,XFLN-F,C8-CHY,C8-CHY VI,Opulent Compound,Perfect,35.86
Fade,XFLN-F,C8-CHY,C8-CHY VI,Coolant,Medium,18.36
Fade,XFLN-F,C8-CHY,C8-CHY VI,Silicate Glass,Poor,10.15
Fade,XFLN-F,C8-CHY,C8-CHY VI,Liquid Ozone,Perfect,44.00
Fade,XFLN-F,C8-CHY,C8-CHY VII,Precious Alloy,Medium,24.77
Fade,XFLN-F,C8-CHY,C8-CHY VII,Motley Compound,Rich,32.16
Fade,XFLN-F,C8-CHY,C8-CHY VII,Condensates,Medium,17.76
Fade,XFLN-F,C8-CHY,C8-CHY VII,Suspended Plasma,Medium,76.74
Fade,XFLN-F,C8-CHY,C8-CHY VIII,Glossy Compound,Rich,28.31
Fade,XFLN-F,C8-CHY,C8-CHY VIII,Reactive Gas,Rich,31.44
Fade,XFLN-F,C8-CHY,C8-CHY VIII,Reactive Metals,Poor,5.11
Fade,XFLN-F,C8-CHY,C8-CHY VIII,Polyaramids,Rich,22.15
Fade,XFLN-F,C8-CHY,C8-CHY VIII,Coolant,Medium,17.48
Fade,XFLN-F,C8-CHY,C8-CHY IX,Fiber Composite,Rich,34.34
Fade,XFLN-F,C8-CHY,C8-CHY IX,Reactive Gas,Rich,30.23
Fade,XFLN-F,C8-CHY,C8-CHY IX,Reactive Metals,Rich,7.86
Fade,XFLN-F,C8-CHY,C8-CHY IX,Coolant,Medium,14.23
Fade,XFLN-F,C8-CHY,C8-CHY IX,Ionic Solutions,Medium,10.47
Fade,XFLN-F,C8-CHY,C8-CHY X,Sheen Compound,Poor,18.17
Fade,XFLN-F,C8-CHY,C8-CHY X,Fiber Composite,Rich,34.10
Fade,XFLN-F,C8-CHY,C8-CHY X,Glossy Compound,Rich,29.83
Fade,XFLN-F,C8-CHY,C8-CHY X,Reactive Gas,Rich,31.55
Fade,XFLN-F,C8-CHY,C8-CHY X,Coolant,Medium,14.05
Fade,XFLN-F,C8-CHY,C8-CHY XI,Supertensile Plastics,Medium,17.48
Fade,XFLN-F,C8-CHY,C8-CHY XI,Construction Blocks,Poor,16.37
Fade,XFLN-F,C8-CHY,C8-CHY XI,Oxygen Isotopes,Medium,4.02
Fade,XFLN-F,C8-CHY,C8-CHY XI,Plasmoids,Poor,0.83
Fade,XFLN-F,C8-CHY,C8-CHY XII,Coolant,Medium,15.31
Fade,XFLN-F,C8-CHY,C8-CHY XII,Condensates,Poor,11.29
Fade,XFLN-F,C8-CHY,C8-CHY XII,Suspended Plasma,Poor,74.45
Fade,XFLN-F,C8-CHY,C8-CHY XII,Liquid Ozone,Poor,23.90
Fade,XFLN-F,E-9ORY,E-9ORY I,Gleaming Alloy,Rich,28.84
Fade,XFLN-F,E-9ORY,E-9ORY I,Motley Compound,Medium,27.74
Fade,XFLN-F,E-9ORY,E-9ORY I,Noble Gas,Poor,19.54
Fade,XFLN-F,E-9ORY,E-9ORY II,Supertensile Plastics,Poor,10.55
Fade,XFLN-F,E-9ORY,E-9ORY II,Construction Blocks,Medium,24.20
Fade,XFLN-F,E-9ORY,E-9ORY II,Silicate Glass,Poor,8.13
