Region,Constellation,System,Name,Item,Rate,Output
Feythabolis,1ANT-J,UD-VZW,UD-VZW I,Lucent Compound,Rich,32.30
Feythabolis,1ANT-J,UD-VZW,UD-VZW I,Reactive Metals,Medium,6.69
Feythabolis,1ANT-J,UD-VZW,UD-VZW I,Nanites,Rich,8.94
Feythabolis,1ANT-J,UD-VZW,UD-VZW I,Oxygen Isotopes,Rich,4.90
Feythabolis,1ANT-J,UD-VZW,UD-VZW II,Condensed Alloy,Rich,37.58
Feythabolis,1ANT-J,UD-VZW,UD-VZW II,Reactive Gas,Perfect,39.55
Feythabolis,1ANT-J,UD-VZW,UD-VZW II,Base Metals,Medium,7.16
Feythabolis,1ANT-J,UD-VZW,UD-VZW II,Noble Metals,Perfect,38.54
Feythabolis,1ANT-J,UD-VZW,UD-VZW II,Liquid Ozone,Perfect,48.09
Feythabolis,1ANT-J,UD-VZW,UD-VZW III,Lustering Alloy,Medium,28.92
Feythabolis,1ANT-J,UD-VZW,UD-VZW III,Sheen Compound,Medium,24.65
Feythabolis,1ANT-J,UD-VZW,UD-VZW III,Reactive Gas,Poor,20.47
Feythabolis,1ANT-J,UD-VZW,UD-VZW III,Noble Gas,Rich,37.97
Feythabolis,1ANT-J,UD-VZW,UD-VZW III,Base Metals,Poor,5.70
Feythabolis,1ANT-J,UD-VZW,UD-VZW IV,Sheen Compound,Medium,29.30
Feythabolis,1ANT-J,UD-VZW,UD-VZW IV,Glossy Compound,Rich,33.72
Feythabolis,1ANT-J,UD-VZW,UD-VZW IV,Reactive Gas,Rich,36.77
Feythabolis,1ANT-J,UD-VZW,UD-VZW IV,Base Metals,Medium,6.35
Feythabolis,1ANT-J,UD-VZW,UD-VZW IV,Polyaramids,Medium,19.09
Feythabolis,1ANT-J,UD-VZW,UD-VZW V,Lustering Alloy,Medium,26.76
Feythabolis,1ANT-J,UD-VZW,UD-VZW V,Glossy Compound,Poor,20.47
Feythabolis,1ANT-J,UD-VZW,UD-VZW V,Reactive Gas,Rich,36.29
Feythabolis,1ANT-J,UD-VZW,UD-VZW V,Base Metals,Poor,5.65
Feythabolis,1ANT-J,UD-VZW,UD-VZW V,Ionic Solutions,Perfect,15.31
Feythabolis,1ANT-J,UD-VZW,UD-VZW VI,Lustering Alloy,Medium,29.66
Feythabolis,1ANT-J,UD-VZW,UD-VZW VI,Fiber Composite,Poor,20.30
Feythabolis,1ANT-J,UD-VZW,UD-VZW VI,Reactive Gas,Medium,23.66
Feythabolis,1ANT-J,UD-VZW,UD-VZW VI,Noble Gas,Medium,26.11
Feythabolis,1ANT-J,UD-VZW,UD-VZW VI,Base Metals,Rich,8.65
Feythabolis,1ANT-J,UD-VZW,UD-VZW VII,Sheen Compound,Medium,29.69
Feythabolis,1ANT-J,UD-VZW,UD-VZW VII,Fiber Composite,Poor,21.82
Feythabolis,1ANT-J,UD-VZW,UD-VZW VII,Glossy Compound,Rich,31.32
Feythabolis,1ANT-J,UD-VZW,UD-VZW VII,Reactive Gas,Rich,37.37
Feythabolis,1ANT-J,UD-VZW,UD-VZW VII,Coolant,Rich,22.93
Feythabolis,1ANT-J,UD-VZW,UD-VZW VIII,Base Metals,Poor,4.36
Feythabolis,1ANT-J,UD-VZW,UD-VZW VIII,Toxic Metals,Poor,4.00
Feythabolis,1ANT-J,UD-VZW,UD-VZW VIII,Supertensile Plastics,Medium,18.93
Feythabolis,1ANT-J,UD-VZW,UD-VZW VIII,Oxygen Isotopes,Poor,3.25
Feythabolis,1ANT-J,3-YX2D,3-YX2D I,Dark Compound,Poor,20.95
Feythabolis,1ANT-J,3-YX2D,3-YX2D I,Base Metals,Poor,5.81
Feythabolis,1ANT-J,3-YX2D,3-YX2D I,Supertensile Plastics,Medium,16.99
Feythabolis,1ANT-J,3-YX2D,3-YX2D I,Oxygen Isotopes,Poor,2.82
Feythabolis,1ANT-J,3-YX2D,3-YX2D II,Reactive Gas,Medium,28.25
Feythabolis,1ANT-J,3-YX2D,3-YX2D II,Reactive Metals,Medium,6.27
Feythabolis,1ANT-J,3-YX2D,3-YX2D II,Construction Blocks,Poor,22.06
Feythabolis,1ANT-J,3-YX2D,3-YX2D II,Nanites,Rich,9.35
