Region,Constellation,System,Name,Item,Rate,Output
Fountain,Pegasus,XF-TQL,XF-TQL I,Dark Compound,Poor,14.60
Fountain,Pegasus,XF-TQL,XF-TQL I,Base Metals,Medium,5.31
Fountain,Pegasus,XF-TQL,XF-TQL I,Industrial Fibers,Medium,5.78
Fountain,Pegasus,XF-TQL,XF-TQL I,Supertensile Plastics,Poor,12.37
Fountain,Pegasus,XF-TQL,XF-TQL II,Gleaming Alloy,Medium,22.78
Fountain,Pegasus,XF-TQL,XF-TQL II,Noble Gas,Perfect,32.86
Fountain,Pegasus,XF-TQL,XF-TQL II,Oxygen Isotopes,Poor,2.56
Fountain,Pegasus,XF-TQL,XF-TQL III,Condensed Alloy,Medium,23.46
Fountain,Pegasus,XF-TQL,XF-TQL III,Polyaramids,Perfect,21.67
Fountain,Pegasus,XF-TQL,XF-TQL III,Heavy Water,Perfect,349.20
Fountain,Pegasus,XF-TQL,XF-TQL III,Liquid Ozone,Medium,24.75
Fountain,Pegasus,XF-TQL,XF-TQL III,Ionic Solutions,Medium,9.30
Fountain,Pegasus,XF-TQL,XF-TQL IV,Sheen Compound,Medium,20.04
Fountain,Pegasus,XF-TQL,XF-TQL IV,Heavy Metals,Rich,26.52
Fountain,Pegasus,XF-TQL,XF-TQL IV,Condensates,Perfect,22.11
Fountain,Pegasus,XF-TQL,XF-TQL IV,Suspended Plasma,Medium,82.44
Fountain,Pegasus,XF-TQL,XF-TQL IV,Ionic Solutions,Perfect,13.62
Fountain,Pegasus,XF-TQL,XF-TQL V,Condensed Alloy,Rich,30.96
Fountain,Pegasus,XF-TQL,XF-TQL V,Reactive Gas,Rich,27.28
Fountain,Pegasus,XF-TQL,XF-TQL V,Base Metals,Rich,7.52
Fountain,Pegasus,XF-TQL,XF-TQL V,Industrial Fibers,Rich,6.76
Fountain,Pegasus,XF-TQL,XF-TQL V,Liquid Ozone,Medium,29.25
Fountain,Pegasus,XF-TQL,XF-TQL VI,Precious Alloy,Poor,15.98
Fountain,Pegasus,XF-TQL,XF-TQL VI,Industrial Fibers,Medium,6.47
Fountain,Pegasus,XF-TQL,XF-TQL VI,Supertensile Plastics,Poor,10.01
Fountain,Pegasus,XF-TQL,XF-TQL VI,Silicate Glass,Poor,7.95
Fountain,Pegasus,XF-TQL,XF-TQL VII,Precious Alloy,Poor,17.86
Fountain,Pegasus,XF-TQL,XF-TQL VII,Dark Compound,Poor,18.18
Fountain,Pegasus,XF-TQL,XF-TQL VII,Supertensile Plastics,Poor,10.89
Fountain,Pegasus,XF-TQL,XF-TQL VII,Plasmoids,Poor,1.01
Fountain,Pegasus,XF-TQL,XF-TQL VIII,Lustering Alloy,Poor,14.54
Fountain,Pegasus,XF-TQL,XF-TQL VIII,Precious Alloy,Medium,22.18
Fountain,Pegasus,XF-TQL,XF-TQL VIII,Toxic Metals,Medium,6.20
Fountain,Pegasus,XF-TQL,XF-TQL VIII,Supertensile Plastics,Medium,16.11
Fountain,Pegasus,XF-TQL,XF-TQL IX,Opulent Compound,Rich,31.52
Fountain,Pegasus,XF-TQL,XF-TQL IX,Noble Metals,Rich,25.98
Fountain,Pegasus,XF-TQL,XF-TQL IX,Toxic Metals,Rich,8.04
Fountain,Pegasus,XF-TQL,XF-TQL IX,Silicate Glass,Rich,13.46
Fountain,Pegasus,XF-TQL,XF-TQL IX,Liquid Ozone,Rich,39.45
Fountain,Pegasus,4-EP12,4-EP12 I,Precious Alloy,Poor,12.96
Fountain,Pegasus,4-EP12,4-EP12 I,Dark Compound,Medium,23.70
Fountain,Pegasus,4-EP12,4-EP12 I,Toxic Metals,Medium,5.34
Fountain,Pegasus,4-EP12,4-EP12 I,Supertensile Plastics,Medium,13.32
Fountain,Pegasus,4-EP12,4-EP12 II,Reactive Metals,Rich,6.68
Fountain,Pegasus,4-EP12,4-EP12 II,Toxic Metals,Rich,7.79
Fountain,Pegasus,4-EP12,4-EP12 II,Supertensile Plastics,Medium,16.77
Fountain,Pegasus,4-EP12,4-EP12 II,Construction Blocks,Medium,22.28
Fountain,Pegasus,4-EP12,4-EP12 III,Lustering Alloy,Poor,18.66
Fountain,Pegasus,4-EP12,4-EP12 III,Supertensile Plastics,Medium,14.08
Fountain,Pegasus,4-EP12,4-EP12 III,Construction Blocks,Medium,22.66
Fountain,Pegasus,4-EP12,4-EP12 III,Silicate Glass,Poor,6.22
Fountain,Pegasus,4-EP12,4-EP12 IV,Condensed Alloy,Medium,20.26
Fountain,Pegasus,4-EP12,4-EP12 IV,Fiber Composite,Medium,22.66
Fountain,Pegasus,4-EP12,4-EP12 IV,Opulent Compound,Perfect,35.12
Fountain,Pegasus,4-EP12,4-EP12 IV,Smartfab Units,Rich,19.12
Fountain,Pegasus,4-EP12,4-EP12 IV,Liquid Ozone,Medium,31.27
Fountain,Pegasus,4-EP12,4-EP12 V,Fiber Composite,Medium,24.14
Fountain,Pegasus,4-EP12,4-EP12 V,Opulent Compound,Medium,25.18
Fountain,Pegasus,4-EP12,4-EP12 V,Noble Metals,Rich,30.64
Fountain,Pegasus,4-EP12,4-EP12 V,Condensates,Medium,16.32
Fountain,Pegasus,4-EP12,4-EP12 V,Liquid Ozone,Perfect,44.50
Fountain,Pegasus,4-EP12,4-EP12 VI,Fiber Composite,Medium,23.96
Fountain,Pegasus,4-EP12,4-EP12 VI,Glossy Compound,Rich,31.44
Fountain,Pegasus,4-EP12,4-EP12 VI,Reactive Gas,Medium,19.38
Fountain,Pegasus,4-EP12,4-EP12 VI,Noble Gas,Medium,20.58
Fountain,Pegasus,4-EP12,4-EP12 VI,Ionic Solutions,Poor,7.10
Fountain,Pegasus,4-EP12,4-EP12 VII,Lustering Alloy,Rich,29.88
Fountain,Pegasus,4-EP12,4-EP12 VII,Fiber Composite,Poor,16.56
Fountain,Pegasus,4-EP12,4-EP12 VII,Reactive Gas,Poor,18.72
Fountain,Pegasus,4-EP12,4-EP12 VII,Polyaramids,Medium,12.85
Fountain,Pegasus,4-EP12,4-EP12 VII,Coolant,Rich,17.57
Fountain,Pegasus,4-EP12,4-EP12 VIII,Condensed Alloy,Rich,29.46
Fountain,Pegasus,4-EP12,4-EP12 VIII,Fiber Composite,Medium,25.12
Fountain,Pegasus,4-EP12,4-EP12 VIII,Industrial Fibers,Medium,5.03
Fountain,Pegasus,4-EP12,4-EP12 VIII,Smartfab Units,Perfect,25.41
Fountain,Pegasus,4-EP12,4-EP12 VIII,Liquid Ozone,Rich,33.17
Fountain,Pegasus,4-EP12,4-EP12 IX,Glossy Compound,Rich,27.12
Fountain,Pegasus,4-EP12,4-EP12 IX,Reactive Gas,Poor,18.34
Fountain,Pegasus,4-EP12,4-EP12 IX,Noble Gas,Rich,27.74
Fountain,Pegasus,4-EP12,4-EP12 IX,Polyaramids,Poor,12.08
Fountain,Pegasus,4-EP12,4-EP12 IX,Coolant,Rich,19.64
Fountain,Pegasus,4-EP12,4-EP12 X,Sheen Compound,Rich,30.74
Fountain,Pegasus,4-EP12,4-EP12 X,Reactive Gas,Rich,29.04
Fountain,Pegasus,4-EP12,4-EP12 X,Noble Gas,Rich,25.62
Fountain,Pegasus,4-EP12,4-EP12 X,Reactive Metals,Medium,5.76
Fountain,Pegasus,4-EP12,4-EP12 X,Coolant,Rich,19.79
Fountain,Pegasus,4-EP12,4-EP12 XI,Lustering Alloy,Perfect,32.46
Fountain,Pegasus,4-EP12,4-EP12 XI,Fiber Composite,Medium,23.12
Fountain,Pegasus,4-EP12,4-EP12 XI,Reactive Gas,Poor,18.66
Fountain,Pegasus,4-EP12,4-EP12 XI,Reactive Metals,Medium,6.32
Fountain,Pegasus,4-EP12,4-EP12 XI,Coolant,Rich,19.68
Fountain,Pegasus,4-EP12,4-EP12 XII,Lustering Alloy,Medium,20.06
Fountain,Pegasus,4-EP12,4-EP12 XII,Toxic Metals,Medium,5.34
Fountain,Pegasus,4-EP12,4-EP12 XII,Supertensile Plastics,Poor,9.81
Fountain,Pegasus,4-EP12,4-EP12 XII,Oxygen Isotopes,Medium,3.03
Fountain,Pegasus,4-EP12,4-EP12 XIII,Condensed Alloy,Rich,26.66
Fountain,Pegasus,4-EP12,4-EP12 XIII,Opulent Compound,Poor,18.00
Fountain,Pegasus,4-EP12,4-EP12 XIII,Toxic Metals,Poor,4.66
