Region,Constellation,System,Name,Item,Rate,Output
Geminate,N-K4Q0,MR4-MY,MR4-MY I,Sheen Compound,Perfect,36.34
Geminate,N-K4Q0,MR4-MY,MR4-MY I,Heavy Metals,Perfect,35.90
Geminate,N-K4Q0,MR4-MY,MR4-MY I,Reactive Metals,Rich,8.71
Geminate,N-K4Q0,MR4-MY,MR4-MY I,Condensates,Rich,20.83
Geminate,N-K4Q0,MR4-MY,MR4-MY I,Plasmoids,Medium,1.59
Geminate,N-K4Q0,MR4-MY,MR4-MY II,Lucent Compound,Rich,30.54
Geminate,N-K4Q0,MR4-MY,MR4-MY II,Heavy Metals,Rich,28.71
Geminate,N-K4Q0,MR4-MY,MR4-MY II,Reactive Metals,Rich,8.49
Geminate,N-K4Q0,MR4-MY,MR4-MY II,Condensates,Medium,14.17
Geminate,N-K4Q0,MR4-MY,MR4-MY II,Plasmoids,Poor,1.24
Geminate,N-K4Q0,MR4-MY,MR4-MY III,Fiber Composite,Medium,22.29
Geminate,N-K4Q0,MR4-MY,MR4-MY III,Reactive Gas,Perfect,41.25
Geminate,N-K4Q0,MR4-MY,MR4-MY III,Industrial Fibers,Perfect,10.40
Geminate,N-K4Q0,MR4-MY,MR4-MY III,Heavy Water,Perfect,352.44
Geminate,N-K4Q0,MR4-MY,MR4-MY III,Liquid Ozone,Rich,40.12
Geminate,N-K4Q0,MR4-MY,MR4-MY IV,Sheen Compound,Poor,19.67
Geminate,N-K4Q0,MR4-MY,MR4-MY IV,Fiber Composite,Rich,29.88
Geminate,N-K4Q0,MR4-MY,MR4-MY IV,Glossy Compound,Poor,20.22
Geminate,N-K4Q0,MR4-MY,MR4-MY IV,Reactive Gas,Medium,24.44
Geminate,N-K4Q0,MR4-MY,MR4-MY IV,Polyaramids,Medium,14.07
Geminate,N-K4Q0,MR4-MY,MR4-MY V,Fiber Composite,Rich,29.19
Geminate,N-K4Q0,MR4-MY,MR4-MY V,Glossy Compound,Medium,24.09
Geminate,N-K4Q0,MR4-MY,MR4-MY V,Reactive Gas,Perfect,35.95
Geminate,N-K4Q0,MR4-MY,MR4-MY V,Noble Gas,Medium,26.07
Geminate,N-K4Q0,MR4-MY,MR4-MY V,Ionic Solutions,Rich,13.31
Geminate,N-K4Q0,MR4-MY,MR4-MY VI,Sheen Compound,Rich,32.01
Geminate,N-K4Q0,MR4-MY,MR4-MY VI,Reactive Gas,Rich,29.24
Geminate,N-K4Q0,MR4-MY,MR4-MY VI,Noble Gas,Rich,27.90
Geminate,N-K4Q0,MR4-MY,MR4-MY VI,Polyaramids,Rich,19.01
Geminate,N-K4Q0,MR4-MY,MR4-MY VI,Coolant,Medium,14.58
Geminate,N-K4Q0,MR4-MY,MR4-MY VII,Lustering Alloy,Poor,17.29
Geminate,N-K4Q0,MR4-MY,MR4-MY VII,Base Metals,Rich,7.60
Geminate,N-K4Q0,MR4-MY,MR4-MY VII,Condensates,Medium,14.31
Geminate,N-K4Q0,MR4-MY,MR4-MY VII,Suspended Plasma,Poor,63.99
Geminate,N-K4Q0,SR-KBB,SR-KBB I,Lucent Compound,Rich,33.09
Geminate,N-K4Q0,SR-KBB,SR-KBB I,Reactive Metals,Medium,5.71
Geminate,N-K4Q0,SR-KBB,SR-KBB I,Supertensile Plastics,Medium,17.83
Geminate,N-K4Q0,SR-KBB,SR-KBB I,Suspended Plasma,Poor,65.42
Geminate,N-K4Q0,SR-KBB,SR-KBB II,Precious Alloy,Poor,16.74
Geminate,N-K4Q0,SR-KBB,SR-KBB II,Base Metals,Poor,4.14
Geminate,N-K4Q0,SR-KBB,SR-KBB II,Toxic Metals,Medium,6.50
Geminate,N-K4Q0,SR-KBB,SR-KBB II,Supertensile Plastics,Poor,13.24
Geminate,N-K4Q0,SR-KBB,SR-KBB III,Reactive Gas,Perfect,38.41
Geminate,N-K4Q0,SR-KBB,SR-KBB III,Base Metals,Medium,6.59
Geminate,N-K4Q0,SR-KBB,SR-KBB III,Noble Metals,Perfect,40.37
Geminate,N-K4Q0,SR-KBB,SR-KBB III,Industrial Fibers,Rich,8.16
Geminate,N-K4Q0,SR-KBB,SR-KBB III,Liquid Ozone,Medium,32.17
Geminate,N-K4Q0,SR-KBB,SR-KBB IV,Crystal Compound,Medium,21.12
Geminate,N-K4Q0,SR-KBB,SR-KBB IV,Reactive Metals,Rich,7.69
Geminate,N-K4Q0,SR-KBB,SR-KBB IV,Suspended Plasma,Rich,111.99
Geminate,N-K4Q0,SR-KBB,SR-KBB IV,Oxygen Isotopes,Medium,3.28
Geminate,N-K4Q0,SR-KBB,SR-KBB V,Sheen Compound,Medium,23.06
Geminate,N-K4Q0,SR-KBB,SR-KBB V,Fiber Composite,Medium,25.63
Geminate,N-K4Q0,SR-KBB,SR-KBB V,Reactive Gas,Medium,25.63
Geminate,N-K4Q0,SR-KBB,SR-KBB V,Noble Gas,Rich,28.34
Geminate,N-K4Q0,SR-KBB,SR-KBB V,Base Metals,Medium,6.80
Geminate,N-K4Q0,SR-KBB,SR-KBB VI,Lustering Alloy,Medium,25.34
Geminate,N-K4Q0,SR-KBB,SR-KBB VI,Fiber Composite,Medium,20.94
Geminate,N-K4Q0,SR-KBB,SR-KBB VI,Glossy Compound,Medium,27.26
Geminate,N-K4Q0,SR-KBB,SR-KBB VI,Reactive Gas,Rich,30.71
Geminate,N-K4Q0,SR-KBB,SR-KBB VI,Base Metals,Poor,5.41
Geminate,N-K4Q0,SR-KBB,SR-KBB VII,Toxic Metals,Poor,4.62
Geminate,N-K4Q0,SR-KBB,SR-KBB VII,Industrial Fibers,Poor,5.01
Geminate,N-K4Q0,SR-KBB,SR-KBB VII,Supertensile Plastics,Medium,14.64
Geminate,N-K4Q0,SR-KBB,SR-KBB VII,Construction Blocks,Medium,25.34
Geminate,N-K4Q0,SR-KBB,SR-KBB VIII,Motley Compound,Poor,19.12
Geminate,N-K4Q0,SR-KBB,SR-KBB VIII,Supertensile Plastics,Rich,19.20
Geminate,N-K4Q0,SR-KBB,SR-KBB VIII,Condensates,Poor,13.07
Geminate,N-K4Q0,SR-KBB,SR-KBB VIII,Liquid Ozone,Rich,38.31
Geminate,N-K4Q0,FDZ4-A,FDZ4-A I,Lustering Alloy,Poor,15.47
Geminate,N-K4Q0,FDZ4-A,FDZ4-A I,Base Metals,Medium,6.14
Geminate,N-K4Q0,FDZ4-A,FDZ4-A I,Industrial Fibers,Medium,5.62
Geminate,N-K4Q0,FDZ4-A,FDZ4-A I,Supertensile Plastics,Medium,16.88
Geminate,N-K4Q0,FDZ4-A,FDZ4-A II,Lustering Alloy,Poor,16.76
Geminate,N-K4Q0,FDZ4-A,FDZ4-A II,Toxic Metals,Medium,6.87
Geminate,N-K4Q0,FDZ4-A,FDZ4-A II,Supertensile Plastics,Medium,15.30
Geminate,N-K4Q0,FDZ4-A,FDZ4-A II,Plasmoids,Poor,1.10
Geminate,N-K4Q0,FDZ4-A,FDZ4-A III,Reactive Metals,Rich,7.58
Geminate,N-K4Q0,FDZ4-A,FDZ4-A III,Toxic Metals,Rich,9.08
Geminate,N-K4Q0,FDZ4-A,FDZ4-A III,Supertensile Plastics,Rich,20.27
Geminate,N-K4Q0,FDZ4-A,FDZ4-A III,Nanites,Medium,6.66
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IV,Opulent Compound,Poor,20.59
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IV,Noble Metals,Medium,25.15
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IV,Toxic Metals,Rich,8.50
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IV,Polyaramids,Medium,18.19
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IV,Liquid Ozone,Medium,32.40
Geminate,N-K4Q0,FDZ4-A,FDZ4-A V,Lustering Alloy,Medium,26.99
Geminate,N-K4Q0,FDZ4-A,FDZ4-A V,Industrial Fibers,Poor,3.62
Geminate,N-K4Q0,FDZ4-A,FDZ4-A V,Supertensile Plastics,Medium,17.44
Geminate,N-K4Q0,FDZ4-A,FDZ4-A V,Plasmoids,Poor,0.89
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VI,Condensed Alloy,Rich,33.59
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VI,Reactive Gas,Rich,31.46
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VI,Industrial Fibers,Medium,5.64
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VI,Heavy Water,Rich,295.68
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VI,Liquid Ozone,Medium,30.44
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VII,Precious Alloy,Medium,20.99
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VII,Industrial Fibers,Poor,5.15
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VII,Supertensile Plastics,Medium,17.20
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VII,Plasmoids,Poor,0.84
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VIII,Lustering Alloy,Rich,29.83
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VIII,Reactive Gas,Rich,27.96
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VIII,Noble Gas,Medium,22.07
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VIII,Base Metals,Poor,5.19
Geminate,N-K4Q0,FDZ4-A,FDZ4-A VIII,Ionic Solutions,Medium,9.91
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IX,Glossy Compound,Medium,25.61
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IX,Reactive Gas,Medium,21.91
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IX,Noble Gas,Rich,29.59
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IX,Reactive Metals,Rich,7.37
Geminate,N-K4Q0,FDZ4-A,FDZ4-A IX,Ionic Solutions,Medium,10.89
Geminate,N-K4Q0,FDZ4-A,FDZ4-A X,Motley Compound,Medium,26.36
Geminate,N-K4Q0,FDZ4-A,FDZ4-A X,Supertensile Plastics,Medium,15.59
Geminate,N-K4Q0,FDZ4-A,FDZ4-A X,Condensates,Medium,18.29
Geminate,N-K4Q0,FDZ4-A,FDZ4-A X,Liquid Ozone,Rich,36.30
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 I,Gleaming Alloy,Rich,33.37
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 I,Polyaramids,Poor,14.24
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 I,Construction Blocks,Poor,19.27
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 II,Lustering Alloy,Poor,21.09
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 II,Supertensile Plastics,Poor,10.76
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 II,Construction Blocks,Poor,19.83
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 II,Plasmoids,Medium,1.55
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 III,Fiber Composite,Poor,21.37
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 III,Opulent Compound,Medium,28.08
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 III,Base Metals,Rich,9.05
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 III,Heavy Water,Perfect,408.25
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 III,Liquid Ozone,Medium,34.44
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 IV,Toxic Metals,Poor,4.79
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 IV,Supertensile Plastics,Poor,10.26
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 IV,Silicate Glass,Poor,10.72
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 IV,Oxygen Isotopes,Poor,2.47
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 V,Lustering Alloy,Poor,21.57
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 V,Fiber Composite,Perfect,37.37
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 V,Reactive Gas,Medium,25.07
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 V,Coolant,Medium,14.72
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 V,Ionic Solutions,Medium,10.09
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 VI,Lustering Alloy,Rich,35.01
Geminate,N-K4Q0,2E-ZR5,2E-ZR5 VI,Sheen Compound,Medium,25.07
