Region,Constellation,System,Name,Item,Rate,Output
Genesis,Nazdirer,Shera,Shera I,Lustering Alloy,Medium,14.65
Genesis,Nazdirer,Shera,Shera I,Base Metals,Poor,2.91
Genesis,Nazdirer,Shera,Shera II,Lustering Alloy,Medium,17.98
Genesis,Nazdirer,Shera,Shera II,Base Metals,Medium,4.24
Genesis,Nazdirer,Shera,Shera III,Lustering Alloy,Poor,13.80
Genesis,Nazdirer,Shera,Shera III,Base Metals,Medium,3.97
Genesis,Nazdirer,Shera,Shera IV,Gleaming Alloy,Medium,16.74
Genesis,Nazdirer,Shera,Shera IV,Motley Compound,Rich,23.07
Genesis,Nazdirer,Shera,Shera V,Opulent Compound,Poor,13.52
Genesis,Nazdirer,Shera,Shera V,Noble Metals,Perfect,26.43
Genesis,Nazdirer,Shera,Shera V,Heavy Water,Rich,192.00
Genesis,Nazdirer,Shera,Shera VI,Industrial Fibers,Rich,5.78
Genesis,Nazdirer,Shera,Shera VI,Heavy Water,Medium,177.45
Genesis,Nazdirer,Shera,Shera VI,Liquid Ozone,Rich,26.76
Genesis,Nazdirer,Shera,Shera VII,Lustering Alloy,Medium,15.51
Genesis,Nazdirer,Shera,Shera VII,Noble Gas,Poor,13.29
Genesis,Nazdirer,Shera,Shera VII,Base Metals,Medium,4.66
Genesis,Nazdirer,Shera,Shera VIII,Lustering Alloy,Medium,18.23
Genesis,Nazdirer,Shera,Shera VIII,Base Metals,Poor,3.13
Genesis,Nazdirer,Shera,Shera IX,Crystal Compound,Medium,14.97
Genesis,Nazdirer,Shera,Shera IX,Suspended Plasma,Poor,50.11
Genesis,Nazdirer,Shera,Shera X,Lustering Alloy,Rich,19.83
Genesis,Nazdirer,Shera,Shera X,Base Metals,Medium,4.67
Genesis,Nazdirer,Shera,Shera X,Polyaramids,Poor,8.55
Genesis,Nazdirer,Shera,Shera XI,Lustering Alloy,Medium,17.63
Genesis,Nazdirer,Shera,Shera XI,Base Metals,Medium,4.35
Genesis,Nazdirer,Lor,Lor I,Lustering Alloy,Poor,12.62
Genesis,Nazdirer,Lor,Lor I,Base Metals,Medium,4.49
Genesis,Nazdirer,Lor,Lor II,Lustering Alloy,Medium,18.41
Genesis,Nazdirer,Lor,Lor II,Base Metals,Poor,3.71
Genesis,Nazdirer,Lor,Lor III,Condensed Alloy,Medium,15.29
Genesis,Nazdirer,Lor,Lor III,Opulent Compound,Rich,19.36
Genesis,Nazdirer,Lor,Lor III,Heavy Water,Medium,170.25
Genesis,Nazdirer,Lor,Lor IV,Coolant,Rich,13.65
Genesis,Nazdirer,Lor,Lor IV,Heavy Water,Perfect,249.30
Genesis,Nazdirer,Lor,Lor IV,Liquid Ozone,Perfect,31.89
Genesis,Nazdirer,Lor,Lor V,Lustering Alloy,Poor,12.62
Genesis,Nazdirer,Lor,Lor V,Noble Gas,Rich,22.64
Genesis,Nazdirer,Lor,Lor V,Base Metals,Rich,5.47
Genesis,Nazdirer,Lor,Lor VI,Motley Compound,Medium,18.23
Genesis,Nazdirer,Lor,Lor VI,Glossy Compound,Medium,15.36
Genesis,Nazdirer,Lor,Lor VII,Lustering Alloy,Poor,13.32
Genesis,Nazdirer,Lor,Lor VII,Sheen Compound,Perfect,24.69
Genesis,Nazdirer,Lor,Lor VII,Base Metals,Rich,5.76
Genesis,Nazdirer,Lor,Lor VIII,Lustering Alloy,Poor,11.98
Genesis,Nazdirer,Lor,Lor VIII,Base Metals,Medium,3.89
