Region,Constellation,System,Name,Item,Rate,Output
Great Wildlands,730-KH,NIH-02,NIH-02 I,Toxic Metals,Medium,6.32
Great Wildlands,730-KH,NIH-02,NIH-02 I,Supertensile Plastics,Poor,9.23
Great Wildlands,730-KH,NIH-02,NIH-02 I,Construction Blocks,Medium,23.06
Great Wildlands,730-KH,NIH-02,NIH-02 I,Oxygen Isotopes,Poor,2.30
Great Wildlands,730-KH,NIH-02,NIH-02 II,Gleaming Alloy,Rich,29.02
Great Wildlands,730-KH,NIH-02,NIH-02 II,Noble Gas,Perfect,33.80
Great Wildlands,730-KH,NIH-02,NIH-02 II,Oxygen Isotopes,Poor,2.48
Great Wildlands,730-KH,NIH-02,NIH-02 III,Reactive Gas,Medium,24.78
Great Wildlands,730-KH,NIH-02,NIH-02 III,Reactive Metals,Medium,6.40
Great Wildlands,730-KH,NIH-02,NIH-02 III,Supertensile Plastics,Medium,15.32
Great Wildlands,730-KH,NIH-02,NIH-02 III,Suspended Plasma,Rich,101.52
Great Wildlands,730-KH,NIH-02,NIH-02 IV,Reactive Metals,Rich,7.69
Great Wildlands,730-KH,NIH-02,NIH-02 IV,Construction Blocks,Rich,27.10
Great Wildlands,730-KH,NIH-02,NIH-02 IV,Nanites,Medium,6.31
Great Wildlands,730-KH,NIH-02,NIH-02 IV,Suspended Plasma,Medium,78.77
Great Wildlands,730-KH,NIH-02,NIH-02 V,Lustering Alloy,Poor,17.94
Great Wildlands,730-KH,NIH-02,NIH-02 V,Reactive Gas,Rich,28.48
Great Wildlands,730-KH,NIH-02,NIH-02 V,Reactive Metals,Medium,6.24
Great Wildlands,730-KH,NIH-02,NIH-02 V,Polyaramids,Perfect,21.87
Great Wildlands,730-KH,NIH-02,NIH-02 V,Ionic Solutions,Medium,8.84
Great Wildlands,730-KH,NIH-02,NIH-02 VI,Lustering Alloy,Poor,18.84
Great Wildlands,730-KH,NIH-02,NIH-02 VI,Glossy Compound,Medium,25.26
Great Wildlands,730-KH,NIH-02,NIH-02 VI,Reactive Gas,Medium,19.88
Great Wildlands,730-KH,NIH-02,NIH-02 VI,Noble Gas,Rich,26.12
Great Wildlands,730-KH,NIH-02,NIH-02 VI,Reactive Metals,Rich,7.54
Great Wildlands,730-KH,NIH-02,NIH-02 VII,Sheen Compound,Perfect,32.70
Great Wildlands,730-KH,NIH-02,NIH-02 VII,Reactive Gas,Perfect,32.24
Great Wildlands,730-KH,NIH-02,NIH-02 VII,Noble Gas,Poor,18.70
Great Wildlands,730-KH,NIH-02,NIH-02 VII,Polyaramids,Rich,17.31
Great Wildlands,730-KH,NIH-02,NIH-02 VII,Ionic Solutions,Poor,6.84
Great Wildlands,730-KH,NIH-02,NIH-02 VIII,Lustering Alloy,Medium,21.98
Great Wildlands,730-KH,NIH-02,NIH-02 VIII,Glossy Compound,Medium,20.40
Great Wildlands,730-KH,NIH-02,NIH-02 VIII,Reactive Gas,Medium,21.68
Great Wildlands,730-KH,NIH-02,NIH-02 VIII,Polyaramids,Medium,13.63
Great Wildlands,730-KH,NIH-02,NIH-02 VIII,Coolant,Perfect,21.81
Great Wildlands,730-KH,JPL-RA,JPL-RA I,Base Metals,Medium,5.81
Great Wildlands,730-KH,JPL-RA,JPL-RA I,Industrial Fibers,Poor,4.69
Great Wildlands,730-KH,JPL-RA,JPL-RA I,Supertensile Plastics,Poor,11.67
Great Wildlands,730-KH,JPL-RA,JPL-RA I,Silicate Glass,Medium,10.86
Great Wildlands,730-KH,JPL-RA,JPL-RA II,Lustering Alloy,Poor,18.78
Great Wildlands,730-KH,JPL-RA,JPL-RA II,Supertensile Plastics,Poor,10.92
Great Wildlands,730-KH,JPL-RA,JPL-RA II,Construction Blocks,Medium,20.58
Great Wildlands,730-KH,JPL-RA,JPL-RA II,Plasmoids,Medium,1.42
