Region,Constellation,System,Name,Item,Rate,Output
Heimatar,Ortner,Hulm,Hulm I,Lustering Alloy,Poor,7.33
Heimatar,Ortner,Hulm,Hulm I,Base Metals,Poor,2.47
Heimatar,Ortner,Hulm,Hulm II,Motley Compound,Perfect,16.68
Heimatar,Ortner,Hulm,Hulm II,Heavy Metals,Rich,15.20
Heimatar,Ortner,Hulm,Hulm III,Reactive Gas,Medium,10.25
Heimatar,Ortner,Hulm,Hulm III,Condensates,Rich,10.13
Heimatar,Ortner,Hulm,Hulm III,Heavy Water,Rich,146.30
Heimatar,Ortner,Hulm,Hulm IV,Base Metals,Perfect,4.19
Heimatar,Ortner,Hulm,Hulm IV,Noble Metals,Perfect,16.27
Heimatar,Ortner,Hulm,Hulm IV,Heavy Water,Medium,107.50
Heimatar,Ortner,Hulm,Hulm V,Lustering Alloy,Medium,11.54
Heimatar,Ortner,Hulm,Hulm V,Base Metals,Poor,1.91
Heimatar,Ortner,Hulm,Hulm VI,Condensed Alloy,Medium,11.47
Heimatar,Ortner,Hulm,Hulm VI,Heavy Water,Perfect,187.80
Heimatar,Ortner,Hulm,Hulm VI,Liquid Ozone,Medium,14.72
Heimatar,Ortner,Hulm,Hulm VII,Suspended Plasma,Poor,31.32
Heimatar,Ortner,Hulm,Hulm VII,Oxygen Isotopes,Rich,1.90
Heimatar,Ortner,Hulm,Hulm VIII,Noble Metals,Perfect,16.17
Heimatar,Ortner,Hulm,Hulm VIII,Heavy Water,Perfect,180.40
Heimatar,Ortner,Hulm,Hulm VIII,Liquid Ozone,Rich,16.50
Heimatar,Ortner,Osoggur,Osoggur I,Lustering Alloy,Medium,15.40
Heimatar,Ortner,Osoggur,Osoggur I,Base Metals,Medium,3.88
Heimatar,Ortner,Osoggur,Osoggur II,Lustering Alloy,Medium,14.49
Heimatar,Ortner,Osoggur,Osoggur II,Base Metals,Poor,3.50
Heimatar,Ortner,Osoggur,Osoggur III,Lustering Alloy,Poor,13.92
Heimatar,Ortner,Osoggur,Osoggur III,Base Metals,Poor,2.51
Heimatar,Ortner,Osoggur,Osoggur IV,Motley Compound,Medium,18.61
Heimatar,Ortner,Osoggur,Osoggur IV,Noble Gas,Rich,23.41
Heimatar,Ortner,Osoggur,Osoggur V,Lustering Alloy,Poor,12.22
Heimatar,Ortner,Osoggur,Osoggur V,Base Metals,Medium,4.34
Heimatar,Ortner,Osoggur,Osoggur VI,Opulent Compound,Medium,17.57
Heimatar,Ortner,Osoggur,Osoggur VI,Condensates,Medium,11.46
Heimatar,Ortner,Osoggur,Osoggur VI,Heavy Water,Rich,207.90
Heimatar,Ortner,Osoggur,Osoggur VII,Noble Metals,Medium,16.75
Heimatar,Ortner,Osoggur,Osoggur VII,Industrial Fibers,Medium,4.42
Heimatar,Ortner,Osoggur,Osoggur VII,Heavy Water,Perfect,254.85
Heimatar,Ortner,Osoggur,Osoggur VIII,Fiber Composite,Perfect,28.14
Heimatar,Ortner,Osoggur,Osoggur VIII,Industrial Fibers,Rich,5.39
Heimatar,Ortner,Osoggur,Osoggur VIII,Heavy Water,Medium,187.20
Heimatar,Ortner,Osoggur,Osoggur IX,Lustering Alloy,Rich,20.70
Heimatar,Ortner,Osoggur,Osoggur IX,Glossy Compound,Medium,17.59
Heimatar,Ortner,Osoggur,Osoggur IX,Base Metals,Rich,6.09
Heimatar,Ortner,Osoggur,Osoggur X,Lustering Alloy,Perfect,23.91
Heimatar,Ortner,Osoggur,Osoggur X,Glossy Compound,Rich,19.13
Heimatar,Ortner,Osoggur,Osoggur X,Base Metals,Medium,4.95
Heimatar,Ortner,Osoggur,Osoggur XI,Lustering Alloy,Poor,12.04
Heimatar,Ortner,Osoggur,Osoggur XI,Base Metals,Medium,4.63
Heimatar,Ortner,Abudban,Abudban I,Lucent Compound,Poor,11.96
Heimatar,Ortner,Abudban,Abudban I,Suspended Plasma,Medium,57.99
Heimatar,Ortner,Abudban,Abudban I,Ionic Solutions,Medium,4.96
Heimatar,Ortner,Abudban,Abudban II,Lustering Alloy,Medium,12.35
Heimatar,Ortner,Abudban,Abudban II,Base Metals,Medium,3.27
Heimatar,Ortner,Abudban,Abudban III,Base Metals,Perfect,5.85
Heimatar,Ortner,Abudban,Abudban III,Condensates,Poor,8.04
Heimatar,Ortner,Abudban,Abudban III,Heavy Water,Rich,165.88
Heimatar,Ortner,Abudban,Abudban IV,Lustering Alloy,Medium,15.69
Heimatar,Ortner,Abudban,Abudban IV,Base Metals,Poor,2.23
Heimatar,Ortner,Abudban,Abudban V,Reactive Metals,Medium,4.19
Heimatar,Ortner,Abudban,Abudban V,Suspended Plasma,Rich,61.35
Heimatar,Ortner,Abudban,Abudban V,Ionic Solutions,Perfect,8.72
Heimatar,Ortner,Abudban,Abudban VI,Lustering Alloy,Medium,12.86
Heimatar,Ortner,Abudban,Abudban VI,Base Metals,Rich,5.25
Heimatar,Ortner,Abudban,Abudban VI,Coolant,Medium,8.28
Heimatar,Ortner,Abudban,Abudban VII,Motley Compound,Medium,12.26
Heimatar,Ortner,Abudban,Abudban VII,Oxygen Isotopes,Medium,1.95
Heimatar,Ortner,Abudban,Abudban VIII,Lustering Alloy,Medium,15.48
Heimatar,Ortner,Abudban,Abudban VIII,Fiber Composite,Medium,13.10
Heimatar,Ortner,Abudban,Abudban VIII,Base Metals,Rich,4.69
Heimatar,Ortner,Abudban,Abudban IX,Lustering Alloy,Medium,15.54
Heimatar,Ortner,Abudban,Abudban IX,Base Metals,Perfect,5.56
Heimatar,Ortner,Abudban,Abudban IX,Ionic Solutions,Medium,5.40
Heimatar,Ortner,Abudban,Abudban X,Lustering Alloy,Medium,13.14
Heimatar,Ortner,Abudban,Abudban X,Sheen Compound,Medium,13.96
Heimatar,Ortner,Abudban,Abudban X,Base Metals,Medium,3.89
Heimatar,Ortner,Trytedald,Trytedald I,Lustering Alloy,Poor,9.19
Heimatar,Ortner,Trytedald,Trytedald I,Base Metals,Medium,3.10
Heimatar,Ortner,Trytedald,Trytedald II,Lustering Alloy,Medium,11.34
Heimatar,Ortner,Trytedald,Trytedald II,Base Metals,Medium,3.86
Heimatar,Ortner,Trytedald,Trytedald III,Reactive Gas,Rich,16.13
Heimatar,Ortner,Trytedald,Trytedald III,Base Metals,Medium,3.85
Heimatar,Ortner,Trytedald,Trytedald III,Heavy Water,Perfect,200.76
Heimatar,Ortner,Trytedald,Trytedald IV,Lustering Alloy,Medium,12.10
Heimatar,Ortner,Trytedald,Trytedald IV,Base Metals,Poor,2.64
Heimatar,Ortner,Trytedald,Trytedald V,Lustering Alloy,Medium,14.32
Heimatar,Ortner,Trytedald,Trytedald V,Glossy Compound,Medium,15.04
Heimatar,Ortner,Trytedald,Trytedald V,Base Metals,Rich,4.41
Heimatar,Ortner,Trytedald,Trytedald VI,Lustering Alloy,Poor,10.73
Heimatar,Ortner,Trytedald,Trytedald VI,Sheen Compound,Rich,18.79
Heimatar,Ortner,Trytedald,Trytedald VI,Base Metals,Poor,2.85
Heimatar,Ortner,Trytedald,Trytedald VII,Lustering Alloy,Rich,18.42
Heimatar,Ortner,Trytedald,Trytedald VII,Base Metals,Medium,3.00
Heimatar,Ortner,Trytedald,Trytedald VII,Ionic Solutions,Medium,4.91
Heimatar,Ortner,Trytedald,Trytedald VIII,Lustering Alloy,Medium,12.84
Heimatar,Ortner,Trytedald,Trytedald VIII,Base Metals,Rich,4.83
Heimatar,Ortner,Trytedald,Trytedald VIII,Ionic Solutions,Medium,5.73
Heimatar,Ortner,Trytedald,Trytedald IX,Lustering Alloy,Rich,17.32
Heimatar,Ortner,Trytedald,Trytedald IX,Base Metals,Poor,2.58
Heimatar,Ortner,Odatrik,Odatrik I,Lustering Alloy,Poor,10.04
Heimatar,Ortner,Odatrik,Odatrik I,Base Metals,Medium,3.09
Heimatar,Ortner,Odatrik,Odatrik II,Motley Compound,Medium,13.40
Heimatar,Ortner,Odatrik,Odatrik II,Heavy Metals,Rich,15.28
Heimatar,Ortner,Odatrik,Odatrik III,Lustering Alloy,Poor,9.85
Heimatar,Ortner,Odatrik,Odatrik III,Base Metals,Poor,2.96
Heimatar,Ortner,Odatrik,Odatrik IV,Lustering Alloy,Poor,8.38
Heimatar,Ortner,Odatrik,Odatrik IV,Base Metals,Poor,2.30
Heimatar,Ortner,Odatrik,Odatrik V,Condensates,Rich,10.32
Heimatar,Ortner,Odatrik,Odatrik V,Heavy Water,Medium,122.64
Heimatar,Ortner,Odatrik,Odatrik V,Liquid Ozone,Medium,16.89
Heimatar,Ortner,Odatrik,Odatrik VI,Reactive Gas,Medium,12.44
Heimatar,Ortner,Odatrik,Odatrik VI,Industrial Fibers,Rich,4.66
Heimatar,Ortner,Odatrik,Odatrik VI,Heavy Water,Perfect,215.64
Heimatar,Ortner,Odatrik,Odatrik VII,Opulent Compound,Rich,15.42
Heimatar,Ortner,Odatrik,Odatrik VII,Industrial Fibers,Medium,3.75
Heimatar,Ortner,Odatrik,Odatrik VII,Heavy Water,Rich,181.92
Heimatar,Ortner,Odatrik,Odatrik VIII,Lustering Alloy,Poor,11.14
Heimatar,Ortner,Odatrik,Odatrik VIII,Base Metals,Medium,3.69
Heimatar,Ortner,Odatrik,Odatrik VIII,Coolant,Rich,12.56
Heimatar,Ortner,Odatrik,Odatrik IX,Noble Metals,Medium,13.84
Heimatar,Ortner,Odatrik,Odatrik IX,Heavy Water,Poor,112.68
Heimatar,Ortner,Odatrik,Odatrik IX,Liquid Ozone,Rich,18.99
Heimatar,Ortner,Odatrik,Odatrik X,Lustering Alloy,Rich,16.91
Heimatar,Ortner,Odatrik,Odatrik X,Base Metals,Rich,4.94
Heimatar,Ortner,Odatrik,Odatrik X,Reactive Metals,Medium,3.30
Heimatar,Ortner,Odatrik,Odatrik XI,Lustering Alloy,Medium,12.92
Heimatar,Ortner,Odatrik,Odatrik XI,Base Metals,Medium,2.98
Heimatar,Ortner,Rens,Rens I,Lustering Alloy,Poor,11.03
Heimatar,Ortner,Rens,Rens I,Base Metals,Poor,2.46
Heimatar,Ortner,Rens,Rens II,Opulent Compound,Rich,16.04
Heimatar,Ortner,Rens,Rens II,Smartfab Units,Rich,10.46
Heimatar,Ortner,Rens,Rens II,Heavy Water,Medium,125.64
Heimatar,Ortner,Rens,Rens III,Fiber Composite,Rich,19.00
Heimatar,Ortner,Rens,Rens III,Base Metals,Medium,3.92
