Region,Constellation,System,Name,Item,Rate,Output
Immensea,Q-IPAA,NS2L-4,NS2L-4 I,Lustering Alloy,Poor,15.82
Immensea,Q-IPAA,NS2L-4,NS2L-4 I,Dark Compound,Medium,29.48
Immensea,Q-IPAA,NS2L-4,NS2L-4 I,Industrial Fibers,Medium,6.72
Immensea,Q-IPAA,NS2L-4,NS2L-4 I,Construction Blocks,Poor,21.70
Immensea,Q-IPAA,NS2L-4,NS2L-4 I,Oxygen Isotopes,Medium,4.34
Immensea,Q-IPAA,NS2L-4,NS2L-4 II,Crystal Compound,Rich,37.80
Immensea,Q-IPAA,NS2L-4,NS2L-4 II,Reactive Gas,Rich,31.98
Immensea,Q-IPAA,NS2L-4,NS2L-4 II,Toxic Metals,Rich,9.70
Immensea,Q-IPAA,NS2L-4,NS2L-4 II,Nanites,Medium,6.79
Immensea,Q-IPAA,NS2L-4,NS2L-4 II,Suspended Plasma,Medium,86.13
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Lustering Alloy,Medium,28.95
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Sheen Compound,Rich,32.58
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Reactive Gas,Rich,38.38
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Noble Gas,Poor,21.88
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Base Metals,Medium,6.44
Immensea,Q-IPAA,NS2L-4,NS2L-4 III,Coolant,Rich,23.68
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Fiber Composite,Poor,22.10
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Base Metals,Medium,7.53
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Reactive Metals,Medium,6.74
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Polyaramids,Poor,15.38
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Coolant,Poor,14.67
Immensea,Q-IPAA,NS2L-4,NS2L-4 IV,Ionic Solutions,Medium,10.61
Immensea,Q-IPAA,NS2L-4,NS2L-4 V,Lustering Alloy,Medium,30.73
Immensea,Q-IPAA,NS2L-4,NS2L-4 V,Reactive Gas,Rich,34.33
Immensea,Q-IPAA,NS2L-4,NS2L-4 V,Noble Gas,Perfect,39.73
Immensea,Q-IPAA,NS2L-4,NS2L-4 V,Polyaramids,Rich,24.37
Immensea,Q-IPAA,NS2L-4,NS2L-4 V,Coolant,Medium,16.98
