Region,Constellation,System,Name,Item,Rate,Output
Impass,5J-SSP,1-7KWU,1-7KWU I,Base Metals,Medium,6.41
Impass,5J-SSP,1-7KWU,1-7KWU I,Supertensile Plastics,Medium,17.66
Impass,5J-SSP,1-7KWU,1-7KWU I,Construction Blocks,Poor,19.25
Impass,5J-SSP,1-7KWU,1-7KWU I,Silicate Glass,Poor,8.32
Impass,5J-SSP,1-7KWU,1-7KWU II,Dark Compound,Medium,24.96
Impass,5J-SSP,1-7KWU,1-7KWU II,Supertensile Plastics,Poor,13.66
Impass,5J-SSP,1-7KWU,1-7KWU II,Oxygen Isotopes,Medium,4.04
Impass,5J-SSP,1-7KWU,1-7KWU II,Plasmoids,Poor,1.30
Impass,5J-SSP,1-7KWU,1-7KWU III,Fiber Composite,Medium,26.02
Impass,5J-SSP,1-7KWU,1-7KWU III,Glossy Compound,Medium,29.21
Impass,5J-SSP,1-7KWU,1-7KWU III,Reactive Gas,Medium,29.04
Impass,5J-SSP,1-7KWU,1-7KWU III,Reactive Metals,Medium,7.81
Impass,5J-SSP,1-7KWU,1-7KWU III,Polyaramids,Perfect,25.57
Impass,5J-SSP,1-7KWU,1-7KWU IV,Sheen Compound,Medium,27.26
Impass,5J-SSP,1-7KWU,1-7KWU IV,Fiber Composite,Medium,26.74
Impass,5J-SSP,1-7KWU,1-7KWU IV,Reactive Gas,Perfect,39.31
Impass,5J-SSP,1-7KWU,1-7KWU IV,Polyaramids,Poor,14.19
Impass,5J-SSP,1-7KWU,1-7KWU IV,Ionic Solutions,Poor,9.03
Impass,5J-SSP,1-7KWU,1-7KWU V,Lustering Alloy,Medium,23.64
Impass,5J-SSP,1-7KWU,1-7KWU V,Fiber Composite,Poor,20.23
Impass,5J-SSP,1-7KWU,1-7KWU V,Reactive Gas,Poor,20.35
Impass,5J-SSP,1-7KWU,1-7KWU V,Base Metals,Rich,9.81
Impass,5J-SSP,1-7KWU,1-7KWU V,Coolant,Medium,19.17
Impass,5J-SSP,1-7KWU,1-7KWU VI,Reactive Gas,Poor,21.05
Impass,5J-SSP,1-7KWU,1-7KWU VI,Base Metals,Rich,9.46
Impass,5J-SSP,1-7KWU,1-7KWU VI,Reactive Metals,Rich,9.90
Impass,5J-SSP,1-7KWU,1-7KWU VI,Coolant,Rich,23.79
Impass,5J-SSP,1-7KWU,1-7KWU VI,Ionic Solutions,Rich,13.97
Impass,5J-SSP,1-7KWU,1-7KWU VII,Lustering Alloy,Perfect,39.26
Impass,5J-SSP,1-7KWU,1-7KWU VII,Sheen Compound,Medium,27.34
Impass,5J-SSP,1-7KWU,1-7KWU VII,Fiber Composite,Rich,32.71
Impass,5J-SSP,1-7KWU,1-7KWU VII,Reactive Gas,Medium,26.71
Impass,5J-SSP,1-7KWU,1-7KWU VII,Reactive Metals,Medium,7.30
Impass,5J-SSP,1-7KWU,1-7KWU VIII,Precious Alloy,Poor,21.31
Impass,5J-SSP,1-7KWU,1-7KWU VIII,Condensates,Poor,12.43
Impass,5J-SSP,1-7KWU,1-7KWU VIII,Suspended Plasma,Rich,114.39
Impass,5J-SSP,1-7KWU,1-7KWU VIII,Liquid Ozone,Poor,22.17
Impass,5J-SSP,3-UCBF,3-UCBF I,Industrial Fibers,Medium,6.66
Impass,5J-SSP,3-UCBF,3-UCBF I,Supertensile Plastics,Poor,14.32
Impass,5J-SSP,3-UCBF,3-UCBF I,Silicate Glass,Poor,10.03
Impass,5J-SSP,3-UCBF,3-UCBF I,Oxygen Isotopes,Poor,3.16
Impass,5J-SSP,3-UCBF,3-UCBF II,Gleaming Alloy,Rich,31.54
Impass,5J-SSP,3-UCBF,3-UCBF II,Heavy Metals,Medium,24.02
Impass,5J-SSP,3-UCBF,3-UCBF II,Smartfab Units,Medium,19.39
Impass,5J-SSP,3-UCBF,3-UCBF III,Dark Compound,Poor,16.90
Impass,5J-SSP,3-UCBF,3-UCBF III,Industrial Fibers,Poor,5.37
Impass,5J-SSP,3-UCBF,3-UCBF III,Supertensile Plastics,Poor,13.90
Impass,5J-SSP,3-UCBF,3-UCBF III,Oxygen Isotopes,Poor,2.35
Impass,5J-SSP,3-UCBF,3-UCBF IV,Toxic Metals,Medium,7.26
Impass,5J-SSP,3-UCBF,3-UCBF IV,Industrial Fibers,Poor,4.43
Impass,5J-SSP,3-UCBF,3-UCBF IV,Supertensile Plastics,Poor,13.92
Impass,5J-SSP,3-UCBF,3-UCBF IV,Construction Blocks,Medium,27.00
Impass,5J-SSP,3-UCBF,3-UCBF V,Condensed Alloy,Perfect,38.78
Impass,5J-SSP,3-UCBF,3-UCBF V,Opulent Compound,Medium,29.81
Impass,5J-SSP,3-UCBF,3-UCBF V,Reactive Gas,Perfect,40.80
Impass,5J-SSP,3-UCBF,3-UCBF V,Noble Metals,Perfect,44.64
Impass,5J-SSP,3-UCBF,3-UCBF V,Liquid Ozone,Medium,29.10
Impass,5J-SSP,3-UCBF,3-UCBF VI,Base Metals,Medium,6.09
Impass,5J-SSP,3-UCBF,3-UCBF VI,Industrial Fibers,Poor,4.88
Impass,5J-SSP,3-UCBF,3-UCBF VI,Supertensile Plastics,Medium,17.73
Impass,5J-SSP,3-UCBF,3-UCBF VI,Oxygen Isotopes,Poor,3.10
Impass,5J-SSP,3-UCBF,3-UCBF VII,Sheen Compound,Poor,20.35
Impass,5J-SSP,3-UCBF,3-UCBF VII,Fiber Composite,Rich,37.39
Impass,5J-SSP,3-UCBF,3-UCBF VII,Reactive Gas,Rich,31.46
Impass,5J-SSP,3-UCBF,3-UCBF VII,Reactive Metals,Medium,6.99
Impass,5J-SSP,3-UCBF,3-UCBF VII,Polyaramids,Medium,18.00
Impass,5J-SSP,3-UCBF,3-UCBF VIII,Lustering Alloy,Rich,36.89
Impass,5J-SSP,3-UCBF,3-UCBF VIII,Reactive Gas,Rich,33.91
Impass,5J-SSP,3-UCBF,3-UCBF VIII,Noble Gas,Rich,33.36
Impass,5J-SSP,3-UCBF,3-UCBF VIII,Base Metals,Rich,8.68
Impass,5J-SSP,3-UCBF,3-UCBF VIII,Ionic Solutions,Medium,10.41
Impass,5J-SSP,3-UCBF,3-UCBF IX,Supertensile Plastics,Poor,11.54
Impass,5J-SSP,3-UCBF,3-UCBF IX,Silicate Glass,Medium,11.33
Impass,5J-SSP,3-UCBF,3-UCBF IX,Oxygen Isotopes,Medium,3.68
Impass,5J-SSP,3-UCBF,3-UCBF IX,Plasmoids,Medium,1.45
Impass,5J-SSP,N-CREL,N-CREL I,Gleaming Alloy,Rich,33.34
Impass,5J-SSP,N-CREL,N-CREL I,Reactive Gas,Medium,27.19
Impass,5J-SSP,N-CREL,N-CREL I,Reactive Metals,Rich,8.79
Impass,5J-SSP,N-CREL,N-CREL I,Toxic Metals,Poor,5.49
Impass,5J-SSP,N-CREL,N-CREL II,Glossy Compound,Medium,29.59
Impass,5J-SSP,N-CREL,N-CREL II,Reactive Gas,Rich,37.22
Impass,5J-SSP,N-CREL,N-CREL II,Reactive Metals,Poor,5.71
Impass,5J-SSP,N-CREL,N-CREL II,Polyaramids,Rich,21.17
Impass,5J-SSP,N-CREL,N-CREL II,Ionic Solutions,Poor,8.93
Impass,5J-SSP,N-CREL,N-CREL III,Base Metals,Rich,9.33
