Region,Constellation,System,Name,Item,Rate,Output
Insmother,IV-LWJ,KDG-TA,KDG-TA I,Lustering Alloy,Poor,17.14
Insmother,IV-LWJ,KDG-TA,KDG-TA I,Precious Alloy,Medium,24.68
Insmother,IV-LWJ,KDG-TA,KDG-TA I,Industrial Fibers,Poor,4.78
Insmother,IV-LWJ,KDG-TA,KDG-TA I,Supertensile Plastics,Poor,9.27
Insmother,IV-LWJ,KDG-TA,KDG-TA II,Sheen Compound,Rich,31.86
Insmother,IV-LWJ,KDG-TA,KDG-TA II,Lucent Compound,Medium,24.19
Insmother,IV-LWJ,KDG-TA,KDG-TA II,Heavy Metals,Perfect,35.62
Insmother,IV-LWJ,KDG-TA,KDG-TA II,Reactive Metals,Rich,7.96
Insmother,IV-LWJ,KDG-TA,KDG-TA II,Condensates,Medium,13.62
Insmother,IV-LWJ,KDG-TA,KDG-TA III,Gleaming Alloy,Medium,22.34
Insmother,IV-LWJ,KDG-TA,KDG-TA III,Smartfab Units,Rich,18.17
Insmother,IV-LWJ,KDG-TA,KDG-TA III,Oxygen Isotopes,Perfect,5.22
Insmother,IV-LWJ,KDG-TA,KDG-TA IV,Condensed Alloy,Medium,21.38
Insmother,IV-LWJ,KDG-TA,KDG-TA IV,Opulent Compound,Perfect,39.08
Insmother,IV-LWJ,KDG-TA,KDG-TA IV,Noble Metals,Rich,31.69
Insmother,IV-LWJ,KDG-TA,KDG-TA IV,Smartfab Units,Perfect,26.12
Insmother,IV-LWJ,KDG-TA,KDG-TA IV,Liquid Ozone,Rich,36.70
Insmother,IV-LWJ,KDG-TA,KDG-TA V,Precious Alloy,Poor,13.63
Insmother,IV-LWJ,KDG-TA,KDG-TA V,Industrial Fibers,Medium,6.22
Insmother,IV-LWJ,KDG-TA,KDG-TA V,Supertensile Plastics,Poor,9.27
Insmother,IV-LWJ,KDG-TA,KDG-TA V,Construction Blocks,Poor,15.75
Insmother,IV-LWJ,KDG-TA,KDG-TA VI,Crystal Compound,Rich,30.09
Insmother,IV-LWJ,KDG-TA,KDG-TA VI,Reactive Metals,Perfect,8.89
Insmother,IV-LWJ,KDG-TA,KDG-TA VI,Nanites,Medium,5.82
Insmother,IV-LWJ,KDG-TA,KDG-TA VI,Oxygen Isotopes,Rich,4.81
Insmother,IV-LWJ,KDG-TA,KDG-TA VII,Fiber Composite,Rich,26.61
Insmother,IV-LWJ,KDG-TA,KDG-TA VII,Reactive Gas,Poor,19.00
Insmother,IV-LWJ,KDG-TA,KDG-TA VII,Reactive Metals,Medium,6.60
Insmother,IV-LWJ,KDG-TA,KDG-TA VII,Polyaramids,Rich,21.06
Insmother,IV-LWJ,KDG-TA,KDG-TA VII,Coolant,Medium,14.59
Insmother,IV-LWJ,KDG-TA,KDG-TA VIII,Lustering Alloy,Rich,28.81
Insmother,IV-LWJ,KDG-TA,KDG-TA VIII,Fiber Composite,Rich,28.85
Insmother,IV-LWJ,KDG-TA,KDG-TA VIII,Glossy Compound,Rich,31.14
Insmother,IV-LWJ,KDG-TA,KDG-TA VIII,Reactive Gas,Medium,22.20
Insmother,IV-LWJ,KDG-TA,KDG-TA VIII,Polyaramids,Medium,17.36
Insmother,IV-LWJ,KDG-TA,KDG-TA IX,Sheen Compound,Rich,33.12
Insmother,IV-LWJ,KDG-TA,KDG-TA IX,Glossy Compound,Medium,20.89
Insmother,IV-LWJ,KDG-TA,KDG-TA IX,Reactive Gas,Rich,32.34
Insmother,IV-LWJ,KDG-TA,KDG-TA IX,Base Metals,Rich,8.06
Insmother,IV-LWJ,KDG-TA,KDG-TA IX,Reactive Metals,Rich,7.92
Insmother,IV-LWJ,KDG-TA,KDG-TA X,Sheen Compound,Medium,21.84
Insmother,IV-LWJ,KDG-TA,KDG-TA X,Reactive Gas,Medium,23.02
Insmother,IV-LWJ,KDG-TA,KDG-TA X,Noble Gas,Medium,21.99
Insmother,IV-LWJ,KDG-TA,KDG-TA X,Base Metals,Perfect,8.82
Insmother,IV-LWJ,KDG-TA,KDG-TA X,Coolant,Medium,15.99
Insmother,IV-LWJ,KDG-TA,KDG-TA XI,Industrial Fibers,Medium,6.47
Insmother,IV-LWJ,KDG-TA,KDG-TA XI,Coolant,Rich,17.82
Insmother,IV-LWJ,KDG-TA,KDG-TA XI,Condensates,Rich,20.58
Insmother,IV-LWJ,KDG-TA,KDG-TA XI,Suspended Plasma,Medium,89.96
Insmother,IV-LWJ,KD-KPR,KD-KPR I,Lustering Alloy,Medium,23.26
Insmother,IV-LWJ,KD-KPR,KD-KPR I,Base Metals,Medium,6.08
Insmother,IV-LWJ,KD-KPR,KD-KPR I,Supertensile Plastics,Poor,12.70
Insmother,IV-LWJ,KD-KPR,KD-KPR I,Construction Blocks,Poor,21.89
Insmother,IV-LWJ,KD-KPR,KD-KPR II,Supertensile Plastics,Medium,19.47
Insmother,IV-LWJ,KD-KPR,KD-KPR II,Construction Blocks,Medium,23.54
Insmother,IV-LWJ,KD-KPR,KD-KPR II,Silicate Glass,Medium,13.09
Insmother,IV-LWJ,KD-KPR,KD-KPR II,Plasmoids,Poor,1.09
Insmother,IV-LWJ,KD-KPR,KD-KPR III,Opulent Compound,Perfect,41.47
Insmother,IV-LWJ,KD-KPR,KD-KPR III,Crystal Compound,Poor,22.61
Insmother,IV-LWJ,KD-KPR,KD-KPR III,Polyaramids,Medium,17.70
Insmother,IV-LWJ,KD-KPR,KD-KPR III,Liquid Ozone,Medium,29.94
Insmother,IV-LWJ,KD-KPR,KD-KPR III,Ionic Solutions,Perfect,15.98
Insmother,IV-LWJ,KD-KPR,KD-KPR IV,Condensed Alloy,Perfect,45.89
Insmother,IV-LWJ,KD-KPR,KD-KPR IV,Base Metals,Medium,7.29
Insmother,IV-LWJ,KD-KPR,KD-KPR IV,Condensates,Rich,24.72
Insmother,IV-LWJ,KD-KPR,KD-KPR IV,Smartfab Units,Rich,25.41
Insmother,IV-LWJ,KD-KPR,KD-KPR IV,Liquid Ozone,Medium,36.21
