Region,Constellation,System,Name,Item,Rate,Output
Kador,Megeh,Hiroudeh,Hiroudeh I,Lustering Alloy,Medium,15.42
Kador,Megeh,Hiroudeh,Hiroudeh I,Industrial Fibers,Poor,2.96
Kador,Megeh,Hiroudeh,Hiroudeh I,Oxygen Isotopes,Poor,1.73
Kador,Megeh,Hiroudeh,Hiroudeh II,Noble Gas,Medium,16.18
Kador,Megeh,Hiroudeh,Hiroudeh II,Plasmoids,Rich,1.48
Kador,Megeh,Hiroudeh,Hiroudeh III,Industrial Fibers,Poor,3.32
Kador,Megeh,Hiroudeh,Hiroudeh III,Oxygen Isotopes,Poor,1.82
Kador,Megeh,Hiroudeh,Hiroudeh III,Plasmoids,Poor,0.66
Kador,Megeh,Hiroudeh,Hiroudeh IV,Dark Compound,Poor,13.92
Kador,Megeh,Hiroudeh,Hiroudeh IV,Industrial Fibers,Medium,4.25
Kador,Megeh,Hiroudeh,Hiroudeh IV,Plasmoids,Medium,1.04
Kador,Megeh,Hiroudeh,Hiroudeh V,Base Metals,Poor,3.34
Kador,Megeh,Hiroudeh,Hiroudeh V,Industrial Fibers,Poor,3.67
Kador,Megeh,Hiroudeh,Hiroudeh V,Silicate Glass,Poor,6.96
Kador,Megeh,Hiroudeh,Hiroudeh VI,Precious Alloy,Medium,17.01
Kador,Megeh,Hiroudeh,Hiroudeh VI,Base Metals,Medium,4.51
Kador,Megeh,Hiroudeh,Hiroudeh VI,Industrial Fibers,Medium,4.05
Kador,Megeh,Hiroudeh,Hiroudeh VII,Glossy Compound,Rich,24.21
Kador,Megeh,Hiroudeh,Hiroudeh VII,Noble Gas,Poor,13.50
Kador,Megeh,Hiroudeh,Hiroudeh VIII,Lustering Alloy,Rich,22.64
Kador,Megeh,Hiroudeh,Hiroudeh VIII,Sheen Compound,Medium,16.48
Kador,Megeh,Hiroudeh,Hiroudeh VIII,Noble Gas,Perfect,26.48
Kador,Megeh,Hiroudeh,Hiroudeh VIII,Reactive Metals,Perfect,6.95
Kador,Megeh,Dresi,Dresi I,Lustering Alloy,Medium,15.97
Kador,Megeh,Dresi,Dresi I,Base Metals,Medium,4.44
Kador,Megeh,Dresi,Dresi II,Lustering Alloy,Poor,10.77
Kador,Megeh,Dresi,Dresi II,Base Metals,Poor,2.44
Kador,Megeh,Aphend,Aphend I,Condensates,Rich,13.97
Kador,Megeh,Aphend,Aphend I,Nanites,Rich,4.76
Kador,Megeh,Aphend,Aphend I,Suspended Plasma,Rich,79.73
Kador,Megeh,Aphend,Aphend II,Motley Compound,Rich,21.63
Kador,Megeh,Aphend,Aphend II,Noble Gas,Rich,18.94
Kador,Megeh,Aphend,Aphend III,Lustering Alloy,Medium,14.43
Kador,Megeh,Aphend,Aphend III,Base Metals,Poor,2.50
Kador,Megeh,Aphend,Aphend IV,Lustering Alloy,Poor,12.15
Kador,Megeh,Aphend,Aphend IV,Base Metals,Poor,2.96
Kador,Megeh,Aphend,Aphend V,Condensed Alloy,Rich,21.77
Kador,Megeh,Aphend,Aphend V,Heavy Water,Medium,135.24
Kador,Megeh,Aphend,Aphend V,Liquid Ozone,Medium,17.05
Kador,Megeh,Aphend,Aphend VI,Lustering Alloy,Rich,18.17
Kador,Megeh,Aphend,Aphend VI,Fiber Composite,Perfect,22.75
Kador,Megeh,Aphend,Aphend VI,Base Metals,Medium,3.97
Kador,Megeh,Aphend,Aphend VII,Lustering Alloy,Poor,12.95
Kador,Megeh,Aphend,Aphend VII,Base Metals,Medium,3.56
Kador,Megeh,Aphend,Aphend VII,Coolant,Rich,12.37
Kador,Megeh,Aphend,Aphend VIII,Lustering Alloy,Poor,11.73
Kador,Megeh,Aphend,Aphend VIII,Base Metals,Medium,3.72
Kador,Megeh,Aphend,Aphend VIII,Reactive Metals,Medium,4.03
Kador,Megeh,Romi,Romi I,Lustering Alloy,Medium,14.87
Kador,Megeh,Romi,Romi I,Base Metals,Medium,4.10
Kador,Megeh,Romi,Romi II,Motley Compound,Medium,13.74
Kador,Megeh,Romi,Romi II,Plasmoids,Rich,1.02
Kador,Megeh,Romi,Romi III,Noble Gas,Medium,12.54
Kador,Megeh,Romi,Romi III,Condensates,Medium,10.60
Kador,Megeh,Romi,Romi III,Suspended Plasma,Perfect,78.90
Kador,Megeh,Romi,Romi IV,Lustering Alloy,Rich,20.31
Kador,Megeh,Romi,Romi IV,Sheen Compound,Poor,11.62
Kador,Megeh,Romi,Romi IV,Base Metals,Poor,3.02
Kador,Megeh,Romi,Romi V,Lustering Alloy,Rich,18.80
Kador,Megeh,Romi,Romi V,Noble Gas,Medium,15.68
Kador,Megeh,Romi,Romi V,Base Metals,Poor,3.09
Kador,Megeh,Romi,Romi VI,Lustering Alloy,Perfect,21.22
Kador,Megeh,Romi,Romi VI,Fiber Composite,Rich,17.86
Kador,Megeh,Romi,Romi VI,Base Metals,Medium,3.26
Kador,Megeh,Romi,Romi VII,Lustering Alloy,Rich,16.67
Kador,Megeh,Romi,Romi VII,Base Metals,Poor,3.11
Kador,Megeh,Romi,Romi VII,Reactive Metals,Rich,4.65
Kador,Megeh,Zororzih,Zororzih I,Lustering Alloy,Medium,14.59
Kador,Megeh,Zororzih,Zororzih I,Base Metals,Poor,2.56
Kador,Megeh,Zororzih,Zororzih II,Lustering Alloy,Medium,15.35
Kador,Megeh,Zororzih,Zororzih II,Base Metals,Medium,4.03
Kador,Megeh,Zororzih,Zororzih III,Lustering Alloy,Medium,13.62
Kador,Megeh,Zororzih,Zororzih III,Base Metals,Medium,3.57
Kador,Megeh,Zororzih,Zororzih IV,Lustering Alloy,Poor,8.35
Kador,Megeh,Zororzih,Zororzih IV,Base Metals,Medium,4.19
Kador,Megeh,Zororzih,Zororzih V,Lustering Alloy,Medium,15.11
Kador,Megeh,Zororzih,Zororzih V,Base Metals,Medium,3.90
Kador,Megeh,Zororzih,Zororzih VI,Lustering Alloy,Poor,11.18
Kador,Megeh,Zororzih,Zororzih VI,Base Metals,Perfect,5.63
Kador,Megeh,Zororzih,Zororzih VI,Ionic Solutions,Medium,5.04
Kador,Megeh,Zororzih,Zororzih VII,Lustering Alloy,Rich,17.29
Kador,Megeh,Zororzih,Zororzih VII,Fiber Composite,Rich,19.02
Kador,Megeh,Zororzih,Zororzih VII,Base Metals,Rich,5.22
Kador,Megeh,Zororzih,Zororzih VIII,Lustering Alloy,Rich,19.42
Kador,Megeh,Zororzih,Zororzih VIII,Base Metals,Perfect,5.49
Kador,Megeh,Zororzih,Zororzih VIII,Polyaramids,Rich,13.50
Kador,Megeh,Zororzih,Zororzih IX,Lustering Alloy,Medium,14.79
Kador,Megeh,Zororzih,Zororzih IX,Base Metals,Poor,2.62
Kador,Megeh,Zororzih,Zororzih X,Lustering Alloy,Poor,9.44
Kador,Megeh,Zororzih,Zororzih X,Base Metals,Medium,4.23
Kador,Megeh,Zororzih,Zororzih XI,Heavy Water,Rich,183.17
Kador,Megeh,Zororzih,Zororzih XI,Liquid Ozone,Rich,20.80
Kador,Megeh,Zororzih,Zororzih XI,Ionic Solutions,Poor,4.83
Kador,Megeh,Aharalel,Aharalel I,Condensates,Medium,10.82
Kador,Megeh,Aharalel,Aharalel I,Nanites,Rich,5.63
Kador,Megeh,Aharalel,Aharalel I,Suspended Plasma,Medium,58.81
Kador,Megeh,Aharalel,Aharalel II,Lustering Alloy,Poor,12.78
Kador,Megeh,Aharalel,Aharalel II,Fiber Composite,Rich,23.10
Kador,Megeh,Aharalel,Aharalel II,Base Metals,Medium,4.03
Kador,Megeh,Aharalel,Aharalel III,Lustering Alloy,Poor,12.31
Kador,Megeh,Aharalel,Aharalel III,Glossy Compound,Poor,13.92
Kador,Megeh,Aharalel,Aharalel III,Base Metals,Rich,6.10
Kador,Megeh,Aharalel,Aharalel IV,Lustering Alloy,Medium,18.11
Kador,Megeh,Aharalel,Aharalel IV,Base Metals,Medium,3.81
Kador,Megeh,Aharalel,Aharalel V,Lustering Alloy,Medium,17.40
Kador,Megeh,Aharalel,Aharalel V,Base Metals,Medium,4.61
Kador,Megeh,Gensela,Gensela I,Lustering Alloy,Poor,10.95
Kador,Megeh,Gensela,Gensela I,Base Metals,Medium,4.11
Kador,Megeh,Gensela,Gensela II,Lustering Alloy,Poor,11.61
Kador,Megeh,Gensela,Gensela II,Base Metals,Medium,3.50
Kador,Megeh,Gensela,Gensela III,Motley Compound,Poor,11.91
Kador,Megeh,Gensela,Gensela III,Noble Metals,Rich,22.20
Kador,Megeh,Gensela,Gensela IV,Lustering Alloy,Medium,13.82
Kador,Megeh,Gensela,Gensela IV,Base Metals,Poor,2.63
