Region,Constellation,System,Name,Item,Rate,Output
Khanid,Nohshayess,Gousoviba,Gousoviba I,Lustering Alloy,Poor,7.76
Khanid,Nohshayess,Gousoviba,Gousoviba I,Base Metals,Poor,2.50
Khanid,Nohshayess,Gousoviba,Gousoviba II,Lustering Alloy,Medium,11.92
Khanid,Nohshayess,Gousoviba,Gousoviba II,Base Metals,Poor,2.44
Khanid,Nohshayess,Gousoviba,Gousoviba III,Opulent Compound,Rich,15.70
Khanid,Nohshayess,Gousoviba,Gousoviba III,Noble Metals,Rich,14.08
Khanid,Nohshayess,Gousoviba,Gousoviba III,Heavy Water,Medium,126.28
Khanid,Nohshayess,Gousoviba,Gousoviba IV,Lustering Alloy,Medium,11.29
Khanid,Nohshayess,Gousoviba,Gousoviba IV,Base Metals,Medium,3.03
Khanid,Nohshayess,Gousoviba,Gousoviba V,Lustering Alloy,Rich,16.78
Khanid,Nohshayess,Gousoviba,Gousoviba V,Glossy Compound,Rich,14.66
Khanid,Nohshayess,Gousoviba,Gousoviba V,Base Metals,Rich,3.92
Khanid,Nohshayess,Gousoviba,Gousoviba VI,Lustering Alloy,Medium,11.62
Khanid,Nohshayess,Gousoviba,Gousoviba VI,Sheen Compound,Poor,9.38
Khanid,Nohshayess,Gousoviba,Gousoviba VI,Base Metals,Medium,3.56
Khanid,Nohshayess,Gousoviba,Gousoviba VII,Lustering Alloy,Poor,9.59
Khanid,Nohshayess,Gousoviba,Gousoviba VII,Noble Gas,Medium,11.38
Khanid,Nohshayess,Gousoviba,Gousoviba VII,Base Metals,Medium,2.99
Khanid,Nohshayess,Neyi,Neyi I,Lustering Alloy,Medium,11.95
Khanid,Nohshayess,Neyi,Neyi I,Base Metals,Medium,3.63
Khanid,Nohshayess,Neyi,Neyi II,Motley Compound,Poor,11.15
Khanid,Nohshayess,Neyi,Neyi II,Smartfab Units,Perfect,12.90
Khanid,Nohshayess,Neyi,Neyi III,Lustering Alloy,Poor,8.56
Khanid,Nohshayess,Neyi,Neyi III,Base Metals,Medium,3.37
Khanid,Nohshayess,Neyi,Neyi IV,Fiber Composite,Perfect,22.86
Khanid,Nohshayess,Neyi,Neyi IV,Opulent Compound,Medium,11.90
Khanid,Nohshayess,Neyi,Neyi IV,Heavy Water,Perfect,202.92
Khanid,Nohshayess,Neyi,Neyi V,Toxic Metals,Rich,4.81
Khanid,Nohshayess,Neyi,Neyi V,Suspended Plasma,Medium,47.65
Khanid,Nohshayess,Neyi,Neyi VI,Lustering Alloy,Perfect,19.68
Khanid,Nohshayess,Neyi,Neyi VI,Base Metals,Poor,2.79
Khanid,Nohshayess,Neyi,Neyi VI,Polyaramids,Rich,10.21
Khanid,Nohshayess,Neyi,Neyi VII,Lustering Alloy,Rich,16.49
Khanid,Nohshayess,Neyi,Neyi VII,Sheen Compound,Perfect,19.61
Khanid,Nohshayess,Neyi,Neyi VII,Base Metals,Medium,3.92
Khanid,Nohshayess,Neyi,Neyi VIII,Lustering Alloy,Medium,12.20
Khanid,Nohshayess,Neyi,Neyi VIII,Base Metals,Medium,3.04
Khanid,Nohshayess,Kihtaled,Kihtaled I,Motley Compound,Rich,14.91
Khanid,Nohshayess,Kihtaled,Kihtaled I,Noble Metals,Rich,15.55
Khanid,Nohshayess,Kihtaled,Kihtaled II,Lustering Alloy,Medium,10.52
Khanid,Nohshayess,Kihtaled,Kihtaled II,Base Metals,Poor,2.11
Khanid,Nohshayess,Kihtaled,Kihtaled III,Suspended Plasma,Medium,40.23
Khanid,Nohshayess,Kihtaled,Kihtaled III,Oxygen Isotopes,Medium,1.66
Khanid,Nohshayess,Kihtaled,Kihtaled IV,Reactive Gas,Rich,15.10
Khanid,Nohshayess,Kihtaled,Kihtaled IV,Base Metals,Rich,4.33
Khanid,Nohshayess,Kihtaled,Kihtaled IV,Heavy Water,Medium,121.22
Khanid,Nohshayess,Kihtaled,Kihtaled V,Lustering Alloy,Poor,9.69
Khanid,Nohshayess,Kihtaled,Kihtaled V,Base Metals,Poor,2.07
Khanid,Nohshayess,Kihtaled,Kihtaled VI,Lustering Alloy,Medium,10.97
Khanid,Nohshayess,Kihtaled,Kihtaled VI,Base Metals,Poor,2.61
Khanid,Nohshayess,Kihtaled,Kihtaled VII,Lucent Compound,Perfect,17.84
Khanid,Nohshayess,Kihtaled,Kihtaled VII,Suspended Plasma,Medium,38.33
Khanid,Nohshayess,Kihtaled,Kihtaled VIII,Lustering Alloy,Medium,13.49
Khanid,Nohshayess,Kihtaled,Kihtaled VIII,Fiber Composite,Rich,16.84
Khanid,Nohshayess,Kihtaled,Kihtaled VIII,Base Metals,Rich,3.71
Khanid,Nohshayess,Kihtaled,Kihtaled IX,Lustering Alloy,Poor,10.07
Khanid,Nohshayess,Kihtaled,Kihtaled IX,Base Metals,Medium,3.36
Khanid,Nohshayess,Kihtaled,Kihtaled IX,Coolant,Rich,9.56
Khanid,Nohshayess,Ipref,Ipref I,Lustering Alloy,Poor,10.91
Khanid,Nohshayess,Ipref,Ipref I,Base Metals,Poor,2.72
Khanid,Nohshayess,Ipref,Ipref II,Lustering Alloy,Medium,13.45
Khanid,Nohshayess,Ipref,Ipref II,Base Metals,Poor,2.20
Khanid,Nohshayess,Ipref,Ipref III,Noble Metals,Rich,18.44
Khanid,Nohshayess,Ipref,Ipref III,Heavy Water,Rich,154.08
Khanid,Nohshayess,Ipref,Ipref III,Liquid Ozone,Medium,16.98
Khanid,Nohshayess,Ipref,Ipref IV,Lustering Alloy,Medium,13.28
