Region,Constellation,System,Name,Item,Rate,Output
Kor-Azor,Jatari,Fensi,Fensi I,Toxic Metals,Medium,4.80
Kor-Azor,Jatari,Fensi,Fensi I,Industrial Fibers,Medium,5.29
Kor-Azor,Jatari,Fensi,Fensi I,Supertensile Plastics,Poor,9.47
Kor-Azor,Jatari,Fensi,Fensi II,Base Metals,Poor,3.79
Kor-Azor,Jatari,Fensi,Fensi II,Industrial Fibers,Poor,3.44
Kor-Azor,Jatari,Fensi,Fensi II,Silicate Glass,Medium,10.09
Kor-Azor,Jatari,Fensi,Fensi III,Precious Alloy,Poor,11.87
Kor-Azor,Jatari,Fensi,Fensi III,Base Metals,Medium,4.60
Kor-Azor,Jatari,Fensi,Fensi III,Industrial Fibers,Medium,4.90
Kor-Azor,Jatari,Fensi,Fensi IV,Lucent Compound,Rich,22.71
Kor-Azor,Jatari,Fensi,Fensi IV,Supertensile Plastics,Medium,13.82
Kor-Azor,Jatari,Fensi,Fensi IV,Construction Blocks,Medium,20.52
Kor-Azor,Jatari,Fensi,Fensi V,Base Metals,Medium,4.39
Kor-Azor,Jatari,Fensi,Fensi V,Industrial Fibers,Poor,2.97
Kor-Azor,Jatari,Fensi,Fensi V,Supertensile Plastics,Poor,7.87
Kor-Azor,Jatari,Fensi,Fensi VI,Glossy Compound,Rich,24.65
Kor-Azor,Jatari,Fensi,Fensi VI,Reactive Gas,Medium,20.60
Kor-Azor,Jatari,Fensi,Fensi VI,Noble Gas,Rich,21.84
Kor-Azor,Jatari,Fensi,Fensi VI,Coolant,Perfect,18.05
Kor-Azor,Jatari,Fensi,Fensi VII,Reactive Gas,Poor,15.20
Kor-Azor,Jatari,Fensi,Fensi VII,Noble Gas,Medium,16.17
Kor-Azor,Jatari,Fensi,Fensi VII,Base Metals,Rich,6.03
Kor-Azor,Jatari,Fensi,Fensi VII,Coolant,Rich,17.14
Kor-Azor,Jatari,Fensi,Fensi VIII,Precious Alloy,Rich,23.53
Kor-Azor,Jatari,Fensi,Fensi VIII,Heavy Metals,Medium,17.53
Kor-Azor,Jatari,Fensi,Fensi VIII,Coolant,Medium,11.14
Kor-Azor,Jatari,Nebian,Nebian I,Precious Alloy,Medium,20.01
Kor-Azor,Jatari,Nebian,Nebian I,Industrial Fibers,Poor,3.63
Kor-Azor,Jatari,Nebian,Nebian I,Supertensile Plastics,Medium,10.87
Kor-Azor,Jatari,Nebian,Nebian II,Reactive Gas,Poor,13.79
