Region,Constellation,System,Name,Item,Rate,Output
Lonetrek,Okunda,Dantumi,Dantumi I,Lustering Alloy,Medium,16.41
Lonetrek,Okunda,Dantumi,Dantumi I,Base Metals,Poor,3.22
Lonetrek,Okunda,Dantumi,Dantumi I,Industrial Fibers,Poor,3.17
Lonetrek,Okunda,Dantumi,Dantumi II,Lustering Alloy,Medium,19.16
Lonetrek,Okunda,Dantumi,Dantumi II,Industrial Fibers,Medium,5.09
Lonetrek,Okunda,Dantumi,Dantumi II,Silicate Glass,Medium,10.04
Lonetrek,Okunda,Dantumi,Dantumi III,Fiber Composite,Rich,24.26
Lonetrek,Okunda,Dantumi,Dantumi III,Reactive Gas,Medium,20.71
Lonetrek,Okunda,Dantumi,Dantumi III,Base Metals,Rich,6.67
Lonetrek,Okunda,Dantumi,Dantumi III,Smartfab Units,Medium,14.11
Lonetrek,Okunda,Dantumi,Dantumi IV,Glossy Compound,Poor,15.52
Lonetrek,Okunda,Dantumi,Dantumi IV,Noble Gas,Poor,15.30
Lonetrek,Okunda,Dantumi,Dantumi IV,Polyaramids,Medium,11.78
Lonetrek,Okunda,Dantumi,Dantumi IV,Coolant,Rich,15.67
Lonetrek,Okunda,Dantumi,Dantumi V,Noble Gas,Medium,20.25
Lonetrek,Okunda,Dantumi,Dantumi V,Reactive Metals,Rich,6.94
Lonetrek,Okunda,Dantumi,Dantumi V,Polyaramids,Rich,15.72
Lonetrek,Okunda,Dantumi,Dantumi V,Ionic Solutions,Poor,5.98
Lonetrek,Okunda,Dantumi,Dantumi VI,Fiber Composite,Medium,18.00
Lonetrek,Okunda,Dantumi,Dantumi VI,Glossy Compound,Medium,18.36
Lonetrek,Okunda,Dantumi,Dantumi VI,Noble Gas,Medium,16.34
Lonetrek,Okunda,Dantumi,Dantumi VI,Polyaramids,Rich,17.25
Lonetrek,Okunda,Antiainen,Antiainen I,Lustering Alloy,Medium,16.96
Lonetrek,Okunda,Antiainen,Antiainen I,Base Metals,Poor,2.86
Lonetrek,Okunda,Antiainen,Antiainen II,Lustering Alloy,Poor,10.44
Lonetrek,Okunda,Antiainen,Antiainen II,Base Metals,Medium,4.26
Lonetrek,Okunda,Antiainen,Antiainen III,Suspended Plasma,Medium,68.09
Lonetrek,Okunda,Antiainen,Antiainen III,Oxygen Isotopes,Medium,2.76
Lonetrek,Okunda,Antiainen,Antiainen IV,Toxic Metals,Rich,5.16
Lonetrek,Okunda,Antiainen,Antiainen IV,Suspended Plasma,Medium,58.54
Lonetrek,Okunda,Antiainen,Antiainen V,Gleaming Alloy,Poor,12.63
Lonetrek,Okunda,Antiainen,Antiainen V,Suspended Plasma,Medium,55.19
Lonetrek,Okunda,Antiainen,Antiainen VI,Coolant,Rich,15.69
Lonetrek,Okunda,Antiainen,Antiainen VI,Heavy Water,Medium,163.35
Lonetrek,Okunda,Antiainen,Antiainen VI,Liquid Ozone,Poor,17.12
Lonetrek,Okunda,Antiainen,Antiainen VII,Toxic Metals,Poor,3.50
Lonetrek,Okunda,Antiainen,Antiainen VII,Suspended Plasma,Medium,63.83
Lonetrek,Okunda,Ossa,Ossa I,Lustering Alloy,Poor,12.63
Lonetrek,Okunda,Ossa,Ossa I,Base Metals,Poor,3.53
Lonetrek,Okunda,Ossa,Ossa II,Lustering Alloy,Medium,16.29
Lonetrek,Okunda,Ossa,Ossa II,Base Metals,Poor,2.66
Lonetrek,Okunda,Ossa,Ossa III,Lustering Alloy,Perfect,24.70
Lonetrek,Okunda,Ossa,Ossa III,Base Metals,Poor,3.53
Lonetrek,Okunda,Ossa,Ossa III,Polyaramids,Rich,15.44
Lonetrek,Okunda,Ossa,Ossa IV,Lustering Alloy,Poor,14.04
Lonetrek,Okunda,Ossa,Ossa IV,Base Metals,Poor,2.70
Lonetrek,Okunda,Ossa,Ossa V,Lustering Alloy,Poor,13.57
Lonetrek,Okunda,Ossa,Ossa V,Base Metals,Poor,2.47
Lonetrek,Okunda,Ossa,Ossa VI,Lustering Alloy,Rich,21.39
Lonetrek,Okunda,Ossa,Ossa VI,Base Metals,Rich,5.77
Lonetrek,Okunda,Ossa,Ossa VI,Reactive Metals,Medium,4.59
Lonetrek,Okunda,Ossa,Ossa VII,Lustering Alloy,Rich,20.16
Lonetrek,Okunda,Ossa,Ossa VII,Base Metals,Rich,5.58
Lonetrek,Okunda,Ossa,Ossa VII,Coolant,Medium,10.21
Lonetrek,Okunda,Ossa,Ossa VIII,Nanites,Rich,5.70
Lonetrek,Okunda,Ossa,Ossa VIII,Suspended Plasma,Rich,78.19
Lonetrek,Okunda,Ossa,Ossa IX,Lustering Alloy,Medium,16.20
Lonetrek,Okunda,Ossa,Ossa IX,Base Metals,Rich,5.23
Lonetrek,Okunda,Semiki,Semiki I,Motley Compound,Medium,15.64
Lonetrek,Okunda,Semiki,Semiki I,Polyaramids,Perfect,16.34
Lonetrek,Okunda,Semiki,Semiki II,Construction Blocks,Rich,20.57
Lonetrek,Okunda,Semiki,Semiki II,Suspended Plasma,Poor,49.90
Lonetrek,Okunda,Semiki,Semiki III,Construction Blocks,Rich,22.86
Lonetrek,Okunda,Semiki,Semiki III,Suspended Plasma,Perfect,86.56
Lonetrek,Okunda,Semiki,Semiki IV,Lustering Alloy,Poor,13.80
Lonetrek,Okunda,Semiki,Semiki IV,Fiber Composite,Poor,13.01
Lonetrek,Okunda,Semiki,Semiki IV,Base Metals,Rich,5.39
Lonetrek,Okunda,Semiki,Semiki V,Lustering Alloy,Poor,13.98
Lonetrek,Okunda,Semiki,Semiki V,Base Metals,Medium,3.74
Lonetrek,Okunda,Semiki,Semiki VI,Lustering Alloy,Medium,15.42
Lonetrek,Okunda,Semiki,Semiki VI,Glossy Compound,Perfect,24.29
Lonetrek,Okunda,Semiki,Semiki VI,Base Metals,Rich,6.26
Lonetrek,Okunda,Semiki,Semiki VII,Gleaming Alloy,Medium,16.21
Lonetrek,Okunda,Semiki,Semiki VII,Suspended Plasma,Rich,70.04
Lonetrek,Okunda,Semiki,Semiki VIII,Lustering Alloy,Rich,20.98
