Region,Constellation,System,Name,Item,Rate,Output
Metropolis,Barvigrard,Bei,Bei I,Lustering Alloy,Poor,10.44
Metropolis,Barvigrard,Bei,Bei I,Base Metals,Medium,3.92
Metropolis,Barvigrard,Bei,Bei II,Lustering Alloy,Poor,10.47
Metropolis,Barvigrard,Bei,Bei II,Base Metals,Poor,3.03
Metropolis,Barvigrard,Bei,Bei III,Lustering Alloy,Medium,18.39
Metropolis,Barvigrard,Bei,Bei III,Base Metals,Poor,3.23
Metropolis,Barvigrard,Bei,Bei IV,Lustering Alloy,Poor,12.73
Metropolis,Barvigrard,Bei,Bei IV,Base Metals,Poor,2.48
Metropolis,Barvigrard,Bei,Bei V,Motley Compound,Medium,14.18
Metropolis,Barvigrard,Bei,Bei V,Noble Gas,Rich,19.79
Metropolis,Barvigrard,Bei,Bei VI,Lustering Alloy,Rich,22.38
Metropolis,Barvigrard,Bei,Bei VI,Base Metals,Medium,4.19
Metropolis,Barvigrard,Bei,Bei VI,Coolant,Perfect,16.26
Metropolis,Barvigrard,Bei,Bei VII,Lustering Alloy,Perfect,24.18
Metropolis,Barvigrard,Bei,Bei VII,Reactive Gas,Rich,21.86
Metropolis,Barvigrard,Bei,Bei VII,Base Metals,Medium,4.18
Metropolis,Barvigrard,Bei,Bei VIII,Lustering Alloy,Rich,21.66
Metropolis,Barvigrard,Bei,Bei VIII,Noble Gas,Medium,18.90
Metropolis,Barvigrard,Bei,Bei VIII,Base Metals,Medium,4.91
Metropolis,Barvigrard,Bei,Bei IX,Lustering Alloy,Rich,23.19
Metropolis,Barvigrard,Bei,Bei IX,Base Metals,Medium,4.30
Metropolis,Barvigrard,Bei,Bei IX,Reactive Metals,Rich,5.73
Metropolis,Barvigrard,Bei,Bei X,Lustering Alloy,Poor,13.83
Metropolis,Barvigrard,Bei,Bei X,Reactive Gas,Medium,14.64
Metropolis,Barvigrard,Bei,Bei X,Base Metals,Rich,5.95
Metropolis,Barvigrard,Bei,Bei XI,Lustering Alloy,Rich,20.95
Metropolis,Barvigrard,Bei,Bei XI,Base Metals,Rich,5.17
Metropolis,Barvigrard,Uttindar,Uttindar I,Motley Compound,Rich,21.09
Metropolis,Barvigrard,Uttindar,Uttindar I,Plasmoids,Medium,1.10
Metropolis,Barvigrard,Uttindar,Uttindar II,Lucent Compound,Medium,15.16
Metropolis,Barvigrard,Uttindar,Uttindar II,Heavy Metals,Rich,21.75
Metropolis,Barvigrard,Uttindar,Uttindar II,Suspended Plasma,Perfect,92.50
Metropolis,Barvigrard,Uttindar,Uttindar III,Lustering Alloy,Medium,16.25
Metropolis,Barvigrard,Uttindar,Uttindar III,Base Metals,Poor,2.54
Metropolis,Barvigrard,Uttindar,Uttindar IV,Lustering Alloy,Poor,9.53
Metropolis,Barvigrard,Uttindar,Uttindar IV,Base Metals,Poor,3.16
Metropolis,Barvigrard,Uttindar,Uttindar V,Lustering Alloy,Poor,13.72
Metropolis,Barvigrard,Uttindar,Uttindar V,Noble Gas,Perfect,24.78
Metropolis,Barvigrard,Uttindar,Uttindar V,Base Metals,Rich,5.91
Metropolis,Barvigrard,Uttindar,Uttindar VI,Lustering Alloy,Rich,20.64
Metropolis,Barvigrard,Uttindar,Uttindar VI,Fiber Composite,Medium,16.50
Metropolis,Barvigrard,Uttindar,Uttindar VI,Base Metals,Rich,6.24
Metropolis,Barvigrard,Uttindar,Uttindar VII,Supertensile Plastics,Rich,13.42
Metropolis,Barvigrard,Uttindar,Uttindar VII,Suspended Plasma,Rich,82.24
Metropolis,Barvigrard,Hagilur,Hagilur I,Lustering Alloy,Medium,18.58
Metropolis,Barvigrard,Hagilur,Hagilur I,Toxic Metals,Poor,4.19
Metropolis,Barvigrard,Hagilur,Hagilur I,Industrial Fibers,Medium,4.38
Metropolis,Barvigrard,Hagilur,Hagilur II,Lucent Compound,Rich,22.58
Metropolis,Barvigrard,Hagilur,Hagilur II,Crystal Compound,Rich,24.73
Metropolis,Barvigrard,Hagilur,Hagilur II,Construction Blocks,Medium,21.44
Metropolis,Barvigrard,Hagilur,Hagilur III,Construction Blocks,Medium,19.19
Metropolis,Barvigrard,Hagilur,Hagilur III,Nanites,Medium,4.54
Metropolis,Barvigrard,Hagilur,Hagilur III,Suspended Plasma,Poor,49.88
Metropolis,Barvigrard,Hagilur,Hagilur IV,Reactive Gas,Rich,26.96
Metropolis,Barvigrard,Hagilur,Hagilur IV,Noble Gas,Medium,19.99
Metropolis,Barvigrard,Hagilur,Hagilur IV,Reactive Metals,Medium,5.25
Metropolis,Barvigrard,Hagilur,Hagilur IV,Coolant,Rich,15.93
Metropolis,Barvigrard,Hagilur,Hagilur V,Glossy Compound,Medium,19.60
Metropolis,Barvigrard,Hagilur,Hagilur V,Reactive Gas,Perfect,27.17
Metropolis,Barvigrard,Hagilur,Hagilur V,Noble Gas,Rich,26.13
Metropolis,Barvigrard,Hagilur,Hagilur V,Base Metals,Rich,6.00
Metropolis,Barvigrard,Hagilur,Hagilur VI,Base Metals,Poor,4.10
Metropolis,Barvigrard,Hagilur,Hagilur VI,Industrial Fibers,Poor,3.54
Metropolis,Barvigrard,Hagilur,Hagilur VI,Oxygen Isotopes,Poor,2.03
Metropolis,Barvigrard,Anher,Anher I,Industrial Fibers,Poor,3.65
Metropolis,Barvigrard,Anher,Anher I,Supertensile Plastics,Poor,8.06
Metropolis,Barvigrard,Anher,Anher I,Oxygen Isotopes,Medium,2.60
Metropolis,Barvigrard,Anher,Anher II,Fiber Composite,Rich,20.38
Metropolis,Barvigrard,Anher,Anher II,Opulent Compound,Perfect,27.82
Metropolis,Barvigrard,Anher,Anher II,Base Metals,Perfect,6.99
Metropolis,Barvigrard,Anher,Anher II,Noble Metals,Perfect,30.27
Metropolis,Barvigrard,Anher,Anher III,Precious Alloy,Poor,11.44
Metropolis,Barvigrard,Anher,Anher III,Industrial Fibers,Medium,4.97
Metropolis,Barvigrard,Anher,Anher III,Oxygen Isotopes,Poor,1.56
Metropolis,Barvigrard,Anher,Anher IV,Lustering Alloy,Rich,22.48
Metropolis,Barvigrard,Anher,Anher IV,Glossy Compound,Poor,13.68
Metropolis,Barvigrard,Anher,Anher IV,Noble Gas,Rich,24.78
Metropolis,Barvigrard,Anher,Anher IV,Base Metals,Poor,3.70
Metropolis,Barvigrard,Anher,Anher V,Glossy Compound,Medium,19.06
Metropolis,Barvigrard,Anher,Anher V,Reactive Gas,Medium,16.72
Metropolis,Barvigrard,Anher,Anher V,Noble Gas,Medium,16.98
Metropolis,Barvigrard,Anher,Anher V,Base Metals,Rich,5.48
Metropolis,Barvigrard,Anher,Anher VI,Sheen Compound,Medium,16.53
Metropolis,Barvigrard,Anher,Anher VI,Glossy Compound,Rich,21.70
Metropolis,Barvigrard,Anher,Anher VI,Noble Gas,Rich,24.03
Metropolis,Barvigrard,Anher,Anher VI,Base Metals,Poor,3.96
Metropolis,Barvigrard,Anher,Anher VII,Industrial Fibers,Medium,4.94
Metropolis,Barvigrard,Anher,Anher VII,Coolant,Medium,11.89
Metropolis,Barvigrard,Anher,Anher VII,Suspended Plasma,Rich,84.15
Metropolis,Barvigrard,Ragnarg,Ragnarg I,Industrial Fibers,Poor,3.59
Metropolis,Barvigrard,Ragnarg,Ragnarg I,Silicate Glass,Poor,6.62
Metropolis,Barvigrard,Ragnarg,Ragnarg I,Plasmoids,Medium,1.11
Metropolis,Barvigrard,Ragnarg,Ragnarg II,Base Metals,Medium,4.51
Metropolis,Barvigrard,Ragnarg,Ragnarg II,Industrial Fibers,Poor,4.00
Metropolis,Barvigrard,Ragnarg,Ragnarg II,Supertensile Plastics,Medium,13.93
Metropolis,Barvigrard,Ragnarg,Ragnarg III,Fiber Composite,Perfect,27.86
Metropolis,Barvigrard,Ragnarg,Ragnarg III,Opulent Compound,Medium,17.85
Metropolis,Barvigrard,Ragnarg,Ragnarg III,Reactive Gas,Medium,20.13
Metropolis,Barvigrard,Ragnarg,Ragnarg III,Condensates,Perfect,20.16
Metropolis,Barvigrard,Ragnarg,Ragnarg IV,Condensed Alloy,Rich,26.38
Metropolis,Barvigrard,Ragnarg,Ragnarg IV,Fiber Composite,Medium,17.22
Metropolis,Barvigrard,Ragnarg,Ragnarg IV,Base Metals,Medium,5.32
Metropolis,Barvigrard,Ragnarg,Ragnarg IV,Condensates,Rich,17.87
Metropolis,Barvigrard,Ragnarg,Ragnarg V,Fiber Composite,Medium,19.28
Metropolis,Barvigrard,Ragnarg,Ragnarg V,Glossy Compound,Medium,18.58
Metropolis,Barvigrard,Ragnarg,Ragnarg V,Noble Gas,Medium,16.41
Metropolis,Barvigrard,Ragnarg,Ragnarg V,Ionic Solutions,Perfect,10.96
Metropolis,Barvigrard,Ragnarg,Ragnarg VI,Lustering Alloy,Medium,16.54
Metropolis,Barvigrard,Ragnarg,Ragnarg VI,Fiber Composite,Medium,20.74
Metropolis,Barvigrard,Ragnarg,Ragnarg VI,Reactive Gas,Medium,19.91
Metropolis,Barvigrard,Ragnarg,Ragnarg VI,Noble Gas,Medium,18.21
Metropolis,Barvigrard,Hek,Hek I,Gleaming Alloy,Medium,14.89
Metropolis,Barvigrard,Hek,Hek I,Motley Compound,Rich,19.74
