Region,Constellation,System,Name,Item,Rate,Output
Molden Heath,Fittakan,Aeddin,Aeddin I,Lustering Alloy,Poor,12.02
Molden Heath,Fittakan,Aeddin,Aeddin I,Base Metals,Medium,4.29
Molden Heath,Fittakan,Aeddin,Aeddin II,Lustering Alloy,Medium,15.42
Molden Heath,Fittakan,Aeddin,Aeddin II,Base Metals,Medium,3.75
Molden Heath,Fittakan,Aeddin,Aeddin III,Smartfab Units,Medium,10.15
Molden Heath,Fittakan,Aeddin,Aeddin III,Heavy Water,Rich,232.65
Molden Heath,Fittakan,Aeddin,Aeddin III,Liquid Ozone,Rich,28.91
Molden Heath,Fittakan,Aeddin,Aeddin IV,Lustering Alloy,Poor,13.89
Molden Heath,Fittakan,Aeddin,Aeddin IV,Base Metals,Medium,4.12
Molden Heath,Fittakan,Aeddin,Aeddin V,Construction Blocks,Poor,12.99
Molden Heath,Fittakan,Aeddin,Aeddin V,Suspended Plasma,Perfect,86.62
Molden Heath,Fittakan,Aeddin,Aeddin VI,Gleaming Alloy,Rich,22.41
Molden Heath,Fittakan,Aeddin,Aeddin VI,Suspended Plasma,Rich,84.35
Molden Heath,Fittakan,Aeddin,Aeddin VII,Toxic Metals,Perfect,6.86
Molden Heath,Fittakan,Aeddin,Aeddin VII,Heavy Water,Perfect,256.05
Molden Heath,Fittakan,Aeddin,Aeddin VII,Ionic Solutions,Medium,6.93
Molden Heath,Fittakan,Aeddin,Aeddin VIII,Lustering Alloy,Medium,16.95
Molden Heath,Fittakan,Aeddin,Aeddin VIII,Noble Gas,Rich,22.70
Molden Heath,Fittakan,Aeddin,Aeddin VIII,Base Metals,Poor,3.60
Molden Heath,Fittakan,Aeddin,Aeddin IX,Condensed Alloy,Rich,20.20
Molden Heath,Fittakan,Aeddin,Aeddin IX,Noble Metals,Rich,19.91
Molden Heath,Fittakan,Aeddin,Aeddin IX,Heavy Water,Rich,207.90
Molden Heath,Fittakan,Gulfonodi,Gulfonodi I,Lustering Alloy,Medium,17.87
Molden Heath,Fittakan,Gulfonodi,Gulfonodi I,Industrial Fibers,Medium,4.14
Molden Heath,Fittakan,Gulfonodi,Gulfonodi I,Construction Blocks,Medium,19.34
Molden Heath,Fittakan,Gulfonodi,Gulfonodi II,Dark Compound,Poor,11.46
Molden Heath,Fittakan,Gulfonodi,Gulfonodi II,Industrial Fibers,Poor,3.31
Molden Heath,Fittakan,Gulfonodi,Gulfonodi II,Oxygen Isotopes,Medium,2.72
Molden Heath,Fittakan,Gulfonodi,Gulfonodi III,Base Metals,Poor,3.36
Molden Heath,Fittakan,Gulfonodi,Gulfonodi III,Industrial Fibers,Poor,2.75
Molden Heath,Fittakan,Gulfonodi,Gulfonodi III,Construction Blocks,Poor,11.46
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IV,Precious Alloy,Medium,18.66
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IV,Toxic Metals,Poor,3.30
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IV,Industrial Fibers,Poor,3.89
Molden Heath,Fittakan,Gulfonodi,Gulfonodi V,Industrial Fibers,Medium,4.58
Molden Heath,Fittakan,Gulfonodi,Gulfonodi V,Supertensile Plastics,Medium,10.72
Molden Heath,Fittakan,Gulfonodi,Gulfonodi V,Oxygen Isotopes,Medium,2.54
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VI,Noble Gas,Perfect,25.60
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VI,Construction Blocks,Rich,21.18
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VII,Gleaming Alloy,Rich,24.34
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VII,Toxic Metals,Rich,5.86
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VII,Construction Blocks,Medium,19.90
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VIII,Lustering Alloy,Rich,24.72
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VIII,Noble Gas,Medium,19.49
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VIII,Base Metals,Medium,4.38
Molden Heath,Fittakan,Gulfonodi,Gulfonodi VIII,Coolant,Rich,16.44
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IX,Gleaming Alloy,Medium,15.92
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IX,Construction Blocks,Rich,25.30
Molden Heath,Fittakan,Gulfonodi,Gulfonodi IX,Suspended Plasma,Medium,59.33
Molden Heath,Fittakan,Gulfonodi,Gulfonodi X,Lustering Alloy,Poor,13.14
Molden Heath,Fittakan,Gulfonodi,Gulfonodi X,Reactive Gas,Perfect,25.94
Molden Heath,Fittakan,Gulfonodi,Gulfonodi X,Noble Gas,Rich,24.85
Molden Heath,Fittakan,Gulfonodi,Gulfonodi X,Ionic Solutions,Rich,9.21
Molden Heath,Fittakan,Gulfonodi,Gulfonodi XI,Opulent Compound,Medium,15.74
Molden Heath,Fittakan,Gulfonodi,Gulfonodi XI,Toxic Metals,Rich,5.49
Molden Heath,Fittakan,Gulfonodi,Gulfonodi XI,Coolant,Rich,16.42
Molden Heath,Fittakan,Gulfonodi,Gulfonodi XI,Ionic Solutions,Medium,6.93
Molden Heath,Fittakan,Teonusude,Teonusude I,Lustering Alloy,Medium,18.45
Molden Heath,Fittakan,Teonusude,Teonusude I,Base Metals,Medium,4.38
Molden Heath,Fittakan,Teonusude,Teonusude I,Ionic Solutions,Rich,7.61
Molden Heath,Fittakan,Teonusude,Teonusude II,Gleaming Alloy,Rich,21.27
Molden Heath,Fittakan,Teonusude,Teonusude II,Suspended Plasma,Medium,51.19
Molden Heath,Fittakan,Teonusude,Teonusude III,Lustering Alloy,Medium,17.23
Molden Heath,Fittakan,Teonusude,Teonusude III,Base Metals,Rich,5.27
Molden Heath,Fittakan,Teonusude,Teonusude III,Coolant,Rich,12.73
Molden Heath,Fittakan,Teonusude,Teonusude IV,Lustering Alloy,Rich,21.11
Molden Heath,Fittakan,Teonusude,Teonusude IV,Base Metals,Rich,5.74
Molden Heath,Fittakan,Teonusude,Teonusude V,Lustering Alloy,Poor,12.69
Molden Heath,Fittakan,Teonusude,Teonusude V,Base Metals,Poor,2.98
Molden Heath,Fittakan,Teonusude,Teonusude VI,Lustering Alloy,Poor,13.90
Molden Heath,Fittakan,Teonusude,Teonusude VI,Base Metals,Poor,3.08
Molden Heath,Fittakan,Teonusude,Teonusude VII,Lustering Alloy,Poor,13.11
Molden Heath,Fittakan,Teonusude,Teonusude VII,Base Metals,Poor,3.66
Molden Heath,Fittakan,Teonusude,Teonusude VIII,Lustering Alloy,Poor,13.66
