Region,Constellation,System,Name,Item,Rate,Output
Omist,O5QG-M,9MWZ-B,9MWZ-B I,Gleaming Alloy,Rich,31.08
Omist,O5QG-M,9MWZ-B,9MWZ-B I,Noble Gas,Rich,28.84
Omist,O5QG-M,9MWZ-B,9MWZ-B I,Construction Blocks,Perfect,32.06
Omist,O5QG-M,9MWZ-B,9MWZ-B II,Lustering Alloy,Medium,24.30
Omist,O5QG-M,9MWZ-B,9MWZ-B II,Precious Alloy,Poor,16.46
Omist,O5QG-M,9MWZ-B,9MWZ-B II,Supertensile Plastics,Poor,12.09
Omist,O5QG-M,9MWZ-B,9MWZ-B II,Construction Blocks,Medium,23.18
Omist,O5QG-M,9MWZ-B,9MWZ-B III,Gleaming Alloy,Rich,31.22
Omist,O5QG-M,9MWZ-B,9MWZ-B III,Reactive Metals,Medium,5.65
Omist,O5QG-M,9MWZ-B,9MWZ-B III,Toxic Metals,Medium,5.23
Omist,O5QG-M,9MWZ-B,9MWZ-B III,Construction Blocks,Medium,20.84
Omist,O5QG-M,9MWZ-B,9MWZ-B IV,Gleaming Alloy,Rich,26.22
Omist,O5QG-M,9MWZ-B,9MWZ-B IV,Reactive Metals,Medium,5.74
Omist,O5QG-M,9MWZ-B,9MWZ-B IV,Suspended Plasma,Medium,78.48
Omist,O5QG-M,9MWZ-B,9MWZ-B IV,Oxygen Isotopes,Medium,3.62
Omist,O5QG-M,9MWZ-B,9MWZ-B V,Gleaming Alloy,Rich,28.42
Omist,O5QG-M,9MWZ-B,9MWZ-B V,Crystal Compound,Medium,23.36
Omist,O5QG-M,9MWZ-B,9MWZ-B V,Reactive Gas,Medium,20.50
Omist,O5QG-M,9MWZ-B,9MWZ-B V,Reactive Metals,Rich,7.62
Omist,O5QG-M,9MWZ-B,9MWZ-B VI,Condensed Alloy,Perfect,36.72
Omist,O5QG-M,9MWZ-B,9MWZ-B VI,Reactive Gas,Rich,29.64
Omist,O5QG-M,9MWZ-B,9MWZ-B VI,Noble Metals,Perfect,32.26
Omist,O5QG-M,9MWZ-B,9MWZ-B VI,Heavy Water,Rich,283.60
Omist,O5QG-M,9MWZ-B,9MWZ-B VI,Liquid Ozone,Medium,25.23
Omist,O5QG-M,9MWZ-B,9MWZ-B VII,Gleaming Alloy,Rich,27.28
Omist,O5QG-M,9MWZ-B,9MWZ-B VII,Noble Gas,Rich,30.08
Omist,O5QG-M,9MWZ-B,9MWZ-B VII,Noble Metals,Medium,19.14
Omist,O5QG-M,9MWZ-B,9MWZ-B VIII,Condensed Alloy,Perfect,33.12
Omist,O5QG-M,9MWZ-B,9MWZ-B VIII,Fiber Composite,Perfect,37.72
Omist,O5QG-M,9MWZ-B,9MWZ-B VIII,Industrial Fibers,Rich,6.88
Omist,O5QG-M,9MWZ-B,9MWZ-B VIII,Condensates,Perfect,22.23
Omist,O5QG-M,9MWZ-B,9MWZ-B VIII,Liquid Ozone,Medium,26.50
Omist,O5QG-M,9MWZ-B,9MWZ-B IX,Fiber Composite,Medium,19.18
Omist,O5QG-M,9MWZ-B,9MWZ-B IX,Glossy Compound,Rich,28.86
Omist,O5QG-M,9MWZ-B,9MWZ-B IX,Reactive Gas,Perfect,33.12
