Region,Constellation,System,Name,Item,Rate,Output
Outer Ring,Crown,C0T-77,C0T-77 I,Gleaming Alloy,Poor,17.52
Outer Ring,Crown,C0T-77,C0T-77 I,Motley Compound,Rich,30.12
Outer Ring,Crown,C0T-77,C0T-77 I,Noble Gas,Rich,31.70
Outer Ring,Crown,C0T-77,C0T-77 II,Base Metals,Poor,4.08
Outer Ring,Crown,C0T-77,C0T-77 II,Industrial Fibers,Poor,3.98
Outer Ring,Crown,C0T-77,C0T-77 II,Supertensile Plastics,Medium,13.09
Outer Ring,Crown,C0T-77,C0T-77 II,Construction Blocks,Medium,20.26
Outer Ring,Crown,C0T-77,C0T-77 III,Opulent Compound,Medium,22.54
Outer Ring,Crown,C0T-77,C0T-77 III,Reactive Gas,Perfect,36.34
Outer Ring,Crown,C0T-77,C0T-77 III,Base Metals,Perfect,10.04
Outer Ring,Crown,C0T-77,C0T-77 III,Noble Metals,Medium,21.32
Outer Ring,Crown,C0T-77,C0T-77 III,Liquid Ozone,Medium,29.25
Outer Ring,Crown,C0T-77,C0T-77 IV,Condensed Alloy,Medium,23.40
Outer Ring,Crown,C0T-77,C0T-77 IV,Noble Metals,Poor,18.04
Outer Ring,Crown,C0T-77,C0T-77 IV,Silicate Glass,Medium,11.27
Outer Ring,Crown,C0T-77,C0T-77 IV,Liquid Ozone,Medium,24.32
Outer Ring,Crown,C0T-77,C0T-77 IV,Ionic Solutions,Rich,10.44
Outer Ring,Crown,C0T-77,C0T-77 V,Gleaming Alloy,Rich,30.64
Outer Ring,Crown,C0T-77,C0T-77 V,Motley Compound,Medium,23.16
Outer Ring,Crown,C0T-77,C0T-77 V,Construction Blocks,Medium,19.24
Outer Ring,Crown,C0T-77,C0T-77 VI,Lustering Alloy,Medium,20.94
Outer Ring,Crown,C0T-77,C0T-77 VI,Glossy Compound,Medium,24.16
Outer Ring,Crown,C0T-77,C0T-77 VI,Reactive Gas,Rich,27.92
Outer Ring,Crown,C0T-77,C0T-77 VI,Noble Gas,Poor,17.28
Outer Ring,Crown,C0T-77,C0T-77 VI,Coolant,Medium,16.12
Outer Ring,Crown,C0T-77,C0T-77 VII,Glossy Compound,Poor,18.20
Outer Ring,Crown,C0T-77,C0T-77 VII,Reactive Gas,Rich,28.26
Outer Ring,Crown,C0T-77,C0T-77 VII,Base Metals,Perfect,8.42
Outer Ring,Crown,C0T-77,C0T-77 VII,Reactive Metals,Poor,4.54
Outer Ring,Crown,C0T-77,C0T-77 VII,Ionic Solutions,Rich,12.16
Outer Ring,Crown,C0T-77,C0T-77 VIII,Fiber Composite,Rich,26.86
Outer Ring,Crown,C0T-77,C0T-77 VIII,Reactive Gas,Poor,18.08
Outer Ring,Crown,C0T-77,C0T-77 VIII,Reactive Metals,Medium,5.53
Outer Ring,Crown,C0T-77,C0T-77 VIII,Polyaramids,Medium,14.61
Outer Ring,Crown,C0T-77,C0T-77 VIII,Coolant,Rich,18.21
Outer Ring,Crown,C0T-77,C0T-77 IX,Opulent Compound,Rich,26.58
Outer Ring,Crown,C0T-77,C0T-77 IX,Coolant,Perfect,23.21
Outer Ring,Crown,C0T-77,C0T-77 IX,Silicate Glass,Perfect,16.10
Outer Ring,Crown,C0T-77,C0T-77 IX,Liquid Ozone,Medium,26.63
Outer Ring,Crown,C0T-77,C0T-77 IX,Ionic Solutions,Medium,9.35
Outer Ring,Crown,C0T-77,C0T-77 X,Opulent Compound,Medium,22.28
Outer Ring,Crown,C0T-77,C0T-77 X,Noble Metals,Perfect,32.90
Outer Ring,Crown,C0T-77,C0T-77 X,Toxic Metals,Poor,4.80
Outer Ring,Crown,C0T-77,C0T-77 X,Coolant,Perfect,22.61
Outer Ring,Crown,C0T-77,C0T-77 X,Liquid Ozone,Poor,22.40
Outer Ring,Crown,RL-KT0,RL-KT0 I,Gleaming Alloy,Perfect,32.32
Outer Ring,Crown,RL-KT0,RL-KT0 I,Heavy Metals,Medium,20.56
Outer Ring,Crown,RL-KT0,RL-KT0 I,Oxygen Isotopes,Medium,3.46
Outer Ring,Crown,RL-KT0,RL-KT0 II,Gleaming Alloy,Medium,20.96
Outer Ring,Crown,RL-KT0,RL-KT0 II,Construction Blocks,Medium,20.44
Outer Ring,Crown,RL-KT0,RL-KT0 II,Oxygen Isotopes,Medium,3.51
Outer Ring,Crown,RL-KT0,RL-KT0 III,Lustering Alloy,Medium,20.92
Outer Ring,Crown,RL-KT0,RL-KT0 III,Dark Compound,Medium,19.14
Outer Ring,Crown,RL-KT0,RL-KT0 III,Supertensile Plastics,Medium,13.01
Outer Ring,Crown,RL-KT0,RL-KT0 III,Plasmoids,Poor,1.11
Outer Ring,Crown,RL-KT0,RL-KT0 IV,Condensed Alloy,Perfect,32.20
Outer Ring,Crown,RL-KT0,RL-KT0 IV,Opulent Compound,Medium,24.10
Outer Ring,Crown,RL-KT0,RL-KT0 IV,Reactive Gas,Medium,22.12
Outer Ring,Crown,RL-KT0,RL-KT0 IV,Smartfab Units,Perfect,23.28
Outer Ring,Crown,RL-KT0,RL-KT0 IV,Liquid Ozone,Medium,29.38
Outer Ring,Crown,RL-KT0,RL-KT0 V,Precious Alloy,Medium,23.02
Outer Ring,Crown,RL-KT0,RL-KT0 V,Base Metals,Medium,5.08
Outer Ring,Crown,RL-KT0,RL-KT0 V,Supertensile Plastics,Poor,10.07
Outer Ring,Crown,RL-KT0,RL-KT0 V,Oxygen Isotopes,Medium,3.47
Outer Ring,Crown,RL-KT0,RL-KT0 VI,Reactive Gas,Rich,31.46
Outer Ring,Crown,RL-KT0,RL-KT0 VI,Base Metals,Perfect,8.49
Outer Ring,Crown,RL-KT0,RL-KT0 VI,Noble Metals,Rich,27.42
Outer Ring,Crown,RL-KT0,RL-KT0 VI,Condensates,Rich,18.00
Outer Ring,Crown,RL-KT0,RL-KT0 VI,Liquid Ozone,Rich,38.42
Outer Ring,Crown,RL-KT0,RL-KT0 VII,Reactive Gas,Poor,18.02
Outer Ring,Crown,RL-KT0,RL-KT0 VII,Base Metals,Rich,8.34
Outer Ring,Crown,RL-KT0,RL-KT0 VII,Reactive Metals,Perfect,8.45
Outer Ring,Crown,RL-KT0,RL-KT0 VII,Polyaramids,Medium,16.09
Outer Ring,Crown,RL-KT0,RL-KT0 VII,Coolant,Rich,18.20
Outer Ring,Crown,RL-KT0,RL-KT0 VIII,Lustering Alloy,Medium,23.60
Outer Ring,Crown,RL-KT0,RL-KT0 VIII,Sheen Compound,Medium,21.38
Outer Ring,Crown,RL-KT0,RL-KT0 VIII,Reactive Gas,Poor,16.82
Outer Ring,Crown,RL-KT0,RL-KT0 VIII,Noble Gas,Medium,23.50
Outer Ring,Crown,RL-KT0,RL-KT0 VIII,Polyaramids,Medium,16.60
Outer Ring,Crown,RL-KT0,RL-KT0 IX,Fiber Composite,Medium,19.70
Outer Ring,Crown,RL-KT0,RL-KT0 IX,Industrial Fibers,Poor,4.92
Outer Ring,Crown,RL-KT0,RL-KT0 IX,Smartfab Units,Rich,17.35
Outer Ring,Crown,RL-KT0,RL-KT0 IX,Heavy Water,Perfect,363.20
Outer Ring,Crown,RL-KT0,RL-KT0 IX,Liquid Ozone,Medium,30.77
Outer Ring,Crown,RL-KT0,RL-KT0 X,Fiber Composite,Medium,23.60
Outer Ring,Crown,RL-KT0,RL-KT0 X,Reactive Gas,Rich,31.68
Outer Ring,Crown,RL-KT0,RL-KT0 X,Noble Gas,Rich,28.44
Outer Ring,Crown,RL-KT0,RL-KT0 X,Polyaramids,Rich,18.72
Outer Ring,Crown,RL-KT0,RL-KT0 X,Coolant,Medium,16.41
Outer Ring,Crown,RL-KT0,RL-KT0 XI,Sheen Compound,Medium,23.06
Outer Ring,Crown,RL-KT0,RL-KT0 XI,Reactive Gas,Rich,27.86
