Region,Constellation,System,Name,Item,Rate,Output
Period Basis,XOV7-5,L-YMYU,L-YMYU I,Precious Alloy,Poor,17.82
Period Basis,XOV7-5,L-YMYU,L-YMYU I,Dark Compound,Poor,16.66
Period Basis,XOV7-5,L-YMYU,L-YMYU I,Supertensile Plastics,Poor,11.85
Period Basis,XOV7-5,L-YMYU,L-YMYU I,Construction Blocks,Medium,24.50
Period Basis,XOV7-5,L-YMYU,L-YMYU II,Gleaming Alloy,Medium,22.16
Period Basis,XOV7-5,L-YMYU,L-YMYU II,Noble Metals,Medium,23.10
Period Basis,XOV7-5,L-YMYU,L-YMYU II,Plasmoids,Medium,1.47
Period Basis,XOV7-5,L-YMYU,L-YMYU III,Dark Compound,Medium,22.46
Period Basis,XOV7-5,L-YMYU,L-YMYU III,Toxic Metals,Poor,4.62
Period Basis,XOV7-5,L-YMYU,L-YMYU III,Supertensile Plastics,Poor,12.31
Period Basis,XOV7-5,L-YMYU,L-YMYU III,Silicate Glass,Poor,6.51
Period Basis,XOV7-5,L-YMYU,L-YMYU IV,Base Metals,Rich,8.08
Period Basis,XOV7-5,L-YMYU,L-YMYU IV,Industrial Fibers,Medium,6.46
Period Basis,XOV7-5,L-YMYU,L-YMYU IV,Condensates,Perfect,25.33
Period Basis,XOV7-5,L-YMYU,L-YMYU IV,Smartfab Units,Rich,20.25
Period Basis,XOV7-5,L-YMYU,L-YMYU IV,Liquid Ozone,Medium,31.63
Period Basis,XOV7-5,L-YMYU,L-YMYU V,Gleaming Alloy,Perfect,32.64
Period Basis,XOV7-5,L-YMYU,L-YMYU V,Crystal Compound,Poor,17.14
Period Basis,XOV7-5,L-YMYU,L-YMYU V,Reactive Metals,Poor,4.94
Period Basis,XOV7-5,L-YMYU,L-YMYU V,Oxygen Isotopes,Rich,3.84
Period Basis,XOV7-5,L-YMYU,L-YMYU VI,Condensed Alloy,Medium,23.54
Period Basis,XOV7-5,L-YMYU,L-YMYU VI,Fiber Composite,Perfect,36.92
Period Basis,XOV7-5,L-YMYU,L-YMYU VI,Smartfab Units,Rich,17.04
Period Basis,XOV7-5,L-YMYU,L-YMYU VI,Heavy Water,Perfect,379.80
Period Basis,XOV7-5,L-YMYU,L-YMYU VI,Liquid Ozone,Perfect,44.08
Period Basis,XOV7-5,L-YMYU,L-YMYU VII,Condensed Alloy,Rich,27.54
Period Basis,XOV7-5,L-YMYU,L-YMYU VII,Opulent Compound,Medium,19.90
Period Basis,XOV7-5,L-YMYU,L-YMYU VII,Base Metals,Perfect,10.01
Period Basis,XOV7-5,L-YMYU,L-YMYU VII,Heavy Water,Perfect,369.60
Period Basis,XOV7-5,L-YMYU,L-YMYU VII,Liquid Ozone,Rich,32.13
Period Basis,XOV7-5,L-YMYU,L-YMYU VIII,Sheen Compound,Rich,27.82
Period Basis,XOV7-5,L-YMYU,L-YMYU VIII,Fiber Composite,Rich,30.58
Period Basis,XOV7-5,L-YMYU,L-YMYU VIII,Reactive Gas,Rich,26.34
Period Basis,XOV7-5,L-YMYU,L-YMYU VIII,Polyaramids,Rich,19.57
Period Basis,XOV7-5,L-YMYU,L-YMYU VIII,Ionic Solutions,Rich,10.52
Period Basis,XOV7-5,L-YMYU,L-YMYU IX,Precious Alloy,Medium,21.24
Period Basis,XOV7-5,L-YMYU,L-YMYU IX,Industrial Fibers,Poor,4.49
Period Basis,XOV7-5,L-YMYU,L-YMYU IX,Supertensile Plastics,Poor,10.56
Period Basis,XOV7-5,L-YMYU,L-YMYU IX,Construction Blocks,Medium,20.68
Period Basis,XOV7-5,35-JWD,35-JWD I,Gleaming Alloy,Perfect,32.16
Period Basis,XOV7-5,35-JWD,35-JWD I,Construction Blocks,Rich,26.98
Period Basis,XOV7-5,35-JWD,35-JWD I,Smartfab Units,Rich,18.71
Period Basis,XOV7-5,35-JWD,35-JWD II,Condensed Alloy,Rich,28.58
Period Basis,XOV7-5,35-JWD,35-JWD II,Opulent Compound,Perfect,38.00
Period Basis,XOV7-5,35-JWD,35-JWD II,Reactive Gas,Rich,27.62
Period Basis,XOV7-5,35-JWD,35-JWD II,Smartfab Units,Perfect,21.37
Period Basis,XOV7-5,35-JWD,35-JWD II,Liquid Ozone,Perfect,44.40
Period Basis,XOV7-5,35-JWD,35-JWD III,Gleaming Alloy,Poor,16.58
Period Basis,XOV7-5,35-JWD,35-JWD III,Noble Gas,Medium,23.86
Period Basis,XOV7-5,35-JWD,35-JWD III,Polyaramids,Perfect,22.36
Period Basis,XOV7-5,35-JWD,35-JWD IV,Lustering Alloy,Poor,16.54
Period Basis,XOV7-5,35-JWD,35-JWD IV,Base Metals,Medium,5.24
Period Basis,XOV7-5,35-JWD,35-JWD IV,Supertensile Plastics,Poor,8.81
