Region,Constellation,System,Name,Item,Rate,Output
Placid,Viriette,Agoze,Agoze I,Noble Gas,Rich,27.32
Placid,Viriette,Agoze,Agoze I,Plasmoids,Medium,1.13
Placid,Viriette,Agoze,Agoze II,Precious Alloy,Medium,19.26
Placid,Viriette,Agoze,Agoze II,Industrial Fibers,Poor,3.03
Placid,Viriette,Agoze,Agoze II,Silicate Glass,Poor,8.02
Placid,Viriette,Agoze,Agoze III,Glossy Compound,Rich,24.59
Placid,Viriette,Agoze,Agoze III,Noble Gas,Medium,21.11
Placid,Viriette,Agoze,Agoze IV,Gleaming Alloy,Rich,26.77
Placid,Viriette,Agoze,Agoze IV,Crystal Compound,Medium,21.13
Placid,Viriette,Agoze,Agoze IV,Construction Blocks,Poor,16.51
Placid,Viriette,Agoze,Agoze V,Opulent Compound,Medium,21.94
Placid,Viriette,Agoze,Agoze V,Polyaramids,Medium,13.38
Placid,Viriette,Agoze,Agoze V,Coolant,Rich,15.29
Placid,Viriette,Agoze,Agoze V,Heavy Water,Poor,163.62
Placid,Viriette,Agoze,Agoze VI,Dark Compound,Poor,15.53
Placid,Viriette,Agoze,Agoze VI,Base Metals,Poor,3.13
Placid,Viriette,Agoze,Agoze VI,Industrial Fibers,Medium,4.78
Placid,Viriette,Agoze,Agoze VII,Dark Compound,Poor,15.39
Placid,Viriette,Agoze,Agoze VII,Industrial Fibers,Poor,4.00
Placid,Viriette,Agoze,Agoze VII,Supertensile Plastics,Poor,11.22
Placid,Viriette,Agoze,Agoze VIII,Precious Alloy,Medium,17.69
Placid,Viriette,Agoze,Agoze VIII,Industrial Fibers,Medium,5.31
Placid,Viriette,Agoze,Agoze VIII,Supertensile Plastics,Medium,13.74
Placid,Viriette,Agoze,Agoze IX,Lustering Alloy,Rich,26.12
Placid,Viriette,Agoze,Agoze IX,Fiber Composite,Rich,23.29
Placid,Viriette,Agoze,Agoze IX,Noble Gas,Poor,15.44
Placid,Viriette,Agoze,Agoze IX,Coolant,Poor,10.45
Placid,Viriette,Agoze,Agoze X,Sheen Compound,Rich,28.31
Placid,Viriette,Agoze,Agoze X,Noble Gas,Medium,19.58
Placid,Viriette,Agoze,Agoze X,Base Metals,Medium,5.28
Placid,Viriette,Agoze,Agoze X,Coolant,Medium,15.05
Placid,Viriette,Agoze,Agoze XI,Industrial Fibers,Poor,4.23
Placid,Viriette,Agoze,Agoze XI,Oxygen Isotopes,Poor,1.67
Placid,Viriette,Agoze,Agoze XI,Plasmoids,Medium,1.03
Placid,Viriette,Agoze,Agoze XII,Precious Alloy,Medium,18.36
Placid,Viriette,Agoze,Agoze XII,Supertensile Plastics,Medium,14.69
Placid,Viriette,Agoze,Agoze XII,Coolant,Medium,13.87
Placid,Viriette,Intaki,Intaki I,Lustering Alloy,Poor,17.77
Placid,Viriette,Intaki,Intaki I,Toxic Metals,Medium,5.37
Placid,Viriette,Intaki,Intaki I,Industrial Fibers,Poor,4.49
Placid,Viriette,Intaki,Intaki II,Glossy Compound,Rich,29.34
Placid,Viriette,Intaki,Intaki II,Noble Gas,Rich,25.80
Placid,Viriette,Intaki,Intaki III,Lustering Alloy,Poor,17.40
Placid,Viriette,Intaki,Intaki III,Toxic Metals,Poor,3.68
Placid,Viriette,Intaki,Intaki III,Industrial Fibers,Poor,4.20
Placid,Viriette,Intaki,Intaki IV,Opulent Compound,Perfect,32.02
Placid,Viriette,Intaki,Intaki IV,Toxic Metals,Medium,5.59
Placid,Viriette,Intaki,Intaki IV,Coolant,Perfect,21.93
Placid,Viriette,Intaki,Intaki IV,Heavy Water,Rich,285.38
Placid,Viriette,Intaki,Intaki V,Fiber Composite,Perfect,34.83
Placid,Viriette,Intaki,Intaki V,Base Metals,Perfect,8.44
Placid,Viriette,Intaki,Intaki V,Industrial Fibers,Perfect,9.35
Placid,Viriette,Intaki,Intaki V,Smartfab Units,Medium,15.55
Placid,Viriette,Intaki,Intaki VI,Fiber Composite,Rich,25.65
Placid,Viriette,Intaki,Intaki VI,Noble Gas,Medium,23.29
Placid,Viriette,Intaki,Intaki VI,Base Metals,Rich,6.52
Placid,Viriette,Intaki,Intaki VI,Polyaramids,Rich,19.09
Placid,Viriette,Intaki,Intaki VII,Crystal Compound,Medium,20.73
Placid,Viriette,Intaki,Intaki VII,Toxic Metals,Medium,5.51
Placid,Viriette,Intaki,Intaki VII,Polyaramids,Perfect,22.38
Placid,Viriette,Intaki,Intaki VII,Coolant,Medium,12.51
Placid,Viriette,Brarel,Brarel I,Lustering Alloy,Poor,16.30
Placid,Viriette,Brarel,Brarel I,Precious Alloy,Poor,14.10
Placid,Viriette,Brarel,Brarel I,Base Metals,Medium,5.18
Placid,Viriette,Brarel,Brarel I,Supertensile Plastics,Poor,9.39
Placid,Viriette,Brarel,Brarel II,Condensed Alloy,Rich,26.56
Placid,Viriette,Brarel,Brarel II,Fiber Composite,Medium,21.34
Placid,Viriette,Brarel,Brarel II,Reactive Gas,Medium,23.52
Placid,Viriette,Brarel,Brarel II,Noble Metals,Rich,28.46
Placid,Viriette,Brarel,Brarel II,Liquid Ozone,Rich,38.88
Placid,Viriette,Brarel,Brarel III,Dark Compound,Medium,23.46
Placid,Viriette,Brarel,Brarel III,Industrial Fibers,Poor,4.57
Placid,Viriette,Brarel,Brarel III,Supertensile Plastics,Poor,9.23
Placid,Viriette,Brarel,Brarel III,Plasmoids,Poor,1.00
Placid,Viriette,Brarel,Brarel IV,Sheen Compound,Medium,22.54
Placid,Viriette,Brarel,Brarel IV,Reactive Gas,Medium,23.02
Placid,Viriette,Brarel,Brarel IV,Noble Gas,Rich,27.12
Placid,Viriette,Brarel,Brarel IV,Reactive Metals,Medium,5.17
Placid,Viriette,Brarel,Brarel IV,Ionic Solutions,Rich,11.40
Placid,Viriette,Brarel,Brarel V,Glossy Compound,Medium,21.28
Placid,Viriette,Brarel,Brarel V,Reactive Gas,Medium,24.06
Placid,Viriette,Brarel,Brarel V,Noble Gas,Rich,26.96
Placid,Viriette,Brarel,Brarel V,Base Metals,Perfect,8.58
Placid,Viriette,Brarel,Brarel V,Coolant,Medium,16.00
Placid,Viriette,Vey,Vey I,Base Metals,Poor,3.40
Placid,Viriette,Vey,Vey I,Industrial Fibers,Medium,4.85
Placid,Viriette,Vey,Vey I,Supertensile Plastics,Medium,12.55
Placid,Viriette,Vey,Vey II,Fiber Composite,Rich,29.87
Placid,Viriette,Vey,Vey II,Reactive Gas,Medium,20.65
Placid,Viriette,Vey,Vey II,Condensates,Medium,12.27
Placid,Viriette,Vey,Vey II,Smartfab Units,Medium,12.46
Placid,Viriette,Vey,Vey III,Toxic Metals,Poor,3.43
Placid,Viriette,Vey,Vey III,Industrial Fibers,Poor,3.65
Placid,Viriette,Vey,Vey III,Construction Blocks,Poor,14.42
Placid,Viriette,Vey,Vey IV,Lustering Alloy,Rich,24.93
Placid,Viriette,Vey,Vey IV,Glossy Compound,Medium,23.86
Placid,Viriette,Vey,Vey IV,Noble Gas,Poor,17.39
Placid,Viriette,Vey,Vey IV,Coolant,Rich,16.62
Placid,Viriette,Vey,Vey V,Lustering Alloy,Poor,16.51
Placid,Viriette,Vey,Vey V,Sheen Compound,Medium,23.12
Placid,Viriette,Vey,Vey V,Noble Gas,Perfect,30.48
Placid,Viriette,Vey,Vey V,Reactive Metals,Rich,7.39
Placid,Viriette,Vey,Vey VI,Fiber Composite,Poor,16.89
Placid,Viriette,Vey,Vey VI,Glossy Compound,Perfect,30.57
Placid,Viriette,Vey,Vey VI,Noble Gas,Poor,16.89
Placid,Viriette,Vey,Vey VI,Reactive Metals,Poor,4.14
Placid,Viriette,Vey,Vey VII,Glossy Compound,Poor,16.70
Placid,Viriette,Vey,Vey VII,Noble Gas,Medium,20.98
Placid,Viriette,Vey,Vey VII,Reactive Metals,Rich,7.14
Placid,Viriette,Vey,Vey VII,Ionic Solutions,Rich,11.60
Placid,Viriette,Vey,Vey VIII,Lustering Alloy,Medium,21.51
Placid,Viriette,Vey,Vey VIII,Glossy Compound,Medium,21.70
Placid,Viriette,Vey,Vey VIII,Noble Gas,Medium,23.98
Placid,Viriette,Vey,Vey VIII,Base Metals,Poor,4.61
Placid,Viriette,Vey,Vey IX,Precious Alloy,Medium,19.84
Placid,Viriette,Vey,Vey IX,Industrial Fibers,Poor,3.50
Placid,Viriette,Vey,Vey IX,Supertensile Plastics,Medium,12.72
Placid,Viriette,Annancale,Annancale I,Gleaming Alloy,Medium,22.18
Placid,Viriette,Annancale,Annancale I,Polyaramids,Medium,14.79
Placid,Viriette,Annancale,Annancale I,Plasmoids,Rich,1.89
Placid,Viriette,Annancale,Annancale II,Gleaming Alloy,Perfect,31.84
Placid,Viriette,Annancale,Annancale II,Reactive Gas,Rich,26.90
Placid,Viriette,Annancale,Annancale II,Reactive Metals,Rich,7.62
Placid,Viriette,Annancale,Annancale II,Construction Blocks,Medium,21.04
Placid,Viriette,Annancale,Annancale III,Glossy Compound,Medium,23.68
Placid,Viriette,Annancale,Annancale III,Reactive Gas,Poor,18.64
Placid,Viriette,Annancale,Annancale III,Noble Gas,Medium,18.94
Placid,Viriette,Annancale,Annancale III,Reactive Metals,Rich,7.38
Placid,Viriette,Annancale,Annancale III,Coolant,Rich,20.12
Placid,Viriette,Annancale,Annancale IV,Glossy Compound,Medium,24.60
Placid,Viriette,Annancale,Annancale IV,Reactive Gas,Poor,18.76
Placid,Viriette,Annancale,Annancale IV,Reactive Metals,Perfect,8.44
Placid,Viriette,Annancale,Annancale IV,Coolant,Medium,16.44
Placid,Viriette,Annancale,Annancale IV,Ionic Solutions,Medium,10.07
Placid,Viriette,Annancale,Annancale V,Sheen Compound,Poor,17.32
Placid,Viriette,Annancale,Annancale V,Glossy Compound,Medium,23.22
Placid,Viriette,Annancale,Annancale V,Reactive Gas,Medium,23.06
