Region,Constellation,System,Name,Item,Rate,Output
Providence,G2E-RJ,G-5EN2,G-5EN2 I,Gleaming Alloy,Rich,34.67
Providence,G2E-RJ,G-5EN2,G-5EN2 I,Crystal Compound,Perfect,35.64
Providence,G2E-RJ,G-5EN2,G-5EN2 I,Reactive Gas,Rich,29.88
Providence,G2E-RJ,G-5EN2,G-5EN2 I,Reactive Metals,Perfect,9.29
Providence,G2E-RJ,G-5EN2,G-5EN2 II,Reactive Metals,Rich,7.91
Providence,G2E-RJ,G-5EN2,G-5EN2 II,Supertensile Plastics,Poor,13.33
Providence,G2E-RJ,G-5EN2,G-5EN2 II,Suspended Plasma,Medium,86.57
Providence,G2E-RJ,G-5EN2,G-5EN2 II,Oxygen Isotopes,Rich,4.31
Providence,G2E-RJ,G-5EN2,G-5EN2 III,Lustering Alloy,Medium,22.24
Providence,G2E-RJ,G-5EN2,G-5EN2 III,Sheen Compound,Medium,22.35
Providence,G2E-RJ,G-5EN2,G-5EN2 III,Reactive Gas,Perfect,36.26
Providence,G2E-RJ,G-5EN2,G-5EN2 III,Base Metals,Rich,8.30
Providence,G2E-RJ,G-5EN2,G-5EN2 III,Polyaramids,Medium,17.00
Providence,G2E-RJ,G-5EN2,G-5EN2 IV,Lustering Alloy,Poor,16.98
Providence,G2E-RJ,G-5EN2,G-5EN2 IV,Industrial Fibers,Medium,7.02
Providence,G2E-RJ,G-5EN2,G-5EN2 IV,Supertensile Plastics,Poor,11.95
Providence,G2E-RJ,G-5EN2,G-5EN2 IV,Condensates,Poor,11.00
Providence,G2E-RJ,G-5EN2,G-5EN2 V,Base Metals,Medium,5.46
Providence,G2E-RJ,G-5EN2,G-5EN2 V,Supertensile Plastics,Rich,20.27
Providence,G2E-RJ,G-5EN2,G-5EN2 V,Condensates,Poor,12.41
Providence,G2E-RJ,G-5EN2,G-5EN2 V,Suspended Plasma,Poor,71.60
Providence,G2E-RJ,G-5EN2,G-5EN2 VI,Lustering Alloy,Poor,17.40
Providence,G2E-RJ,G-5EN2,G-5EN2 VI,Industrial Fibers,Medium,5.77
Providence,G2E-RJ,G-5EN2,G-5EN2 VI,Supertensile Plastics,Poor,13.23
Providence,G2E-RJ,G-5EN2,G-5EN2 VI,Oxygen Isotopes,Poor,2.69
Providence,G2E-RJ,G-5EN2,G-5EN2 VII,Base Metals,Medium,6.57
Providence,G2E-RJ,G-5EN2,G-5EN2 VII,Supertensile Plastics,Medium,16.93
Providence,G2E-RJ,G-5EN2,G-5EN2 VII,Construction Blocks,Poor,17.07
Providence,G2E-RJ,G-5EN2,G-5EN2 VII,Silicate Glass,Poor,9.50
Providence,G2E-RJ,9-F0B2,9-F0B2 I,Gleaming Alloy,Perfect,34.23
Providence,G2E-RJ,9-F0B2,9-F0B2 I,Motley Compound,Poor,19.24
Providence,G2E-RJ,9-F0B2,9-F0B2 I,Smartfab Units,Perfect,22.65
Providence,G2E-RJ,9-F0B2,9-F0B2 II,Lustering Alloy,Medium,25.73
Providence,G2E-RJ,9-F0B2,9-F0B2 II,Base Metals,Medium,6.44
Providence,G2E-RJ,9-F0B2,9-F0B2 II,Supertensile Plastics,Poor,9.86
Providence,G2E-RJ,9-F0B2,9-F0B2 II,Construction Blocks,Poor,13.99
Providence,G2E-RJ,9-F0B2,9-F0B2 III,Opulent Compound,Rich,32.36
Providence,G2E-RJ,9-F0B2,9-F0B2 III,Toxic Metals,Rich,7.42
Providence,G2E-RJ,9-F0B2,9-F0B2 III,Polyaramids,Perfect,22.69
Providence,G2E-RJ,9-F0B2,9-F0B2 III,Liquid Ozone,Rich,36.54
Providence,G2E-RJ,9-F0B2,9-F0B2 III,Ionic Solutions,Perfect,13.69
Providence,G2E-RJ,9-F0B2,9-F0B2 IV,Opulent Compound,Medium,22.20
Providence,G2E-RJ,9-F0B2,9-F0B2 IV,Base Metals,Medium,5.88
Providence,G2E-RJ,9-F0B2,9-F0B2 IV,Industrial Fibers,Rich,7.88
Providence,G2E-RJ,9-F0B2,9-F0B2 IV,Condensates,Rich,19.56
Providence,G2E-RJ,9-F0B2,9-F0B2 IV,Liquid Ozone,Rich,40.90
Providence,G2E-RJ,9-F0B2,9-F0B2 V,Lustering Alloy,Rich,31.08
Providence,G2E-RJ,9-F0B2,9-F0B2 V,Sheen Compound,Medium,23.79
Providence,G2E-RJ,9-F0B2,9-F0B2 V,Reactive Gas,Rich,30.28
