Region,Constellation,System,Name,Item,Rate,Output
Pure Blind,MDM8-J,KQK1-2,KQK1-2 I,Lustering Alloy,Medium,22.81
Pure Blind,MDM8-J,KQK1-2,KQK1-2 I,Toxic Metals,Medium,6.43
Pure Blind,MDM8-J,KQK1-2,KQK1-2 I,Supertensile Plastics,Medium,15.61
Pure Blind,MDM8-J,KQK1-2,KQK1-2 I,Construction Blocks,Medium,25.45
Pure Blind,MDM8-J,KQK1-2,KQK1-2 II,Gleaming Alloy,Perfect,35.13
Pure Blind,MDM8-J,KQK1-2,KQK1-2 II,Heavy Metals,Rich,29.76
Pure Blind,MDM8-J,KQK1-2,KQK1-2 II,Noble Metals,Rich,32.66
Pure Blind,MDM8-J,KQK1-2,KQK1-2 III,Condensed Alloy,Rich,27.26
Pure Blind,MDM8-J,KQK1-2,KQK1-2 III,Opulent Compound,Rich,27.51
Pure Blind,MDM8-J,KQK1-2,KQK1-2 III,Toxic Metals,Rich,8.44
Pure Blind,MDM8-J,KQK1-2,KQK1-2 III,Heavy Water,Rich,302.82
Pure Blind,MDM8-J,KQK1-2,KQK1-2 III,Liquid Ozone,Rich,37.75
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IV,Crystal Compound,Medium,24.74
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IV,Reactive Metals,Rich,7.18
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IV,Supertensile Plastics,Medium,13.52
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IV,Nanites,Poor,4.45
Pure Blind,MDM8-J,KQK1-2,KQK1-2 V,Heavy Metals,Medium,21.88
Pure Blind,MDM8-J,KQK1-2,KQK1-2 V,Reactive Metals,Perfect,9.11
Pure Blind,MDM8-J,KQK1-2,KQK1-2 V,Condensates,Poor,12.82
Pure Blind,MDM8-J,KQK1-2,KQK1-2 V,Nanites,Perfect,9.05
Pure Blind,MDM8-J,KQK1-2,KQK1-2 V,Suspended Plasma,Medium,77.72
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VI,Lustering Alloy,Rich,32.28
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VI,Fiber Composite,Rich,30.37
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VI,Glossy Compound,Medium,22.79
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VI,Reactive Gas,Rich,30.77
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VI,Noble Gas,Medium,25.18
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VII,Glossy Compound,Medium,26.21
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VII,Reactive Gas,Medium,24.32
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VII,Reactive Metals,Poor,4.53
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VII,Coolant,Rich,19.24
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VII,Ionic Solutions,Medium,8.82
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VIII,Lustering Alloy,Poor,17.87
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VIII,Dark Compound,Medium,23.73
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VIII,Supertensile Plastics,Poor,11.47
Pure Blind,MDM8-J,KQK1-2,KQK1-2 VIII,Construction Blocks,Poor,15.06
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IX,Base Metals,Rich,7.92
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IX,Industrial Fibers,Medium,6.00
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IX,Condensates,Medium,14.71
Pure Blind,MDM8-J,KQK1-2,KQK1-2 IX,Liquid Ozone,Medium,30.19
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y I,Toxic Metals,Poor,3.51
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y I,Supertensile Plastics,Medium,16.35
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y I,Construction Blocks,Poor,18.38
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y I,Oxygen Isotopes,Poor,2.42
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y II,Condensed Alloy,Medium,20.94
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y II,Reactive Gas,Medium,25.26
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y II,Industrial Fibers,Perfect,10.43
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y II,Smartfab Units,Rich,18.45
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y II,Liquid Ozone,Medium,29.16
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y III,Gleaming Alloy,Medium,23.86
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y III,Oxygen Isotopes,Poor,2.87
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y III,Plasmoids,Medium,1.34
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y IV,Noble Metals,Perfect,35.66
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y IV,Coolant,Perfect,23.32
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y IV,Heavy Water,Medium,218.61
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y IV,Liquid Ozone,Perfect,43.60
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y IV,Ionic Solutions,Poor,7.47
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y V,Sheen Compound,Medium,25.05
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y V,Fiber Composite,Medium,20.98
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y V,Reactive Gas,Poor,18.00
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y V,Reactive Metals,Medium,5.66
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y V,Ionic Solutions,Poor,7.09
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y VI,Fiber Composite,Medium,21.17
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y VI,Reactive Gas,Rich,27.43
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y VI,Base Metals,Medium,6.86
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y VI,Polyaramids,Rich,20.09
Pure Blind,MDM8-J,O-BY0Y,O-BY0Y VI,Coolant,Medium,17.32
Pure Blind,MDM8-J,2D-0SO,2D-0SO I,Lustering Alloy,Poor,18.56
Pure Blind,MDM8-J,2D-0SO,2D-0SO I,Dark Compound,Medium,23.44
Pure Blind,MDM8-J,2D-0SO,2D-0SO I,Supertensile Plastics,Poor,8.85
Pure Blind,MDM8-J,2D-0SO,2D-0SO I,Silicate Glass,Medium,12.12
Pure Blind,MDM8-J,2D-0SO,2D-0SO II,Precious Alloy,Poor,16.88
Pure Blind,MDM8-J,2D-0SO,2D-0SO II,Dark Compound,Poor,15.29
Pure Blind,MDM8-J,2D-0SO,2D-0SO II,Supertensile Plastics,Poor,8.99
Pure Blind,MDM8-J,2D-0SO,2D-0SO II,Construction Blocks,Poor,14.89
Pure Blind,MDM8-J,2D-0SO,2D-0SO III,Base Metals,Medium,6.73
Pure Blind,MDM8-J,2D-0SO,2D-0SO III,Supertensile Plastics,Medium,14.18
Pure Blind,MDM8-J,2D-0SO,2D-0SO III,Construction Blocks,Medium,24.57
Pure Blind,MDM8-J,2D-0SO,2D-0SO III,Silicate Glass,Medium,10.83
Pure Blind,MDM8-J,2D-0SO,2D-0SO IV,Gleaming Alloy,Perfect,34.46
Pure Blind,MDM8-J,2D-0SO,2D-0SO IV,Heavy Metals,Rich,27.74
Pure Blind,MDM8-J,2D-0SO,2D-0SO IV,Construction Blocks,Medium,20.20
Pure Blind,MDM8-J,2D-0SO,2D-0SO V,Condensed Alloy,Medium,20.83
Pure Blind,MDM8-J,2D-0SO,2D-0SO V,Opulent Compound,Rich,31.63
Pure Blind,MDM8-J,2D-0SO,2D-0SO V,Noble Metals,Poor,19.40
Pure Blind,MDM8-J,2D-0SO,2D-0SO V,Smartfab Units,Perfect,26.47
Pure Blind,MDM8-J,2D-0SO,2D-0SO V,Liquid Ozone,Medium,29.85
Pure Blind,MDM8-J,2D-0SO,2D-0SO VI,Base Metals,Medium,5.52
Pure Blind,MDM8-J,2D-0SO,2D-0SO VI,Industrial Fibers,Poor,5.00
Pure Blind,MDM8-J,2D-0SO,2D-0SO VI,Supertensile Plastics,Poor,11.37
Pure Blind,MDM8-J,2D-0SO,2D-0SO VI,Construction Blocks,Medium,21.97
Pure Blind,MDM8-J,2D-0SO,2D-0SO VII,Precious Alloy,Medium,23.75
Pure Blind,MDM8-J,2D-0SO,2D-0SO VII,Toxic Metals,Medium,6.27
Pure Blind,MDM8-J,2D-0SO,2D-0SO VII,Supertensile Plastics,Medium,15.15
Pure Blind,MDM8-J,2D-0SO,2D-0SO VII,Construction Blocks,Medium,21.44
Pure Blind,MDM8-J,2D-0SO,2D-0SO VIII,Gleaming Alloy,Medium,26.21
Pure Blind,MDM8-J,2D-0SO,2D-0SO VIII,Motley Compound,Medium,24.07
Pure Blind,MDM8-J,2D-0SO,2D-0SO VIII,Oxygen Isotopes,Rich,4.83
Pure Blind,MDM8-J,2D-0SO,2D-0SO IX,Fiber Composite,Medium,25.49
Pure Blind,MDM8-J,2D-0SO,2D-0SO IX,Reactive Gas,Medium,26.31
Pure Blind,MDM8-J,2D-0SO,2D-0SO IX,Noble Gas,Poor,18.77
Pure Blind,MDM8-J,2D-0SO,2D-0SO IX,Polyaramids,Medium,17.56
Pure Blind,MDM8-J,2D-0SO,2D-0SO IX,Coolant,Rich,18.24
Pure Blind,MDM8-J,2D-0SO,2D-0SO X,Sheen Compound,Poor,18.92
Pure Blind,MDM8-J,2D-0SO,2D-0SO X,Reactive Gas,Medium,24.19
Pure Blind,MDM8-J,2D-0SO,2D-0SO X,Base Metals,Medium,6.54
Pure Blind,MDM8-J,2D-0SO,2D-0SO X,Reactive Metals,Perfect,8.84
Pure Blind,MDM8-J,2D-0SO,2D-0SO X,Ionic Solutions,Medium,9.69
Pure Blind,MDM8-J,2D-0SO,2D-0SO XI,Fiber Composite,Perfect,33.85
Pure Blind,MDM8-J,2D-0SO,2D-0SO XI,Reactive Gas,Rich,28.43
Pure Blind,MDM8-J,2D-0SO,2D-0SO XI,Reactive Metals,Rich,8.51
Pure Blind,MDM8-J,2D-0SO,2D-0SO XI,Coolant,Rich,21.76
Pure Blind,MDM8-J,2D-0SO,2D-0SO XI,Ionic Solutions,Rich,13.21
Pure Blind,MDM8-J,2D-0SO,2D-0SO XII,Motley Compound,Medium,24.09
Pure Blind,MDM8-J,2D-0SO,2D-0SO XII,Condensates,Medium,15.34
Pure Blind,MDM8-J,2D-0SO,2D-0SO XII,Suspended Plasma,Poor,56.62
Pure Blind,MDM8-J,2D-0SO,2D-0SO XII,Liquid Ozone,Poor,20.53
Pure Blind,MDM8-J,UR-E6D,UR-E6D I,Gleaming Alloy,Medium,25.68
Pure Blind,MDM8-J,UR-E6D,UR-E6D I,Motley Compound,Medium,23.90
Pure Blind,MDM8-J,UR-E6D,UR-E6D I,Oxygen Isotopes,Rich,4.51
Pure Blind,MDM8-J,UR-E6D,UR-E6D II,Opulent Compound,Perfect,38.35
Pure Blind,MDM8-J,UR-E6D,UR-E6D II,Base Metals,Medium,5.84
Pure Blind,MDM8-J,UR-E6D,UR-E6D II,Industrial Fibers,Rich,8.38
Pure Blind,MDM8-J,UR-E6D,UR-E6D II,Smartfab Units,Perfect,24.00
Pure Blind,MDM8-J,UR-E6D,UR-E6D II,Liquid Ozone,Medium,30.90
Pure Blind,MDM8-J,UR-E6D,UR-E6D III,Condensed Alloy,Perfect,33.45
Pure Blind,MDM8-J,UR-E6D,UR-E6D III,Base Metals,Medium,6.81
Pure Blind,MDM8-J,UR-E6D,UR-E6D III,Noble Metals,Medium,22.16
Pure Blind,MDM8-J,UR-E6D,UR-E6D III,Heavy Water,Medium,215.04
Pure Blind,MDM8-J,UR-E6D,UR-E6D III,Liquid Ozone,Medium,30.16
Pure Blind,MDM8-J,UR-E6D,UR-E6D IV,Opulent Compound,Rich,30.74
Pure Blind,MDM8-J,UR-E6D,UR-E6D IV,Noble Metals,Perfect,35.97
Pure Blind,MDM8-J,UR-E6D,UR-E6D IV,Industrial Fibers,Rich,8.78
Pure Blind,MDM8-J,UR-E6D,UR-E6D IV,Condensates,Rich,21.36
Pure Blind,MDM8-J,UR-E6D,UR-E6D IV,Liquid Ozone,Medium,32.73
Pure Blind,MDM8-J,UR-E6D,UR-E6D V,Sheen Compound,Medium,24.25
Pure Blind,MDM8-J,UR-E6D,UR-E6D V,Fiber Composite,Rich,32.09
Pure Blind,MDM8-J,UR-E6D,UR-E6D V,Glossy Compound,Medium,26.19
Pure Blind,MDM8-J,UR-E6D,UR-E6D V,Reactive Gas,Medium,26.17
Pure Blind,MDM8-J,UR-E6D,UR-E6D V,Noble Gas,Rich,28.33
Pure Blind,MDM8-J,UR-E6D,UR-E6D VI,Condensed Alloy,Medium,25.83
Pure Blind,MDM8-J,UR-E6D,UR-E6D VI,Base Metals,Medium,6.27
Pure Blind,MDM8-J,UR-E6D,UR-E6D VI,Noble Metals,Rich,31.02
Pure Blind,MDM8-J,UR-E6D,UR-E6D VI,Smartfab Units,Medium,17.61
Pure Blind,MDM8-J,UR-E6D,UR-E6D VI,Liquid Ozone,Perfect,49.35
Pure Blind,MDM8-J,UR-E6D,UR-E6D VII,Lustering Alloy,Medium,24.97
Pure Blind,MDM8-J,UR-E6D,UR-E6D VII,Reactive Gas,Rich,31.77
Pure Blind,MDM8-J,UR-E6D,UR-E6D VII,Reactive Metals,Perfect,8.78
Pure Blind,MDM8-J,UR-E6D,UR-E6D VII,Polyaramids,Medium,13.52
Pure Blind,MDM8-J,UR-E6D,UR-E6D VII,Ionic Solutions,Rich,11.52
Pure Blind,MDM8-J,X47L-Q,X47L-Q I,Sheen Compound,Rich,29.00
Pure Blind,MDM8-J,X47L-Q,X47L-Q I,Lucent Compound,Perfect,38.96
Pure Blind,MDM8-J,X47L-Q,X47L-Q I,Condensates,Rich,22.34
Pure Blind,MDM8-J,X47L-Q,X47L-Q I,Suspended Plasma,Rich,125.37
Pure Blind,MDM8-J,X47L-Q,X47L-Q I,Plasmoids,Perfect,2.24
Pure Blind,MDM8-J,X47L-Q,X47L-Q II,Toxic Metals,Poor,4.12
Pure Blind,MDM8-J,X47L-Q,X47L-Q II,Supertensile Plastics,Medium,16.90
Pure Blind,MDM8-J,X47L-Q,X47L-Q II,Silicate Glass,Medium,12.44
Pure Blind,MDM8-J,X47L-Q,X47L-Q II,Plasmoids,Poor,1.03
Pure Blind,MDM8-J,X47L-Q,X47L-Q III,Crystal Compound,Rich,31.68
Pure Blind,MDM8-J,X47L-Q,X47L-Q III,Reactive Metals,Medium,5.75
Pure Blind,MDM8-J,X47L-Q,X47L-Q III,Construction Blocks,Poor,18.08
Pure Blind,MDM8-J,X47L-Q,X47L-Q III,Oxygen Isotopes,Rich,4.94
Pure Blind,MDM8-J,X47L-Q,X47L-Q IV,Opulent Compound,Poor,20.55
Pure Blind,MDM8-J,X47L-Q,X47L-Q IV,Crystal Compound,Rich,29.50
Pure Blind,MDM8-J,X47L-Q,X47L-Q IV,Noble Metals,Rich,29.83
Pure Blind,MDM8-J,X47L-Q,X47L-Q IV,Polyaramids,Poor,13.43
Pure Blind,MDM8-J,X47L-Q,X47L-Q IV,Liquid Ozone,Poor,24.94
Pure Blind,MDM8-J,X47L-Q,X47L-Q V,Lustering Alloy,Poor,19.67
Pure Blind,MDM8-J,X47L-Q,X47L-Q V,Fiber Composite,Poor,20.46
Pure Blind,MDM8-J,X47L-Q,X47L-Q V,Reactive Gas,Rich,34.12
Pure Blind,MDM8-J,X47L-Q,X47L-Q V,Reactive Metals,Medium,6.67
Pure Blind,MDM8-J,X47L-Q,X47L-Q V,Coolant,Medium,17.26
Pure Blind,MDM8-J,X47L-Q,X47L-Q VI,Lustering Alloy,Medium,22.37
Pure Blind,MDM8-J,X47L-Q,X47L-Q VI,Glossy Compound,Medium,22.86
Pure Blind,MDM8-J,X47L-Q,X47L-Q VI,Reactive Gas,Medium,26.29
Pure Blind,MDM8-J,X47L-Q,X47L-Q VI,Coolant,Rich,22.41
Pure Blind,MDM8-J,X47L-Q,X47L-Q VI,Ionic Solutions,Poor,7.45
Pure Blind,MDM8-J,X47L-Q,X47L-Q VII,Toxic Metals,Poor,4.15
Pure Blind,MDM8-J,X47L-Q,X47L-Q VII,Supertensile Plastics,Poor,9.58
Pure Blind,MDM8-J,X47L-Q,X47L-Q VII,Construction Blocks,Medium,26.69
Pure Blind,MDM8-J,X47L-Q,X47L-Q VII,Silicate Glass,Medium,10.90
Pure Blind,MDM8-J,X47L-Q,X47L-Q VIII,Sheen Compound,Medium,27.10
Pure Blind,MDM8-J,X47L-Q,X47L-Q VIII,Fiber Composite,Poor,20.61
Pure Blind,MDM8-J,X47L-Q,X47L-Q VIII,Glossy Compound,Rich,28.07
Pure Blind,MDM8-J,X47L-Q,X47L-Q VIII,Reactive Gas,Poor,18.85
Pure Blind,MDM8-J,X47L-Q,X47L-Q VIII,Noble Gas,Medium,26.42
Pure Blind,MDM8-J,D7T-C0,D7T-C0 I,Lustering Alloy,Medium,20.89
Pure Blind,MDM8-J,D7T-C0,D7T-C0 I,Supertensile Plastics,Medium,16.07
Pure Blind,MDM8-J,D7T-C0,D7T-C0 I,Silicate Glass,Medium,9.91
Pure Blind,MDM8-J,D7T-C0,D7T-C0 I,Oxygen Isotopes,Poor,2.42
Pure Blind,MDM8-J,D7T-C0,D7T-C0 II,Lustering Alloy,Medium,25.45
Pure Blind,MDM8-J,D7T-C0,D7T-C0 II,Dark Compound,Medium,23.27
Pure Blind,MDM8-J,D7T-C0,D7T-C0 II,Industrial Fibers,Poor,4.92
Pure Blind,MDM8-J,D7T-C0,D7T-C0 II,Supertensile Plastics,Poor,8.89
Pure Blind,MDM8-J,D7T-C0,D7T-C0 III,Opulent Compound,Perfect,38.93
Pure Blind,MDM8-J,D7T-C0,D7T-C0 III,Industrial Fibers,Perfect,9.92
Pure Blind,MDM8-J,D7T-C0,D7T-C0 III,Smartfab Units,Rich,19.18
Pure Blind,MDM8-J,D7T-C0,D7T-C0 III,Heavy Water,Medium,254.73
Pure Blind,MDM8-J,D7T-C0,D7T-C0 III,Liquid Ozone,Rich,39.90
Pure Blind,MDM8-J,D7T-C0,D7T-C0 IV,Condensed Alloy,Perfect,35.49
Pure Blind,MDM8-J,D7T-C0,D7T-C0 IV,Base Metals,Perfect,9.91
Pure Blind,MDM8-J,D7T-C0,D7T-C0 IV,Noble Metals,Medium,24.19
Pure Blind,MDM8-J,D7T-C0,D7T-C0 IV,Heavy Water,Perfect,368.13
Pure Blind,MDM8-J,D7T-C0,D7T-C0 IV,Liquid Ozone,Medium,30.34
Pure Blind,MDM8-J,D7T-C0,D7T-C0 V,Condensed Alloy,Medium,20.71
Pure Blind,MDM8-J,D7T-C0,D7T-C0 V,Opulent Compound,Medium,20.94
Pure Blind,MDM8-J,D7T-C0,D7T-C0 V,Crystal Compound,Rich,33.28
Pure Blind,MDM8-J,D7T-C0,D7T-C0 V,Toxic Metals,Medium,6.94
Pure Blind,MDM8-J,D7T-C0,D7T-C0 V,Liquid Ozone,Rich,35.83
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VI,Fiber Composite,Rich,26.71
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VI,Opulent Compound,Perfect,36.10
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VI,Smartfab Units,Rich,18.35
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VI,Heavy Water,Perfect,355.11
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VI,Liquid Ozone,Perfect,44.44
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VII,Gleaming Alloy,Medium,22.53
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VII,Polyaramids,Medium,16.17
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VII,Smartfab Units,Rich,19.74
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VIII,Reactive Gas,Rich,26.82
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VIII,Base Metals,Medium,5.24
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VIII,Smartfab Units,Medium,17.15
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VIII,Heavy Water,Rich,266.07
Pure Blind,MDM8-J,D7T-C0,D7T-C0 VIII,Liquid Ozone,Medium,30.45
Pure Blind,U8-CWA,KI-TL0,KI-TL0 I,Gleaming Alloy,Poor,18.10
Pure Blind,U8-CWA,KI-TL0,KI-TL0 I,Motley Compound,Perfect,34.76
Pure Blind,U8-CWA,KI-TL0,KI-TL0 I,Polyaramids,Medium,15.01
Pure Blind,U8-CWA,KI-TL0,KI-TL0 II,Base Metals,Poor,3.84
Pure Blind,U8-CWA,KI-TL0,KI-TL0 II,Supertensile Plastics,Poor,12.05
Pure Blind,U8-CWA,KI-TL0,KI-TL0 II,Construction Blocks,Poor,14.03
Pure Blind,U8-CWA,KI-TL0,KI-TL0 II,Oxygen Isotopes,Medium,3.34
Pure Blind,U8-CWA,KI-TL0,KI-TL0 III,Precious Alloy,Medium,21.11
Pure Blind,U8-CWA,KI-TL0,KI-TL0 III,Base Metals,Poor,5.01
Pure Blind,U8-CWA,KI-TL0,KI-TL0 III,Supertensile Plastics,Poor,9.94
Pure Blind,U8-CWA,KI-TL0,KI-TL0 III,Plasmoids,Medium,1.31
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IV,Precious Alloy,Medium,22.49
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IV,Base Metals,Medium,5.80
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IV,Industrial Fibers,Poor,3.85
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IV,Supertensile Plastics,Medium,15.41
Pure Blind,U8-CWA,KI-TL0,KI-TL0 V,Precious Alloy,Poor,19.61
Pure Blind,U8-CWA,KI-TL0,KI-TL0 V,Toxic Metals,Poor,4.63
Pure Blind,U8-CWA,KI-TL0,KI-TL0 V,Supertensile Plastics,Medium,15.51
Pure Blind,U8-CWA,KI-TL0,KI-TL0 V,Silicate Glass,Medium,12.51
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VI,Precious Alloy,Poor,15.12
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VI,Toxic Metals,Medium,6.38
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VI,Industrial Fibers,Medium,6.55
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VI,Supertensile Plastics,Medium,13.85
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VII,Condensed Alloy,Poor,19.70
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VII,Reactive Gas,Medium,20.39
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VII,Industrial Fibers,Medium,6.33
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VII,Condensates,Rich,20.62
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VII,Liquid Ozone,Rich,40.90
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VIII,Lustering Alloy,Poor,13.76
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VIII,Precious Alloy,Medium,20.87
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VIII,Base Metals,Medium,6.44
Pure Blind,U8-CWA,KI-TL0,KI-TL0 VIII,Supertensile Plastics,Medium,17.07
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IX,Lustering Alloy,Medium,23.12
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IX,Sheen Compound,Poor,19.49
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IX,Fiber Composite,Rich,27.99
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IX,Reactive Gas,Rich,27.76
Pure Blind,U8-CWA,KI-TL0,KI-TL0 IX,Noble Gas,Medium,23.81
Pure Blind,U8-CWA,KI-TL0,KI-TL0 X,Base Metals,Poor,4.03
Pure Blind,U8-CWA,KI-TL0,KI-TL0 X,Industrial Fibers,Poor,5.13
Pure Blind,U8-CWA,KI-TL0,KI-TL0 X,Supertensile Plastics,Medium,16.00
Pure Blind,U8-CWA,KI-TL0,KI-TL0 X,Plasmoids,Medium,1.22
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XI,Condensed Alloy,Medium,23.56
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XI,Toxic Metals,Medium,6.33
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XI,Coolant,Medium,15.44
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XI,Heavy Water,Medium,226.38
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XI,Liquid Ozone,Medium,25.04
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XII,Base Metals,Medium,6.10
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XII,Toxic Metals,Poor,4.68
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XII,Industrial Fibers,Medium,5.22
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XII,Supertensile Plastics,Poor,12.71
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XIII,Motley Compound,Poor,16.07
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XIII,Supertensile Plastics,Medium,13.78
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XIII,Condensates,Rich,20.22
Pure Blind,U8-CWA,KI-TL0,KI-TL0 XIII,Liquid Ozone,Rich,34.28
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q I,Precious Alloy,Medium,24.59
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q I,Base Metals,Poor,4.55
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q I,Supertensile Plastics,Medium,15.51
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q I,Plasmoids,Poor,1.10
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q II,Gleaming Alloy,Poor,18.84
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q II,Smartfab Units,Medium,14.21
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q II,Oxygen Isotopes,Rich,4.73
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q III,Condensed Alloy,Rich,32.55
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q III,Noble Metals,Medium,21.61
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q III,Toxic Metals,Rich,7.84
Pure Blind,U8-CWA,EL8-4Q,EL8-4Q III,Polyaramids,Poor,13.01
