Region,Constellation,System,Name,Item,Rate,Output
Querious,H-6HGD,A2-V27,A2-V27 I,Base Metals,Medium,5.78
Querious,H-6HGD,A2-V27,A2-V27 I,Supertensile Plastics,Medium,17.34
Querious,H-6HGD,A2-V27,A2-V27 I,Oxygen Isotopes,Poor,3.10
Querious,H-6HGD,A2-V27,A2-V27 I,Plasmoids,Medium,1.42
Querious,H-6HGD,A2-V27,A2-V27 II,Dark Compound,Poor,20.12
Querious,H-6HGD,A2-V27,A2-V27 II,Toxic Metals,Poor,4.56
Querious,H-6HGD,A2-V27,A2-V27 II,Supertensile Plastics,Medium,16.73
Querious,H-6HGD,A2-V27,A2-V27 II,Silicate Glass,Poor,7.36
Querious,H-6HGD,A2-V27,A2-V27 III,Crystal Compound,Rich,29.46
Querious,H-6HGD,A2-V27,A2-V27 III,Toxic Metals,Rich,7.93
Querious,H-6HGD,A2-V27,A2-V27 III,Coolant,Medium,17.69
Querious,H-6HGD,A2-V27,A2-V27 III,Silicate Glass,Medium,11.96
Querious,H-6HGD,A2-V27,A2-V27 III,Liquid Ozone,Rich,40.71
Querious,H-6HGD,A2-V27,A2-V27 IV,Reactive Gas,Medium,28.47
Querious,H-6HGD,A2-V27,A2-V27 IV,Noble Metals,Perfect,41.05
Querious,H-6HGD,A2-V27,A2-V27 IV,Condensates,Perfect,25.38
Querious,H-6HGD,A2-V27,A2-V27 IV,Smartfab Units,Medium,15.13
Querious,H-6HGD,A2-V27,A2-V27 IV,Liquid Ozone,Rich,36.48
Querious,H-6HGD,A2-V27,A2-V27 V,Lustering Alloy,Medium,25.46
Querious,H-6HGD,A2-V27,A2-V27 V,Precious Alloy,Medium,27.58
Querious,H-6HGD,A2-V27,A2-V27 V,Industrial Fibers,Medium,7.00
Querious,H-6HGD,A2-V27,A2-V27 V,Supertensile Plastics,Poor,14.20
Querious,H-6HGD,A2-V27,A2-V27 VI,Noble Metals,Medium,26.11
Querious,H-6HGD,A2-V27,A2-V27 VI,Industrial Fibers,Perfect,9.91
Querious,H-6HGD,A2-V27,A2-V27 VI,Condensates,Rich,21.19
Querious,H-6HGD,A2-V27,A2-V27 VI,Heavy Water,Rich,319.24
Querious,H-6HGD,A2-V27,A2-V27 VI,Liquid Ozone,Rich,37.26
Querious,H-6HGD,A2-V27,A2-V27 VII,Gleaming Alloy,Rich,36.41
Querious,H-6HGD,A2-V27,A2-V27 VII,Crystal Compound,Rich,35.74
Querious,H-6HGD,A2-V27,A2-V27 VII,Reactive Metals,Medium,6.36
Querious,H-6HGD,A2-V27,A2-V27 VII,Supertensile Plastics,Poor,12.62
Querious,H-6HGD,A2-V27,A2-V27 VIII,Condensed Alloy,Medium,25.00
Querious,H-6HGD,A2-V27,A2-V27 VIII,Opulent Compound,Rich,35.72
Querious,H-6HGD,A2-V27,A2-V27 VIII,Reactive Gas,Perfect,39.51
Querious,H-6HGD,A2-V27,A2-V27 VIII,Heavy Water,Medium,271.86
Querious,H-6HGD,A2-V27,A2-V27 VIII,Liquid Ozone,Medium,35.48
Querious,H-6HGD,A2-V27,A2-V27 IX,Gleaming Alloy,Rich,32.27
Querious,H-6HGD,A2-V27,A2-V27 IX,Glossy Compound,Medium,23.57
Querious,H-6HGD,A2-V27,A2-V27 IX,Polyaramids,Rich,20.42
Querious,H-6HGD,T8H-66,T8H-66 I,Lustering Alloy,Poor,20.79
Querious,H-6HGD,T8H-66,T8H-66 I,Base Metals,Medium,7.25
Querious,H-6HGD,T8H-66,T8H-66 I,Supertensile Plastics,Poor,9.74
Querious,H-6HGD,T8H-66,T8H-66 I,Oxygen Isotopes,Medium,3.55
Querious,H-6HGD,T8H-66,T8H-66 II,Base Metals,Poor,4.82
Querious,H-6HGD,T8H-66,T8H-66 II,Supertensile Plastics,Medium,17.50
Querious,H-6HGD,T8H-66,T8H-66 II,Silicate Glass,Poor,7.70
Querious,H-6HGD,T8H-66,T8H-66 II,Oxygen Isotopes,Medium,3.56
Querious,H-6HGD,T8H-66,T8H-66 III,Lustering Alloy,Rich,36.11
Querious,H-6HGD,T8H-66,T8H-66 III,Reactive Gas,Rich,34.27
Querious,H-6HGD,T8H-66,T8H-66 III,Base Metals,Rich,7.72
Querious,H-6HGD,T8H-66,T8H-66 III,Reactive Metals,Perfect,9.95
Querious,H-6HGD,T8H-66,T8H-66 III,Coolant,Medium,17.53
