Region,Constellation,System,Name,Item,Rate,Output
Scalding Pass,51ZT-6,EIN-QG,EIN-QG I,Dark Compound,Poor,18.38
Scalding Pass,51ZT-6,EIN-QG,EIN-QG I,Base Metals,Poor,4.43
Scalding Pass,51ZT-6,EIN-QG,EIN-QG I,Industrial Fibers,Medium,6.47
Scalding Pass,51ZT-6,EIN-QG,EIN-QG I,Supertensile Plastics,Medium,13.89
Scalding Pass,51ZT-6,EIN-QG,EIN-QG II,Gleaming Alloy,Poor,17.60
Scalding Pass,51ZT-6,EIN-QG,EIN-QG II,Noble Metals,Rich,32.78
Scalding Pass,51ZT-6,EIN-QG,EIN-QG II,Oxygen Isotopes,Medium,3.90
Scalding Pass,51ZT-6,EIN-QG,EIN-QG III,Lustering Alloy,Medium,20.22
Scalding Pass,51ZT-6,EIN-QG,EIN-QG III,Fiber Composite,Rich,29.69
Scalding Pass,51ZT-6,EIN-QG,EIN-QG III,Reactive Gas,Poor,18.90
Scalding Pass,51ZT-6,EIN-QG,EIN-QG III,Reactive Metals,Medium,5.89
Scalding Pass,51ZT-6,EIN-QG,EIN-QG III,Ionic Solutions,Rich,11.58
Scalding Pass,51ZT-6,EIN-QG,EIN-QG IV,Glossy Compound,Medium,20.27
Scalding Pass,51ZT-6,EIN-QG,EIN-QG IV,Reactive Gas,Medium,26.50
Scalding Pass,51ZT-6,EIN-QG,EIN-QG IV,Noble Gas,Medium,22.16
Scalding Pass,51ZT-6,EIN-QG,EIN-QG IV,Reactive Metals,Poor,4.67
Scalding Pass,51ZT-6,EIN-QG,EIN-QG IV,Coolant,Rich,21.04
Scalding Pass,51ZT-6,EIN-QG,EIN-QG V,Sheen Compound,Rich,27.05
Scalding Pass,51ZT-6,EIN-QG,EIN-QG V,Glossy Compound,Medium,20.62
Scalding Pass,51ZT-6,EIN-QG,EIN-QG V,Reactive Gas,Rich,33.26
Scalding Pass,51ZT-6,EIN-QG,EIN-QG V,Base Metals,Rich,7.33
Scalding Pass,51ZT-6,EIN-QG,EIN-QG V,Ionic Solutions,Poor,7.06
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VI,Sheen Compound,Medium,24.53
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VI,Reactive Gas,Rich,28.14
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VI,Reactive Metals,Medium,6.02
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VI,Coolant,Medium,15.51
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VI,Ionic Solutions,Poor,6.90
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VII,Precious Alloy,Poor,19.59
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VII,Supertensile Plastics,Rich,20.82
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VII,Condensates,Rich,20.86
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VII,Liquid Ozone,Poor,21.32
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VIII,Opulent Compound,Medium,23.08
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VIII,Crystal Compound,Perfect,33.66
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VIII,Toxic Metals,Rich,7.84
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VIII,Heavy Water,Rich,278.46
Scalding Pass,51ZT-6,EIN-QG,EIN-QG VIII,Liquid Ozone,Poor,23.70
Scalding Pass,51ZT-6,ARG-3R,ARG-3R I,Gleaming Alloy,Medium,23.96
Scalding Pass,51ZT-6,ARG-3R,ARG-3R I,Motley Compound,Medium,18.94
Scalding Pass,51ZT-6,ARG-3R,ARG-3R I,Noble Metals,Rich,27.80
Scalding Pass,51ZT-6,ARG-3R,ARG-3R II,Lustering Alloy,Medium,21.76
Scalding Pass,51ZT-6,ARG-3R,ARG-3R II,Dark Compound,Medium,21.42
Scalding Pass,51ZT-6,ARG-3R,ARG-3R II,Industrial Fibers,Medium,5.94
Scalding Pass,51ZT-6,ARG-3R,ARG-3R II,Supertensile Plastics,Poor,11.20
Scalding Pass,51ZT-6,ARG-3R,ARG-3R III,Lucent Compound,Rich,30.92
Scalding Pass,51ZT-6,ARG-3R,ARG-3R III,Crystal Compound,Rich,28.24
Scalding Pass,51ZT-6,ARG-3R,ARG-3R III,Reactive Metals,Rich,6.73
Scalding Pass,51ZT-6,ARG-3R,ARG-3R III,Suspended Plasma,Perfect,114.70
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IV,Condensed Alloy,Rich,30.08
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IV,Opulent Compound,Rich,30.52
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IV,Base Metals,Rich,7.22
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IV,Industrial Fibers,Rich,7.82
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IV,Liquid Ozone,Perfect,47.35
Scalding Pass,51ZT-6,ARG-3R,ARG-3R V,Lustering Alloy,Medium,23.48
Scalding Pass,51ZT-6,ARG-3R,ARG-3R V,Glossy Compound,Medium,19.84
Scalding Pass,51ZT-6,ARG-3R,ARG-3R V,Reactive Gas,Medium,25.22
Scalding Pass,51ZT-6,ARG-3R,ARG-3R V,Reactive Metals,Medium,5.85
Scalding Pass,51ZT-6,ARG-3R,ARG-3R V,Ionic Solutions,Medium,9.80
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VI,Gleaming Alloy,Poor,18.58
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VI,Glossy Compound,Medium,19.66
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VI,Smartfab Units,Rich,20.03
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VII,Lustering Alloy,Rich,27.96
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VII,Sheen Compound,Poor,16.48
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VII,Glossy Compound,Poor,18.16
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VII,Reactive Gas,Medium,23.10
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VII,Reactive Metals,Rich,6.96
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VIII,Heavy Metals,Medium,19.02
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VIII,Reactive Metals,Rich,7.11
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VIII,Condensates,Perfect,22.52
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VIII,Nanites,Medium,6.57
Scalding Pass,51ZT-6,ARG-3R,ARG-3R VIII,Plasmoids,Rich,1.82
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IX,Sheen Compound,Rich,31.16
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IX,Glossy Compound,Medium,21.28
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IX,Reactive Gas,Poor,17.70
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IX,Base Metals,Rich,6.92
Scalding Pass,51ZT-6,ARG-3R,ARG-3R IX,Coolant,Rich,17.39
Scalding Pass,51ZT-6,S-E6ES,S-E6ES I,Gleaming Alloy,Rich,29.84
Scalding Pass,51ZT-6,S-E6ES,S-E6ES I,Glossy Compound,Rich,28.37
Scalding Pass,51ZT-6,S-E6ES,S-E6ES I,Smartfab Units,Rich,19.00
Scalding Pass,51ZT-6,S-E6ES,S-E6ES II,Gleaming Alloy,Rich,32.40
Scalding Pass,51ZT-6,S-E6ES,S-E6ES II,Noble Gas,Rich,28.69
Scalding Pass,51ZT-6,S-E6ES,S-E6ES II,Smartfab Units,Rich,21.07
Scalding Pass,51ZT-6,S-E6ES,S-E6ES III,Base Metals,Poor,4.39
Scalding Pass,51ZT-6,S-E6ES,S-E6ES III,Toxic Metals,Poor,4.49
Scalding Pass,51ZT-6,S-E6ES,S-E6ES III,Supertensile Plastics,Medium,15.39
Scalding Pass,51ZT-6,S-E6ES,S-E6ES III,Plasmoids,Poor,0.79
Scalding Pass,51ZT-6,S-E6ES,S-E6ES IV,Lucent Compound,Medium,24.61
Scalding Pass,51ZT-6,S-E6ES,S-E6ES IV,Reactive Gas,Medium,23.08
Scalding Pass,51ZT-6,S-E6ES,S-E6ES IV,Reactive Metals,Rich,8.22
Scalding Pass,51ZT-6,S-E6ES,S-E6ES IV,Toxic Metals,Rich,8.60
Scalding Pass,51ZT-6,S-E6ES,S-E6ES V,Crystal Compound,Rich,28.88
Scalding Pass,51ZT-6,S-E6ES,S-E6ES V,Noble Metals,Medium,21.04
Scalding Pass,51ZT-6,S-E6ES,S-E6ES V,Silicate Glass,Medium,12.30
Scalding Pass,51ZT-6,S-E6ES,S-E6ES V,Liquid Ozone,Perfect,46.07
Scalding Pass,51ZT-6,S-E6ES,S-E6ES V,Ionic Solutions,Rich,12.13
