Region,Constellation,System,Name,Item,Rate,Output
Sinq Laison,Disier,Pettinck,Pettinck I,Lustering Alloy,Medium,11.44
Sinq Laison,Disier,Pettinck,Pettinck I,Base Metals,Medium,3.81
Sinq Laison,Disier,Pettinck,Pettinck II,Lustering Alloy,Medium,14.76
Sinq Laison,Disier,Pettinck,Pettinck II,Base Metals,Medium,3.40
Sinq Laison,Disier,Pettinck,Pettinck III,Noble Gas,Rich,18.02
Sinq Laison,Disier,Pettinck,Pettinck III,Reactive Metals,Rich,4.34
Sinq Laison,Disier,Pettinck,Pettinck III,Suspended Plasma,Perfect,74.56
Sinq Laison,Disier,Pettinck,Pettinck IV,Lustering Alloy,Medium,13.25
Sinq Laison,Disier,Pettinck,Pettinck IV,Base Metals,Medium,3.86
Sinq Laison,Disier,Pettinck,Pettinck V,Motley Compound,Medium,11.75
Sinq Laison,Disier,Pettinck,Pettinck V,Glossy Compound,Rich,18.17
Sinq Laison,Disier,Pettinck,Pettinck VI,Condensed Alloy,Medium,13.37
Sinq Laison,Disier,Pettinck,Pettinck VI,Industrial Fibers,Rich,4.84
Sinq Laison,Disier,Pettinck,Pettinck VI,Heavy Water,Perfect,210.96
Sinq Laison,Disier,Pettinck,Pettinck VII,Lustering Alloy,Medium,14.27
Sinq Laison,Disier,Pettinck,Pettinck VII,Base Metals,Medium,3.75
Sinq Laison,Disier,Pettinck,Pettinck VIII,Lustering Alloy,Rich,17.23
Sinq Laison,Disier,Pettinck,Pettinck VIII,Fiber Composite,Medium,12.92
Sinq Laison,Disier,Pettinck,Pettinck VIII,Base Metals,Medium,3.85
Sinq Laison,Disier,Pettinck,Pettinck IX,Lustering Alloy,Rich,18.04
Sinq Laison,Disier,Pettinck,Pettinck IX,Base Metals,Rich,4.98
Sinq Laison,Disier,Pettinck,Pettinck IX,Polyaramids,Medium,9.40
Sinq Laison,Disier,Pettinck,Pettinck X,Lustering Alloy,Medium,12.79
Sinq Laison,Disier,Pettinck,Pettinck X,Base Metals,Medium,3.31
Sinq Laison,Disier,Du Annes,Du Annes I,Lustering Alloy,Medium,14.60
Sinq Laison,Disier,Du Annes,Du Annes I,Base Metals,Medium,3.92
Sinq Laison,Disier,Du Annes,Du Annes II,Lustering Alloy,Medium,16.45
Sinq Laison,Disier,Du Annes,Du Annes II,Base Metals,Poor,2.80
Sinq Laison,Disier,Du Annes,Du Annes III,Condensed Alloy,Poor,13.03
Sinq Laison,Disier,Du Annes,Du Annes III,Opulent Compound,Medium,16.83
Sinq Laison,Disier,Du Annes,Du Annes III,Heavy Water,Perfect,243.74
Sinq Laison,Disier,Du Annes,Du Annes IV,Lustering Alloy,Poor,11.83
Sinq Laison,Disier,Du Annes,Du Annes IV,Fiber Composite,Rich,21.49
Sinq Laison,Disier,Du Annes,Du Annes IV,Base Metals,Rich,4.99
Sinq Laison,Disier,Du Annes,Du Annes V,Lustering Alloy,Rich,21.22
Sinq Laison,Disier,Du Annes,Du Annes V,Glossy Compound,Rich,20.96
Sinq Laison,Disier,Du Annes,Du Annes V,Base Metals,Rich,5.18
Sinq Laison,Disier,Du Annes,Du Annes VI,Lustering Alloy,Rich,21.10
Sinq Laison,Disier,Du Annes,Du Annes VI,Base Metals,Rich,5.33
Sinq Laison,Disier,Du Annes,Du Annes VI,Ionic Solutions,Medium,6.40
Sinq Laison,Disier,Du Annes,Du Annes VII,Lustering Alloy,Rich,20.37
Sinq Laison,Disier,Du Annes,Du Annes VII,Base Metals,Rich,5.33
Sinq Laison,Disier,Balle,Balle I,Precious Alloy,Poor,13.63
Sinq Laison,Disier,Balle,Balle I,Industrial Fibers,Poor,3.13
Sinq Laison,Disier,Balle,Balle I,Silicate Glass,Poor,6.17
Sinq Laison,Disier,Balle,Balle II,Lustering Alloy,Medium,19.60
Sinq Laison,Disier,Balle,Balle II,Industrial Fibers,Medium,4.96
Sinq Laison,Disier,Balle,Balle II,Plasmoids,Poor,0.82
Sinq Laison,Disier,Balle,Balle III,Fiber Composite,Rich,22.10
Sinq Laison,Disier,Balle,Balle III,Reactive Gas,Poor,13.18
Sinq Laison,Disier,Balle,Balle III,Noble Gas,Medium,18.48
Sinq Laison,Disier,Balle,Balle III,Reactive Metals,Rich,6.33
Sinq Laison,Disier,Balle,Balle IV,Sheen Compound,Perfect,26.13
Sinq Laison,Disier,Balle,Balle IV,Noble Gas,Medium,18.59
Sinq Laison,Disier,Balle,Balle IV,Base Metals,Medium,5.07
Sinq Laison,Disier,Balle,Balle IV,Reactive Metals,Medium,5.15
Sinq Laison,Disier,Balle,Balle V,Fiber Composite,Medium,17.17
Sinq Laison,Disier,Balle,Balle V,Reactive Gas,Perfect,25.54
Sinq Laison,Disier,Balle,Balle V,Noble Gas,Medium,15.31
Sinq Laison,Disier,Balle,Balle V,Coolant,Medium,10.47
Sinq Laison,Disier,Balle,Balle VI,Lustering Alloy,Medium,18.34
Sinq Laison,Disier,Balle,Balle VI,Fiber Composite,Medium,17.95
Sinq Laison,Disier,Balle,Balle VI,Reactive Gas,Medium,17.30
Sinq Laison,Disier,Balle,Balle VI,Noble Gas,Poor,15.07
Sinq Laison,Disier,Balle,Balle VII,Sheen Compound,Rich,22.35
Sinq Laison,Disier,Balle,Balle VII,Fiber Composite,Perfect,26.48
Sinq Laison,Disier,Balle,Balle VII,Reactive Gas,Perfect,25.95
Sinq Laison,Disier,Balle,Balle VII,Noble Gas,Perfect,26.22
Sinq Laison,Disier,Balle,Balle VIII,Lustering Alloy,Rich,21.38
Sinq Laison,Disier,Balle,Balle VIII,Coolant,Medium,12.54
Sinq Laison,Disier,Balle,Balle VIII,Liquid Ozone,Medium,20.58
Sinq Laison,Disier,Decon,Decon I,Noble Gas,Poor,15.21
Sinq Laison,Disier,Decon,Decon I,Polyaramids,Perfect,18.77
Sinq Laison,Disier,Decon,Decon II,Industrial Fibers,Poor,3.76
Sinq Laison,Disier,Decon,Decon II,Supertensile Plastics,Medium,13.78
Sinq Laison,Disier,Decon,Decon II,Construction Blocks,Medium,20.32
Sinq Laison,Disier,Decon,Decon III,Precious Alloy,Poor,12.63
Sinq Laison,Disier,Decon,Decon III,Base Metals,Poor,3.11
Sinq Laison,Disier,Decon,Decon III,Industrial Fibers,Medium,4.81
Sinq Laison,Disier,Decon,Decon IV,Noble Gas,Medium,19.65
Sinq Laison,Disier,Decon,Decon IV,Construction Blocks,Medium,16.63
Sinq Laison,Disier,Decon,Decon V,Condensed Alloy,Rich,22.90
Sinq Laison,Disier,Decon,Decon V,Noble Metals,Perfect,30.02
Sinq Laison,Disier,Decon,Decon V,Coolant,Medium,11.66
Sinq Laison,Disier,Decon,Decon V,Liquid Ozone,Medium,22.61
Sinq Laison,Disier,Decon,Decon VI,Lustering Alloy,Medium,17.56
Sinq Laison,Disier,Decon,Decon VI,Sheen Compound,Rich,25.16
Sinq Laison,Disier,Decon,Decon VI,Noble Gas,Rich,23.49
Sinq Laison,Disier,Decon,Decon VI,Coolant,Rich,16.22
Sinq Laison,Disier,Decon,Decon VII,Lustering Alloy,Medium,21.18
Sinq Laison,Disier,Decon,Decon VII,Noble Gas,Medium,19.13
Sinq Laison,Disier,Decon,Decon VII,Reactive Metals,Medium,5.33
Sinq Laison,Disier,Decon,Decon VII,Coolant,Medium,12.64
Sinq Laison,Disier,Grinacanne,Grinacanne I,Lustering Alloy,Medium,13.98
Sinq Laison,Disier,Grinacanne,Grinacanne I,Base Metals,Medium,3.10
Sinq Laison,Disier,Grinacanne,Grinacanne II,Motley Compound,Medium,12.22
Sinq Laison,Disier,Grinacanne,Grinacanne II,Smartfab Units,Medium,9.30
Sinq Laison,Disier,Grinacanne,Grinacanne III,Lustering Alloy,Medium,13.27
Sinq Laison,Disier,Grinacanne,Grinacanne III,Base Metals,Poor,2.42
Sinq Laison,Disier,Grinacanne,Grinacanne IV,Smartfab Units,Perfect,13.32
Sinq Laison,Disier,Grinacanne,Grinacanne IV,Heavy Water,Rich,169.32
Sinq Laison,Disier,Grinacanne,Grinacanne IV,Liquid Ozone,Medium,17.58
Sinq Laison,Disier,Grinacanne,Grinacanne V,Reactive Gas,Perfect,20.08
Sinq Laison,Disier,Grinacanne,Grinacanne V,Condensates,Rich,12.56
Sinq Laison,Disier,Grinacanne,Grinacanne V,Heavy Water,Perfect,207.12
Sinq Laison,Disier,Grinacanne,Grinacanne VI,Lustering Alloy,Medium,11.69
Sinq Laison,Disier,Grinacanne,Grinacanne VI,Base Metals,Poor,2.51
Sinq Laison,Disier,Grinacanne,Grinacanne VII,Lustering Alloy,Poor,11.06
Sinq Laison,Disier,Grinacanne,Grinacanne VII,Base Metals,Poor,2.09
Sinq Laison,Disier,Metserel,Metserel I,Lustering Alloy,Medium,16.83
Sinq Laison,Disier,Metserel,Metserel I,Base Metals,Poor,3.33
Sinq Laison,Disier,Metserel,Metserel II,Lustering Alloy,Poor,11.27
Sinq Laison,Disier,Metserel,Metserel II,Base Metals,Poor,3.08
Sinq Laison,Disier,Metserel,Metserel III,Lustering Alloy,Medium,15.37
Sinq Laison,Disier,Metserel,Metserel III,Base Metals,Poor,3.38
Sinq Laison,Disier,Metserel,Metserel IV,Reactive Gas,Medium,15.53
Sinq Laison,Disier,Metserel,Metserel IV,Industrial Fibers,Medium,3.91
Sinq Laison,Disier,Metserel,Metserel IV,Heavy Water,Perfect,251.72
Sinq Laison,Disier,Metserel,Metserel V,Lustering Alloy,Rich,19.56
Sinq Laison,Disier,Metserel,Metserel V,Fiber Composite,Rich,21.21
Sinq Laison,Disier,Metserel,Metserel V,Base Metals,Medium,4.00
Sinq Laison,Disier,Metserel,Metserel VI,Heavy Water,Rich,196.84
Sinq Laison,Disier,Metserel,Metserel VI,Liquid Ozone,Medium,20.02
Sinq Laison,Disier,Metserel,Metserel VI,Ionic Solutions,Medium,5.84
Sinq Laison,Disier,Metserel,Metserel VII,Lustering Alloy,Medium,14.34
Sinq Laison,Disier,Metserel,Metserel VII,Sheen Compound,Rich,18.27
Sinq Laison,Disier,Metserel,Metserel VII,Base Metals,Medium,3.51
Sinq Laison,Disier,Metserel,Metserel VIII,Crystal Compound,Medium,14.08
Sinq Laison,Disier,Metserel,Metserel VIII,Heavy Water,Perfect,222.74
Sinq Laison,Disier,Metserel,Metserel VIII,Ionic Solutions,Rich,7.44
Sinq Laison,Disier,Metserel,Metserel IX,Lustering Alloy,Medium,13.27
Sinq Laison,Disier,Metserel,Metserel IX,Base Metals,Poor,3.00
Sinq Laison,Disier,Sharuveil,Sharuveil I,Glossy Compound,Medium,16.32
Sinq Laison,Disier,Sharuveil,Sharuveil I,Noble Gas,Medium,16.88
Sinq Laison,Disier,Sharuveil,Sharuveil I,Polyaramids,Poor,10.68
Sinq Laison,Disier,Sharuveil,Sharuveil I,Ionic Solutions,Medium,7.15
Sinq Laison,Disier,Sharuveil,Sharuveil II,Fiber Composite,Medium,20.48
Sinq Laison,Disier,Sharuveil,Sharuveil II,Base Metals,Rich,6.65
Sinq Laison,Disier,Sharuveil,Sharuveil II,Condensates,Rich,14.98
Sinq Laison,Disier,Sharuveil,Sharuveil II,Smartfab Units,Medium,12.66
Sinq Laison,Disier,Sharuveil,Sharuveil III,Fiber Composite,Rich,26.08
Sinq Laison,Disier,Sharuveil,Sharuveil III,Glossy Compound,Medium,20.16
Sinq Laison,Disier,Sharuveil,Sharuveil III,Noble Gas,Medium,20.67
Sinq Laison,Disier,Sharuveil,Sharuveil III,Reactive Metals,Rich,6.37
Sinq Laison,Disier,Sharuveil,Sharuveil IV,Precious Alloy,Poor,13.96
Sinq Laison,Disier,Sharuveil,Sharuveil IV,Coolant,Rich,14.43
Sinq Laison,Disier,Sharuveil,Sharuveil IV,Condensates,Medium,13.35
Sinq Laison,Disier,Sharuveil,Sharuveil V,Industrial Fibers,Medium,4.32
Sinq Laison,Disier,Sharuveil,Sharuveil V,Construction Blocks,Poor,14.81
Sinq Laison,Disier,Sharuveil,Sharuveil V,Silicate Glass,Medium,8.78
Sinq Laison,Disier,Sharuveil,Sharuveil VI,Lustering Alloy,Medium,19.46
Sinq Laison,Disier,Sharuveil,Sharuveil VI,Dark Compound,Poor,11.36
Sinq Laison,Disier,Sharuveil,Sharuveil VI,Industrial Fibers,Medium,5.40
Sinq Laison,Disier,Sharuveil,Sharuveil VII,Industrial Fibers,Poor,2.83
Sinq Laison,Disier,Sharuveil,Sharuveil VII,Construction Blocks,Poor,13.72
Sinq Laison,Disier,Sharuveil,Sharuveil VII,Plasmoids,Medium,1.04
Sinq Laison,Disier,Adreland,Adreland I,Lustering Alloy,Medium,12.89
Sinq Laison,Disier,Adreland,Adreland I,Base Metals,Medium,3.77
Sinq Laison,Disier,Adreland,Adreland II,Crystal Compound,Medium,12.71
Sinq Laison,Disier,Adreland,Adreland II,Coolant,Rich,11.94
Sinq Laison,Disier,Adreland,Adreland II,Heavy Water,Perfect,210.84
Sinq Laison,Disier,Adreland,Adreland III,Lustering Alloy,Rich,17.64
Sinq Laison,Disier,Adreland,Adreland III,Fiber Composite,Medium,11.71
Sinq Laison,Disier,Adreland,Adreland III,Base Metals,Medium,3.71
Sinq Laison,Disier,Adreland,Adreland IV,Lustering Alloy,Medium,12.13
Sinq Laison,Disier,Adreland,Adreland IV,Base Metals,Perfect,5.03
Sinq Laison,Disier,Adreland,Adreland IV,Reactive Metals,Medium,3.71
Sinq Laison,Disier,Adreland,Adreland V,Lustering Alloy,Rich,18.55
