Region,Constellation,System,Name,Item,Rate,Output
Solitude,Braille,Conomette,Conomette I,Base Metals,Poor,3.02
Solitude,Braille,Conomette,Conomette I,Toxic Metals,Poor,3.12
Solitude,Braille,Conomette,Conomette I,Industrial Fibers,Medium,5.15
Solitude,Braille,Conomette,Conomette II,Dark Compound,Medium,17.86
Solitude,Braille,Conomette,Conomette II,Industrial Fibers,Poor,3.45
Solitude,Braille,Conomette,Conomette II,Plasmoids,Medium,1.03
Solitude,Braille,Conomette,Conomette III,Sheen Compound,Rich,22.93
Solitude,Braille,Conomette,Conomette III,Reactive Gas,Rich,27.56
Solitude,Braille,Conomette,Conomette III,Noble Gas,Medium,20.20
Solitude,Braille,Conomette,Conomette III,Base Metals,Medium,5.50
Solitude,Braille,Conomette,Conomette IV,Lustering Alloy,Medium,21.20
Solitude,Braille,Conomette,Conomette IV,Sheen Compound,Poor,14.96
Solitude,Braille,Conomette,Conomette IV,Noble Gas,Rich,26.86
Solitude,Braille,Conomette,Conomette IV,Base Metals,Rich,6.76
Solitude,Braille,Conomette,Conomette V,Lustering Alloy,Medium,21.20
Solitude,Braille,Conomette,Conomette V,Heavy Metals,Rich,25.06
Solitude,Braille,Conomette,Conomette V,Coolant,Medium,12.05
Solitude,Braille,Aimoguier,Aimoguier I,Lustering Alloy,Medium,18.14
Solitude,Braille,Aimoguier,Aimoguier I,Industrial Fibers,Poor,4.64
Solitude,Braille,Aimoguier,Aimoguier I,Silicate Glass,Medium,10.25
Solitude,Braille,Aimoguier,Aimoguier II,Condensed Alloy,Perfect,34.81
Solitude,Braille,Aimoguier,Aimoguier II,Fiber Composite,Perfect,32.59
Solitude,Braille,Aimoguier,Aimoguier II,Base Metals,Perfect,8.21
Solitude,Braille,Aimoguier,Aimoguier II,Liquid Ozone,Medium,25.79
Solitude,Braille,Aimoguier,Aimoguier III,Noble Gas,Poor,17.78
Solitude,Braille,Aimoguier,Aimoguier III,Plasmoids,Medium,1.08
Solitude,Braille,Aimoguier,Aimoguier IV,Toxic Metals,Poor,3.83
Solitude,Braille,Aimoguier,Aimoguier IV,Industrial Fibers,Medium,5.25
Solitude,Braille,Aimoguier,Aimoguier IV,Oxygen Isotopes,Poor,1.97
Solitude,Braille,Aimoguier,Aimoguier V,Base Metals,Poor,3.26
Solitude,Braille,Aimoguier,Aimoguier V,Industrial Fibers,Medium,5.20
Solitude,Braille,Aimoguier,Aimoguier V,Plasmoids,Medium,1.14
Solitude,Braille,Aimoguier,Aimoguier VI,Crystal Compound,Poor,17.40
Solitude,Braille,Aimoguier,Aimoguier VI,Construction Blocks,Rich,29.75
Solitude,Braille,Aimoguier,Aimoguier VI,Nanites,Rich,7.51
Solitude,Braille,Aimoguier,Aimoguier VII,Supertensile Plastics,Medium,13.62
Solitude,Braille,Aimoguier,Aimoguier VII,Construction Blocks,Rich,27.34
Solitude,Braille,Aimoguier,Aimoguier VII,Suspended Plasma,Poor,64.02
Solitude,Braille,Aimoguier,Aimoguier VIII,Fiber Composite,Perfect,34.03
Solitude,Braille,Aimoguier,Aimoguier VIII,Base Metals,Medium,6.24
Solitude,Braille,Aimoguier,Aimoguier VIII,Noble Metals,Medium,22.29
Solitude,Braille,Aimoguier,Aimoguier VIII,Condensates,Medium,15.48
Solitude,Braille,Aimoguier,Aimoguier IX,Fiber Composite,Rich,29.62
Solitude,Braille,Aimoguier,Aimoguier IX,Base Metals,Rich,7.76
Solitude,Braille,Aimoguier,Aimoguier IX,Noble Metals,Medium,18.56
Solitude,Braille,Aimoguier,Aimoguier IX,Smartfab Units,Rich,16.47
Solitude,Braille,Yveve,Yveve I,Noble Gas,Poor,15.42
Solitude,Braille,Yveve,Yveve I,Noble Metals,Poor,15.91
Solitude,Braille,Yveve,Yveve II,Fiber Composite,Rich,25.18
Solitude,Braille,Yveve,Yveve II,Opulent Compound,Perfect,29.78
Solitude,Braille,Yveve,Yveve II,Industrial Fibers,Rich,5.93
Solitude,Braille,Yveve,Yveve II,Smartfab Units,Rich,14.88
Solitude,Braille,Yveve,Yveve III,Fiber Composite,Poor,14.89
Solitude,Braille,Yveve,Yveve III,Glossy Compound,Poor,15.64
Solitude,Braille,Yveve,Yveve III,Noble Gas,Rich,25.84
Solitude,Braille,Yveve,Yveve III,Reactive Metals,Rich,5.66
Solitude,Braille,Yveve,Yveve IV,Reactive Gas,Poor,14.77
Solitude,Braille,Yveve,Yveve IV,Noble Gas,Rich,25.04
Solitude,Braille,Yveve,Yveve IV,Base Metals,Poor,3.72
Solitude,Braille,Yveve,Yveve IV,Coolant,Medium,11.16
Solitude,Braille,Yveve,Yveve V,Reactive Gas,Rich,22.93
Solitude,Braille,Yveve,Yveve V,Noble Gas,Rich,22.13
Solitude,Braille,Yveve,Yveve V,Reactive Metals,Rich,6.14
Solitude,Braille,Yveve,Yveve V,Polyaramids,Poor,10.48
Solitude,Braille,Yveve,Yveve VI,Lustering Alloy,Medium,18.14
Solitude,Braille,Yveve,Yveve VI,Reactive Gas,Rich,23.29
Solitude,Braille,Yveve,Yveve VI,Noble Gas,Medium,16.51
Solitude,Braille,Yveve,Yveve VI,Polyaramids,Rich,16.42
Solitude,Braille,Yveve,Yveve VII,Lustering Alloy,Poor,15.61
Solitude,Braille,Yveve,Yveve VII,Coolant,Medium,14.11
Solitude,Braille,Yveve,Yveve VII,Suspended Plasma,Rich,83.42
Solitude,Braille,Meunvon,Meunvon I,Noble Gas,Rich,27.34
Solitude,Braille,Meunvon,Meunvon I,Smartfab Units,Medium,12.73
Solitude,Braille,Meunvon,Meunvon II,Gleaming Alloy,Rich,24.44
Solitude,Braille,Meunvon,Meunvon II,Supertensile Plastics,Rich,15.72
Solitude,Braille,Meunvon,Meunvon II,Construction Blocks,Medium,20.88
Solitude,Braille,Meunvon,Meunvon III,Lustering Alloy,Medium,20.14
Solitude,Braille,Meunvon,Meunvon III,Sheen Compound,Rich,25.07
Solitude,Braille,Meunvon,Meunvon III,Noble Gas,Perfect,28.87
Solitude,Braille,Meunvon,Meunvon III,Polyaramids,Rich,16.80
Solitude,Braille,Meunvon,Meunvon IV,Fiber Composite,Poor,15.05
Solitude,Braille,Meunvon,Meunvon IV,Noble Gas,Rich,28.26
Solitude,Braille,Meunvon,Meunvon IV,Polyaramids,Rich,17.10
Solitude,Braille,Meunvon,Meunvon IV,Ionic Solutions,Rich,9.28
Solitude,Braille,Meunvon,Meunvon V,Lustering Alloy,Poor,16.33
Solitude,Braille,Meunvon,Meunvon V,Sheen Compound,Rich,22.79
Solitude,Braille,Meunvon,Meunvon V,Reactive Gas,Poor,16.13
Solitude,Braille,Meunvon,Meunvon V,Noble Gas,Rich,23.42
Solitude,Braille,Meunvon,Meunvon VI,Sheen Compound,Rich,25.20
Solitude,Braille,Meunvon,Meunvon VI,Heavy Metals,Medium,17.87
Solitude,Braille,Meunvon,Meunvon VI,Nanites,Medium,4.85
Solitude,Braille,Meunvon,Meunvon VI,Suspended Plasma,Medium,71.02
Solitude,Braille,Meunvon,Meunvon VII,Crystal Compound,Medium,18.58
Solitude,Braille,Meunvon,Meunvon VII,Construction Blocks,Perfect,29.09
Solitude,Braille,Meunvon,Meunvon VII,Suspended Plasma,Rich,83.79
Solitude,Braille,Cadelanne,Cadelanne I,Lustering Alloy,Medium,22.82
Solitude,Braille,Cadelanne,Cadelanne I,Industrial Fibers,Poor,4.43
Solitude,Braille,Cadelanne,Cadelanne I,Construction Blocks,Poor,12.90
Solitude,Braille,Cadelanne,Cadelanne II,Noble Gas,Poor,15.28
Solitude,Braille,Cadelanne,Cadelanne II,Oxygen Isotopes,Poor,2.40
Solitude,Braille,Cadelanne,Cadelanne III,Noble Gas,Poor,15.33
Solitude,Braille,Cadelanne,Cadelanne III,Noble Metals,Medium,18.35
Solitude,Braille,Cadelanne,Cadelanne IV,Supertensile Plastics,Medium,12.74
Solitude,Braille,Cadelanne,Cadelanne IV,Construction Blocks,Medium,23.58
Solitude,Braille,Cadelanne,Cadelanne IV,Suspended Plasma,Medium,86.05
Solitude,Braille,Cadelanne,Cadelanne V,Sheen Compound,Medium,21.38
Solitude,Braille,Cadelanne,Cadelanne V,Fiber Composite,Rich,28.46
Solitude,Braille,Cadelanne,Cadelanne V,Noble Gas,Perfect,31.25
Solitude,Braille,Cadelanne,Cadelanne V,Base Metals,Rich,7.88
Solitude,Braille,Cadelanne,Cadelanne VI,Lustering Alloy,Poor,14.31
Solitude,Braille,Cadelanne,Cadelanne VI,Industrial Fibers,Poor,4.53
Solitude,Braille,Cadelanne,Cadelanne VI,Oxygen Isotopes,Medium,2.97
Solitude,Braille,Cadelanne,Cadelanne VII,Condensed Alloy,Rich,29.11
Solitude,Braille,Cadelanne,Cadelanne VII,Fiber Composite,Medium,21.09
Solitude,Braille,Cadelanne,Cadelanne VII,Opulent Compound,Perfect,34.47
Solitude,Braille,Cadelanne,Cadelanne VII,Industrial Fibers,Perfect,8.64
Solitude,Braille,Cadelanne,Cadelanne VIII,Glossy Compound,Rich,27.47
Solitude,Braille,Cadelanne,Cadelanne VIII,Noble Gas,Perfect,30.68
Solitude,Braille,Cadelanne,Cadelanne VIII,Polyaramids,Medium,12.64
Solitude,Braille,Cadelanne,Cadelanne VIII,Coolant,Medium,14.14
Solitude,Braille,Elore,Elore I,Gleaming Alloy,Medium,22.01
Solitude,Braille,Elore,Elore I,Noble Gas,Rich,23.40
Solitude,Braille,Elore,Elore II,Sheen Compound,Rich,28.19
Solitude,Braille,Elore,Elore II,Noble Gas,Medium,18.13
Solitude,Braille,Elore,Elore II,Nanites,Medium,5.84
