Region,Constellation,System,Name,Item,Rate,Output
Stain,5VN-B7,DSS-EZ,DSS-EZ I,Lucent Compound,Medium,27.72
Stain,5VN-B7,DSS-EZ,DSS-EZ I,Heavy Metals,Poor,19.91
Stain,5VN-B7,DSS-EZ,DSS-EZ I,Reactive Metals,Medium,6.41
Stain,5VN-B7,DSS-EZ,DSS-EZ I,Condensates,Perfect,24.38
Stain,5VN-B7,DSS-EZ,DSS-EZ I,Nanites,Perfect,10.02
Stain,5VN-B7,DSS-EZ,DSS-EZ II,Toxic Metals,Poor,4.56
Stain,5VN-B7,DSS-EZ,DSS-EZ II,Industrial Fibers,Poor,4.24
Stain,5VN-B7,DSS-EZ,DSS-EZ II,Supertensile Plastics,Medium,16.40
Stain,5VN-B7,DSS-EZ,DSS-EZ II,Silicate Glass,Poor,8.89
Stain,5VN-B7,DSS-EZ,DSS-EZ III,Gleaming Alloy,Poor,17.91
Stain,5VN-B7,DSS-EZ,DSS-EZ III,Smartfab Units,Perfect,23.83
Stain,5VN-B7,DSS-EZ,DSS-EZ III,Plasmoids,Medium,1.58
Stain,5VN-B7,DSS-EZ,DSS-EZ IV,Fiber Composite,Rich,32.47
Stain,5VN-B7,DSS-EZ,DSS-EZ IV,Reactive Gas,Rich,28.78
Stain,5VN-B7,DSS-EZ,DSS-EZ IV,Base Metals,Perfect,10.57
Stain,5VN-B7,DSS-EZ,DSS-EZ IV,Noble Metals,Perfect,37.53
Stain,5VN-B7,DSS-EZ,DSS-EZ IV,Liquid Ozone,Medium,26.37
Stain,5VN-B7,DSS-EZ,DSS-EZ V,Condensed Alloy,Perfect,39.05
Stain,5VN-B7,DSS-EZ,DSS-EZ V,Fiber Composite,Rich,34.45
Stain,5VN-B7,DSS-EZ,DSS-EZ V,Industrial Fibers,Rich,8.78
Stain,5VN-B7,DSS-EZ,DSS-EZ V,Condensates,Perfect,24.71
Stain,5VN-B7,DSS-EZ,DSS-EZ V,Liquid Ozone,Rich,42.27
Stain,5VN-B7,DSS-EZ,DSS-EZ VI,Fiber Composite,Rich,31.02
Stain,5VN-B7,DSS-EZ,DSS-EZ VI,Reactive Gas,Poor,18.24
Stain,5VN-B7,DSS-EZ,DSS-EZ VI,Base Metals,Medium,5.83
Stain,5VN-B7,DSS-EZ,DSS-EZ VI,Reactive Metals,Medium,7.18
Stain,5VN-B7,DSS-EZ,DSS-EZ VI,Polyaramids,Medium,14.07
Stain,5VN-B7,DSS-EZ,DSS-EZ VII,Precious Alloy,Poor,14.37
Stain,5VN-B7,DSS-EZ,DSS-EZ VII,Supertensile Plastics,Medium,13.92
Stain,5VN-B7,DSS-EZ,DSS-EZ VII,Construction Blocks,Poor,15.75
Stain,5VN-B7,DSS-EZ,DSS-EZ VII,Silicate Glass,Poor,7.59
Stain,5VN-B7,DSS-EZ,DSS-EZ VIII,Sheen Compound,Medium,21.05
Stain,5VN-B7,DSS-EZ,DSS-EZ VIII,Fiber Composite,Medium,24.29
Stain,5VN-B7,DSS-EZ,DSS-EZ VIII,Reactive Gas,Medium,21.32
Stain,5VN-B7,DSS-EZ,DSS-EZ VIII,Base Metals,Medium,5.87
Stain,5VN-B7,DSS-EZ,DSS-EZ VIII,Ionic Solutions,Rich,13.66
Stain,5VN-B7,MB4D-4,MB4D-4 I,Gleaming Alloy,Medium,26.42
Stain,5VN-B7,MB4D-4,MB4D-4 I,Heavy Metals,Medium,25.45
Stain,5VN-B7,MB4D-4,MB4D-4 I,Oxygen Isotopes,Rich,4.71
Stain,5VN-B7,MB4D-4,MB4D-4 II,Dark Compound,Poor,18.96
Stain,5VN-B7,MB4D-4,MB4D-4 II,Supertensile Plastics,Poor,12.92
Stain,5VN-B7,MB4D-4,MB4D-4 II,Construction Blocks,Medium,22.53
Stain,5VN-B7,MB4D-4,MB4D-4 II,Oxygen Isotopes,Medium,4.06
Stain,5VN-B7,MB4D-4,MB4D-4 III,Industrial Fibers,Poor,4.49
