Region,Constellation,System,Name,Item,Rate,Output
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 I,Toxic Metals,Poor,4.65
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 I,Industrial Fibers,Medium,5.82
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 I,Supertensile Plastics,Poor,12.28
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 I,Plasmoids,Poor,0.96
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 II,Industrial Fibers,Poor,4.13
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 II,Supertensile Plastics,Medium,14.55
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 II,Construction Blocks,Medium,19.68
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 II,Plasmoids,Poor,1.13
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 III,Condensed Alloy,Rich,31.08
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 III,Base Metals,Medium,6.19
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 III,Industrial Fibers,Perfect,9.88
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 III,Heavy Water,Rich,308.20
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 III,Liquid Ozone,Medium,31.07
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IV,Gleaming Alloy,Rich,31.62
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IV,Heavy Metals,Perfect,32.90
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IV,Plasmoids,Perfect,2.03
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 V,Gleaming Alloy,Medium,23.20
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 V,Noble Gas,Medium,21.62
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 V,Heavy Metals,Medium,20.06
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VI,Crystal Compound,Poor,18.42
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VI,Reactive Gas,Rich,26.56
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VI,Reactive Metals,Medium,6.43
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VI,Suspended Plasma,Rich,99.50
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VII,Sheen Compound,Poor,17.74
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VII,Fiber Composite,Medium,20.22
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VII,Reactive Gas,Medium,20.82
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VII,Polyaramids,Medium,15.47
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VII,Coolant,Medium,13.11
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VIII,Lustering Alloy,Rich,28.34
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VIII,Fiber Composite,Rich,30.88
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VIII,Reactive Gas,Medium,19.06
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VIII,Base Metals,Medium,5.04
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 VIII,Polyaramids,Medium,16.75
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IX,Lustering Alloy,Poor,18.48
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IX,Reactive Gas,Poor,16.82
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IX,Base Metals,Medium,5.29
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IX,Polyaramids,Rich,17.25
Syndicate,Z-6NQ6,MHC-R3,MHC-R3 IX,Ionic Solutions,Rich,11.45
