Region,Constellation,System,Name,Item,Rate,Output
Tash-Murkon,Sanair,Tividu,Tividu I,Lustering Alloy,Medium,15.09
Tash-Murkon,Sanair,Tividu,Tividu I,Base Metals,Medium,4.10
Tash-Murkon,Sanair,Tividu,Tividu II,Condensed Alloy,Medium,14.71
Tash-Murkon,Sanair,Tividu,Tividu II,Smartfab Units,Medium,11.86
Tash-Murkon,Sanair,Tividu,Tividu II,Heavy Water,Rich,190.80
Tash-Murkon,Sanair,Tividu,Tividu III,Lustering Alloy,Medium,15.97
Tash-Murkon,Sanair,Tividu,Tividu III,Base Metals,Medium,4.40
Tash-Murkon,Sanair,Tividu,Tividu IV,Lustering Alloy,Poor,12.49
Tash-Murkon,Sanair,Tividu,Tividu IV,Fiber Composite,Poor,12.55
Tash-Murkon,Sanair,Tividu,Tividu IV,Base Metals,Poor,3.46
Tash-Murkon,Sanair,Tividu,Tividu V,Lustering Alloy,Rich,22.41
Tash-Murkon,Sanair,Tividu,Tividu V,Sheen Compound,Rich,21.60
Tash-Murkon,Sanair,Tividu,Tividu V,Base Metals,Medium,4.76
Tash-Murkon,Sanair,Tividu,Tividu VI,Lustering Alloy,Poor,13.08
Tash-Murkon,Sanair,Tividu,Tividu VI,Base Metals,Medium,4.44
Tash-Murkon,Sanair,Tendhyes,Tendhyes I,Lustering Alloy,Medium,14.79
Tash-Murkon,Sanair,Tendhyes,Tendhyes I,Base Metals,Medium,3.92
Tash-Murkon,Sanair,Tendhyes,Tendhyes II,Motley Compound,Rich,21.23
Tash-Murkon,Sanair,Tendhyes,Tendhyes II,Plasmoids,Rich,1.24
Tash-Murkon,Sanair,Tendhyes,Tendhyes III,Lustering Alloy,Poor,12.84
Tash-Murkon,Sanair,Tendhyes,Tendhyes III,Base Metals,Poor,3.66
Tash-Murkon,Sanair,Tendhyes,Tendhyes IV,Lucent Compound,Rich,19.23
Tash-Murkon,Sanair,Tendhyes,Tendhyes IV,Suspended Plasma,Rich,84.35
Tash-Murkon,Sanair,Tendhyes,Tendhyes V,Lustering Alloy,Poor,12.07
Tash-Murkon,Sanair,Tendhyes,Tendhyes V,Base Metals,Poor,3.52
Tash-Murkon,Sanair,Tendhyes,Tendhyes VI,Lustering Alloy,Medium,17.23
Tash-Murkon,Sanair,Tendhyes,Tendhyes VI,Base Metals,Poor,3.09
Tash-Murkon,Sanair,Tendhyes,Tendhyes VII,Lustering Alloy,Medium,16.23
Tash-Murkon,Sanair,Tendhyes,Tendhyes VII,Fiber Composite,Poor,13.89
Tash-Murkon,Sanair,Tendhyes,Tendhyes VII,Base Metals,Rich,5.38
Tash-Murkon,Sanair,Tendhyes,Tendhyes VIII,Lustering Alloy,Rich,22.47
Tash-Murkon,Sanair,Tendhyes,Tendhyes VIII,Noble Gas,Rich,21.78
Tash-Murkon,Sanair,Tendhyes,Tendhyes VIII,Base Metals,Rich,5.18
Tash-Murkon,Sanair,Tendhyes,Tendhyes IX,Lustering Alloy,Perfect,24.20
Tash-Murkon,Sanair,Tendhyes,Tendhyes IX,Fiber Composite,Rich,19.02
Tash-Murkon,Sanair,Tendhyes,Tendhyes IX,Base Metals,Rich,5.79
Tash-Murkon,Sanair,Tendhyes,Tendhyes X,Lustering Alloy,Poor,12.38
Tash-Murkon,Sanair,Tendhyes,Tendhyes X,Sheen Compound,Poor,13.08
Tash-Murkon,Sanair,Tendhyes,Tendhyes X,Base Metals,Rich,5.47
Tash-Murkon,Sanair,Tendhyes,Tendhyes XI,Lustering Alloy,Medium,14.91
Tash-Murkon,Sanair,Tendhyes,Tendhyes XI,Sheen Compound,Medium,18.32
Tash-Murkon,Sanair,Tendhyes,Tendhyes XI,Base Metals,Rich,6.22
