Region,Constellation,System,Name,Item,Rate,Output
Tenal,M-J57M,H1-ESN,H1-ESN I,Supertensile Plastics,Poor,10.89
Tenal,M-J57M,H1-ESN,H1-ESN I,Construction Blocks,Medium,20.05
Tenal,M-J57M,H1-ESN,H1-ESN I,Silicate Glass,Medium,10.11
Tenal,M-J57M,H1-ESN,H1-ESN I,Oxygen Isotopes,Medium,3.00
Tenal,M-J57M,H1-ESN,H1-ESN II,Noble Gas,Medium,21.15
Tenal,M-J57M,H1-ESN,H1-ESN II,Reactive Metals,Medium,5.61
Tenal,M-J57M,H1-ESN,H1-ESN II,Condensates,Poor,12.96
Tenal,M-J57M,H1-ESN,H1-ESN II,Nanites,Medium,6.20
Tenal,M-J57M,H1-ESN,H1-ESN II,Suspended Plasma,Medium,94.95
Tenal,M-J57M,H1-ESN,H1-ESN III,Lucent Compound,Medium,22.41
Tenal,M-J57M,H1-ESN,H1-ESN III,Dark Compound,Perfect,33.73
Tenal,M-J57M,H1-ESN,H1-ESN III,Heavy Metals,Rich,30.60
Tenal,M-J57M,H1-ESN,H1-ESN III,Condensates,Medium,14.66
Tenal,M-J57M,H1-ESN,H1-ESN III,Nanites,Medium,6.89
Tenal,M-J57M,H1-ESN,H1-ESN IV,Lustering Alloy,Poor,16.95
Tenal,M-J57M,H1-ESN,H1-ESN IV,Precious Alloy,Poor,19.49
Tenal,M-J57M,H1-ESN,H1-ESN IV,Supertensile Plastics,Medium,13.29
Tenal,M-J57M,H1-ESN,H1-ESN IV,Construction Blocks,Poor,16.09
Tenal,M-J57M,H1-ESN,H1-ESN V,Gleaming Alloy,Medium,20.87
Tenal,M-J57M,H1-ESN,H1-ESN V,Noble Gas,Medium,20.79
Tenal,M-J57M,H1-ESN,H1-ESN V,Polyaramids,Perfect,22.53
Tenal,M-J57M,H1-ESN,H1-ESN VI,Condensed Alloy,Medium,25.70
Tenal,M-J57M,H1-ESN,H1-ESN VI,Toxic Metals,Rich,7.21
Tenal,M-J57M,H1-ESN,H1-ESN VI,Silicate Glass,Medium,13.19
Tenal,M-J57M,H1-ESN,H1-ESN VI,Liquid Ozone,Medium,27.04
Tenal,M-J57M,H1-ESN,H1-ESN VI,Ionic Solutions,Medium,8.53
Tenal,M-J57M,H1-ESN,H1-ESN VII,Condensed Alloy,Medium,21.69
Tenal,M-J57M,H1-ESN,H1-ESN VII,Fiber Composite,Perfect,36.67
Tenal,M-J57M,H1-ESN,H1-ESN VII,Reactive Gas,Perfect,33.75
Tenal,M-J57M,H1-ESN,H1-ESN VII,Base Metals,Rich,8.09
Tenal,M-J57M,H1-ESN,H1-ESN VII,Liquid Ozone,Medium,28.67
Tenal,M-J57M,H1-ESN,H1-ESN VIII,Reactive Gas,Rich,30.11
Tenal,M-J57M,H1-ESN,H1-ESN VIII,Noble Gas,Medium,25.91
Tenal,M-J57M,H1-ESN,H1-ESN VIII,Reactive Metals,Medium,5.83
Tenal,M-J57M,H1-ESN,H1-ESN VIII,Polyaramids,Rich,20.80
Tenal,M-J57M,H1-ESN,H1-ESN VIII,Coolant,Rich,20.51
Tenal,M-J57M,3DR-CR,3DR-CR I,Toxic Metals,Poor,4.22
Tenal,M-J57M,3DR-CR,3DR-CR I,Supertensile Plastics,Medium,16.09
Tenal,M-J57M,3DR-CR,3DR-CR I,Construction Blocks,Poor,14.22
Tenal,M-J57M,3DR-CR,3DR-CR I,Oxygen Isotopes,Poor,1.98
Tenal,M-J57M,3DR-CR,3DR-CR II,Gleaming Alloy,Rich,31.58
Tenal,M-J57M,3DR-CR,3DR-CR II,Noble Metals,Medium,20.01
Tenal,M-J57M,3DR-CR,3DR-CR II,Polyaramids,Rich,22.18
Tenal,M-J57M,3DR-CR,3DR-CR III,Precious Alloy,Poor,16.97
Tenal,M-J57M,3DR-CR,3DR-CR III,Industrial Fibers,Medium,5.41
Tenal,M-J57M,3DR-CR,3DR-CR III,Supertensile Plastics,Medium,16.06
Tenal,M-J57M,3DR-CR,3DR-CR III,Oxygen Isotopes,Poor,2.25
Tenal,M-J57M,3DR-CR,3DR-CR IV,Gleaming Alloy,Rich,30.98
Tenal,M-J57M,3DR-CR,3DR-CR IV,Motley Compound,Poor,17.56
Tenal,M-J57M,3DR-CR,3DR-CR IV,Construction Blocks,Medium,21.50
Tenal,M-J57M,3DR-CR,3DR-CR V,Condensed Alloy,Perfect,37.23
Tenal,M-J57M,3DR-CR,3DR-CR V,Fiber Composite,Perfect,39.56
Tenal,M-J57M,3DR-CR,3DR-CR V,Condensates,Perfect,25.10
Tenal,M-J57M,3DR-CR,3DR-CR V,Smartfab Units,Perfect,23.46
Tenal,M-J57M,3DR-CR,3DR-CR V,Liquid Ozone,Rich,33.70
Tenal,M-J57M,3DR-CR,3DR-CR VI,Fiber Composite,Perfect,33.87
Tenal,M-J57M,3DR-CR,3DR-CR VI,Reactive Gas,Poor,17.39
Tenal,M-J57M,3DR-CR,3DR-CR VI,Reactive Metals,Medium,6.58
Tenal,M-J57M,3DR-CR,3DR-CR VI,Coolant,Perfect,22.75
Tenal,M-J57M,3DR-CR,3DR-CR VI,Ionic Solutions,Rich,10.81
Tenal,M-J57M,3DR-CR,3DR-CR VII,Glossy Compound,Rich,27.17
Tenal,M-J57M,3DR-CR,3DR-CR VII,Reactive Gas,Medium,25.30
Tenal,M-J57M,3DR-CR,3DR-CR VII,Reactive Metals,Poor,4.71
Tenal,M-J57M,3DR-CR,3DR-CR VII,Polyaramids,Medium,15.95
Tenal,M-J57M,3DR-CR,3DR-CR VII,Ionic Solutions,Medium,10.03
Tenal,M-J57M,RLTG-3,RLTG-3 I,Lustering Alloy,Poor,17.40
Tenal,M-J57M,RLTG-3,RLTG-3 I,Precious Alloy,Poor,13.30
Tenal,M-J57M,RLTG-3,RLTG-3 I,Supertensile Plastics,Medium,14.69
Tenal,M-J57M,RLTG-3,RLTG-3 I,Oxygen Isotopes,Medium,3.13
Tenal,M-J57M,RLTG-3,RLTG-3 II,Gleaming Alloy,Medium,24.98
Tenal,M-J57M,RLTG-3,RLTG-3 II,Noble Metals,Rich,31.62
Tenal,M-J57M,RLTG-3,RLTG-3 II,Plasmoids,Rich,1.62
Tenal,M-J57M,RLTG-3,RLTG-3 III,Opulent Compound,Medium,21.90
Tenal,M-J57M,RLTG-3,RLTG-3 III,Reactive Gas,Medium,23.70
Tenal,M-J57M,RLTG-3,RLTG-3 III,Noble Metals,Rich,28.90
Tenal,M-J57M,RLTG-3,RLTG-3 III,Smartfab Units,Perfect,23.56
Tenal,M-J57M,RLTG-3,RLTG-3 III,Liquid Ozone,Rich,37.40
Tenal,M-J57M,RLTG-3,RLTG-3 IV,Lustering Alloy,Perfect,33.16
Tenal,M-J57M,RLTG-3,RLTG-3 IV,Sheen Compound,Poor,17.46
Tenal,M-J57M,RLTG-3,RLTG-3 IV,Fiber Composite,Medium,21.16
Tenal,M-J57M,RLTG-3,RLTG-3 IV,Glossy Compound,Medium,23.60
Tenal,M-J57M,RLTG-3,RLTG-3 IV,Reactive Gas,Medium,22.30
Tenal,M-J57M,RLTG-3,RLTG-3 V,Fiber Composite,Medium,22.48
Tenal,M-J57M,RLTG-3,RLTG-3 V,Reactive Gas,Medium,24.14
Tenal,M-J57M,RLTG-3,RLTG-3 V,Base Metals,Medium,5.80
Tenal,M-J57M,RLTG-3,RLTG-3 V,Polyaramids,Medium,15.79
Tenal,M-J57M,RLTG-3,RLTG-3 V,Ionic Solutions,Rich,12.08
Tenal,M-J57M,RLTG-3,RLTG-3 VI,Glossy Compound,Medium,20.04
Tenal,M-J57M,RLTG-3,RLTG-3 VI,Reactive Gas,Medium,20.86
Tenal,M-J57M,RLTG-3,RLTG-3 VI,Noble Gas,Medium,21.44
Tenal,M-J57M,RLTG-3,RLTG-3 VI,Base Metals,Medium,6.42
Tenal,M-J57M,RLTG-3,RLTG-3 VI,Reactive Metals,Rich,7.71
Tenal,M-J57M,RLTG-3,RLTG-3 VII,Sheen Compound,Rich,31.42
Tenal,M-J57M,RLTG-3,RLTG-3 VII,Reactive Gas,Perfect,32.24
Tenal,M-J57M,RLTG-3,RLTG-3 VII,Reactive Metals,Rich,8.28
Tenal,M-J57M,RLTG-3,RLTG-3 VII,Polyaramids,Perfect,21.48
Tenal,M-J57M,RLTG-3,RLTG-3 VII,Coolant,Medium,15.05
Tenal,M-J57M,RLTG-3,RLTG-3 VIII,Lustering Alloy,Poor,16.08
Tenal,M-J57M,RLTG-3,RLTG-3 VIII,Motley Compound,Medium,25.08
Tenal,M-J57M,RLTG-3,RLTG-3 VIII,Industrial Fibers,Medium,6.52
Tenal,M-J57M,RLTG-3,RLTG-3 VIII,Condensates,Poor,11.72
Tenal,M-J57M,S-EVIQ,S-EVIQ I,Gleaming Alloy,Rich,27.82
Tenal,M-J57M,S-EVIQ,S-EVIQ I,Polyaramids,Medium,12.95
Tenal,M-J57M,S-EVIQ,S-EVIQ I,Construction Blocks,Medium,24.38
Tenal,M-J57M,S-EVIQ,S-EVIQ II,Base Metals,Medium,5.64
Tenal,M-J57M,S-EVIQ,S-EVIQ II,Supertensile Plastics,Poor,10.79
Tenal,M-J57M,S-EVIQ,S-EVIQ II,Silicate Glass,Medium,11.58
Tenal,M-J57M,S-EVIQ,S-EVIQ II,Plasmoids,Medium,1.22
Tenal,M-J57M,S-EVIQ,S-EVIQ III,Crystal Compound,Rich,27.16
