Region,Constellation,System,Name,Item,Rate,Output
Tenerifis,QP6B-I,WB-AYY,WB-AYY I,Gleaming Alloy,Poor,18.60
Tenerifis,QP6B-I,WB-AYY,WB-AYY I,Noble Gas,Rich,29.80
Tenerifis,QP6B-I,WB-AYY,WB-AYY I,Oxygen Isotopes,Rich,4.34
Tenerifis,QP6B-I,WB-AYY,WB-AYY II,Condensed Alloy,Medium,22.12
Tenerifis,QP6B-I,WB-AYY,WB-AYY II,Fiber Composite,Medium,21.96
Tenerifis,QP6B-I,WB-AYY,WB-AYY II,Opulent Compound,Rich,26.78
Tenerifis,QP6B-I,WB-AYY,WB-AYY II,Condensates,Perfect,24.88
Tenerifis,QP6B-I,WB-AYY,WB-AYY II,Liquid Ozone,Rich,34.38
Tenerifis,QP6B-I,WB-AYY,WB-AYY III,Glossy Compound,Rich,30.82
Tenerifis,QP6B-I,WB-AYY,WB-AYY III,Reactive Gas,Poor,17.08
Tenerifis,QP6B-I,WB-AYY,WB-AYY III,Noble Gas,Medium,22.76
Tenerifis,QP6B-I,WB-AYY,WB-AYY III,Base Metals,Medium,5.80
Tenerifis,QP6B-I,WB-AYY,WB-AYY III,Reactive Metals,Perfect,8.47
Tenerifis,QP6B-I,WB-AYY,WB-AYY IV,Fiber Composite,Rich,25.80
Tenerifis,QP6B-I,WB-AYY,WB-AYY IV,Reactive Gas,Medium,23.48
Tenerifis,QP6B-I,WB-AYY,WB-AYY IV,Polyaramids,Medium,14.12
Tenerifis,QP6B-I,WB-AYY,WB-AYY IV,Coolant,Medium,16.25
Tenerifis,QP6B-I,WB-AYY,WB-AYY IV,Ionic Solutions,Rich,11.26
Tenerifis,QP6B-I,WB-AYY,WB-AYY V,Sheen Compound,Rich,27.72
Tenerifis,QP6B-I,WB-AYY,WB-AYY V,Fiber Composite,Rich,30.98
Tenerifis,QP6B-I,WB-AYY,WB-AYY V,Glossy Compound,Medium,19.86
Tenerifis,QP6B-I,WB-AYY,WB-AYY V,Reactive Gas,Rich,25.82
Tenerifis,QP6B-I,WB-AYY,WB-AYY V,Ionic Solutions,Rich,12.46
Tenerifis,QP6B-I,WB-AYY,WB-AYY VI,Sheen Compound,Medium,21.98
Tenerifis,QP6B-I,WB-AYY,WB-AYY VI,Fiber Composite,Poor,16.44
Tenerifis,QP6B-I,WB-AYY,WB-AYY VI,Reactive Gas,Rich,27.44
Tenerifis,QP6B-I,WB-AYY,WB-AYY VI,Reactive Metals,Medium,5.04
Tenerifis,QP6B-I,WB-AYY,WB-AYY VI,Coolant,Medium,14.28
Tenerifis,QP6B-I,WB-AYY,WB-AYY VII,Sheen Compound,Rich,29.90
Tenerifis,QP6B-I,WB-AYY,WB-AYY VII,Glossy Compound,Rich,25.92
Tenerifis,QP6B-I,WB-AYY,WB-AYY VII,Reactive Gas,Rich,31.44
Tenerifis,QP6B-I,WB-AYY,WB-AYY VII,Noble Gas,Rich,27.42
Tenerifis,QP6B-I,WB-AYY,WB-AYY VII,Coolant,Rich,17.36
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 I,Precious Alloy,Medium,25.33
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 I,Toxic Metals,Medium,5.37
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 I,Industrial Fibers,Poor,4.97
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 I,Supertensile Plastics,Medium,14.35
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 II,Reactive Gas,Rich,30.22
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 II,Reactive Metals,Rich,8.18
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 II,Toxic Metals,Rich,7.53
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 II,Oxygen Isotopes,Medium,3.80
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 III,Condensed Alloy,Perfect,37.40
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 III,Fiber Composite,Rich,29.06
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 III,Reactive Gas,Rich,27.53
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 III,Heavy Water,Perfect,390.60
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 III,Liquid Ozone,Perfect,50.06
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 IV,Base Metals,Medium,5.21
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 IV,Toxic Metals,Medium,5.49
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 IV,Supertensile Plastics,Poor,10.51
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 IV,Construction Blocks,Poor,17.26
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 V,Glossy Compound,Rich,32.34
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 V,Reactive Gas,Perfect,34.50
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 V,Noble Gas,Medium,24.80
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 V,Reactive Metals,Medium,5.85
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 V,Coolant,Rich,17.79
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VI,Lustering Alloy,Rich,28.75
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VI,Sheen Compound,Medium,21.04
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VI,Glossy Compound,Medium,21.25
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VI,Reactive Gas,Poor,17.79
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VI,Base Metals,Rich,8.49
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VII,Fiber Composite,Rich,29.74
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VII,Reactive Gas,Medium,20.12
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VII,Base Metals,Rich,7.19
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VII,Reactive Metals,Rich,7.24
Tenerifis,QP6B-I,BW-WJ2,BW-WJ2 VII,Ionic Solutions,Medium,10.43
Tenerifis,QP6B-I,S4-9DN,S4-9DN I,Dark Compound,Medium,19.76
Tenerifis,QP6B-I,S4-9DN,S4-9DN I,Base Metals,Poor,4.84
Tenerifis,QP6B-I,S4-9DN,S4-9DN I,Industrial Fibers,Poor,4.38
Tenerifis,QP6B-I,S4-9DN,S4-9DN I,Supertensile Plastics,Poor,9.43
Tenerifis,QP6B-I,S4-9DN,S4-9DN II,Precious Alloy,Poor,13.38
Tenerifis,QP6B-I,S4-9DN,S4-9DN II,Base Metals,Medium,6.07
Tenerifis,QP6B-I,S4-9DN,S4-9DN II,Supertensile Plastics,Poor,12.31
Tenerifis,QP6B-I,S4-9DN,S4-9DN II,Oxygen Isotopes,Poor,2.59
Tenerifis,QP6B-I,S4-9DN,S4-9DN III,Sheen Compound,Medium,24.36
Tenerifis,QP6B-I,S4-9DN,S4-9DN III,Reactive Gas,Rich,26.92
Tenerifis,QP6B-I,S4-9DN,S4-9DN III,Reactive Metals,Rich,8.13
Tenerifis,QP6B-I,S4-9DN,S4-9DN III,Polyaramids,Rich,20.87
Tenerifis,QP6B-I,S4-9DN,S4-9DN III,Ionic Solutions,Medium,9.62
Tenerifis,QP6B-I,S4-9DN,S4-9DN IV,Lustering Alloy,Perfect,32.42
Tenerifis,QP6B-I,S4-9DN,S4-9DN IV,Glossy Compound,Rich,26.72
Tenerifis,QP6B-I,S4-9DN,S4-9DN IV,Reactive Gas,Medium,24.84
Tenerifis,QP6B-I,S4-9DN,S4-9DN IV,Noble Gas,Poor,17.80
Tenerifis,QP6B-I,S4-9DN,S4-9DN IV,Ionic Solutions,Medium,7.72
Tenerifis,QP6B-I,S4-9DN,S4-9DN V,Fiber Composite,Medium,23.76
Tenerifis,QP6B-I,S4-9DN,S4-9DN V,Reactive Gas,Rich,26.08
Tenerifis,QP6B-I,S4-9DN,S4-9DN V,Base Metals,Rich,7.37
Tenerifis,QP6B-I,S4-9DN,S4-9DN V,Coolant,Poor,12.20
Tenerifis,QP6B-I,S4-9DN,S4-9DN V,Ionic Solutions,Rich,11.42
Tenerifis,QP6B-I,S4-9DN,S4-9DN VI,Glossy Compound,Poor,18.26
Tenerifis,QP6B-I,S4-9DN,S4-9DN VI,Reactive Gas,Rich,25.56
Tenerifis,QP6B-I,S4-9DN,S4-9DN VI,Noble Gas,Rich,27.00
Tenerifis,QP6B-I,S4-9DN,S4-9DN VI,Base Metals,Rich,6.81
Tenerifis,QP6B-I,S4-9DN,S4-9DN VI,Ionic Solutions,Rich,10.89
Tenerifis,QP6B-I,S4-9DN,S4-9DN VII,Lustering Alloy,Perfect,33.18
Tenerifis,QP6B-I,S4-9DN,S4-9DN VII,Fiber Composite,Rich,29.54
Tenerifis,QP6B-I,S4-9DN,S4-9DN VII,Glossy Compound,Perfect,31.90
Tenerifis,QP6B-I,S4-9DN,S4-9DN VII,Reactive Gas,Rich,26.36
Tenerifis,QP6B-I,S4-9DN,S4-9DN VII,Noble Gas,Rich,29.96
Tenerifis,QP6B-I,S4-9DN,S4-9DN VIII,Sheen Compound,Perfect,31.82
Tenerifis,QP6B-I,S4-9DN,S4-9DN VIII,Glossy Compound,Medium,23.46
Tenerifis,QP6B-I,S4-9DN,S4-9DN VIII,Reactive Gas,Rich,31.76
Tenerifis,QP6B-I,S4-9DN,S4-9DN VIII,Noble Gas,Poor,17.48
Tenerifis,QP6B-I,S4-9DN,S4-9DN VIII,Ionic Solutions,Medium,9.79
Tenerifis,QP6B-I,S4-9DN,S4-9DN IX,Motley Compound,Medium,23.86
Tenerifis,QP6B-I,S4-9DN,S4-9DN IX,Supertensile Plastics,Rich,19.85
Tenerifis,QP6B-I,S4-9DN,S4-9DN IX,Coolant,Poor,9.83
Tenerifis,QP6B-I,S4-9DN,S4-9DN IX,Condensates,Poor,11.56
Tenerifis,QP6B-I,DT-PXH,DT-PXH I,Gleaming Alloy,Medium,24.25
Tenerifis,QP6B-I,DT-PXH,DT-PXH I,Noble Metals,Medium,20.75
Tenerifis,QP6B-I,DT-PXH,DT-PXH I,Smartfab Units,Medium,13.59
Tenerifis,QP6B-I,DT-PXH,DT-PXH II,Lustering Alloy,Poor,17.20
Tenerifis,QP6B-I,DT-PXH,DT-PXH II,Supertensile Plastics,Poor,11.20
Tenerifis,QP6B-I,DT-PXH,DT-PXH II,Construction Blocks,Poor,14.76
Tenerifis,QP6B-I,DT-PXH,DT-PXH II,Plasmoids,Poor,0.92
Tenerifis,QP6B-I,DT-PXH,DT-PXH III,Lustering Alloy,Poor,14.53
Tenerifis,QP6B-I,DT-PXH,DT-PXH III,Supertensile Plastics,Poor,12.21
Tenerifis,QP6B-I,DT-PXH,DT-PXH III,Oxygen Isotopes,Poor,2.94
Tenerifis,QP6B-I,DT-PXH,DT-PXH III,Plasmoids,Medium,1.31
Tenerifis,QP6B-I,DT-PXH,DT-PXH IV,Opulent Compound,Medium,26.57
Tenerifis,QP6B-I,DT-PXH,DT-PXH IV,Polyaramids,Medium,14.88
Tenerifis,QP6B-I,DT-PXH,DT-PXH IV,Coolant,Medium,14.84
Tenerifis,QP6B-I,DT-PXH,DT-PXH IV,Heavy Water,Rich,285.39
Tenerifis,QP6B-I,DT-PXH,DT-PXH IV,Liquid Ozone,Medium,31.37
Tenerifis,QP6B-I,DT-PXH,DT-PXH V,Reactive Metals,Medium,6.57
Tenerifis,QP6B-I,DT-PXH,DT-PXH V,Supertensile Plastics,Rich,20.13
Tenerifis,QP6B-I,DT-PXH,DT-PXH V,Nanites,Medium,5.84
Tenerifis,QP6B-I,DT-PXH,DT-PXH V,Oxygen Isotopes,Medium,3.81
Tenerifis,QP6B-I,DT-PXH,DT-PXH VI,Opulent Compound,Medium,26.31
Tenerifis,QP6B-I,DT-PXH,DT-PXH VI,Base Metals,Rich,7.94
Tenerifis,QP6B-I,DT-PXH,DT-PXH VI,Smartfab Units,Perfect,26.21
Tenerifis,QP6B-I,DT-PXH,DT-PXH VI,Heavy Water,Perfect,343.77
Tenerifis,QP6B-I,DT-PXH,DT-PXH VI,Liquid Ozone,Rich,34.86
Tenerifis,QP6B-I,DT-PXH,DT-PXH VII,Lustering Alloy,Medium,20.22
Tenerifis,QP6B-I,DT-PXH,DT-PXH VII,Reactive Gas,Perfect,34.21
Tenerifis,QP6B-I,DT-PXH,DT-PXH VII,Noble Gas,Medium,19.84
Tenerifis,QP6B-I,DT-PXH,DT-PXH VII,Reactive Metals,Rich,8.28
Tenerifis,QP6B-I,DT-PXH,DT-PXH VII,Ionic Solutions,Medium,9.54
Tenerifis,QP6B-I,DT-PXH,DT-PXH VIII,Fiber Composite,Rich,27.36
Tenerifis,QP6B-I,DT-PXH,DT-PXH VIII,Opulent Compound,Perfect,33.89
Tenerifis,QP6B-I,DT-PXH,DT-PXH VIII,Reactive Gas,Perfect,39.94
Tenerifis,QP6B-I,DT-PXH,DT-PXH VIII,Condensates,Medium,14.39
Tenerifis,QP6B-I,DT-PXH,DT-PXH VIII,Liquid Ozone,Rich,40.14
Tenerifis,QP6B-I,DT-PXH,DT-PXH IX,Lustering Alloy,Rich,30.66
Tenerifis,QP6B-I,DT-PXH,DT-PXH IX,Sheen Compound,Rich,27.36
Tenerifis,QP6B-I,DT-PXH,DT-PXH IX,Reactive Gas,Rich,27.68
Tenerifis,QP6B-I,DT-PXH,DT-PXH IX,Noble Gas,Medium,25.24
Tenerifis,QP6B-I,DT-PXH,DT-PXH IX,Coolant,Poor,12.84
Tenerifis,QP6B-I,UALX-3,UALX-3 I,Toxic Metals,Poor,4.61
Tenerifis,QP6B-I,UALX-3,UALX-3 I,Supertensile Plastics,Medium,15.93
Tenerifis,QP6B-I,UALX-3,UALX-3 I,Construction Blocks,Medium,24.21
Tenerifis,QP6B-I,UALX-3,UALX-3 I,Silicate Glass,Poor,8.29
Tenerifis,QP6B-I,UALX-3,UALX-3 II,Condensed Alloy,Rich,28.20
Tenerifis,QP6B-I,UALX-3,UALX-3 II,Opulent Compound,Perfect,33.47
Tenerifis,QP6B-I,UALX-3,UALX-3 II,Industrial Fibers,Rich,8.49
Tenerifis,QP6B-I,UALX-3,UALX-3 II,Heavy Water,Perfect,399.84
Tenerifis,QP6B-I,UALX-3,UALX-3 II,Liquid Ozone,Perfect,46.38
Tenerifis,QP6B-I,UALX-3,UALX-3 III,Base Metals,Perfect,9.10
Tenerifis,QP6B-I,UALX-3,UALX-3 III,Noble Metals,Rich,29.76
Tenerifis,QP6B-I,UALX-3,UALX-3 III,Smartfab Units,Perfect,26.74
Tenerifis,QP6B-I,UALX-3,UALX-3 III,Heavy Water,Rich,273.84
Tenerifis,QP6B-I,UALX-3,UALX-3 III,Liquid Ozone,Rich,33.81
Tenerifis,QP6B-I,UALX-3,UALX-3 IV,Precious Alloy,Poor,14.55
Tenerifis,QP6B-I,UALX-3,UALX-3 IV,Base Metals,Poor,3.65
Tenerifis,QP6B-I,UALX-3,UALX-3 IV,Toxic Metals,Medium,5.36
Tenerifis,QP6B-I,UALX-3,UALX-3 IV,Supertensile Plastics,Poor,11.28
Tenerifis,QP6B-I,UALX-3,UALX-3 V,Gleaming Alloy,Medium,20.10
Tenerifis,QP6B-I,UALX-3,UALX-3 V,Reactive Metals,Poor,4.63
Tenerifis,QP6B-I,UALX-3,UALX-3 V,Toxic Metals,Poor,4.61
Tenerifis,QP6B-I,UALX-3,UALX-3 V,Suspended Plasma,Poor,69.10
Tenerifis,QP6B-I,UALX-3,UALX-3 VI,Industrial Fibers,Medium,5.97
Tenerifis,QP6B-I,UALX-3,UALX-3 VI,Supertensile Plastics,Poor,11.83
Tenerifis,QP6B-I,UALX-3,UALX-3 VI,Silicate Glass,Poor,9.53
Tenerifis,QP6B-I,UALX-3,UALX-3 VI,Plasmoids,Poor,1.15
Tenerifis,QP6B-I,UALX-3,UALX-3 VII,Condensed Alloy,Rich,28.20
Tenerifis,QP6B-I,UALX-3,UALX-3 VII,Reactive Gas,Medium,20.10
Tenerifis,QP6B-I,UALX-3,UALX-3 VII,Smartfab Units,Perfect,26.42
Tenerifis,QP6B-I,UALX-3,UALX-3 VII,Heavy Water,Perfect,337.05
Tenerifis,QP6B-I,UALX-3,UALX-3 VII,Liquid Ozone,Perfect,48.09
Tenerifis,QP6B-I,UALX-3,UALX-3 VIII,Fiber Composite,Medium,23.86
Tenerifis,QP6B-I,UALX-3,UALX-3 VIII,Reactive Gas,Poor,19.17
Tenerifis,QP6B-I,UALX-3,UALX-3 VIII,Reactive Metals,Medium,5.91
Tenerifis,QP6B-I,UALX-3,UALX-3 VIII,Polyaramids,Rich,18.94
Tenerifis,QP6B-I,UALX-3,UALX-3 VIII,Coolant,Medium,15.58
Tenerifis,QP6B-I,3L3N-X,3L3N-X I,Gleaming Alloy,Perfect,33.73
Tenerifis,QP6B-I,3L3N-X,3L3N-X I,Noble Gas,Rich,27.57
Tenerifis,QP6B-I,3L3N-X,3L3N-X I,Noble Metals,Perfect,33.56
Tenerifis,QP6B-I,3L3N-X,3L3N-X II,Dark Compound,Poor,18.52
Tenerifis,QP6B-I,3L3N-X,3L3N-X II,Industrial Fibers,Medium,6.73
Tenerifis,QP6B-I,3L3N-X,3L3N-X II,Supertensile Plastics,Medium,16.80
Tenerifis,QP6B-I,3L3N-X,3L3N-X II,Construction Blocks,Poor,16.27
Tenerifis,QP6B-I,3L3N-X,3L3N-X III,Condensed Alloy,Medium,24.78
Tenerifis,QP6B-I,3L3N-X,3L3N-X III,Base Metals,Rich,8.30
Tenerifis,QP6B-I,3L3N-X,3L3N-X III,Noble Metals,Rich,30.39
Tenerifis,QP6B-I,3L3N-X,3L3N-X III,Smartfab Units,Perfect,25.77
Tenerifis,QP6B-I,3L3N-X,3L3N-X III,Liquid Ozone,Medium,33.00
Tenerifis,QP6B-I,3L3N-X,3L3N-X IV,Base Metals,Rich,8.22
Tenerifis,QP6B-I,3L3N-X,3L3N-X IV,Noble Metals,Rich,26.67
Tenerifis,QP6B-I,3L3N-X,3L3N-X IV,Industrial Fibers,Perfect,9.20
Tenerifis,QP6B-I,3L3N-X,3L3N-X IV,Smartfab Units,Medium,16.86
Tenerifis,QP6B-I,3L3N-X,3L3N-X IV,Liquid Ozone,Rich,33.91
Tenerifis,QP6B-I,3L3N-X,3L3N-X V,Lustering Alloy,Perfect,34.25
Tenerifis,QP6B-I,3L3N-X,3L3N-X V,Glossy Compound,Medium,24.42
Tenerifis,QP6B-I,3L3N-X,3L3N-X V,Reactive Gas,Rich,27.45
Tenerifis,QP6B-I,3L3N-X,3L3N-X V,Reactive Metals,Medium,5.59
Tenerifis,QP6B-I,3L3N-X,3L3N-X V,Polyaramids,Poor,13.16
Tenerifis,QP6B-I,3L3N-X,3L3N-X VI,Fiber Composite,Medium,21.19
Tenerifis,QP6B-I,3L3N-X,3L3N-X VI,Reactive Gas,Poor,18.21
Tenerifis,QP6B-I,3L3N-X,3L3N-X VI,Noble Gas,Rich,27.70
Tenerifis,QP6B-I,3L3N-X,3L3N-X VI,Reactive Metals,Perfect,8.88
Tenerifis,QP6B-I,3L3N-X,3L3N-X VI,Coolant,Perfect,22.55
Tenerifis,QP6B-I,3L3N-X,3L3N-X VII,Sheen Compound,Perfect,34.50
Tenerifis,QP6B-I,3L3N-X,3L3N-X VII,Glossy Compound,Medium,20.31
Tenerifis,QP6B-I,3L3N-X,3L3N-X VII,Reactive Gas,Medium,24.34
Tenerifis,QP6B-I,3L3N-X,3L3N-X VII,Noble Gas,Rich,29.30
Tenerifis,QP6B-I,3L3N-X,3L3N-X VII,Coolant,Poor,13.13
Tenerifis,QP6B-I,3L3N-X,3L3N-X VIII,Lustering Alloy,Poor,17.81
Tenerifis,QP6B-I,3L3N-X,3L3N-X VIII,Fiber Composite,Perfect,34.78
Tenerifis,QP6B-I,3L3N-X,3L3N-X VIII,Reactive Gas,Rich,27.32
Tenerifis,QP6B-I,3L3N-X,3L3N-X VIII,Noble Gas,Rich,29.32
Tenerifis,QP6B-I,3L3N-X,3L3N-X VIII,Base Metals,Poor,4.89
Tenerifis,QP6B-I,3L3N-X,3L3N-X IX,Base Metals,Rich,8.04
Tenerifis,QP6B-I,3L3N-X,3L3N-X IX,Industrial Fibers,Medium,5.60
Tenerifis,QP6B-I,3L3N-X,3L3N-X IX,Condensates,Medium,15.83
Tenerifis,QP6B-I,3L3N-X,3L3N-X IX,Liquid Ozone,Rich,37.67
Tenerifis,QP6B-I,3L3N-X,3L3N-X X,Lustering Alloy,Poor,18.10
Tenerifis,QP6B-I,3L3N-X,3L3N-X X,Precious Alloy,Medium,23.52
Tenerifis,QP6B-I,3L3N-X,3L3N-X X,Motley Compound,Medium,23.02
Tenerifis,QP6B-I,3L3N-X,3L3N-X X,Condensates,Medium,15.86
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ I,Precious Alloy,Medium,25.74
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ I,Dark Compound,Medium,24.24
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ I,Supertensile Plastics,Poor,11.40
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ I,Oxygen Isotopes,Poor,2.25
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ II,Gleaming Alloy,Perfect,36.17
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ II,Glossy Compound,Poor,20.68
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ II,Heavy Metals,Rich,29.11
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ III,Dark Compound,Medium,21.52
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ III,Base Metals,Medium,7.09
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ III,Supertensile Plastics,Poor,13.52
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ III,Plasmoids,Medium,1.62
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ IV,Gleaming Alloy,Rich,34.89
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ IV,Smartfab Units,Poor,12.36
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ IV,Plasmoids,Rich,1.90
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ V,Base Metals,Perfect,11.03
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ V,Noble Metals,Perfect,35.55
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ V,Smartfab Units,Medium,17.35
Tenerifis,QP6B-I,Y-ORBJ,Y-ORBJ V,Heavy Water,Perfect,372.68
