Region,Constellation,System,Name,Item,Rate,Output
The Bleak Lands,Sasen,Lamaa,Lamaa I,Industrial Fibers,Medium,4.61
The Bleak Lands,Sasen,Lamaa,Lamaa I,Construction Blocks,Poor,12.29
The Bleak Lands,Sasen,Lamaa,Lamaa I,Oxygen Isotopes,Poor,2.21
The Bleak Lands,Sasen,Lamaa,Lamaa II,Toxic Metals,Medium,4.93
The Bleak Lands,Sasen,Lamaa,Lamaa II,Industrial Fibers,Medium,4.65
The Bleak Lands,Sasen,Lamaa,Lamaa II,Supertensile Plastics,Poor,9.79
The Bleak Lands,Sasen,Lamaa,Lamaa III,Noble Gas,Medium,16.13
The Bleak Lands,Sasen,Lamaa,Lamaa III,Smartfab Units,Medium,14.31
The Bleak Lands,Sasen,Lamaa,Lamaa IV,Base Metals,Poor,3.72
The Bleak Lands,Sasen,Lamaa,Lamaa IV,Industrial Fibers,Poor,3.38
The Bleak Lands,Sasen,Lamaa,Lamaa IV,Supertensile Plastics,Medium,12.33
The Bleak Lands,Sasen,Lamaa,Lamaa V,Lustering Alloy,Medium,19.70
The Bleak Lands,Sasen,Lamaa,Lamaa V,Industrial Fibers,Medium,4.92
The Bleak Lands,Sasen,Lamaa,Lamaa V,Plasmoids,Poor,0.68
The Bleak Lands,Sasen,Lamaa,Lamaa VI,Fiber Composite,Medium,16.12
The Bleak Lands,Sasen,Lamaa,Lamaa VI,Noble Gas,Poor,14.59
The Bleak Lands,Sasen,Lamaa,Lamaa VI,Base Metals,Medium,4.73
The Bleak Lands,Sasen,Lamaa,Lamaa VI,Ionic Solutions,Rich,9.40
The Bleak Lands,Sasen,Lamaa,Lamaa VII,Lucent Compound,Medium,18.46
The Bleak Lands,Sasen,Lamaa,Lamaa VII,Construction Blocks,Rich,22.76
The Bleak Lands,Sasen,Lamaa,Lamaa VII,Suspended Plasma,Poor,54.96
The Bleak Lands,Sasen,Lamaa,Lamaa VIII,Lustering Alloy,Rich,22.02
The Bleak Lands,Sasen,Lamaa,Lamaa VIII,Fiber Composite,Perfect,27.47
The Bleak Lands,Sasen,Lamaa,Lamaa VIII,Reactive Gas,Medium,19.74
The Bleak Lands,Sasen,Lamaa,Lamaa VIII,Noble Gas,Medium,19.35
The Bleak Lands,Sasen,Lamaa,Lamaa IX,Fiber Composite,Medium,20.72
The Bleak Lands,Sasen,Lamaa,Lamaa IX,Glossy Compound,Rich,26.49
The Bleak Lands,Sasen,Lamaa,Lamaa IX,Noble Gas,Medium,19.04
The Bleak Lands,Sasen,Lamaa,Lamaa IX,Coolant,Rich,14.98
The Bleak Lands,Sasen,Tuomuta,Tuomuta I,Lustering Alloy,Poor,12.02
The Bleak Lands,Sasen,Tuomuta,Tuomuta I,Precious Alloy,Poor,14.16
The Bleak Lands,Sasen,Tuomuta,Tuomuta I,Industrial Fibers,Poor,3.20
The Bleak Lands,Sasen,Tuomuta,Tuomuta II,Polyaramids,Medium,12.58
The Bleak Lands,Sasen,Tuomuta,Tuomuta II,Coolant,Rich,15.71
The Bleak Lands,Sasen,Tuomuta,Tuomuta II,Liquid Ozone,Poor,18.60
The Bleak Lands,Sasen,Tuomuta,Tuomuta II,Ionic Solutions,Medium,7.04
The Bleak Lands,Sasen,Tuomuta,Tuomuta III,Precious Alloy,Medium,19.60
The Bleak Lands,Sasen,Tuomuta,Tuomuta III,Industrial Fibers,Medium,4.02
The Bleak Lands,Sasen,Tuomuta,Tuomuta III,Supertensile Plastics,Poor,9.89
The Bleak Lands,Sasen,Tuomuta,Tuomuta IV,Lucent Compound,Medium,15.68
The Bleak Lands,Sasen,Tuomuta,Tuomuta IV,Construction Blocks,Perfect,26.10
The Bleak Lands,Sasen,Tuomuta,Tuomuta IV,Suspended Plasma,Poor,46.71
The Bleak Lands,Sasen,Tuomuta,Tuomuta V,Supertensile Plastics,Medium,13.13
The Bleak Lands,Sasen,Tuomuta,Tuomuta V,Construction Blocks,Rich,22.53
The Bleak Lands,Sasen,Tuomuta,Tuomuta V,Oxygen Isotopes,Poor,1.98
The Bleak Lands,Sasen,Tuomuta,Tuomuta VI,Sheen Compound,Rich,21.68
The Bleak Lands,Sasen,Tuomuta,Tuomuta VI,Glossy Compound,Medium,18.26
The Bleak Lands,Sasen,Tuomuta,Tuomuta VI,Noble Gas,Poor,14.83
The Bleak Lands,Sasen,Tuomuta,Tuomuta VI,Base Metals,Rich,6.69
The Bleak Lands,Sasen,Tuomuta,Tuomuta VII,Fiber Composite,Medium,18.30
The Bleak Lands,Sasen,Tuomuta,Tuomuta VII,Reactive Gas,Medium,15.25
The Bleak Lands,Sasen,Tuomuta,Tuomuta VII,Condensates,Rich,16.65
The Bleak Lands,Sasen,Tuomuta,Tuomuta VII,Smartfab Units,Medium,12.36
The Bleak Lands,Sasen,Tuomuta,Tuomuta VIII,Gleaming Alloy,Poor,14.53
The Bleak Lands,Sasen,Tuomuta,Tuomuta VIII,Construction Blocks,Medium,16.27
The Bleak Lands,Sasen,Tuomuta,Tuomuta VIII,Nanites,Medium,5.20
The Bleak Lands,Sasen,Tuomuta,Tuomuta IX,Fiber Composite,Rich,21.42
The Bleak Lands,Sasen,Tuomuta,Tuomuta IX,Opulent Compound,Perfect,27.90
