Region,Constellation,System,Name,Item,Rate,Output
The Citadel,Imurukka,Konola,Konola I,Motley Compound,Perfect,22.90
The Citadel,Imurukka,Konola,Konola I,Heavy Metals,Perfect,23.73
The Citadel,Imurukka,Konola,Konola II,Construction Blocks,Poor,12.28
The Citadel,Imurukka,Konola,Konola II,Suspended Plasma,Poor,43.70
The Citadel,Imurukka,Konola,Konola III,Lustering Alloy,Rich,18.76
The Citadel,Imurukka,Konola,Konola III,Reactive Gas,Medium,13.68
The Citadel,Imurukka,Konola,Konola III,Base Metals,Medium,4.21
The Citadel,Imurukka,Konola,Konola IV,Lustering Alloy,Medium,14.88
The Citadel,Imurukka,Konola,Konola IV,Sheen Compound,Poor,13.09
The Citadel,Imurukka,Konola,Konola IV,Base Metals,Medium,4.65
The Citadel,Imurukka,Konola,Konola V,Lustering Alloy,Medium,16.66
The Citadel,Imurukka,Konola,Konola V,Base Metals,Rich,5.42
The Citadel,Imurukka,Konola,Konola V,Polyaramids,Rich,12.30
The Citadel,Imurukka,Konola,Konola VI,Lustering Alloy,Medium,13.54
The Citadel,Imurukka,Konola,Konola VI,Base Metals,Medium,4.52
The Citadel,Imurukka,Inoue,Inoue I,Lustering Alloy,Poor,12.26
The Citadel,Imurukka,Inoue,Inoue I,Base Metals,Poor,3.18
The Citadel,Imurukka,Inoue,Inoue II,Motley Compound,Rich,21.33
The Citadel,Imurukka,Inoue,Inoue II,Noble Metals,Rich,23.58
The Citadel,Imurukka,Inoue,Inoue III,Lustering Alloy,Poor,9.40
The Citadel,Imurukka,Inoue,Inoue III,Base Metals,Medium,3.83
The Citadel,Imurukka,Inoue,Inoue IV,Lustering Alloy,Medium,17.77
The Citadel,Imurukka,Inoue,Inoue IV,Fiber Composite,Rich,20.85
The Citadel,Imurukka,Inoue,Inoue IV,Base Metals,Rich,5.86
The Citadel,Imurukka,Inoue,Inoue V,Reactive Metals,Medium,4.20
The Citadel,Imurukka,Inoue,Inoue V,Suspended Plasma,Medium,57.67
The Citadel,Imurukka,Inoue,Inoue V,Plasmoids,Medium,1.05
The Citadel,Imurukka,Inoue,Inoue VI,Lustering Alloy,Medium,16.45
The Citadel,Imurukka,Inoue,Inoue VI,Base Metals,Rich,5.19
The Citadel,Imurukka,Inoue,Inoue VI,Polyaramids,Rich,14.55
The Citadel,Imurukka,Inoue,Inoue VII,Lustering Alloy,Medium,16.73
The Citadel,Imurukka,Inoue,Inoue VII,Reactive Gas,Perfect,24.59
The Citadel,Imurukka,Inoue,Inoue VII,Base Metals,Medium,3.83
The Citadel,Imurukka,Inoue,Inoue VIII,Lustering Alloy,Medium,15.45
The Citadel,Imurukka,Inoue,Inoue VIII,Noble Gas,Rich,22.18
The Citadel,Imurukka,Inoue,Inoue VIII,Base Metals,Rich,5.45
The Citadel,Imurukka,Inoue,Inoue IX,Lustering Alloy,Poor,13.66
The Citadel,Imurukka,Inoue,Inoue IX,Base Metals,Medium,3.91
The Citadel,Imurukka,Inoue,Inoue X,Lustering Alloy,Poor,10.95
The Citadel,Imurukka,Inoue,Inoue X,Base Metals,Medium,4.17
The Citadel,Imurukka,Inoue,Inoue XI,Lustering Alloy,Rich,20.41
The Citadel,Imurukka,Inoue,Inoue XI,Base Metals,Poor,3.63
The Citadel,Imurukka,Isaziwa,Isaziwa I,Lustering Alloy,Medium,12.26
The Citadel,Imurukka,Isaziwa,Isaziwa I,Base Metals,Poor,2.67
The Citadel,Imurukka,Isaziwa,Isaziwa II,Lustering Alloy,Poor,8.67
The Citadel,Imurukka,Isaziwa,Isaziwa II,Base Metals,Medium,3.80
The Citadel,Imurukka,Isaziwa,Isaziwa III,Reactive Metals,Rich,4.45
The Citadel,Imurukka,Isaziwa,Isaziwa III,Suspended Plasma,Rich,65.38
The Citadel,Imurukka,Isaziwa,Isaziwa IV,Condensed Alloy,Medium,13.04
The Citadel,Imurukka,Isaziwa,Isaziwa IV,Noble Metals,Medium,15.87
The Citadel,Imurukka,Isaziwa,Isaziwa IV,Heavy Water,Perfect,219.83
The Citadel,Imurukka,Isaziwa,Isaziwa V,Gleaming Alloy,Rich,19.38
The Citadel,Imurukka,Isaziwa,Isaziwa V,Motley Compound,Medium,16.37
The Citadel,Imurukka,Isaziwa,Isaziwa VI,Toxic Metals,Medium,3.57
The Citadel,Imurukka,Isaziwa,Isaziwa VI,Silicate Glass,Perfect,11.11
The Citadel,Imurukka,Isaziwa,Isaziwa VI,Heavy Water,Medium,134.81
The Citadel,Imurukka,Isaziwa,Isaziwa VII,Industrial Fibers,Rich,5.25
The Citadel,Imurukka,Isaziwa,Isaziwa VII,Heavy Water,Perfect,221.00
The Citadel,Imurukka,Isaziwa,Isaziwa VII,Liquid Ozone,Rich,23.95
The Citadel,Imurukka,Isaziwa,Isaziwa VIII,Lustering Alloy,Poor,10.57
The Citadel,Imurukka,Isaziwa,Isaziwa VIII,Base Metals,Medium,3.85
The Citadel,Imurukka,Isaziwa,Isaziwa IX,Lustering Alloy,Perfect,20.72
The Citadel,Imurukka,Isaziwa,Isaziwa IX,Fiber Composite,Medium,13.01
The Citadel,Imurukka,Isaziwa,Isaziwa IX,Base Metals,Medium,3.62
The Citadel,Imurukka,Isaziwa,Isaziwa X,Lustering Alloy,Poor,11.13
The Citadel,Imurukka,Isaziwa,Isaziwa X,Fiber Composite,Rich,19.50
The Citadel,Imurukka,Isaziwa,Isaziwa X,Base Metals,Medium,4.12
