Region,Constellation,System,Name,Item,Rate,Output
The Forge,Ruomo,Itamo,Itamo I,Lustering Alloy,Poor,10.28
The Forge,Ruomo,Itamo,Itamo I,Base Metals,Poor,2.79
The Forge,Ruomo,Itamo,Itamo II,Gleaming Alloy,Poor,11.37
The Forge,Ruomo,Itamo,Itamo II,Motley Compound,Rich,20.62
The Forge,Ruomo,Itamo,Itamo III,Lustering Alloy,Poor,12.98
The Forge,Ruomo,Itamo,Itamo III,Base Metals,Poor,2.90
The Forge,Ruomo,Itamo,Itamo IV,Opulent Compound,Perfect,24.18
The Forge,Ruomo,Itamo,Itamo IV,Reactive Gas,Rich,21.22
The Forge,Ruomo,Itamo,Itamo IV,Heavy Water,Rich,181.30
The Forge,Ruomo,Itamo,Itamo V,Fiber Composite,Medium,15.50
The Forge,Ruomo,Itamo,Itamo V,Reactive Gas,Rich,19.84
The Forge,Ruomo,Itamo,Itamo V,Heavy Water,Perfect,233.38
The Forge,Ruomo,Itamo,Itamo VI,Lustering Alloy,Poor,12.18
The Forge,Ruomo,Itamo,Itamo VI,Base Metals,Poor,3.21
The Forge,Ruomo,Itamo,Itamo VI,Reactive Metals,Medium,4.41
The Forge,Ruomo,Itamo,Itamo VII,Lustering Alloy,Perfect,23.13
The Forge,Ruomo,Itamo,Itamo VII,Base Metals,Medium,4.63
The Forge,Ruomo,Itamo,Itamo VII,Ionic Solutions,Rich,7.75
The Forge,Ruomo,Itamo,Itamo VIII,Lustering Alloy,Medium,13.33
The Forge,Ruomo,Itamo,Itamo VIII,Reactive Gas,Rich,21.64
The Forge,Ruomo,Itamo,Itamo VIII,Base Metals,Perfect,5.99
The Forge,Ruomo,Mitsolen,Mitsolen I,Noble Gas,Medium,14.76
The Forge,Ruomo,Mitsolen,Mitsolen I,Suspended Plasma,Medium,56.80
The Forge,Ruomo,Mitsolen,Mitsolen I,Plasmoids,Medium,0.88
The Forge,Ruomo,Mitsolen,Mitsolen II,Lustering Alloy,Medium,14.50
The Forge,Ruomo,Mitsolen,Mitsolen II,Base Metals,Poor,3.28
The Forge,Ruomo,Mitsolen,Mitsolen III,Nanites,Medium,3.63
