Region,Constellation,System,Name,Item,Rate,Output
Tribute,1P-VL2,E-OGL4,E-OGL4 I,Lustering Alloy,Poor,17.14
Tribute,1P-VL2,E-OGL4,E-OGL4 I,Dark Compound,Medium,21.49
Tribute,1P-VL2,E-OGL4,E-OGL4 I,Base Metals,Poor,5.01
Tribute,1P-VL2,E-OGL4,E-OGL4 I,Supertensile Plastics,Medium,17.22
Tribute,1P-VL2,E-OGL4,E-OGL4 II,Lustering Alloy,Medium,21.67
Tribute,1P-VL2,E-OGL4,E-OGL4 II,Base Metals,Poor,4.56
Tribute,1P-VL2,E-OGL4,E-OGL4 II,Supertensile Plastics,Medium,15.56
Tribute,1P-VL2,E-OGL4,E-OGL4 II,Oxygen Isotopes,Medium,3.41
Tribute,1P-VL2,E-OGL4,E-OGL4 III,Dark Compound,Perfect,38.15
Tribute,1P-VL2,E-OGL4,E-OGL4 III,Noble Gas,Perfect,38.90
Tribute,1P-VL2,E-OGL4,E-OGL4 III,Heavy Metals,Perfect,35.84
Tribute,1P-VL2,E-OGL4,E-OGL4 III,Condensates,Rich,22.32
Tribute,1P-VL2,E-OGL4,E-OGL4 III,Plasmoids,Medium,1.54
Tribute,1P-VL2,E-OGL4,E-OGL4 IV,Supertensile Plastics,Poor,9.39
Tribute,1P-VL2,E-OGL4,E-OGL4 IV,Construction Blocks,Poor,13.82
Tribute,1P-VL2,E-OGL4,E-OGL4 IV,Silicate Glass,Poor,9.03
Tribute,1P-VL2,E-OGL4,E-OGL4 IV,Oxygen Isotopes,Poor,2.31
Tribute,1P-VL2,E-OGL4,E-OGL4 V,Opulent Compound,Perfect,37.33
Tribute,1P-VL2,E-OGL4,E-OGL4 V,Toxic Metals,Medium,5.52
Tribute,1P-VL2,E-OGL4,E-OGL4 V,Polyaramids,Medium,16.21
Tribute,1P-VL2,E-OGL4,E-OGL4 V,Coolant,Rich,21.79
Tribute,1P-VL2,E-OGL4,E-OGL4 V,Liquid Ozone,Rich,35.20
Tribute,1P-VL2,E-OGL4,E-OGL4 VI,Gleaming Alloy,Rich,34.43
Tribute,1P-VL2,E-OGL4,E-OGL4 VI,Construction Blocks,Perfect,36.78
Tribute,1P-VL2,E-OGL4,E-OGL4 VI,Plasmoids,Rich,1.79
Tribute,1P-VL2,E-OGL4,E-OGL4 VII,Glossy Compound,Poor,18.90
Tribute,1P-VL2,E-OGL4,E-OGL4 VII,Reactive Gas,Rich,29.70
Tribute,1P-VL2,E-OGL4,E-OGL4 VII,Base Metals,Medium,5.90
Tribute,1P-VL2,E-OGL4,E-OGL4 VII,Reactive Metals,Poor,5.33
Tribute,1P-VL2,E-OGL4,E-OGL4 VII,Ionic Solutions,Medium,9.90
Tribute,1P-VL2,E-OGL4,E-OGL4 VIII,Lustering Alloy,Medium,26.60
Tribute,1P-VL2,E-OGL4,E-OGL4 VIII,Reactive Gas,Rich,33.70
Tribute,1P-VL2,E-OGL4,E-OGL4 VIII,Noble Gas,Perfect,35.53
Tribute,1P-VL2,E-OGL4,E-OGL4 VIII,Base Metals,Poor,5.27
Tribute,1P-VL2,E-OGL4,E-OGL4 VIII,Coolant,Rich,23.10
Tribute,1P-VL2,E-OGL4,E-OGL4 IX,Sheen Compound,Medium,25.76
Tribute,1P-VL2,E-OGL4,E-OGL4 IX,Fiber Composite,Rich,31.46
Tribute,1P-VL2,E-OGL4,E-OGL4 IX,Glossy Compound,Medium,23.21
Tribute,1P-VL2,E-OGL4,E-OGL4 IX,Reactive Gas,Rich,28.62
Tribute,1P-VL2,E-OGL4,E-OGL4 IX,Polyaramids,Medium,17.03
Tribute,1P-VL2,E-OGL4,E-OGL4 X,Fiber Composite,Medium,26.64
Tribute,1P-VL2,E-OGL4,E-OGL4 X,Glossy Compound,Rich,32.47
Tribute,1P-VL2,E-OGL4,E-OGL4 X,Reactive Gas,Rich,33.40
Tribute,1P-VL2,E-OGL4,E-OGL4 X,Reactive Metals,Rich,8.41
