Region,Constellation,System,Name,Item,Rate,Output
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU I,Lustering Alloy,Medium,22.39
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU I,Base Metals,Poor,5.13
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU I,Supertensile Plastics,Medium,13.59
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU I,Oxygen Isotopes,Medium,3.33
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU II,Dark Compound,Medium,21.38
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU II,Base Metals,Poor,3.48
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU II,Supertensile Plastics,Poor,10.11
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU II,Plasmoids,Medium,1.22
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU III,Toxic Metals,Medium,6.29
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU III,Industrial Fibers,Poor,4.19
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU III,Supertensile Plastics,Poor,12.49
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU III,Oxygen Isotopes,Medium,3.47
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IV,Condensed Alloy,Rich,32.09
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IV,Fiber Composite,Perfect,34.90
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IV,Noble Metals,Perfect,37.82
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IV,Condensates,Rich,18.10
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IV,Liquid Ozone,Medium,29.03
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU V,Gleaming Alloy,Rich,28.01
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU V,Reactive Metals,Poor,5.21
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU V,Supertensile Plastics,Medium,13.41
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU V,Suspended Plasma,Medium,87.77
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VI,Gleaming Alloy,Poor,19.76
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VI,Reactive Gas,Poor,17.49
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VI,Reactive Metals,Medium,5.90
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VI,Construction Blocks,Rich,28.45
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VII,Lustering Alloy,Perfect,34.52
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VII,Reactive Gas,Medium,22.79
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VII,Base Metals,Medium,6.83
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VII,Coolant,Rich,19.74
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VII,Ionic Solutions,Medium,10.47
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VIII,Opulent Compound,Medium,20.83
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VIII,Reactive Gas,Rich,33.20
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VIII,Noble Metals,Perfect,37.51
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VIII,Smartfab Units,Medium,16.93
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU VIII,Liquid Ozone,Perfect,43.29
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IX,Lustering Alloy,Rich,33.24
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IX,Sheen Compound,Medium,22.97
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IX,Fiber Composite,Rich,31.44
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IX,Reactive Gas,Poor,17.37
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU IX,Reactive Metals,Poor,5.06
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU X,Precious Alloy,Medium,22.22
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU X,Heavy Metals,Medium,24.13
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU X,Industrial Fibers,Rich,7.11
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU X,Condensates,Poor,11.00
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU XI,Precious Alloy,Poor,18.19
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU XI,Dark Compound,Poor,15.08
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU XI,Supertensile Plastics,Poor,10.14
Vale of the Silent,U29-0S,LZ-6SU,LZ-6SU XI,Silicate Glass,Medium,10.31
Vale of the Silent,U29-0S,MC6O-F,MC6O-F I,Precious Alloy,Poor,17.91
Vale of the Silent,U29-0S,MC6O-F,MC6O-F I,Industrial Fibers,Poor,4.28
Vale of the Silent,U29-0S,MC6O-F,MC6O-F I,Supertensile Plastics,Medium,16.90
Vale of the Silent,U29-0S,MC6O-F,MC6O-F I,Construction Blocks,Medium,23.14
Vale of the Silent,U29-0S,MC6O-F,MC6O-F II,Crystal Compound,Medium,24.71
Vale of the Silent,U29-0S,MC6O-F,MC6O-F II,Reactive Metals,Medium,7.18
Vale of the Silent,U29-0S,MC6O-F,MC6O-F II,Supertensile Plastics,Poor,12.51
Vale of the Silent,U29-0S,MC6O-F,MC6O-F II,Construction Blocks,Rich,33.70
Vale of the Silent,U29-0S,MC6O-F,MC6O-F III,Reactive Gas,Rich,33.20
Vale of the Silent,U29-0S,MC6O-F,MC6O-F III,Reactive Metals,Perfect,9.34
