Region,Constellation,System,Name,Item,Rate,Output
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 I,Precious Alloy,Medium,23.75
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 I,Industrial Fibers,Poor,4.14
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 I,Supertensile Plastics,Medium,17.22
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 I,Silicate Glass,Medium,10.32
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 II,Gleaming Alloy,Poor,17.18
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 II,Reactive Metals,Medium,6.05
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 II,Supertensile Plastics,Medium,14.28
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 II,Oxygen Isotopes,Rich,4.20
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 III,Dark Compound,Medium,25.64
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 III,Reactive Metals,Rich,7.69
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 III,Condensates,Medium,16.83
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 III,Nanites,Rich,8.77
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 III,Suspended Plasma,Rich,114.31
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 IV,Gleaming Alloy,Medium,24.15
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 IV,Noble Gas,Rich,31.58
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 IV,Construction Blocks,Medium,21.84
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 V,Crystal Compound,Rich,27.05
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 V,Reactive Gas,Medium,22.30
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 V,Reactive Metals,Rich,7.14
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 V,Nanites,Rich,8.36
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 VI,Fiber Composite,Rich,27.17
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 VI,Reactive Gas,Poor,19.11
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 VI,Noble Gas,Medium,20.37
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 VI,Reactive Metals,Rich,8.20
Venal,1G-8KY,Y-W1Q3,Y-W1Q3 VI,Coolant,Poor,11.80
