Region,Constellation,System,Name,Item,Rate,Output
Verge Vendor,Woenckee,Murethand,Murethand I,Base Metals,Poor,3.92
Verge Vendor,Woenckee,Murethand,Murethand I,Industrial Fibers,Medium,4.77
Verge Vendor,Woenckee,Murethand,Murethand I,Supertensile Plastics,Poor,7.75
Verge Vendor,Woenckee,Murethand,Murethand II,Noble Gas,Rich,26.93
Verge Vendor,Woenckee,Murethand,Murethand II,Polyaramids,Medium,11.54
Verge Vendor,Woenckee,Murethand,Murethand III,Crystal Compound,Medium,19.26
Verge Vendor,Woenckee,Murethand,Murethand III,Noble Metals,Medium,17.21
Verge Vendor,Woenckee,Murethand,Murethand III,Toxic Metals,Medium,5.71
Verge Vendor,Woenckee,Murethand,Murethand III,Coolant,Perfect,20.03
Verge Vendor,Woenckee,Murethand,Murethand IV,Dark Compound,Poor,14.36
Verge Vendor,Woenckee,Murethand,Murethand IV,Industrial Fibers,Medium,5.37
Verge Vendor,Woenckee,Murethand,Murethand IV,Oxygen Isotopes,Poor,2.05
Verge Vendor,Woenckee,Murethand,Murethand V,Fiber Composite,Rich,25.56
Verge Vendor,Woenckee,Murethand,Murethand V,Base Metals,Rich,6.81
Verge Vendor,Woenckee,Murethand,Murethand V,Noble Metals,Rich,27.54
Verge Vendor,Woenckee,Murethand,Murethand V,Condensates,Rich,16.38
Verge Vendor,Woenckee,Murethand,Murethand VI,Lustering Alloy,Medium,18.04
Verge Vendor,Woenckee,Murethand,Murethand VI,Glossy Compound,Poor,16.18
Verge Vendor,Woenckee,Murethand,Murethand VI,Reactive Gas,Poor,16.88
Verge Vendor,Woenckee,Murethand,Murethand VI,Noble Gas,Rich,27.52
Verge Vendor,Woenckee,Murethand,Murethand VII,Fiber Composite,Medium,17.41
Verge Vendor,Woenckee,Murethand,Murethand VII,Reactive Gas,Rich,28.33
Verge Vendor,Woenckee,Murethand,Murethand VII,Noble Gas,Medium,19.82
Verge Vendor,Woenckee,Murethand,Murethand VII,Reactive Metals,Rich,6.22
Verge Vendor,Woenckee,Murethand,Murethand VIII,Lustering Alloy,Rich,25.20
Verge Vendor,Woenckee,Murethand,Murethand VIII,Coolant,Rich,16.94
Verge Vendor,Woenckee,Murethand,Murethand VIII,Condensates,Poor,9.70
Verge Vendor,Woenckee,Murethand,Murethand IX,Dark Compound,Poor,14.00
Verge Vendor,Woenckee,Murethand,Murethand IX,Industrial Fibers,Poor,3.93
Verge Vendor,Woenckee,Murethand,Murethand IX,Supertensile Plastics,Poor,7.49
