Region,Constellation,System,Name,Item,Rate,Output
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 I,Gleaming Alloy,Medium,24.84
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 I,Noble Metals,Poor,18.88
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 I,Oxygen Isotopes,Medium,3.73
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 II,Lustering Alloy,Medium,22.37
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 II,Toxic Metals,Poor,4.33
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 II,Supertensile Plastics,Poor,11.32
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 II,Oxygen Isotopes,Medium,3.34
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 III,Gleaming Alloy,Rich,30.65
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 III,Construction Blocks,Medium,21.23
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 III,Plasmoids,Medium,1.55
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IV,Lustering Alloy,Poor,18.57
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IV,Dark Compound,Poor,17.31
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IV,Supertensile Plastics,Poor,10.77
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IV,Silicate Glass,Medium,13.43
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 V,Opulent Compound,Rich,31.37
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 V,Noble Metals,Perfect,39.42
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 V,Smartfab Units,Rich,20.08
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 V,Heavy Water,Perfect,358.82
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 V,Liquid Ozone,Medium,34.21
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VI,Gleaming Alloy,Perfect,35.51
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VI,Lucent Compound,Medium,24.66
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VI,Reactive Metals,Rich,8.13
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VI,Toxic Metals,Medium,5.93
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VII,Crystal Compound,Poor,20.66
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VII,Reactive Gas,Medium,25.34
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VII,Reactive Metals,Medium,6.06
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VII,Nanites,Medium,6.28
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VIII,Gleaming Alloy,Perfect,35.95
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VIII,Lucent Compound,Medium,21.69
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VIII,Reactive Metals,Medium,6.67
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 VIII,Construction Blocks,Poor,19.18
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IX,Gleaming Alloy,Medium,22.55
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IX,Motley Compound,Rich,34.91
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 IX,Noble Metals,Medium,24.90
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 X,Lustering Alloy,Poor,18.22
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 X,Toxic Metals,Medium,6.61
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 X,Industrial Fibers,Poor,4.87
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 X,Supertensile Plastics,Poor,11.35
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 XI,Opulent Compound,Rich,31.55
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 XI,Crystal Compound,Medium,21.58
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 XI,Coolant,Perfect,25.14
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 XI,Liquid Ozone,Perfect,46.97
Wicked Creek,0FC-ZX,MKIG-5,MKIG-5 XI,Ionic Solutions,Rich,12.58
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G I,Gleaming Alloy,Rich,30.66
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G I,Glossy Compound,Medium,23.86
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G I,Smartfab Units,Rich,18.47
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G II,Industrial Fibers,Medium,6.22
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G II,Supertensile Plastics,Medium,16.24
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G II,Construction Blocks,Poor,19.53
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G II,Silicate Glass,Poor,7.25
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G III,Reactive Metals,Rich,7.06
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G III,Nanites,Medium,5.94
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G III,Suspended Plasma,Rich,114.84
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G III,Oxygen Isotopes,Medium,3.74
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G IV,Gleaming Alloy,Poor,19.43
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G IV,Reactive Metals,Medium,6.94
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G IV,Nanites,Medium,5.97
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G IV,Oxygen Isotopes,Rich,4.37
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G V,Noble Metals,Perfect,34.38
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G V,Toxic Metals,Medium,6.76
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G V,Silicate Glass,Medium,11.21
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G V,Liquid Ozone,Perfect,44.36
Wicked Creek,0FC-ZX,YHEN-G,YHEN-G V,Ionic Solutions,Medium,8.35
